,time,price,volume
0,Aug 24 2018 01: +0,1.164,10
1,Aug 25 2018 01: +0,1.178,16
2,Aug 26 2018 01: +0,1.088,11
3,Aug 27 2018 01: +0,1.117,9
4,Aug 28 2018 01: +0,1.061,12
5,Aug 29 2018 01: +0,1.108,10
6,Aug 30 2018 01: +0,0.925,14
7,Aug 31 2018 01: +0,1.029,8
8,Sep 01 2018 01: +0,0.917,6
9,Sep 02 2018 01: +0,0.954,15
10,Sep 03 2018 01: +0,0.943,6
11,Sep 04 2018 01: +0,1.035,3
12,Sep 05 2018 01: +0,1.148,6
13,Sep 06 2018 01: +0,1.031,18
14,Sep 07 2018 01: +0,1.15,9
15,Sep 08 2018 01: +0,1.06,8
16,Sep 09 2018 01: +0,1.055,10
17,Sep 10 2018 01: +0,1.171,5
18,Sep 11 2018 01: +0,1.025,7
19,Sep 12 2018 01: +0,1.009,6
20,Sep 13 2018 01: +0,1.069,7
21,Sep 14 2018 01: +0,0.961,7
22,Sep 15 2018 01: +0,0.94,16
23,Sep 16 2018 01: +0,0.983,16
24,Sep 17 2018 01: +0,1.03,7
25,Sep 18 2018 01: +0,1.006,8
26,Sep 19 2018 01: +0,1.004,10
27,Sep 20 2018 01: +0,0.98,14
28,Sep 21 2018 01: +0,1.082,10
29,Sep 22 2018 01: +0,1.08,16
30,Sep 23 2018 01: +0,1.107,11
31,Sep 24 2018 01: +0,1.178,4
32,Sep 25 2018 01: +0,1.129,9
33,Sep 26 2018 01: +0,1.212,10
34,Sep 27 2018 01: +0,1.223,6
35,Sep 28 2018 01: +0,1.248,5
36,Sep 29 2018 01: +0,0.965,6
37,Sep 30 2018 01: +0,1.141,7
38,Oct 01 2018 01: +0,1.119,8
39,Oct 02 2018 01: +0,1.29,5
40,Oct 03 2018 01: +0,1.351,6
41,Oct 04 2018 01: +0,1.053,18
42,Oct 05 2018 01: +0,1.025,7
43,Oct 06 2018 01: +0,1.049,13
44,Oct 07 2018 01: +0,1.104,23
45,Oct 08 2018 01: +0,1.224,16
46,Oct 09 2018 01: +0,1.242,6
47,Oct 10 2018 01: +0,1.347,5
48,Oct 11 2018 01: +0,1.341,10
49,Oct 12 2018 01: +0,1.253,12
50,Oct 13 2018 01: +0,1.273,10
51,Oct 14 2018 01: +0,1.15,14
52,Oct 15 2018 01: +0,1.065,5
53,Oct 16 2018 01: +0,1.182,13
54,Oct 17 2018 01: +0,1.172,9
55,Oct 18 2018 01: +0,1.193,6
56,Oct 19 2018 01: +0,1.262,14
57,Oct 20 2018 01: +0,1.345,17
58,Oct 21 2018 01: +0,1.446,11
59,Oct 22 2018 01: +0,1.384,9
60,Oct 23 2018 01: +0,1.334,5
61,Oct 24 2018 01: +0,1.41,6
62,Oct 25 2018 01: +0,1.373,6
63,Oct 26 2018 01: +0,1.283,9
64,Oct 27 2018 01: +0,1.237,7
65,Oct 28 2018 01: +0,1.348,11
66,Oct 29 2018 01: +0,1.185,6
67,Oct 30 2018 01: +0,1.23,9
68,Oct 31 2018 01: +0,1.278,6
69,Nov 01 2018 01: +0,1.321,13
70,Nov 02 2018 01: +0,1.467,6
71,Nov 03 2018 01: +0,1.435,12
72,Nov 04 2018 01: +0,1.488,13
73,Nov 05 2018 01: +0,1.441,17
74,Nov 06 2018 01: +0,1.501,3
75,Nov 07 2018 01: +0,1.592,7
76,Nov 08 2018 01: +0,1.687,8
77,Nov 09 2018 01: +0,1.62,6
78,Nov 10 2018 01: +0,1.529,14
79,Nov 11 2018 01: +0,1.627,9
80,Nov 12 2018 01: +0,1.57,8
81,Nov 13 2018 01: +0,1.522,7
82,Nov 14 2018 01: +0,1.726,5
83,Nov 15 2018 01: +0,1.722,7
84,Nov 16 2018 01: +0,1.624,7
85,Nov 17 2018 01: +0,1.796,12
86,Nov 18 2018 01: +0,1.859,9
87,Nov 19 2018 01: +0,2.05,3
88,Nov 20 2018 01: +0,2.048,6
89,Nov 21 2018 01: +0,2.333,5
90,Nov 22 2018 01: +0,1.982,4
91,Nov 23 2018 01: +0,2.244,9
92,Nov 24 2018 01: +0,2.056,8
93,Nov 25 2018 01: +0,2.057,11
94,Nov 26 2018 01: +0,1.873,6
95,Nov 27 2018 01: +0,1.708,10
96,Nov 28 2018 01: +0,1.926,5
97,Nov 29 2018 01: +0,1.77,8
98,Nov 30 2018 01: +0,2.103,10
99,Dec 01 2018 01: +0,2.18,6
100,Dec 02 2018 01: +0,1.909,7
101,Dec 03 2018 01: +0,2.155,1
102,Dec 04 2018 01: +0,1.963,6
103,Dec 05 2018 01: +0,1.919,4
104,Dec 06 2018 01: +0,1.709,14
105,Dec 07 2018 01: +0,1.889,9
106,Dec 08 2018 01: +0,2.008,12
107,Dec 09 2018 01: +0,1.974,8
108,Dec 10 2018 01: +0,1.964,3
109,Dec 11 2018 01: +0,2.051,4
110,Dec 12 2018 01: +0,1.941,8
111,Dec 13 2018 01: +0,2.238,4
112,Dec 14 2018 01: +0,1.991,14
113,Dec 15 2018 01: +0,1.805,10
114,Dec 16 2018 01: +0,2.095,9
115,Dec 17 2018 01: +0,1.999,6
116,Dec 18 2018 01: +0,2.073,6
117,Dec 19 2018 01: +0,1.947,3
118,Dec 20 2018 01: +0,1.677,9
119,Dec 21 2018 01: +0,1.959,3
120,Dec 22 2018 01: +0,1.692,9
121,Dec 23 2018 01: +0,1.709,6
122,Dec 24 2018 01: +0,1.827,11
123,Dec 25 2018 01: +0,1.886,12
