,time,price,volume
0,Aug 27 2015 01: +0,4.444,5
1,Aug 28 2015 01: +0,1.422,64
2,Aug 29 2015 01: +0,0.647,70
3,Aug 30 2015 01: +0,0.339,80
4,Aug 31 2015 01: +0,0.25,84
5,Sep 01 2015 01: +0,0.203,94
6,Sep 02 2015 01: +0,0.194,75
7,Sep 03 2015 01: +0,0.142,65
8,Sep 04 2015 01: +0,0.142,103
9,Sep 05 2015 01: +0,0.136,125
10,Sep 06 2015 01: +0,0.128,123
11,Sep 07 2015 01: +0,0.115,89
12,Sep 08 2015 01: +0,0.093,88
13,Sep 09 2015 01: +0,0.078,71
14,Sep 10 2015 01: +0,0.074,98
15,Sep 11 2015 01: +0,0.086,171
16,Sep 12 2015 01: +0,0.071,136
17,Sep 13 2015 01: +0,0.069,152
18,Sep 14 2015 01: +0,0.068,119
19,Sep 15 2015 01: +0,0.065,88
20,Sep 16 2015 01: +0,0.048,72
21,Sep 17 2015 01: +0,0.058,130
22,Sep 18 2015 01: +0,0.068,165
23,Sep 19 2015 01: +0,0.067,171
24,Sep 20 2015 01: +0,0.074,144
25,Sep 21 2015 01: +0,0.055,102
26,Sep 22 2015 01: +0,0.046,110
27,Sep 23 2015 01: +0,0.045,114
28,Sep 24 2015 01: +0,0.039,109
29,Sep 25 2015 01: +0,0.043,122
30,Sep 26 2015 01: +0,0.046,159
31,Sep 27 2015 01: +0,0.047,113
32,Sep 28 2015 01: +0,0.043,109
33,Sep 29 2015 01: +0,0.044,78
34,Sep 30 2015 01: +0,0.038,96
35,Oct 01 2015 01: +0,0.033,88
36,Oct 02 2015 01: +0,0.032,113
37,Oct 03 2015 01: +0,0.043,139
38,Oct 04 2015 01: +0,0.047,129
39,Oct 05 2015 01: +0,0.05,72
40,Oct 06 2015 01: +0,0.049,84
41,Oct 07 2015 01: +0,0.052,89
42,Oct 08 2015 01: +0,0.057,67
43,Oct 09 2015 01: +0,0.056,93
44,Oct 10 2015 01: +0,0.051,98
45,Oct 11 2015 01: +0,0.056,129
46,Oct 12 2015 01: +0,0.061,114
47,Oct 13 2015 01: +0,0.046,80
48,Oct 14 2015 01: +0,0.042,70
49,Oct 15 2015 01: +0,0.042,69
50,Oct 16 2015 01: +0,0.044,99
51,Oct 17 2015 01: +0,0.053,113
52,Oct 18 2015 01: +0,0.06,104
53,Oct 19 2015 01: +0,0.055,62
54,Oct 20 2015 01: +0,0.055,56
55,Oct 21 2015 01: +0,0.058,86
56,Oct 22 2015 01: +0,0.053,60
57,Oct 23 2015 01: +0,0.049,77
58,Oct 24 2015 01: +0,0.053,90
59,Oct 25 2015 01: +0,0.049,90
60,Oct 26 2015 01: +0,0.054,77
61,Oct 27 2015 01: +0,0.052,70
62,Oct 28 2015 01: +0,0.049,68
63,Oct 29 2015 01: +0,0.054,78
64,Oct 30 2015 01: +0,0.049,82
65,Oct 31 2015 01: +0,0.045,92
66,Nov 01 2015 01: +0,0.039,111
67,Nov 02 2015 01: +0,0.042,82
68,Nov 03 2015 01: +0,0.044,90
69,Nov 04 2015 01: +0,0.045,61
70,Nov 05 2015 01: +0,0.052,92
71,Nov 06 2015 01: +0,0.058,86
72,Nov 07 2015 01: +0,0.063,86
73,Nov 08 2015 01: +0,0.06,98
74,Nov 09 2015 01: +0,0.06,61
75,Nov 10 2015 01: +0,0.063,42
76,Nov 11 2015 01: +0,0.054,47
77,Nov 12 2015 01: +0,0.055,40
78,Nov 13 2015 01: +0,0.056,36
79,Nov 14 2015 01: +0,0.062,78
80,Nov 15 2015 01: +0,0.052,53
81,Nov 16 2015 01: +0,0.042,51
82,Nov 17 2015 01: +0,0.05,42
83,Nov 18 2015 01: +0,0.053,26
84,Nov 19 2015 01: +0,0.053,42
85,Nov 20 2015 01: +0,0.046,53
86,Nov 21 2015 01: +0,0.056,46
87,Nov 22 2015 01: +0,0.055,55
88,Nov 23 2015 01: +0,0.054,50
89,Nov 24 2015 01: +0,0.055,48
90,Nov 25 2015 01: +0,0.055,52
91,Nov 26 2015 01: +0,0.041,65
92,Nov 27 2015 01: +0,0.047,71
93,Nov 28 2015 01: +0,0.047,94
94,Nov 29 2015 01: +0,0.05,84
95,Nov 30 2015 01: +0,0.053,66
96,Dec 01 2015 01: +0,0.05,52
97,Dec 02 2015 01: +0,0.05,53
98,Dec 03 2015 01: +0,0.045,45
99,Dec 04 2015 01: +0,0.058,62
100,Dec 05 2015 01: +0,0.058,82
101,Dec 06 2015 01: +0,0.065,75
102,Dec 07 2015 01: +0,0.07,55
103,Dec 08 2015 01: +0,0.065,57
104,Dec 09 2015 01: +0,0.064,48
105,Dec 10 2015 01: +0,0.059,39
106,Dec 11 2015 01: +0,0.06,61
107,Dec 12 2015 01: +0,0.061,78
108,Dec 13 2015 01: +0,0.062,66
109,Dec 14 2015 01: +0,0.063,53
110,Dec 15 2015 01: +0,0.067,39
111,Dec 16 2015 01: +0,0.049,46
112,Dec 17 2015 01: +0,0.061,48
113,Dec 18 2015 01: +0,0.062,49
114,Dec 19 2015 01: +0,0.065,72
115,Dec 20 2015 01: +0,0.059,56
116,Dec 21 2015 01: +0,0.064,44
117,Dec 22 2015 01: +0,0.064,53
118,Dec 23 2015 01: +0,0.064,96
119,Dec 24 2015 01: +0,0.053,85
120,Dec 25 2015 01: +0,0.061,65
121,Dec 26 2015 01: +0,0.06,84
122,Dec 27 2015 01: +0,0.065,90
123,Dec 28 2015 01: +0,0.069,89
124,Dec 29 2015 01: +0,0.068,106
125,Dec 30 2015 01: +0,0.07,109
126,Dec 31 2015 01: +0,0.07,92
127,Jan 01 2016 01: +0,0.067,97
128,Jan 02 2016 01: +0,0.067,96
129,Jan 03 2016 01: +0,0.067,96
130,Jan 04 2016 01: +0,0.065,98
131,Jan 05 2016 01: +0,0.076,72
132,Jan 06 2016 01: +0,0.074,64
