,time,price,volume
0,May 04 2017 01: +0,1.69,1
1,May 05 2017 01: +0,0.655,1
2,May 06 2017 01: +0,1.12,3
3,May 07 2017 01: +0,0.958,6
4,May 08 2017 01: +0,1.08,7
5,May 09 2017 01: +0,1.16,2
6,May 10 2017 01: +0,1.1,1
7,May 12 2017 01: +0,0.832,3
8,May 13 2017 01: +0,0.908,3
9,May 14 2017 01: +0,0.948,5
10,May 15 2017 01: +0,1.03,1
11,May 16 2017 01: +0,1.032,1
12,May 18 2017 01: +0,0.92,2
13,May 19 2017 01: +0,0.892,5
14,May 20 2017 01: +0,0.899,2
15,May 21 2017 01: +0,0.893,3
16,May 22 2017 01: +0,0.93,1
17,May 23 2017 01: +0,0.882,4
18,May 24 2017 01: +0,0.93,1
19,May 25 2017 01: +0,0.694,1
20,May 26 2017 01: +0,0.805,4
21,May 27 2017 01: +0,0.72,4
22,May 28 2017 01: +0,0.953,6
23,May 29 2017 01: +0,1.0,2
24,May 30 2017 01: +0,1.04,2
25,May 31 2017 01: +0,0.923,2
26,Jun 01 2017 01: +0,0.89,1
27,Jun 02 2017 01: +0,0.843,4
28,Jun 03 2017 01: +0,0.865,4
29,Jun 04 2017 01: +0,0.894,3
30,Jun 05 2017 01: +0,0.994,4
31,Jun 06 2017 01: +0,1.047,5
32,Jun 07 2017 01: +0,1.05,1
33,Jun 08 2017 01: +0,1.039,4
34,Jun 09 2017 01: +0,1.082,4
35,Jun 11 2017 01: +0,0.961,2
36,Jun 12 2017 01: +0,0.932,4
37,Jun 13 2017 01: +0,0.94,4
38,Jun 15 2017 01: +0,1.014,4
39,Jun 16 2017 01: +0,0.852,2
40,Jun 17 2017 01: +0,0.66,1
41,Jun 18 2017 01: +0,0.97,1
42,Jun 19 2017 01: +0,0.783,3
43,Jun 20 2017 01: +0,0.969,4
44,Jun 21 2017 01: +0,1.004,3
45,Jun 22 2017 01: +0,0.846,3
46,Jun 23 2017 01: +0,0.903,3
47,Jun 24 2017 01: +0,1.015,4
48,Jun 25 2017 01: +0,1.031,3
49,Jun 26 2017 01: +0,0.916,3
50,Jun 27 2017 01: +0,0.863,3
51,Jun 28 2017 01: +0,1.1,4
52,Jun 29 2017 01: +0,1.119,2
53,Jun 30 2017 01: +0,0.672,1
54,Jul 01 2017 01: +0,0.923,5
55,Jul 02 2017 01: +0,5.378,13
56,Jul 04 2017 01: +0,3.524,1
57,Jul 05 2017 01: +0,1.539,2
58,Jul 06 2017 01: +0,1.699,3
59,Jul 07 2017 01: +0,1.607,2
60,Jul 08 2017 01: +0,1.002,1
61,Jul 09 2017 01: +0,1.291,2
62,Jul 10 2017 01: +0,1.309,3
63,Jul 11 2017 01: +0,1.241,3
64,Jul 12 2017 01: +0,1.167,3
65,Jul 13 2017 01: +0,0.955,3
66,Jul 14 2017 01: +0,0.914,3
67,Jul 15 2017 01: +0,1.055,4
68,Jul 16 2017 01: +0,1.097,3
69,Jul 17 2017 01: +0,1.206,3
70,Jul 18 2017 01: +0,1.176,2
71,Jul 19 2017 01: +0,0.837,3
72,Jul 20 2017 01: +0,0.525,2
73,Jul 21 2017 01: +0,1.053,4
74,Jul 22 2017 01: +0,1.351,2
75,Jul 23 2017 01: +0,0.698,1
76,Jul 24 2017 01: +0,1.748,4
77,Jul 26 2017 01: +0,1.543,2
78,Jul 27 2017 01: +0,1.191,3
79,Jul 28 2017 01: +0,1.162,2
80,Jul 29 2017 01: +0,1.327,2
81,Jul 30 2017 01: +0,1.344,1
82,Jul 31 2017 01: +0,1.591,2
83,Aug 01 2017 01: +0,1.579,3
84,Aug 03 2017 01: +0,1.032,6
85,Aug 04 2017 01: +0,0.907,6
86,Aug 05 2017 01: +0,1.148,1
87,Aug 06 2017 01: +0,1.186,2
88,Aug 07 2017 01: +0,1.192,2
89,Aug 09 2017 01: +0,0.934,2
90,Aug 10 2017 01: +0,1.305,1
91,Aug 11 2017 01: +0,1.245,1
92,Aug 12 2017 01: +0,1.345,5
93,Aug 13 2017 01: +0,1.411,1
94,Aug 14 2017 01: +0,1.305,2
95,Aug 15 2017 01: +0,1.235,5
96,Aug 16 2017 01: +0,1.36,1
97,Aug 17 2017 01: +0,1.287,4
98,Aug 18 2017 01: +0,1.0,1
99,Aug 19 2017 01: +0,1.27,2
100,Aug 20 2017 01: +0,0.868,1
101,Aug 21 2017 01: +0,1.615,3
102,Aug 22 2017 01: +0,1.237,2
103,Aug 23 2017 01: +0,1.352,1
104,Aug 24 2017 01: +0,1.125,2
105,Aug 25 2017 01: +0,1.01,1
106,Aug 26 2017 01: +0,1.369,2
107,Aug 27 2017 01: +0,1.139,2
108,Aug 29 2017 01: +0,1.192,1
109,Aug 31 2017 01: +0,1.328,1
110,Sep 01 2017 01: +0,1.32,1
111,Sep 02 2017 01: +0,1.324,1
112,Sep 03 2017 01: +0,1.281,4
113,Sep 06 2017 01: +0,1.33,1
114,Sep 07 2017 01: +0,1.461,2
115,Sep 08 2017 01: +0,1.591,1
116,Sep 10 2017 01: +0,1.605,1
117,Sep 12 2017 01: +0,0.933,1
118,Sep 13 2017 01: +0,1.533,1
119,Sep 15 2017 01: +0,1.2,1
120,Sep 16 2017 01: +0,1.448,2
121,Sep 18 2017 01: +0,1.09,1
122,Sep 19 2017 01: +0,0.993,1
123,Sep 20 2017 01: +0,1.505,2
124,Sep 21 2017 01: +0,1.5,1
125,Sep 22 2017 01: +0,0.97,1
126,Sep 23 2017 01: +0,1.187,2
127,Sep 29 2017 01: +0,1.12,1
128,Oct 01 2017 01: +0,1.026,2
129,Oct 02 2017 01: +0,1.166,2
130,Oct 03 2017 01: +0,1.21,1
131,Oct 04 2017 01: +0,1.419,1
132,Oct 05 2017 01: +0,1.614,2
133,Oct 08 2017 01: +0,1.627,2
134,Oct 09 2017 01: +0,1.795,2
135,Oct 12 2017 01: +0,1.554,1
136,Oct 13 2017 01: +0,1.15,1
137,Oct 14 2017 01: +0,1.255,1
138,Oct 15 2017 01: +0,1.05,1
139,Oct 21 2017 01: +0,1.115,2
140,Oct 22 2017 01: +0,1.11,2
141,Oct 23 2017 01: +0,1.12,1
142,Oct 24 2017 01: +0,1.12,1
143,Oct 25 2017 01: +0,1.12,1
144,Oct 26 2017 01: +0,0.978,2
145,Oct 27 2017 01: +0,1.111,1
146,Oct 28 2017 01: +0,0.863,2
147,Oct 29 2017 01: +0,1.09,1
148,Oct 30 2017 01: +0,1.125,1
149,Oct 31 2017 01: +0,0.998,3
150,Nov 02 2017 01: +0,1.11,1
151,Nov 03 2017 01: +0,0.72,1
152,Nov 04 2017 01: +0,0.917,3
153,Nov 05 2017 01: +0,1.106,2
154,Nov 06 2017 01: +0,1.129,1
155,Nov 08 2017 01: +0,0.89,1
156,Nov 09 2017 01: +0,1.1,1
157,Nov 10 2017 01: +0,1.104,4
158,Nov 11 2017 01: +0,1.116,3
159,Nov 13 2017 01: +0,1.293,3
160,Nov 14 2017 01: +0,1.298,2
161,Nov 16 2017 01: +0,1.287,1
162,Nov 18 2017 01: +0,1.317,2
163,Nov 23 2017 01: +0,0.877,2
164,Nov 25 2017 01: +0,1.296,1
165,Nov 26 2017 01: +0,0.803,1
166,Nov 27 2017 01: +0,1.285,1
167,Nov 28 2017 01: +0,0.994,2
168,Nov 30 2017 01: +0,1.227,2
169,Dec 03 2017 01: +0,1.186,1
170,Dec 05 2017 01: +0,1.136,1
171,Dec 06 2017 01: +0,1.15,1
172,Dec 07 2017 01: +0,1.193,1
173,Dec 08 2017 01: +0,1.249,1
174,Dec 09 2017 01: +0,1.126,3
175,Dec 10 2017 01: +0,1.282,2
176,Dec 11 2017 01: +0,1.184,3
177,Dec 14 2017 01: +0,1.266,1
178,Dec 16 2017 01: +0,0.859,1
179,Dec 17 2017 01: +0,1.238,3
180,Dec 22 2017 01: +0,1.124,2
181,Dec 23 2017 01: +0,0.847,1
182,Dec 24 2017 01: +0,1.01,2
183,Dec 25 2017 01: +0,1.311,2
184,Dec 27 2017 01: +0,1.07,1
185,Dec 28 2017 01: +0,1.066,3
186,Dec 29 2017 01: +0,1.309,1
187,Dec 30 2017 01: +0,1.065,2
188,Dec 31 2017 01: +0,1.077,2
189,Jan 01 2018 01: +0,1.33,1
190,Jan 02 2018 01: +0,1.013,1
191,Jan 04 2018 01: +0,1.143,3
192,Jan 05 2018 01: +0,1.241,2
193,Jan 06 2018 01: +0,1.296,4
194,Jan 07 2018 01: +0,1.38,1
195,Jan 09 2018 01: +0,1.264,2
196,Jan 10 2018 01: +0,1.381,3
197,Jan 11 2018 01: +0,1.21,1
198,Jan 12 2018 01: +0,1.407,1
199,Jan 13 2018 01: +0,1.342,3
200,Jan 14 2018 01: +0,1.663,3
201,Jan 15 2018 01: +0,1.262,4
202,Jan 16 2018 01: +0,1.674,1
203,Jan 17 2018 01: +0,1.015,2
204,Jan 19 2018 01: +0,1.39,2
205,Jan 21 2018 01: +0,1.23,1
206,Jan 22 2018 01: +0,1.235,1
207,Jan 23 2018 01: +0,1.419,1
208,Jan 24 2018 01: +0,1.583,2
209,Jan 26 2018 01: +0,1.708,1
210,Jan 27 2018 01: +0,1.361,2
211,Feb 01 2018 01: +0,1.542,1
212,Feb 02 2018 01: +0,1.558,1
213,Feb 03 2018 01: +0,1.55,1
214,Feb 04 2018 01: +0,1.514,1
215,Feb 07 2018 01: +0,1.057,1
216,Feb 08 2018 01: +0,1.41,4
217,Feb 10 2018 01: +0,1.506,2
218,Feb 11 2018 01: +0,1.515,3
219,Feb 13 2018 01: +0,1.458,1
220,Feb 14 2018 01: +0,1.549,2
221,Feb 15 2018 01: +0,1.018,2
222,Feb 17 2018 01: +0,1.316,2
223,Feb 18 2018 01: +0,1.198,2
224,Feb 20 2018 01: +0,1.406,1
225,Feb 21 2018 01: +0,1.383,1
226,Feb 22 2018 01: +0,0.51,1
227,Feb 23 2018 01: +0,1.329,2
228,Feb 24 2018 01: +0,1.266,1
229,Feb 25 2018 01: +0,1.201,2
230,Feb 28 2018 01: +0,1.425,1
231,Mar 01 2018 01: +0,1.541,1
232,Mar 03 2018 01: +0,1.4,1
233,Mar 07 2018 01: +0,1.347,2
234,Mar 08 2018 01: +0,1.399,2
235,Mar 09 2018 01: +0,1.266,1
236,Mar 14 2018 01: +0,1.38,1
237,Mar 18 2018 01: +0,1.29,1
238,Mar 19 2018 01: +0,1.19,2
