,time,price,volume
0,Jun 02 2017 01: +0,1.907,4
1,Jun 03 2017 01: +0,1.492,7
2,Jun 04 2017 01: +0,1.472,7
3,Jun 05 2017 01: +0,2.051,5
4,Jun 06 2017 01: +0,2.185,3
5,Jun 07 2017 01: +0,1.967,3
6,Jun 08 2017 01: +0,1.529,3
7,Jun 09 2017 01: +0,1.95,4
8,Jun 10 2017 01: +0,1.846,3
9,Jun 12 2017 01: +0,1.431,2
10,Jun 13 2017 01: +0,1.67,2
11,Jun 14 2017 01: +0,1.713,1
12,Jun 15 2017 01: +0,1.869,1
13,Jun 16 2017 01: +0,1.524,2
14,Jun 17 2017 01: +0,1.666,4
15,Jun 18 2017 01: +0,1.86,1
16,Jun 19 2017 01: +0,1.768,3
17,Jun 20 2017 01: +0,1.57,2
18,Jun 21 2017 01: +0,1.853,3
19,Jun 22 2017 01: +0,1.643,4
20,Jun 23 2017 01: +0,1.409,5
21,Jun 24 2017 01: +0,1.662,6
22,Jun 25 2017 01: +0,1.843,4
23,Jun 26 2017 01: +0,1.889,3
24,Jun 27 2017 01: +0,1.579,3
25,Jun 28 2017 01: +0,1.881,1
26,Jun 30 2017 01: +0,1.446,3
27,Jul 01 2017 01: +0,1.694,4
28,Jul 02 2017 01: +0,1.693,3
29,Jul 03 2017 01: +0,1.796,2
30,Jul 04 2017 01: +0,1.756,3
31,Jul 05 2017 01: +0,1.766,2
32,Jul 06 2017 01: +0,1.771,3
33,Jul 07 2017 01: +0,1.681,5
34,Jul 08 2017 01: +0,1.563,3
35,Jul 10 2017 01: +0,1.69,1
36,Jul 11 2017 01: +0,1.727,7
37,Jul 12 2017 01: +0,1.792,6
38,Jul 13 2017 01: +0,1.793,2
39,Jul 14 2017 01: +0,1.84,1
40,Jul 15 2017 01: +0,1.742,3
41,Jul 16 2017 01: +0,1.55,1
42,Jul 17 2017 01: +0,1.789,4
43,Jul 18 2017 01: +0,1.937,3
44,Jul 19 2017 01: +0,1.72,1
45,Jul 20 2017 01: +0,2.065,2
46,Jul 21 2017 01: +0,1.768,5
47,Jul 22 2017 01: +0,1.576,3
48,Jul 23 2017 01: +0,1.75,1
49,Jul 24 2017 01: +0,1.741,3
50,Jul 25 2017 01: +0,1.755,1
51,Jul 26 2017 01: +0,1.656,4
52,Jul 27 2017 01: +0,1.468,4
53,Jul 28 2017 01: +0,2.07,1
54,Jul 29 2017 01: +0,1.698,2
55,Jul 30 2017 01: +0,1.775,2
56,Jul 31 2017 01: +0,1.776,2
57,Aug 01 2017 01: +0,2.002,1
58,Aug 02 2017 01: +0,1.75,6
59,Aug 03 2017 01: +0,1.536,1
60,Aug 04 2017 01: +0,1.512,2
61,Aug 05 2017 01: +0,2.045,1
62,Aug 06 2017 01: +0,1.9,3
63,Aug 07 2017 01: +0,1.904,5
64,Aug 08 2017 01: +0,2.172,1
65,Aug 10 2017 01: +0,2.208,6
66,Aug 11 2017 01: +0,2.13,2
67,Aug 12 2017 01: +0,2.438,3
68,Aug 13 2017 01: +0,2.065,1
69,Aug 14 2017 01: +0,1.929,5
70,Aug 15 2017 01: +0,2.575,2
71,Aug 16 2017 01: +0,2.168,2
72,Aug 17 2017 01: +0,2.54,3
73,Aug 18 2017 01: +0,2.5,1
74,Aug 19 2017 01: +0,2.476,2
75,Aug 20 2017 01: +0,1.62,1
76,Aug 21 2017 01: +0,2.004,4
77,Aug 22 2017 01: +0,2.419,3
78,Aug 23 2017 01: +0,1.693,1
79,Aug 24 2017 01: +0,1.7,1
80,Aug 25 2017 01: +0,2.245,3
81,Aug 26 2017 01: +0,1.828,2
82,Aug 28 2017 01: +0,1.769,1
83,Aug 29 2017 01: +0,1.93,1
84,Aug 31 2017 01: +0,2.21,1
85,Sep 01 2017 01: +0,2.49,1
86,Sep 04 2017 01: +0,2.195,2
87,Sep 07 2017 01: +0,2.15,1
88,Sep 08 2017 01: +0,2.105,1
89,Sep 09 2017 01: +0,2.159,1
90,Sep 10 2017 01: +0,1.9,2
91,Sep 11 2017 01: +0,1.844,1
92,Sep 12 2017 01: +0,2.131,1
93,Sep 15 2017 01: +0,1.757,1
94,Sep 16 2017 01: +0,1.732,2
95,Sep 17 2017 01: +0,2.14,2
96,Sep 18 2017 01: +0,1.88,3
97,Sep 20 2017 01: +0,1.434,2
98,Sep 22 2017 01: +0,1.628,2
99,Sep 23 2017 01: +0,2.116,1
100,Sep 24 2017 01: +0,1.912,2
101,Sep 25 2017 01: +0,1.526,2
102,Sep 27 2017 01: +0,2.13,2
103,Sep 29 2017 01: +0,2.12,1
104,Sep 30 2017 01: +0,2.12,2
105,Oct 01 2017 01: +0,1.88,1
106,Oct 02 2017 01: +0,2.101,3
107,Oct 04 2017 01: +0,1.92,1
108,Oct 05 2017 01: +0,1.44,2
109,Oct 06 2017 01: +0,1.72,1
110,Oct 07 2017 01: +0,1.06,1
111,Oct 08 2017 01: +0,1.405,2
112,Oct 09 2017 01: +0,1.292,2
113,Oct 10 2017 01: +0,1.84,1
114,Oct 12 2017 01: +0,1.763,1
115,Oct 13 2017 01: +0,1.771,2
116,Oct 14 2017 01: +0,1.79,1
117,Oct 15 2017 01: +0,1.79,1
118,Oct 18 2017 01: +0,1.784,1
119,Oct 19 2017 01: +0,1.755,2
120,Oct 20 2017 01: +0,1.474,3
121,Oct 21 2017 01: +0,1.698,4
122,Oct 22 2017 01: +0,1.771,5
123,Oct 23 2017 01: +0,1.786,2
124,Oct 24 2017 01: +0,1.657,2
125,Oct 25 2017 01: +0,1.816,1
126,Oct 26 2017 01: +0,1.504,2
127,Oct 29 2017 01: +0,1.8,2
128,Oct 30 2017 01: +0,1.82,2
129,Oct 31 2017 01: +0,2.119,3
130,Nov 01 2017 01: +0,2.127,2
131,Nov 02 2017 01: +0,1.576,2
132,Nov 03 2017 01: +0,1.76,3
133,Nov 04 2017 01: +0,2.246,2
134,Nov 05 2017 01: +0,2.479,2
135,Nov 06 2017 01: +0,1.67,2
136,Nov 09 2017 01: +0,2.339,2
137,Nov 10 2017 01: +0,1.49,1
138,Nov 11 2017 01: +0,1.838,3
139,Nov 13 2017 01: +0,2.09,1
140,Nov 14 2017 01: +0,1.311,3
141,Nov 15 2017 01: +0,1.82,2
142,Nov 16 2017 01: +0,1.566,3
143,Nov 20 2017 01: +0,1.89,1
144,Nov 21 2017 01: +0,1.97,1
145,Nov 22 2017 01: +0,1.765,2
146,Nov 23 2017 01: +0,1.035,1
147,Nov 24 2017 01: +0,1.93,1
148,Nov 25 2017 01: +0,1.928,1
149,Nov 26 2017 01: +0,1.53,1
150,Nov 27 2017 01: +0,1.22,1
151,Nov 28 2017 01: +0,1.232,2
152,Nov 29 2017 01: +0,1.311,1
153,Nov 30 2017 01: +0,1.42,4
154,Dec 01 2017 01: +0,1.88,2
155,Dec 02 2017 01: +0,1.991,3
156,Dec 04 2017 01: +0,1.684,1
157,Dec 05 2017 01: +0,1.994,2
158,Dec 06 2017 01: +0,2.21,1
159,Dec 07 2017 01: +0,2.3,1
160,Dec 08 2017 01: +0,2.533,1
161,Dec 09 2017 01: +0,2.56,2
162,Dec 10 2017 01: +0,3.011,3
163,Dec 12 2017 01: +0,2.72,1
164,Dec 13 2017 01: +0,2.76,1
165,Dec 16 2017 01: +0,2.277,2
166,Dec 19 2017 01: +0,2.7,1
167,Dec 21 2017 01: +0,2.7,1
168,Dec 22 2017 01: +0,2.585,1
169,Dec 23 2017 01: +0,2.596,2
170,Dec 26 2017 01: +0,1.924,5
171,Dec 27 2017 01: +0,2.73,1
172,Dec 29 2017 01: +0,2.736,2
173,Dec 30 2017 01: +0,1.665,3
174,Jan 01 2018 01: +0,2.096,1
175,Jan 02 2018 01: +0,2.76,1
176,Jan 03 2018 01: +0,2.76,1
177,Jan 04 2018 01: +0,2.332,4
178,Jan 06 2018 01: +0,2.992,1
179,Jan 08 2018 01: +0,2.0,1
180,Jan 09 2018 01: +0,2.495,2
181,Jan 11 2018 01: +0,2.859,2
182,Jan 12 2018 01: +0,2.882,2
183,Jan 13 2018 01: +0,2.9,1
184,Jan 14 2018 01: +0,2.336,2
185,Jan 18 2018 01: +0,2.555,3
186,Jan 19 2018 01: +0,2.972,1
187,Jan 20 2018 01: +0,2.984,1
188,Jan 23 2018 01: +0,2.102,3
189,Jan 24 2018 01: +0,2.807,2
190,Jan 26 2018 01: +0,2.87,1
191,Jan 27 2018 01: +0,2.85,1
192,Jan 28 2018 01: +0,2.637,2
193,Jan 29 2018 01: +0,2.045,2
194,Jan 30 2018 01: +0,1.73,1
195,Feb 02 2018 01: +0,2.355,2
196,Feb 03 2018 01: +0,2.031,2
197,Feb 04 2018 01: +0,2.355,2
198,Feb 06 2018 01: +0,2.363,3
