,time,price,volume
0,Jul 23 2015 01: +0,2.544,86
1,Jul 24 2015 01: +0,1.506,314
2,Jul 25 2015 01: +0,0.42,543
3,Jul 26 2015 01: +0,0.301,498
4,Jul 27 2015 01: +0,0.199,581
5,Jul 28 2015 01: +0,0.176,545
6,Jul 29 2015 01: +0,0.128,470
7,Jul 30 2015 01: +0,0.122,559
8,Jul 31 2015 01: +0,0.118,482
9,Aug 01 2015 01: +0,0.11,524
10,Aug 02 2015 01: +0,0.101,481
11,Aug 03 2015 01: +0,0.085,495
12,Aug 04 2015 01: +0,0.078,454
13,Aug 05 2015 01: +0,0.075,410
14,Aug 06 2015 01: +0,0.078,583
15,Aug 07 2015 01: +0,0.09,552
16,Aug 08 2015 01: +0,0.076,556
17,Aug 09 2015 01: +0,0.078,572
18,Aug 10 2015 01: +0,0.075,550
19,Aug 11 2015 01: +0,0.064,490
20,Aug 12 2015 01: +0,0.06,476
21,Aug 13 2015 01: +0,0.053,419
22,Aug 14 2015 01: +0,0.05,492
23,Aug 15 2015 01: +0,0.048,504
24,Aug 16 2015 01: +0,0.044,440
25,Aug 17 2015 01: +0,0.041,407
26,Aug 18 2015 01: +0,0.034,432
27,Aug 19 2015 01: +0,0.034,420
28,Aug 20 2015 01: +0,0.034,528
29,Aug 21 2015 01: +0,0.032,427
30,Aug 22 2015 01: +0,0.036,386
31,Aug 23 2015 01: +0,0.03,360
32,Aug 24 2015 01: +0,0.032,361
33,Aug 25 2015 01: +0,0.04,379
34,Aug 26 2015 01: +0,0.037,318
35,Aug 27 2015 01: +0,0.031,349
36,Aug 28 2015 01: +0,0.033,396
37,Aug 29 2015 01: +0,0.033,413
38,Aug 30 2015 01: +0,0.032,367
39,Aug 31 2015 01: +0,0.035,344
40,Sep 01 2015 01: +0,0.036,278
41,Sep 02 2015 01: +0,0.037,230
42,Sep 03 2015 01: +0,0.033,295
43,Sep 04 2015 01: +0,0.034,345
44,Sep 05 2015 01: +0,0.033,398
45,Sep 06 2015 01: +0,0.039,419
46,Sep 07 2015 01: +0,0.039,284
47,Sep 08 2015 01: +0,0.039,311
48,Sep 09 2015 01: +0,0.039,264
49,Sep 10 2015 01: +0,0.035,264
50,Sep 11 2015 01: +0,0.035,336
51,Sep 12 2015 01: +0,0.035,430
52,Sep 13 2015 01: +0,0.043,402
53,Sep 14 2015 01: +0,0.04,306
54,Sep 15 2015 01: +0,0.04,251
55,Sep 16 2015 01: +0,0.038,278
56,Sep 17 2015 01: +0,0.037,276
57,Sep 18 2015 01: +0,0.04,359
58,Sep 19 2015 01: +0,0.036,398
59,Sep 20 2015 01: +0,0.041,465
60,Sep 21 2015 01: +0,0.037,305
61,Sep 22 2015 01: +0,0.034,303
62,Sep 23 2015 01: +0,0.033,302
63,Sep 24 2015 01: +0,0.03,254
64,Sep 25 2015 01: +0,0.031,299
65,Sep 26 2015 01: +0,0.033,355
66,Sep 27 2015 01: +0,0.036,354
67,Sep 28 2015 01: +0,0.034,287
68,Sep 29 2015 01: +0,0.031,237
69,Sep 30 2015 01: +0,0.032,254
70,Oct 01 2015 01: +0,0.031,244
71,Oct 02 2015 01: +0,0.03,233
72,Oct 03 2015 01: +0,0.033,449
73,Oct 04 2015 01: +0,0.039,382
74,Oct 05 2015 01: +0,0.043,228
75,Oct 06 2015 01: +0,0.045,288
76,Oct 07 2015 01: +0,0.041,242
77,Oct 08 2015 01: +0,0.04,213
78,Oct 09 2015 01: +0,0.041,217
79,Oct 10 2015 01: +0,0.046,320
80,Oct 11 2015 01: +0,0.045,326
81,Oct 12 2015 01: +0,0.046,269
82,Oct 13 2015 01: +0,0.043,247
83,Oct 14 2015 01: +0,0.041,227
84,Oct 15 2015 01: +0,0.042,181
85,Oct 16 2015 01: +0,0.041,230
86,Oct 17 2015 01: +0,0.044,358
87,Oct 18 2015 01: +0,0.045,384
88,Oct 19 2015 01: +0,0.046,229
89,Oct 20 2015 01: +0,0.044,211
90,Oct 21 2015 01: +0,0.041,238
91,Oct 22 2015 01: +0,0.041,208
92,Oct 23 2015 01: +0,0.04,290
93,Oct 24 2015 01: +0,0.038,285
94,Oct 25 2015 01: +0,0.043,303
95,Oct 26 2015 01: +0,0.046,189
96,Oct 27 2015 01: +0,0.043,225
97,Oct 28 2015 01: +0,0.044,218
98,Oct 29 2015 01: +0,0.044,231
99,Oct 30 2015 01: +0,0.042,250
100,Oct 31 2015 01: +0,0.03,331
101,Nov 01 2015 01: +0,0.03,381
102,Nov 02 2015 01: +0,0.034,270
103,Nov 03 2015 01: +0,0.038,191
104,Nov 04 2015 01: +0,0.039,213
105,Nov 05 2015 01: +0,0.044,245
106,Nov 06 2015 01: +0,0.047,215
107,Nov 07 2015 01: +0,0.046,255
108,Nov 08 2015 01: +0,0.053,321
109,Nov 09 2015 01: +0,0.054,211
110,Nov 10 2015 01: +0,0.052,154
111,Nov 11 2015 01: +0,0.047,151
112,Nov 12 2015 01: +0,0.044,148
113,Nov 13 2015 01: +0,0.045,141
114,Nov 14 2015 01: +0,0.053,217
115,Nov 15 2015 01: +0,0.049,232
116,Nov 16 2015 01: +0,0.049,172
117,Nov 17 2015 01: +0,0.05,160
118,Nov 18 2015 01: +0,0.055,130
119,Nov 19 2015 01: +0,0.046,149
120,Nov 20 2015 01: +0,0.05,191
121,Nov 21 2015 01: +0,0.059,220
122,Nov 22 2015 01: +0,0.055,207
123,Nov 23 2015 01: +0,0.052,184
124,Nov 24 2015 01: +0,0.051,152
125,Nov 25 2015 01: +0,0.044,173
126,Nov 26 2015 01: +0,0.042,225
127,Nov 27 2015 01: +0,0.05,268
128,Nov 28 2015 01: +0,0.046,344
129,Nov 29 2015 01: +0,0.043,297
130,Nov 30 2015 01: +0,0.048,235
131,Dec 01 2015 01: +0,0.051,211
132,Dec 02 2015 01: +0,0.052,190
133,Dec 03 2015 01: +0,0.053,181
134,Dec 04 2015 01: +0,0.054,191
135,Dec 05 2015 01: +0,0.055,300
136,Dec 06 2015 01: +0,0.054,301
137,Dec 07 2015 01: +0,0.058,196
138,Dec 08 2015 01: +0,0.058,216
139,Dec 09 2015 01: +0,0.059,183
140,Dec 10 2015 01: +0,0.059,207
141,Dec 11 2015 01: +0,0.057,242
142,Dec 12 2015 01: +0,0.062,292
143,Dec 13 2015 01: +0,0.062,269
144,Dec 14 2015 01: +0,0.061,216
145,Dec 15 2015 01: +0,0.058,193
146,Dec 16 2015 01: +0,0.062,189
147,Dec 17 2015 01: +0,0.057,171
148,Dec 18 2015 01: +0,0.063,215
149,Dec 19 2015 01: +0,0.061,257
150,Dec 20 2015 01: +0,0.063,281
151,Dec 21 2015 01: +0,0.073,219
152,Dec 22 2015 01: +0,0.07,273
153,Dec 23 2015 01: +0,0.062,378
154,Dec 24 2015 01: +0,0.061,349
155,Dec 25 2015 01: +0,0.068,346
156,Dec 26 2015 01: +0,0.073,361
157,Dec 27 2015 01: +0,0.077,420
158,Dec 28 2015 01: +0,0.083,436
159,Dec 29 2015 01: +0,0.082,405
160,Dec 30 2015 01: +0,0.089,427
161,Dec 31 2015 01: +0,0.086,378
162,Jan 01 2016 01: +0,0.084,454
163,Jan 02 2016 01: +0,0.092,476
164,Jan 03 2016 01: +0,0.096,482
165,Jan 04 2016 01: +0,0.096,426
166,Jan 05 2016 01: +0,0.11,349
167,Jan 06 2016 01: +0,0.096,260
168,Jan 07 2016 01: +0,0.104,327
169,Jan 08 2016 01: +0,0.117,357
170,Jan 09 2016 01: +0,0.123,436
171,Jan 10 2016 01: +0,0.149,429
172,Jan 11 2016 01: +0,0.149,310
173,Jan 12 2016 01: +0,0.139,289
174,Jan 13 2016 01: +0,0.152,261
175,Jan 14 2016 01: +0,0.143,315
176,Jan 15 2016 01: +0,0.146,318
177,Jan 16 2016 01: +0,0.128,397
178,Jan 17 2016 01: +0,0.128,351
179,Jan 18 2016 01: +0,0.136,327
180,Jan 19 2016 01: +0,0.151,257
181,Jan 20 2016 01: +0,0.143,219
182,Jan 21 2016 01: +0,0.136,265
183,Jan 22 2016 01: +0,0.154,288
184,Jan 23 2016 01: +0,0.141,338
185,Jan 24 2016 01: +0,0.158,343
186,Jan 25 2016 01: +0,0.149,292
187,Jan 26 2016 01: +0,0.161,249
188,Jan 27 2016 01: +0,0.152,266
189,Jan 28 2016 01: +0,0.134,244
190,Jan 29 2016 01: +0,0.146,276
191,Jan 30 2016 01: +0,0.155,329
192,Jan 31 2016 01: +0,0.151,352
193,Feb 01 2016 01: +0,0.145,261
194,Feb 02 2016 01: +0,0.134,234
195,Feb 03 2016 01: +0,0.131,256
196,Feb 04 2016 01: +0,0.15,293
197,Feb 05 2016 01: +0,0.158,302
198,Feb 06 2016 01: +0,0.153,472
199,Feb 07 2016 01: +0,0.144,436
200,Feb 08 2016 01: +0,0.156,373
201,Feb 09 2016 01: +0,0.149,347
202,Feb 10 2016 01: +0,0.166,372
203,Feb 11 2016 01: +0,0.165,395
204,Feb 12 2016 01: +0,0.172,436
205,Feb 13 2016 01: +0,0.163,395
206,Feb 14 2016 01: +0,0.17,388
207,Feb 15 2016 01: +0,0.181,334
208,Feb 16 2016 01: +0,0.176,313
209,Feb 17 2016 01: +0,0.179,325
210,Feb 18 2016 01: +0,0.147,406
211,Feb 19 2016 01: +0,0.154,353
212,Feb 20 2016 01: +0,0.147,362
213,Feb 21 2016 01: +0,0.151,357
214,Feb 22 2016 01: +0,0.154,284
215,Feb 23 2016 01: +0,0.138,273
216,Feb 24 2016 01: +0,0.149,72
217,Feb 25 2016 01: +0,0.148,287
218,Feb 26 2016 01: +0,0.146,288
219,Feb 27 2016 01: +0,0.154,333
220,Feb 28 2016 01: +0,0.143,327
221,Feb 29 2016 01: +0,0.144,265
222,Mar 01 2016 01: +0,0.137,219
223,Mar 02 2016 01: +0,0.152,214
224,Mar 03 2016 01: +0,0.148,227
225,Mar 04 2016 01: +0,0.159,254
226,Mar 05 2016 01: +0,0.156,303
