,time,price,volume
0,Oct 09 2015 01: +0,5.666,14
1,Oct 10 2015 01: +0,3.858,12
2,Oct 11 2015 01: +0,3.618,20
3,Oct 12 2015 01: +0,3.281,10
4,Oct 13 2015 01: +0,3.175,9
5,Oct 14 2015 01: +0,3.177,13
6,Oct 15 2015 01: +0,2.9,14
7,Oct 16 2015 01: +0,3.037,15
8,Oct 17 2015 01: +0,3.008,17
9,Oct 18 2015 01: +0,2.967,10
10,Oct 19 2015 01: +0,2.823,7
11,Oct 20 2015 01: +0,2.89,14
12,Oct 21 2015 01: +0,2.966,7
13,Oct 22 2015 01: +0,2.792,5
14,Oct 23 2015 01: +0,2.889,12
15,Oct 24 2015 01: +0,2.99,10
16,Oct 25 2015 01: +0,2.945,8
17,Oct 26 2015 01: +0,2.846,7
18,Oct 27 2015 01: +0,2.922,7
19,Oct 28 2015 01: +0,2.323,2
20,Oct 29 2015 01: +0,2.869,4
21,Oct 30 2015 01: +0,2.763,5
22,Oct 31 2015 01: +0,2.918,14
23,Nov 01 2015 01: +0,2.707,9
24,Nov 02 2015 01: +0,3.178,4
25,Nov 03 2015 01: +0,3.115,5
26,Nov 04 2015 01: +0,3.253,5
27,Nov 05 2015 01: +0,3.821,4
28,Nov 06 2015 01: +0,1.923,2
29,Nov 07 2015 01: +0,5.1,4
30,Nov 08 2015 01: +0,5.753,4
31,Nov 09 2015 01: +0,4.871,3
32,Nov 10 2015 01: +0,4.088,2
33,Nov 12 2015 01: +0,4.559,1
34,Nov 13 2015 01: +0,3.775,2
35,Nov 14 2015 01: +0,3.132,2
36,Nov 15 2015 01: +0,2.834,6
37,Nov 16 2015 01: +0,3.073,1
38,Nov 17 2015 01: +0,2.959,5
39,Nov 18 2015 01: +0,3.163,1
40,Nov 19 2015 01: +0,2.778,3
41,Nov 20 2015 01: +0,3.016,6
42,Nov 21 2015 01: +0,3.045,2
43,Nov 22 2015 01: +0,3.23,1
44,Nov 23 2015 01: +0,2.739,3
45,Nov 24 2015 01: +0,3.329,4
46,Nov 25 2015 01: +0,2.967,3
47,Nov 26 2015 01: +0,3.021,3
48,Nov 27 2015 01: +0,3.356,4
49,Nov 28 2015 01: +0,3.024,7
50,Nov 29 2015 01: +0,2.933,3
51,Nov 30 2015 01: +0,2.921,3
52,Dec 01 2015 01: +0,2.972,3
53,Dec 02 2015 01: +0,3.168,4
54,Dec 03 2015 01: +0,2.38,2
55,Dec 04 2015 01: +0,3.093,2
56,Dec 05 2015 01: +0,2.977,5
57,Dec 06 2015 01: +0,2.818,4
58,Dec 07 2015 01: +0,2.959,4
59,Dec 08 2015 01: +0,2.973,7
60,Dec 09 2015 01: +0,2.99,4
61,Dec 10 2015 01: +0,3.284,4
62,Dec 11 2015 01: +0,3.408,3
63,Dec 12 2015 01: +0,3.106,3
64,Dec 13 2015 01: +0,3.612,4
65,Dec 14 2015 01: +0,3.8,3
66,Dec 15 2015 01: +0,3.822,4
67,Dec 16 2015 01: +0,3.983,3
68,Dec 17 2015 01: +0,3.476,2
69,Dec 18 2015 01: +0,2.932,5
70,Dec 19 2015 01: +0,3.092,7
71,Dec 20 2015 01: +0,2.595,3
72,Dec 21 2015 01: +0,2.778,3
73,Dec 22 2015 01: +0,2.913,3
74,Dec 23 2015 01: +0,2.903,9
75,Dec 24 2015 01: +0,2.87,5
76,Dec 25 2015 01: +0,3.346,6
77,Dec 26 2015 01: +0,3.237,7
78,Dec 27 2015 01: +0,3.491,5
79,Dec 28 2015 01: +0,3.379,4
80,Dec 29 2015 01: +0,2.877,3
81,Dec 30 2015 01: +0,3.826,5
82,Dec 31 2015 01: +0,3.827,7
83,Jan 01 2016 01: +0,3.677,6
84,Jan 02 2016 01: +0,4.091,9
85,Jan 03 2016 01: +0,2.955,3
86,Jan 04 2016 01: +0,2.704,8
87,Jan 05 2016 01: +0,3.551,9
88,Jan 06 2016 01: +0,3.991,2
89,Jan 07 2016 01: +0,3.038,8
90,Jan 08 2016 01: +0,3.358,4
91,Jan 09 2016 01: +0,3.738,10
92,Jan 10 2016 01: +0,3.727,17
93,Jan 11 2016 01: +0,4.393,5
94,Jan 12 2016 01: +0,3.993,15
95,Jan 13 2016 01: +0,4.205,8
96,Jan 14 2016 01: +0,4.213,8
97,Jan 15 2016 01: +0,4.379,6
98,Jan 16 2016 01: +0,4.445,12
99,Jan 17 2016 01: +0,4.654,8
100,Jan 18 2016 01: +0,4.9,10
101,Jan 19 2016 01: +0,5.187,7
102,Jan 20 2016 01: +0,4.323,6
103,Jan 21 2016 01: +0,3.823,10
104,Jan 22 2016 01: +0,4.037,12
105,Jan 23 2016 01: +0,4.042,10
106,Jan 24 2016 01: +0,3.832,12
107,Jan 25 2016 01: +0,3.853,14
108,Jan 26 2016 01: +0,2.716,18
109,Jan 27 2016 01: +0,2.672,16
110,Jan 28 2016 01: +0,2.716,12
111,Jan 29 2016 01: +0,2.891,13
112,Jan 30 2016 01: +0,2.978,11
113,Jan 31 2016 01: +0,2.898,12
114,Feb 01 2016 01: +0,2.688,11
