,time,price,volume
0,Jul 20 2018 01: +0,1.404,1
1,Jul 21 2018 01: +0,1.282,2
2,Jul 22 2018 01: +0,1.428,1
3,Jul 23 2018 01: +0,0.909,2
4,Jul 24 2018 01: +0,1.039,5
5,Jul 26 2018 01: +0,0.906,2
6,Jul 27 2018 01: +0,1.054,2
7,Jul 28 2018 01: +0,1.0,1
8,Jul 30 2018 01: +0,0.911,1
9,Jul 31 2018 01: +0,0.931,1
10,Aug 01 2018 01: +0,0.91,5
11,Aug 02 2018 01: +0,0.974,3
12,Aug 03 2018 01: +0,1.018,2
13,Aug 04 2018 01: +0,0.933,4
14,Aug 05 2018 01: +0,1.038,4
15,Aug 06 2018 01: +0,0.944,4
16,Aug 07 2018 01: +0,1.035,5
17,Aug 08 2018 01: +0,1.273,3
18,Aug 09 2018 01: +0,0.947,2
19,Aug 10 2018 01: +0,0.837,3
20,Aug 11 2018 01: +0,0.947,2
21,Aug 12 2018 01: +0,0.953,4
22,Aug 13 2018 01: +0,0.932,2
23,Aug 15 2018 01: +0,0.933,2
24,Aug 16 2018 01: +0,0.607,1
25,Aug 17 2018 01: +0,1.114,4
26,Aug 18 2018 01: +0,0.94,2
27,Aug 19 2018 01: +0,0.904,1
28,Aug 20 2018 01: +0,1.174,1
29,Aug 21 2018 01: +0,1.154,1
30,Aug 22 2018 01: +0,1.024,1
31,Aug 23 2018 01: +0,0.99,3
32,Aug 25 2018 01: +0,1.112,1
33,Aug 26 2018 01: +0,0.996,1
34,Aug 27 2018 01: +0,0.746,3
35,Aug 28 2018 01: +0,0.987,3
36,Aug 29 2018 01: +0,1.087,2
37,Aug 30 2018 01: +0,1.091,2
38,Sep 01 2018 01: +0,1.034,1
39,Sep 02 2018 01: +0,0.709,1
40,Sep 03 2018 01: +0,0.976,3
41,Sep 04 2018 01: +0,1.123,2
42,Sep 05 2018 01: +0,0.881,2
43,Sep 06 2018 01: +0,1.11,1
44,Sep 08 2018 01: +0,1.101,1
45,Sep 10 2018 01: +0,1.1,2
46,Sep 12 2018 01: +0,1.043,2
47,Sep 14 2018 01: +0,0.931,2
48,Sep 15 2018 01: +0,1.108,2
49,Sep 17 2018 01: +0,0.924,2
50,Sep 18 2018 01: +0,0.736,1
51,Sep 19 2018 01: +0,1.1,1
52,Sep 20 2018 01: +0,1.124,1
53,Sep 21 2018 01: +0,1.135,2
54,Sep 22 2018 01: +0,1.183,1
55,Sep 23 2018 01: +0,0.867,4
56,Sep 24 2018 01: +0,1.144,2
57,Sep 27 2018 01: +0,1.172,1
58,Sep 28 2018 01: +0,1.132,1
59,Sep 29 2018 01: +0,0.752,1
60,Sep 30 2018 01: +0,1.192,1
61,Oct 02 2018 01: +0,1.12,1
62,Oct 03 2018 01: +0,0.9,2
63,Oct 04 2018 01: +0,1.141,7
64,Oct 05 2018 01: +0,1.202,3
65,Oct 06 2018 01: +0,1.983,6
66,Oct 08 2018 01: +0,1.402,2
67,Oct 10 2018 01: +0,2.209,1
68,Oct 13 2018 01: +0,1.871,1
69,Oct 15 2018 01: +0,1.092,2
70,Oct 16 2018 01: +0,1.311,3
71,Oct 17 2018 01: +0,1.015,2
72,Oct 18 2018 01: +0,1.008,2
73,Oct 19 2018 01: +0,1.041,3
74,Oct 20 2018 01: +0,1.158,6
75,Oct 21 2018 01: +0,1.3,3
76,Oct 22 2018 01: +0,1.709,1
77,Oct 23 2018 01: +0,1.705,2
78,Oct 25 2018 01: +0,1.558,2
79,Oct 27 2018 01: +0,1.488,2
