,time,price,volume
0,Dec 10 2020 01: +0,1.159,108
1,Dec 11 2020 01: +0,1.13,428
2,Dec 12 2020 01: +0,1.066,241
3,Dec 13 2020 01: +0,1.026,294
4,Dec 14 2020 01: +0,1.062,201
5,Dec 15 2020 01: +0,1.061,340
6,Dec 16 2020 01: +0,1.134,260
7,Dec 17 2020 01: +0,1.041,270
8,Dec 18 2020 01: +0,1.011,252
9,Dec 19 2020 01: +0,0.982,217
10,Dec 20 2020 01: +0,0.979,262
11,Dec 21 2020 01: +0,1.005,196
12,Dec 22 2020 01: +0,0.996,168
13,Dec 23 2020 01: +0,1.022,122
14,Dec 24 2020 01: +0,0.987,134
15,Dec 25 2020 01: +0,1.006,325
16,Dec 26 2020 01: +0,1.018,206
17,Dec 27 2020 01: +0,1.078,187
18,Dec 28 2020 01: +0,1.116,169
19,Dec 29 2020 01: +0,1.2,281
20,Dec 30 2020 01: +0,1.204,174
21,Dec 31 2020 01: +0,1.232,286
22,Jan 01 2021 01: +0,1.307,177
23,Jan 02 2021 01: +0,1.364,181
24,Jan 03 2021 01: +0,1.439,197
25,Jan 04 2021 01: +0,1.486,173
26,Jan 05 2021 01: +0,1.468,161
27,Jan 06 2021 01: +0,1.438,193
28,Jan 07 2021 01: +0,1.59,243
29,Jan 08 2021 01: +0,1.602,190
30,Jan 09 2021 01: +0,1.83,226
31,Jan 10 2021 01: +0,2.185,206
32,Jan 11 2021 01: +0,2.09,214
33,Jan 12 2021 01: +0,1.992,192
34,Jan 13 2021 01: +0,1.963,268
35,Jan 14 2021 01: +0,2.002,239
36,Jan 15 2021 01: +0,1.993,309
37,Jan 16 2021 01: +0,2.327,297
38,Jan 17 2021 01: +0,2.392,251
39,Jan 18 2021 01: +0,2.599,239
40,Jan 19 2021 01: +0,2.673,211
41,Jan 20 2021 01: +0,2.673,193
42,Jan 21 2021 01: +0,2.878,176
43,Jan 22 2021 01: +0,2.758,169
44,Jan 23 2021 01: +0,2.835,199
45,Jan 24 2021 01: +0,2.905,310
46,Jan 25 2021 01: +0,2.889,174
47,Jan 26 2021 01: +0,2.826,165
48,Jan 27 2021 01: +0,2.77,168
49,Jan 28 2021 01: +0,2.613,180
50,Jan 29 2021 01: +0,2.554,182
51,Jan 30 2021 01: +0,2.812,251
52,Jan 31 2021 01: +0,2.831,138
53,Feb 01 2021 01: +0,2.867,153
54,Feb 02 2021 01: +0,2.867,137
55,Feb 03 2021 01: +0,2.753,121
56,Feb 04 2021 01: +0,2.809,138
57,Feb 05 2021 01: +0,2.76,239
58,Feb 06 2021 01: +0,3.25,262
59,Feb 07 2021 01: +0,3.508,158
60,Feb 08 2021 01: +0,3.651,131
61,Feb 09 2021 01: +0,3.75,172
62,Feb 10 2021 01: +0,3.855,131
63,Feb 11 2021 01: +0,3.774,142
64,Feb 12 2021 01: +0,3.27,204
65,Feb 13 2021 01: +0,3.543,139
66,Feb 14 2021 01: +0,3.468,132
67,Feb 15 2021 01: +0,3.371,110
68,Feb 16 2021 01: +0,3.572,104
69,Feb 17 2021 01: +0,3.364,101
70,Feb 18 2021 01: +0,3.411,106
71,Feb 19 2021 01: +0,3.345,135
72,Feb 20 2021 01: +0,3.481,116
73,Feb 21 2021 01: +0,3.42,107
74,Feb 22 2021 01: +0,3.395,83
75,Feb 23 2021 01: +0,3.376,69
76,Feb 24 2021 01: +0,3.483,81
77,Feb 25 2021 01: +0,3.425,80
78,Feb 26 2021 01: +0,3.312,156
79,Feb 27 2021 01: +0,3.396,66
80,Feb 28 2021 01: +0,3.269,112
81,Mar 01 2021 01: +0,3.277,99
82,Mar 02 2021 01: +0,3.23,80
83,Mar 03 2021 01: +0,3.111,92
84,Mar 04 2021 01: +0,3.343,153
85,Mar 05 2021 01: +0,3.322,112
86,Mar 06 2021 01: +0,3.276,104
87,Mar 07 2021 01: +0,3.34,90
88,Mar 08 2021 01: +0,3.35,84
89,Mar 09 2021 01: +0,3.302,78
90,Mar 10 2021 01: +0,3.274,79
91,Mar 11 2021 01: +0,3.322,159
92,Mar 12 2021 01: +0,3.634,164
93,Mar 13 2021 01: +0,3.556,147
94,Mar 14 2021 01: +0,3.575,138
95,Mar 15 2021 01: +0,3.605,107
96,Mar 16 2021 01: +0,3.618,97
97,Mar 17 2021 01: +0,3.556,64
98,Mar 18 2021 01: +0,3.647,176
99,Mar 19 2021 01: +0,4.154,370
100,Mar 20 2021 01: +0,4.722,190
101,Mar 21 2021 01: +0,5.233,151
102,Mar 22 2021 01: +0,5.081,152
103,Mar 23 2021 01: +0,4.741,117
104,Mar 24 2021 01: +0,4.861,95
105,Mar 25 2021 01: +0,4.988,94
106,Mar 26 2021 01: +0,5.099,110
107,Mar 27 2021 01: +0,5.157,133
108,Mar 28 2021 01: +0,5.035,91
109,Mar 29 2021 01: +0,5.073,82
110,Mar 30 2021 01: +0,5.56,169
111,Mar 31 2021 01: +0,6.264,244
112,Apr 01 2021 01: +0,6.638,98
113,Apr 02 2021 01: +0,6.261,71
114,Apr 03 2021 01: +0,5.904,102
115,Apr 04 2021 01: +0,5.811,92
116,Apr 05 2021 01: +0,5.759,90
117,Apr 06 2021 01: +0,5.942,84
118,Apr 07 2021 01: +0,5.75,86
119,Apr 08 2021 01: +0,5.532,75
120,Apr 09 2021 01: +0,5.518,267
121,Apr 10 2021 01: +0,7.298,363
122,Apr 11 2021 01: +0,6.667,204
123,Apr 12 2021 01: +0,6.697,143
124,Apr 13 2021 01: +0,6.651,122
125,Apr 14 2021 01: +0,6.489,7
126,Apr 14 2021 02: +0,6.506,9
127,Apr 14 2021 03: +0,6.557,10
128,Apr 14 2021 04: +0,6.56,3
129,Apr 14 2021 05: +0,6.237,2
130,Apr 14 2021 06: +0,5.855,8
131,Apr 14 2021 07: +0,6.501,7
132,Apr 14 2021 08: +0,6.49,3
133,Apr 14 2021 09: +0,6.49,8
134,Apr 14 2021 10: +0,6.158,4
135,Apr 14 2021 11: +0,6.476,7
136,Apr 14 2021 12: +0,6.316,8
137,Apr 14 2021 13: +0,6.313,4
138,Apr 14 2021 14: +0,6.339,5
139,Apr 14 2021 15: +0,5.952,5
140,Apr 14 2021 16: +0,5.916,2
141,Apr 14 2021 17: +0,6.057,7
142,Apr 14 2021 18: +0,6.338,11
143,Apr 14 2021 19: +0,6.339,11
144,Apr 14 2021 20: +0,6.335,10
145,Apr 14 2021 21: +0,6.36,7
146,Apr 14 2021 22: +0,6.35,11
147,Apr 14 2021 23: +0,6.275,6
148,Apr 15 2021 00: +0,6.279,3
149,Apr 15 2021 01: +0,6.07,5
150,Apr 15 2021 02: +0,6.18,7
151,Apr 15 2021 03: +0,6.18,1
152,Apr 15 2021 04: +0,6.15,3
153,Apr 15 2021 05: +0,6.18,5
154,Apr 15 2021 06: +0,6.17,2
155,Apr 15 2021 07: +0,6.165,4
156,Apr 15 2021 08: +0,6.16,5
157,Apr 15 2021 09: +0,6.25,3
158,Apr 15 2021 10: +0,6.333,2
159,Apr 15 2021 11: +0,6.294,2
160,Apr 15 2021 12: +0,5.3,3
161,Apr 15 2021 13: +0,5.835,4
162,Apr 15 2021 14: +0,6.131,2
163,Apr 15 2021 15: +0,6.326,5
164,Apr 15 2021 16: +0,6.26,6
165,Apr 15 2021 17: +0,6.334,3
166,Apr 15 2021 18: +0,6.039,2
167,Apr 15 2021 19: +0,5.617,5
168,Apr 15 2021 20: +0,5.63,8
169,Apr 15 2021 21: +0,6.305,8
170,Apr 15 2021 22: +0,6.04,5
171,Apr 15 2021 23: +0,6.26,11
172,Apr 16 2021 00: +0,6.33,8
173,Apr 16 2021 01: +0,6.185,6
174,Apr 16 2021 02: +0,6.304,5
175,Apr 16 2021 03: +0,6.33,7
176,Apr 16 2021 04: +0,6.327,5
177,Apr 16 2021 05: +0,6.324,5
178,Apr 16 2021 06: +0,6.326,6
179,Apr 16 2021 07: +0,6.312,8
180,Apr 16 2021 08: +0,6.358,7
181,Apr 16 2021 09: +0,6.37,7
182,Apr 16 2021 10: +0,6.29,3
183,Apr 16 2021 11: +0,6.366,5
184,Apr 16 2021 12: +0,6.333,4
185,Apr 16 2021 13: +0,6.37,10
186,Apr 16 2021 14: +0,6.378,5
187,Apr 16 2021 15: +0,6.37,9
188,Apr 16 2021 16: +0,6.37,13
189,Apr 16 2021 17: +0,6.356,10
