,time,price,volume
0,Aug 20 2015 01: +0,5.165,14
1,Aug 21 2015 01: +0,3.508,66
2,Aug 22 2015 01: +0,3.181,41
3,Aug 23 2015 01: +0,3.01,41
4,Aug 24 2015 01: +0,3.091,38
5,Aug 25 2015 01: +0,3.005,34
6,Aug 26 2015 01: +0,3.294,31
7,Aug 27 2015 01: +0,3.324,25
8,Aug 28 2015 01: +0,3.578,17
9,Aug 29 2015 01: +0,3.046,10
10,Aug 30 2015 01: +0,3.102,6
11,Aug 31 2015 01: +0,3.069,11
12,Sep 01 2015 01: +0,2.978,12
13,Sep 02 2015 01: +0,2.921,12
14,Sep 03 2015 01: +0,3.369,9
15,Sep 04 2015 01: +0,2.846,14
16,Sep 05 2015 01: +0,3.184,9
17,Sep 06 2015 01: +0,3.5,4
18,Sep 07 2015 01: +0,4.009,9
19,Sep 08 2015 01: +0,6.542,6
20,Sep 09 2015 01: +0,5.227,2
21,Sep 10 2015 01: +0,5.052,4
22,Sep 11 2015 01: +0,5.542,10
23,Sep 12 2015 01: +0,6.54,4
24,Sep 13 2015 01: +0,6.049,9
25,Sep 14 2015 01: +0,5.445,6
26,Sep 15 2015 01: +0,7.097,7
27,Sep 16 2015 01: +0,9.134,2
28,Sep 17 2015 01: +0,8.555,4
29,Sep 18 2015 01: +0,5.547,3
30,Sep 19 2015 01: +0,6.389,5
31,Sep 20 2015 01: +0,6.119,8
32,Sep 21 2015 01: +0,7.226,3
33,Sep 22 2015 01: +0,8.31,6
34,Sep 23 2015 01: +0,6.93,3
35,Sep 24 2015 01: +0,6.185,4
36,Sep 25 2015 01: +0,6.839,4
37,Sep 26 2015 01: +0,7.365,7
38,Sep 27 2015 01: +0,5.26,1
39,Sep 28 2015 01: +0,7.43,6
40,Sep 29 2015 01: +0,6.117,4
41,Sep 30 2015 01: +0,8.012,4
42,Oct 01 2015 01: +0,11.44,2
43,Oct 02 2015 01: +0,8.99,1
44,Oct 03 2015 01: +0,8.837,2
45,Oct 04 2015 01: +0,8.662,4
46,Oct 05 2015 01: +0,9.309,5
47,Oct 06 2015 01: +0,10.0,1
48,Oct 07 2015 01: +0,9.385,7
49,Oct 08 2015 01: +0,4.199,28
50,Oct 09 2015 01: +0,3.064,10
51,Oct 10 2015 01: +0,3.076,14
52,Oct 11 2015 01: +0,2.855,10
53,Oct 12 2015 01: +0,2.821,15
54,Oct 13 2015 01: +0,3.046,12
55,Oct 14 2015 01: +0,3.019,9
56,Oct 15 2015 01: +0,2.732,10
57,Oct 16 2015 01: +0,2.974,10
58,Oct 17 2015 01: +0,3.108,11
59,Oct 18 2015 01: +0,2.797,9
60,Oct 19 2015 01: +0,2.8,10
61,Oct 20 2015 01: +0,2.808,6
62,Oct 21 2015 01: +0,2.858,4
63,Oct 22 2015 01: +0,3.226,7
64,Oct 23 2015 01: +0,2.734,12
65,Oct 24 2015 01: +0,3.0,14
66,Oct 25 2015 01: +0,2.848,11
67,Oct 26 2015 01: +0,2.899,7
68,Oct 27 2015 01: +0,2.746,5
69,Oct 28 2015 01: +0,2.918,7
70,Oct 29 2015 01: +0,2.58,8
71,Oct 30 2015 01: +0,2.856,12
72,Oct 31 2015 01: +0,2.788,12
73,Nov 01 2015 01: +0,2.821,8
74,Nov 02 2015 01: +0,2.101,2
75,Nov 03 2015 01: +0,2.654,9
76,Nov 04 2015 01: +0,2.749,5
77,Nov 05 2015 01: +0,4.298,7
78,Nov 06 2015 01: +0,4.377,3
79,Nov 07 2015 01: +0,4.06,8
80,Nov 08 2015 01: +0,4.026,5
81,Nov 09 2015 01: +0,3.94,10
82,Nov 11 2015 01: +0,4.126,3
83,Nov 12 2015 01: +0,2.761,1
84,Nov 13 2015 01: +0,3.188,5
85,Nov 14 2015 01: +0,3.616,5
86,Nov 15 2015 01: +0,2.686,4
87,Nov 16 2015 01: +0,3.103,9
88,Nov 17 2015 01: +0,2.825,6
89,Nov 18 2015 01: +0,2.384,3
90,Nov 19 2015 01: +0,2.664,4
91,Nov 20 2015 01: +0,2.668,6
92,Nov 21 2015 01: +0,2.897,3
93,Nov 22 2015 01: +0,2.678,5
94,Nov 23 2015 01: +0,2.681,5
95,Nov 24 2015 01: +0,2.924,6
96,Nov 25 2015 01: +0,2.837,5
97,Nov 26 2015 01: +0,2.711,12
98,Nov 27 2015 01: +0,2.322,4
99,Nov 28 2015 01: +0,2.317,14
100,Nov 29 2015 01: +0,2.694,7
101,Nov 30 2015 01: +0,2.341,8
102,Dec 01 2015 01: +0,3.535,4
103,Dec 02 2015 01: +0,3.855,4
104,Dec 03 2015 01: +0,3.428,4
105,Dec 04 2015 01: +0,3.406,8
106,Dec 05 2015 01: +0,3.443,11
107,Dec 06 2015 01: +0,3.334,3
108,Dec 07 2015 01: +0,3.149,7
109,Dec 08 2015 01: +0,2.663,4
110,Dec 09 2015 01: +0,2.352,11
111,Dec 10 2015 01: +0,2.969,15
112,Dec 11 2015 01: +0,3.293,8
113,Dec 12 2015 01: +0,3.169,11
114,Dec 13 2015 01: +0,3.474,6
115,Dec 14 2015 01: +0,3.325,6
116,Dec 15 2015 01: +0,3.219,4
117,Dec 16 2015 01: +0,2.461,6
118,Dec 17 2015 01: +0,2.602,11
