,time,price,volume
0,Aug 10 2017 01: +0,0.92,7
1,Aug 11 2017 01: +0,0.987,19
2,Aug 12 2017 01: +0,1.032,8
3,Aug 13 2017 01: +0,1.094,17
4,Aug 14 2017 01: +0,1.011,11
5,Aug 15 2017 01: +0,1.095,14
6,Aug 16 2017 01: +0,1.714,7
7,Aug 17 2017 01: +0,1.406,7
8,Aug 18 2017 01: +0,0.962,14
9,Aug 19 2017 01: +0,1.161,11
10,Aug 20 2017 01: +0,1.22,11
11,Aug 21 2017 01: +0,1.063,6
12,Aug 22 2017 01: +0,1.058,2
13,Aug 23 2017 01: +0,1.009,7
14,Aug 24 2017 01: +0,1.007,6
15,Aug 25 2017 01: +0,0.904,4
16,Aug 26 2017 01: +0,0.96,12
17,Aug 27 2017 01: +0,0.832,14
18,Aug 28 2017 01: +0,0.979,7
19,Aug 29 2017 01: +0,0.828,4
20,Aug 30 2017 01: +0,0.798,5
21,Aug 31 2017 01: +0,0.825,7
22,Sep 01 2017 01: +0,0.805,12
23,Sep 02 2017 01: +0,0.972,4
24,Sep 03 2017 01: +0,0.937,6
25,Sep 04 2017 01: +0,0.979,6
26,Sep 05 2017 01: +0,0.864,5
27,Sep 06 2017 01: +0,0.843,4
28,Sep 07 2017 01: +0,0.679,11
29,Sep 08 2017 01: +0,0.764,7
30,Sep 09 2017 01: +0,0.838,16
31,Sep 10 2017 01: +0,0.877,13
32,Sep 11 2017 01: +0,0.975,4
33,Sep 12 2017 01: +0,0.756,3
34,Sep 13 2017 01: +0,0.822,2
35,Sep 14 2017 01: +0,0.865,9
36,Sep 15 2017 01: +0,0.881,11
37,Sep 16 2017 01: +0,0.939,5
38,Sep 17 2017 01: +0,0.999,7
39,Sep 18 2017 01: +0,0.937,10
40,Sep 19 2017 01: +0,0.857,9
41,Sep 20 2017 01: +0,0.899,3
42,Sep 21 2017 01: +0,0.996,4
43,Sep 22 2017 01: +0,0.992,9
44,Sep 23 2017 01: +0,1.072,4
45,Sep 24 2017 01: +0,1.118,6
46,Sep 25 2017 01: +0,1.067,7
47,Sep 26 2017 01: +0,0.843,3
48,Sep 27 2017 01: +0,0.749,9
49,Sep 28 2017 01: +0,0.855,7
50,Sep 29 2017 01: +0,0.833,6
51,Sep 30 2017 01: +0,0.822,4
52,Oct 01 2017 01: +0,0.976,3
53,Oct 02 2017 01: +0,0.797,8
54,Oct 03 2017 01: +0,0.997,7
55,Oct 04 2017 01: +0,0.99,4
56,Oct 05 2017 01: +0,1.052,5
57,Oct 06 2017 01: +0,0.925,3
58,Oct 07 2017 01: +0,0.897,3
59,Oct 08 2017 01: +0,1.04,9
60,Oct 09 2017 01: +0,0.785,4
61,Oct 10 2017 01: +0,0.891,6
62,Oct 11 2017 01: +0,0.93,11
63,Oct 12 2017 01: +0,0.869,6
64,Oct 13 2017 01: +0,0.784,7
65,Oct 14 2017 01: +0,0.863,9
66,Oct 15 2017 01: +0,0.901,4
67,Oct 16 2017 01: +0,0.69,7
68,Oct 17 2017 01: +0,0.956,4
69,Oct 18 2017 01: +0,1.066,5
70,Oct 19 2017 01: +0,0.96,4
71,Oct 20 2017 01: +0,1.002,11
72,Oct 21 2017 01: +0,0.995,5
73,Oct 22 2017 01: +0,0.964,4
74,Oct 23 2017 01: +0,0.839,6
75,Oct 24 2017 01: +0,0.696,6
76,Oct 25 2017 01: +0,0.928,4
77,Oct 27 2017 01: +0,0.825,5
78,Oct 28 2017 01: +0,0.977,3
79,Oct 29 2017 01: +0,0.804,3
80,Oct 30 2017 01: +0,0.909,5
81,Oct 31 2017 01: +0,0.731,8
82,Nov 01 2017 01: +0,0.822,3
83,Nov 02 2017 01: +0,0.926,7
84,Nov 04 2017 01: +0,0.945,9
85,Nov 05 2017 01: +0,0.95,7
86,Nov 06 2017 01: +0,0.978,7
87,Nov 07 2017 01: +0,1.005,4
88,Nov 08 2017 01: +0,0.954,6
89,Nov 09 2017 01: +0,1.041,8
90,Nov 10 2017 01: +0,1.068,8
91,Nov 11 2017 01: +0,0.976,4
92,Nov 12 2017 01: +0,1.035,6
93,Nov 13 2017 01: +0,1.101,3
94,Nov 14 2017 01: +0,1.016,7
95,Nov 15 2017 01: +0,1.112,8
96,Nov 16 2017 01: +0,1.037,5
97,Nov 17 2017 01: +0,1.066,10
98,Nov 18 2017 01: +0,1.122,6
99,Nov 19 2017 01: +0,1.006,6
100,Nov 20 2017 01: +0,0.931,4
101,Nov 21 2017 01: +0,1.139,7
102,Nov 22 2017 01: +0,1.025,4
103,Nov 23 2017 01: +0,1.15,7
104,Nov 24 2017 01: +0,1.176,4
105,Nov 25 2017 01: +0,1.275,7
106,Nov 26 2017 01: +0,1.112,4
107,Nov 27 2017 01: +0,1.084,2
108,Nov 28 2017 01: +0,1.014,7
109,Nov 29 2017 01: +0,1.258,5
110,Nov 30 2017 01: +0,1.009,1
111,Dec 01 2017 01: +0,1.253,6
112,Dec 02 2017 01: +0,1.195,5
113,Dec 03 2017 01: +0,1.086,7
114,Dec 04 2017 01: +0,1.066,4
115,Dec 05 2017 01: +0,1.184,3
116,Dec 06 2017 01: +0,1.21,3
117,Dec 07 2017 01: +0,1.152,7
118,Dec 08 2017 01: +0,1.22,7
119,Dec 09 2017 01: +0,1.32,4
120,Dec 10 2017 01: +0,1.099,3
121,Dec 11 2017 01: +0,1.364,5
122,Dec 12 2017 01: +0,1.327,8
123,Dec 13 2017 01: +0,1.396,2
124,Dec 14 2017 01: +0,1.374,4
125,Dec 15 2017 01: +0,1.278,7
126,Dec 16 2017 01: +0,1.214,6
127,Dec 17 2017 01: +0,1.059,5
128,Dec 18 2017 01: +0,1.264,7
129,Dec 19 2017 01: +0,1.389,3
130,Dec 20 2017 01: +0,1.169,1
131,Dec 21 2017 01: +0,1.166,7
132,Dec 22 2017 01: +0,1.085,7
133,Dec 23 2017 01: +0,1.179,5
134,Dec 24 2017 01: +0,0.892,7
135,Dec 25 2017 01: +0,1.128,6
136,Dec 26 2017 01: +0,0.974,8
137,Dec 27 2017 01: +0,1.383,3
138,Dec 28 2017 01: +0,1.323,10
139,Dec 29 2017 01: +0,1.242,5
140,Dec 30 2017 01: +0,1.134,5
141,Dec 31 2017 01: +0,1.339,6
142,Jan 01 2018 01: +0,1.335,4
143,Jan 02 2018 01: +0,1.307,9
144,Jan 03 2018 01: +0,1.308,3
145,Jan 04 2018 01: +0,1.135,5
146,Jan 05 2018 01: +0,1.374,5
147,Jan 06 2018 01: +0,1.39,3
148,Jan 07 2018 01: +0,1.341,7
149,Jan 08 2018 01: +0,1.301,6
150,Jan 09 2018 01: +0,1.39,2
151,Jan 10 2018 01: +0,1.212,3
152,Jan 11 2018 01: +0,1.39,7
153,Jan 12 2018 01: +0,1.304,7
154,Jan 13 2018 01: +0,1.47,9
155,Jan 14 2018 01: +0,1.481,6
156,Jan 15 2018 01: +0,1.687,6
157,Jan 16 2018 01: +0,1.54,2
158,Jan 17 2018 01: +0,1.403,3
159,Jan 18 2018 01: +0,1.469,7
160,Jan 19 2018 01: +0,1.687,3
161,Jan 20 2018 01: +0,1.489,8
162,Jan 21 2018 01: +0,1.739,6
163,Jan 22 2018 01: +0,1.916,5
164,Jan 23 2018 01: +0,1.916,7
165,Jan 24 2018 01: +0,2.088,3
166,Jan 25 2018 01: +0,2.165,1
167,Jan 26 2018 01: +0,2.035,3
168,Jan 27 2018 01: +0,1.753,5
169,Jan 28 2018 01: +0,1.887,6
170,Jan 29 2018 01: +0,1.906,2
171,Jan 30 2018 01: +0,1.726,5
172,Jan 31 2018 01: +0,1.639,3
173,Feb 01 2018 01: +0,1.565,7
