,time,price,volume
0,Nov 29 2019 01: +0,1.141,92
1,Nov 30 2019 01: +0,1.135,69
2,Dec 01 2019 01: +0,1.14,90
3,Dec 02 2019 01: +0,1.124,60
4,Dec 03 2019 01: +0,1.121,60
5,Dec 04 2019 01: +0,1.082,49
6,Dec 05 2019 01: +0,1.097,71
7,Dec 06 2019 01: +0,1.084,69
8,Dec 07 2019 01: +0,1.122,87
9,Dec 08 2019 01: +0,1.204,83
10,Dec 09 2019 01: +0,1.184,58
11,Dec 10 2019 01: +0,1.261,68
12,Dec 11 2019 01: +0,1.512,43
13,Dec 12 2019 01: +0,1.353,60
14,Dec 13 2019 01: +0,1.632,294
15,Dec 14 2019 01: +0,1.904,178
16,Dec 15 2019 01: +0,2.063,107
17,Dec 16 2019 01: +0,2.096,76
18,Dec 17 2019 01: +0,2.049,72
19,Dec 18 2019 01: +0,2.213,74
20,Dec 19 2019 01: +0,2.17,63
21,Dec 20 2019 01: +0,2.042,104
22,Dec 21 2019 01: +0,2.08,77
23,Dec 22 2019 01: +0,2.052,83
24,Dec 23 2019 01: +0,2.06,88
25,Dec 24 2019 01: +0,2.183,66
26,Dec 25 2019 01: +0,2.636,122
27,Dec 26 2019 01: +0,3.047,77
28,Dec 27 2019 01: +0,2.738,66
29,Dec 28 2019 01: +0,3.08,62
30,Dec 29 2019 01: +0,2.995,65
31,Dec 30 2019 01: +0,3.091,70
32,Dec 31 2019 01: +0,3.22,53
33,Jan 01 2020 01: +0,3.395,53
34,Jan 02 2020 01: +0,3.393,74
35,Jan 03 2020 01: +0,3.284,54
36,Jan 04 2020 01: +0,3.379,53
37,Jan 05 2020 01: +0,3.504,55
38,Jan 06 2020 01: +0,3.436,44
39,Jan 07 2020 01: +0,3.602,46
40,Jan 08 2020 01: +0,3.882,35
41,Jan 09 2020 01: +0,3.816,37
42,Jan 10 2020 01: +0,3.749,47
43,Jan 11 2020 01: +0,3.756,47
44,Jan 12 2020 01: +0,3.293,43
45,Jan 13 2020 01: +0,3.251,33
46,Jan 14 2020 01: +0,3.604,31
47,Jan 15 2020 01: +0,3.417,31
48,Jan 16 2020 01: +0,3.3,27
49,Jan 17 2020 01: +0,3.416,41
50,Jan 18 2020 01: +0,3.372,43
51,Jan 19 2020 01: +0,3.341,28
52,Jan 20 2020 01: +0,3.332,35
53,Jan 21 2020 01: +0,3.197,31
54,Jan 22 2020 01: +0,3.215,34
55,Jan 23 2020 01: +0,3.254,45
56,Jan 24 2020 01: +0,3.086,36
57,Jan 25 2020 01: +0,3.016,40
58,Jan 26 2020 01: +0,3.119,54
59,Jan 27 2020 01: +0,3.069,26
60,Jan 28 2020 01: +0,3.045,25
61,Jan 29 2020 01: +0,3.091,26
62,Jan 30 2020 01: +0,2.95,29
63,Jan 31 2020 01: +0,3.206,42
64,Feb 01 2020 01: +0,3.448,37
65,Feb 02 2020 01: +0,3.624,41
66,Feb 03 2020 01: +0,3.581,26
67,Feb 04 2020 01: +0,3.011,25
68,Feb 05 2020 01: +0,3.27,39
69,Feb 06 2020 01: +0,3.451,31
70,Feb 07 2020 01: +0,3.274,28
71,Feb 08 2020 01: +0,3.384,37
72,Feb 09 2020 01: +0,3.608,33
73,Feb 10 2020 01: +0,3.352,18
74,Feb 11 2020 01: +0,3.632,21
75,Feb 12 2020 01: +0,3.563,21
76,Feb 13 2020 01: +0,3.208,33
77,Feb 14 2020 01: +0,3.509,36
78,Feb 15 2020 01: +0,3.258,23
79,Feb 16 2020 01: +0,3.303,34
80,Feb 17 2020 01: +0,3.239,28
81,Feb 18 2020 01: +0,3.165,25
82,Feb 19 2020 01: +0,3.318,27
83,Feb 20 2020 01: +0,3.189,28
84,Feb 21 2020 01: +0,3.277,27
85,Feb 22 2020 01: +0,3.262,42
86,Feb 23 2020 01: +0,3.259,35
87,Feb 24 2020 01: +0,3.227,20
88,Feb 25 2020 01: +0,2.941,23
89,Feb 26 2020 01: +0,3.199,31
90,Feb 27 2020 01: +0,3.152,32
91,Feb 28 2020 01: +0,3.516,53
92,Feb 29 2020 01: +0,3.444,44
93,Mar 01 2020 01: +0,3.46,43
94,Mar 02 2020 01: +0,3.246,34
95,Mar 03 2020 01: +0,3.162,22
96,Mar 04 2020 01: +0,3.226,26
97,Mar 05 2020 01: +0,3.39,26
98,Mar 06 2020 01: +0,3.152,31
99,Mar 07 2020 01: +0,3.21,28
100,Mar 08 2020 01: +0,3.184,26
101,Mar 09 2020 01: +0,3.189,13
102,Mar 10 2020 01: +0,2.917,19
103,Mar 11 2020 01: +0,2.782,17
104,Mar 12 2020 01: +0,2.644,23
105,Mar 13 2020 01: +0,2.717,27
106,Mar 14 2020 01: +0,2.501,45
107,Mar 15 2020 01: +0,2.369,37
108,Mar 16 2020 01: +0,2.275,27
109,Mar 17 2020 01: +0,2.235,29
110,Mar 18 2020 01: +0,2.301,35
111,Mar 19 2020 01: +0,2.311,30
112,Mar 20 2020 01: +0,2.35,44
113,Mar 21 2020 01: +0,2.302,36
114,Mar 22 2020 01: +0,2.38,28
115,Mar 23 2020 01: +0,2.307,32
