,time,price,volume
0,Apr 06 2017 01: +0,2.893,3
1,Apr 07 2017 01: +0,2.571,5
2,Apr 08 2017 01: +0,2.275,9
3,Apr 09 2017 01: +0,2.29,8
4,Apr 10 2017 01: +0,2.361,4
5,Apr 11 2017 01: +0,2.266,9
6,Apr 12 2017 01: +0,2.62,9
7,Apr 13 2017 01: +0,2.923,5
8,Apr 14 2017 01: +0,2.443,11
9,Apr 15 2017 01: +0,2.867,8
10,Apr 16 2017 01: +0,3.115,8
11,Apr 17 2017 01: +0,3.087,5
12,Apr 18 2017 01: +0,3.023,4
13,Apr 19 2017 01: +0,2.742,3
14,Apr 20 2017 01: +0,2.901,8
15,Apr 21 2017 01: +0,2.885,4
16,Apr 22 2017 01: +0,2.832,5
17,Apr 23 2017 01: +0,2.754,6
18,Apr 24 2017 01: +0,3.033,7
19,Apr 25 2017 01: +0,3.087,3
20,Apr 26 2017 01: +0,2.856,5
21,Apr 27 2017 01: +0,2.789,7
22,Apr 28 2017 01: +0,2.975,5
23,Apr 29 2017 01: +0,2.704,3
24,Apr 30 2017 01: +0,2.483,2
25,May 01 2017 01: +0,2.64,9
26,May 02 2017 01: +0,3.064,3
27,May 03 2017 01: +0,2.99,1
28,May 04 2017 01: +0,3.007,5
29,May 05 2017 01: +0,3.074,3
30,May 06 2017 01: +0,3.084,7
31,May 07 2017 01: +0,2.958,3
32,May 08 2017 01: +0,2.719,7
33,May 09 2017 01: +0,2.914,7
34,May 10 2017 01: +0,2.76,3
35,May 11 2017 01: +0,3.063,4
36,May 12 2017 01: +0,3.111,3
37,May 13 2017 01: +0,3.235,3
38,May 14 2017 01: +0,3.253,5
39,May 15 2017 01: +0,3.142,4
40,May 16 2017 01: +0,3.048,3
41,May 17 2017 01: +0,2.735,2
42,May 18 2017 01: +0,2.733,6
43,May 20 2017 01: +0,3.024,5
44,May 21 2017 01: +0,2.692,5
45,May 22 2017 01: +0,2.84,5
46,May 23 2017 01: +0,2.649,4
47,May 24 2017 01: +0,3.05,5
48,May 25 2017 01: +0,3.209,4
49,May 26 2017 01: +0,2.801,4
50,May 27 2017 01: +0,2.776,3
51,May 28 2017 01: +0,3.1,1
52,May 29 2017 01: +0,2.797,2
53,May 31 2017 01: +0,2.427,4
54,Jun 01 2017 01: +0,2.603,5
55,Jun 02 2017 01: +0,2.781,9
56,Jun 03 2017 01: +0,3.263,3
57,Jun 04 2017 01: +0,3.563,5
58,Jun 05 2017 01: +0,3.8,1
59,Jun 06 2017 01: +0,3.265,6
60,Jun 07 2017 01: +0,3.378,4
61,Jun 08 2017 01: +0,3.286,4
62,Jun 09 2017 01: +0,3.093,4
63,Jun 10 2017 01: +0,3.54,7
64,Jun 11 2017 01: +0,4.875,2
65,Jun 12 2017 01: +0,4.148,5
66,Jun 13 2017 01: +0,3.756,3
67,Jun 14 2017 01: +0,4.15,2
68,Jun 15 2017 01: +0,4.0,2
69,Jun 16 2017 01: +0,3.956,6
70,Jun 17 2017 01: +0,4.187,2
71,Jun 18 2017 01: +0,3.933,6
72,Jun 19 2017 01: +0,4.171,10
73,Jun 20 2017 01: +0,5.398,4
74,Jun 21 2017 01: +0,4.777,4
75,Jun 22 2017 01: +0,4.612,3
76,Jun 23 2017 01: +0,4.531,2
77,Jun 24 2017 01: +0,4.372,5
78,Jun 25 2017 01: +0,4.434,2
79,Jun 26 2017 01: +0,3.818,2
80,Jun 27 2017 01: +0,3.8,1
81,Jun 28 2017 01: +0,3.845,4
82,Jun 29 2017 01: +0,3.764,4
83,Jun 30 2017 01: +0,3.363,3
84,Jul 01 2017 01: +0,3.857,4
85,Jul 02 2017 01: +0,3.632,4
86,Jul 03 2017 01: +0,4.056,5
87,Jul 04 2017 01: +0,4.538,3
88,Jul 05 2017 01: +0,4.595,2
89,Jul 06 2017 01: +0,4.913,3
90,Jul 07 2017 01: +0,4.563,1
91,Jul 08 2017 01: +0,4.796,2
92,Jul 09 2017 01: +0,4.518,3
93,Jul 10 2017 01: +0,3.646,4
94,Jul 11 2017 01: +0,4.036,3
95,Jul 12 2017 01: +0,4.784,4
96,Jul 13 2017 01: +0,4.712,2
97,Jul 14 2017 01: +0,4.65,4
98,Jul 15 2017 01: +0,3.977,5
99,Jul 16 2017 01: +0,4.274,2
100,Jul 17 2017 01: +0,4.346,5
101,Jul 18 2017 01: +0,4.42,1
102,Jul 20 2017 01: +0,4.338,2
103,Jul 21 2017 01: +0,4.48,4
104,Jul 22 2017 01: +0,4.494,1
105,Jul 23 2017 01: +0,3.633,3
106,Jul 24 2017 01: +0,4.397,2
107,Jul 25 2017 01: +0,4.456,4
108,Jul 26 2017 01: +0,4.472,2
109,Jul 27 2017 01: +0,4.062,4
110,Jul 28 2017 01: +0,4.244,4
111,Jul 29 2017 01: +0,4.58,1
112,Jul 30 2017 01: +0,3.572,1
113,Jul 31 2017 01: +0,4.462,2
114,Aug 01 2017 01: +0,4.589,3
115,Aug 02 2017 01: +0,4.034,2
116,Aug 03 2017 01: +0,3.72,4
117,Aug 04 2017 01: +0,3.522,2
118,Aug 05 2017 01: +0,4.148,3
119,Aug 06 2017 01: +0,4.453,3
120,Aug 07 2017 01: +0,4.071,5
121,Aug 08 2017 01: +0,4.947,1
122,Aug 09 2017 01: +0,3.677,3
123,Aug 10 2017 01: +0,3.182,7
124,Aug 11 2017 01: +0,2.21,8
125,Aug 12 2017 01: +0,3.048,3
126,Aug 13 2017 01: +0,3.282,4
127,Aug 14 2017 01: +0,2.674,4
128,Aug 15 2017 01: +0,3.007,4
129,Aug 16 2017 01: +0,3.139,3
130,Aug 17 2017 01: +0,3.245,2
131,Aug 18 2017 01: +0,3.163,3
132,Aug 19 2017 01: +0,2.23,3
133,Aug 20 2017 01: +0,2.758,4
134,Aug 21 2017 01: +0,2.875,6
135,Aug 22 2017 01: +0,3.075,3
136,Aug 23 2017 01: +0,3.379,4
137,Aug 24 2017 01: +0,2.935,1
138,Aug 26 2017 01: +0,2.934,4
139,Aug 27 2017 01: +0,1.95,1
140,Aug 28 2017 01: +0,2.59,1
141,Aug 29 2017 01: +0,2.676,4
142,Aug 31 2017 01: +0,2.28,2
143,Sep 01 2017 01: +0,2.611,4
