,time,price,volume
0,Nov 10 2016 01: +0,9.845,4
1,Nov 11 2016 01: +0,6.538,8
2,Nov 12 2016 01: +0,6.013,4
3,Nov 13 2016 01: +0,5.986,6
4,Nov 14 2016 01: +0,6.332,4
5,Nov 15 2016 01: +0,6.069,7
6,Nov 17 2016 01: +0,5.581,8
7,Nov 18 2016 01: +0,6.202,7
8,Nov 19 2016 01: +0,12.453,4
9,Nov 20 2016 01: +0,10.154,5
10,Nov 21 2016 01: +0,3.99,1
11,Nov 22 2016 01: +0,4.657,5
12,Nov 23 2016 01: +0,5.195,4
13,Nov 24 2016 01: +0,4.936,5
14,Nov 25 2016 01: +0,4.002,16
15,Nov 26 2016 01: +0,2.953,11
16,Nov 27 2016 01: +0,2.146,15
17,Nov 28 2016 01: +0,1.962,11
18,Nov 29 2016 01: +0,2.239,6
19,Nov 30 2016 01: +0,2.165,12
20,Dec 01 2016 01: +0,2.904,12
21,Dec 02 2016 01: +0,3.981,9
22,Dec 03 2016 01: +0,3.151,18
23,Dec 04 2016 01: +0,2.232,28
24,Dec 05 2016 01: +0,2.695,21
25,Dec 06 2016 01: +0,2.454,13
26,Dec 07 2016 01: +0,2.083,20
27,Dec 08 2016 01: +0,2.394,14
28,Dec 09 2016 01: +0,2.458,16
29,Dec 10 2016 01: +0,2.456,20
30,Dec 11 2016 01: +0,2.204,17
31,Dec 12 2016 01: +0,2.725,14
32,Dec 13 2016 01: +0,2.678,7
33,Dec 14 2016 01: +0,2.901,10
34,Dec 15 2016 01: +0,4.057,7
35,Dec 16 2016 01: +0,3.185,7
36,Dec 17 2016 01: +0,3.918,6
37,Dec 18 2016 01: +0,3.485,7
38,Dec 19 2016 01: +0,2.909,5
39,Dec 20 2016 01: +0,3.134,6
40,Dec 21 2016 01: +0,3.097,5
41,Dec 22 2016 01: +0,3.548,10
42,Dec 23 2016 01: +0,3.048,3
43,Dec 24 2016 01: +0,3.157,3
44,Dec 25 2016 01: +0,3.528,7
45,Dec 26 2016 01: +0,2.881,10
46,Dec 27 2016 01: +0,3.868,10
47,Dec 28 2016 01: +0,3.459,4
48,Dec 29 2016 01: +0,4.24,12
49,Dec 30 2016 01: +0,4.181,8
50,Dec 31 2016 01: +0,4.735,4
51,Jan 01 2017 01: +0,4.909,5
52,Jan 02 2017 01: +0,4.938,7
53,Jan 03 2017 01: +0,4.486,6
54,Jan 04 2017 01: +0,2.612,2
55,Jan 05 2017 01: +0,3.081,7
56,Jan 06 2017 01: +0,3.981,5
57,Jan 07 2017 01: +0,4.04,6
58,Jan 08 2017 01: +0,3.685,6
59,Jan 09 2017 01: +0,3.362,9
60,Jan 10 2017 01: +0,3.556,9
61,Jan 11 2017 01: +0,4.542,3
62,Jan 12 2017 01: +0,4.644,7
63,Jan 13 2017 01: +0,4.074,5
64,Jan 14 2017 01: +0,4.195,8
65,Jan 15 2017 01: +0,3.522,10
66,Jan 16 2017 01: +0,4.476,6
67,Jan 17 2017 01: +0,4.529,5
68,Jan 18 2017 01: +0,4.316,5
69,Jan 19 2017 01: +0,4.425,5
70,Jan 20 2017 01: +0,4.069,5
71,Jan 21 2017 01: +0,4.129,3
72,Jan 22 2017 01: +0,3.759,7
73,Jan 23 2017 01: +0,3.377,5
74,Jan 24 2017 01: +0,3.64,2
75,Jan 25 2017 01: +0,3.127,4
76,Jan 26 2017 01: +0,2.787,6
77,Jan 27 2017 01: +0,3.362,7
78,Jan 28 2017 01: +0,4.033,10
79,Jan 29 2017 01: +0,3.791,4
80,Jan 30 2017 01: +0,3.905,8
81,Jan 31 2017 01: +0,3.422,6
82,Feb 01 2017 01: +0,3.365,7
83,Feb 02 2017 01: +0,4.126,4
84,Feb 03 2017 01: +0,3.723,9
85,Feb 04 2017 01: +0,3.872,10
86,Feb 05 2017 01: +0,3.861,9
87,Feb 06 2017 01: +0,4.18,5
88,Feb 07 2017 01: +0,4.144,5
89,Feb 08 2017 01: +0,4.286,4
90,Feb 09 2017 01: +0,3.829,6
91,Feb 10 2017 01: +0,4.017,4
92,Feb 11 2017 01: +0,3.814,8
93,Feb 12 2017 01: +0,3.587,8
94,Feb 13 2017 01: +0,4.144,9
95,Feb 14 2017 01: +0,4.427,7
96,Feb 15 2017 01: +0,4.015,3
97,Feb 16 2017 01: +0,3.594,6
98,Feb 17 2017 01: +0,3.527,6
99,Feb 18 2017 01: +0,4.174,7
100,Feb 19 2017 01: +0,4.363,9
101,Feb 20 2017 01: +0,4.451,6
102,Feb 21 2017 01: +0,4.017,6
103,Feb 22 2017 01: +0,4.479,7
104,Feb 23 2017 01: +0,4.317,3
105,Feb 24 2017 01: +0,4.216,6
106,Feb 25 2017 01: +0,4.742,8
107,Feb 26 2017 01: +0,4.219,4
108,Feb 27 2017 01: +0,5.305,4
109,Feb 28 2017 01: +0,5.643,9
110,Mar 01 2017 01: +0,5.026,6
111,Mar 02 2017 01: +0,8.052,2
112,Mar 03 2017 01: +0,6.215,2
113,Mar 04 2017 01: +0,5.081,5
114,Mar 05 2017 01: +0,4.767,3
115,Mar 06 2017 01: +0,4.791,3
116,Mar 07 2017 01: +0,5.289,7
117,Mar 08 2017 01: +0,4.983,6
118,Mar 09 2017 01: +0,5.427,4
119,Mar 10 2017 01: +0,4.857,7
120,Mar 11 2017 01: +0,4.675,4
121,Mar 12 2017 01: +0,4.396,8
122,Mar 13 2017 01: +0,4.154,7
123,Mar 14 2017 01: +0,4.489,3
124,Mar 15 2017 01: +0,3.113,3
125,Mar 16 2017 01: +0,4.001,7
126,Mar 17 2017 01: +0,4.158,5
127,Mar 18 2017 01: +0,5.21,2
128,Mar 19 2017 01: +0,3.897,6
129,Mar 20 2017 01: +0,5.035,2
130,Mar 21 2017 01: +0,5.065,2
131,Mar 22 2017 01: +0,3.915,2
132,Mar 23 2017 01: +0,4.068,7
133,Mar 24 2017 01: +0,4.008,4
134,Mar 25 2017 01: +0,4.363,10
135,Mar 26 2017 01: +0,4.116,4
136,Mar 27 2017 01: +0,3.096,3
137,Mar 28 2017 01: +0,4.104,5
138,Mar 29 2017 01: +0,4.885,1
139,Mar 30 2017 01: +0,4.734,5
140,Mar 31 2017 01: +0,3.912,4
141,Apr 01 2017 01: +0,3.754,7
142,Apr 02 2017 01: +0,3.724,5
143,Apr 03 2017 01: +0,3.56,4
144,Apr 04 2017 01: +0,3.539,4
145,Apr 05 2017 01: +0,3.597,4
146,Apr 06 2017 01: +0,4.38,1
147,Apr 07 2017 01: +0,4.2,5
148,Apr 08 2017 01: +0,3.772,4
149,Apr 09 2017 01: +0,4.684,5
150,Apr 10 2017 01: +0,4.965,5
151,Apr 11 2017 01: +0,4.21,2
152,Apr 12 2017 01: +0,4.462,2
153,Apr 13 2017 01: +0,3.979,6
154,Apr 14 2017 01: +0,5.031,3
155,Apr 15 2017 01: +0,4.878,3
156,Apr 16 2017 01: +0,5.038,6
157,Apr 17 2017 01: +0,5.215,11
158,Apr 18 2017 01: +0,6.075,2
159,Apr 19 2017 01: +0,5.074,5
160,Apr 20 2017 01: +0,5.923,3
161,Apr 21 2017 01: +0,5.361,2
162,Apr 22 2017 01: +0,5.997,11
163,Apr 23 2017 01: +0,9.07,3
164,Apr 24 2017 01: +0,6.435,4
165,Apr 25 2017 01: +0,6.861,5
166,Apr 26 2017 01: +0,6.75,6
167,Apr 27 2017 01: +0,6.87,1
168,Apr 28 2017 01: +0,6.339,3
169,Apr 29 2017 01: +0,5.821,5
170,Apr 30 2017 01: +0,5.385,5
171,May 01 2017 01: +0,5.939,4
172,May 02 2017 01: +0,6.024,3
173,May 03 2017 01: +0,6.471,2
174,May 04 2017 01: +0,5.875,2
175,May 05 2017 01: +0,6.208,2
176,May 06 2017 01: +0,5.907,3
177,May 07 2017 01: +0,4.747,4
178,May 08 2017 01: +0,4.266,4
179,May 09 2017 01: +0,5.1,2
180,May 10 2017 01: +0,4.794,2
181,May 11 2017 01: +0,5.031,5
182,May 12 2017 01: +0,5.021,4
183,May 13 2017 01: +0,4.984,2
184,May 14 2017 01: +0,3.857,6
185,May 16 2017 01: +0,4.762,5
186,May 17 2017 01: +0,4.925,3
187,May 18 2017 01: +0,4.964,3
188,May 19 2017 01: +0,4.176,3
189,May 20 2017 01: +0,5.38,4
190,May 21 2017 01: +0,5.69,1
191,May 22 2017 01: +0,4.023,1
192,May 23 2017 01: +0,4.872,7
193,May 24 2017 01: +0,4.951,6
194,May 25 2017 01: +0,4.842,2
195,May 26 2017 01: +0,4.565,2
196,May 27 2017 01: +0,4.595,6
197,May 28 2017 01: +0,4.735,4
198,May 29 2017 01: +0,4.541,7
199,May 30 2017 01: +0,4.962,5
200,May 31 2017 01: +0,5.117,4
201,Jun 01 2017 01: +0,5.154,6
202,Jun 02 2017 01: +0,6.328,6
203,Jun 03 2017 01: +0,6.779,5
204,Jun 04 2017 01: +0,6.53,2
205,Jun 05 2017 01: +0,4.578,4
206,Jun 06 2017 01: +0,5.575,2
207,Jun 07 2017 01: +0,6.086,4
208,Jun 08 2017 01: +0,6.423,4
209,Jun 09 2017 01: +0,4.343,5
210,Jun 10 2017 01: +0,4.702,8
211,Jun 11 2017 01: +0,5.95,3
212,Jun 12 2017 01: +0,4.981,3
213,Jun 13 2017 01: +0,5.635,2
214,Jun 14 2017 01: +0,4.749,2
215,Jun 15 2017 01: +0,5.409,4
216,Jun 16 2017 01: +0,6.78,5
217,Jun 17 2017 01: +0,6.05,5
218,Jun 18 2017 01: +0,4.8,2
219,Jun 19 2017 01: +0,6.829,7
220,Jun 20 2017 01: +0,5.324,3
221,Jun 21 2017 01: +0,5.107,5
222,Jun 22 2017 01: +0,5.834,3
223,Jun 23 2017 01: +0,5.522,6
224,Jun 24 2017 01: +0,6.346,2
225,Jun 25 2017 01: +0,5.998,9
226,Jun 26 2017 01: +0,6.169,3
227,Jun 27 2017 01: +0,5.421,3
228,Jun 28 2017 01: +0,5.164,5
229,Jun 29 2017 01: +0,4.399,5
230,Jun 30 2017 01: +0,5.308,7
231,Jul 01 2017 01: +0,4.705,3
232,Jul 02 2017 01: +0,4.522,8
233,Jul 03 2017 01: +0,5.722,5
234,Jul 04 2017 01: +0,5.645,1
235,Jul 05 2017 01: +0,4.795,2
236,Jul 06 2017 01: +0,5.343,4
237,Jul 07 2017 01: +0,5.618,4
238,Jul 08 2017 01: +0,5.231,3
239,Jul 10 2017 01: +0,5.386,6
240,Jul 11 2017 01: +0,4.977,2
241,Jul 12 2017 01: +0,5.534,8
242,Jul 13 2017 01: +0,6.075,4
243,Jul 14 2017 01: +0,5.665,4
244,Jul 15 2017 01: +0,7.089,4
245,Jul 16 2017 01: +0,5.295,3
246,Jul 17 2017 01: +0,7.569,4
247,Jul 18 2017 01: +0,6.928,4
248,Jul 19 2017 01: +0,5.168,3
249,Jul 20 2017 01: +0,5.47,7
250,Jul 21 2017 01: +0,6.022,3
251,Jul 22 2017 01: +0,6.514,3
252,Jul 23 2017 01: +0,6.467,3
253,Jul 24 2017 01: +0,6.276,3
254,Jul 25 2017 01: +0,4.576,3
255,Jul 26 2017 01: +0,6.288,3
256,Jul 27 2017 01: +0,6.613,4
257,Jul 29 2017 01: +0,5.046,7
258,Jul 30 2017 01: +0,4.752,2
259,Jul 31 2017 01: +0,5.33,4
260,Aug 01 2017 01: +0,4.965,6
