,time,price,volume
0,Jun 14 2019 01: +0,0.837,22
1,Jun 15 2019 01: +0,0.825,52
2,Jun 16 2019 01: +0,0.926,35
3,Jun 17 2019 01: +0,0.936,28
4,Jun 18 2019 01: +0,0.95,37
5,Jun 19 2019 01: +0,0.956,20
6,Jun 20 2019 01: +0,0.914,26
7,Jun 21 2019 01: +0,0.807,38
8,Jun 22 2019 01: +0,1.057,73
9,Jun 23 2019 01: +0,1.165,39
10,Jun 24 2019 01: +0,0.866,14
11,Jun 25 2019 01: +0,0.961,59
12,Jun 26 2019 01: +0,1.008,32
13,Jun 27 2019 01: +0,0.947,60
14,Jun 28 2019 01: +0,0.96,41
15,Jun 29 2019 01: +0,0.958,41
16,Jun 30 2019 01: +0,0.992,28
17,Jul 01 2019 01: +0,0.977,37
18,Jul 02 2019 01: +0,1.004,25
19,Jul 03 2019 01: +0,0.979,24
20,Jul 04 2019 01: +0,1.246,93
21,Jul 05 2019 01: +0,1.538,50
22,Jul 06 2019 01: +0,1.544,79
23,Jul 07 2019 01: +0,1.929,23
24,Jul 08 2019 01: +0,2.036,21
25,Jul 09 2019 01: +0,1.836,43
26,Jul 10 2019 01: +0,2.687,23
27,Jul 11 2019 01: +0,2.601,25
28,Jul 12 2019 01: +0,2.009,10
29,Jul 13 2019 01: +0,1.346,31
30,Jul 14 2019 01: +0,1.327,20
31,Jul 15 2019 01: +0,1.481,19
32,Jul 16 2019 01: +0,1.339,18
33,Jul 17 2019 01: +0,1.392,8
34,Jul 18 2019 01: +0,1.398,17
35,Jul 19 2019 01: +0,1.488,17
36,Jul 20 2019 01: +0,1.391,12
37,Jul 21 2019 01: +0,1.263,14
38,Jul 22 2019 01: +0,1.176,17
39,Jul 23 2019 01: +0,1.342,12
40,Jul 24 2019 01: +0,1.236,11
41,Jul 25 2019 01: +0,1.118,18
42,Jul 26 2019 01: +0,1.232,27
43,Jul 27 2019 01: +0,1.287,16
44,Jul 28 2019 01: +0,1.213,19
45,Jul 29 2019 01: +0,1.265,20
46,Jul 30 2019 01: +0,1.234,11
47,Jul 31 2019 01: +0,1.271,15
48,Aug 01 2019 01: +0,1.29,21
49,Aug 02 2019 01: +0,1.281,16
50,Aug 03 2019 01: +0,1.289,24
51,Aug 04 2019 01: +0,1.366,23
52,Aug 05 2019 01: +0,1.376,22
53,Aug 06 2019 01: +0,1.32,17
54,Aug 07 2019 01: +0,1.435,13
55,Aug 08 2019 01: +0,1.26,17
56,Aug 09 2019 01: +0,1.228,42
57,Aug 10 2019 01: +0,0.926,46
58,Aug 11 2019 01: +0,0.956,35
59,Aug 12 2019 01: +0,0.905,23
60,Aug 13 2019 01: +0,0.994,25
61,Aug 14 2019 01: +0,0.864,15
62,Aug 15 2019 01: +0,0.846,21
63,Aug 16 2019 01: +0,0.845,23
64,Aug 17 2019 01: +0,0.842,28
65,Aug 18 2019 01: +0,0.826,33
66,Aug 19 2019 01: +0,0.796,17
67,Aug 20 2019 01: +0,0.792,12
68,Aug 21 2019 01: +0,0.8,19
69,Aug 22 2019 01: +0,0.79,17
70,Aug 23 2019 01: +0,0.826,24
71,Aug 24 2019 01: +0,0.847,21
72,Aug 25 2019 01: +0,0.807,24
73,Aug 26 2019 01: +0,0.811,26
74,Aug 27 2019 01: +0,0.822,18
75,Aug 28 2019 01: +0,0.825,16
76,Aug 29 2019 01: +0,0.78,15
77,Aug 30 2019 01: +0,0.782,16
78,Aug 31 2019 01: +0,0.842,18
79,Sep 01 2019 01: +0,0.804,24
80,Sep 02 2019 01: +0,0.865,20
81,Sep 03 2019 01: +0,0.864,10
82,Sep 04 2019 01: +0,0.87,8
83,Sep 05 2019 01: +0,0.875,23
84,Sep 06 2019 01: +0,0.93,21
85,Sep 07 2019 01: +0,0.907,21
86,Sep 08 2019 01: +0,0.903,13
87,Sep 09 2019 01: +0,0.884,13
88,Sep 10 2019 01: +0,0.876,14
89,Sep 11 2019 01: +0,0.885,15
90,Sep 12 2019 01: +0,0.834,22
91,Sep 13 2019 01: +0,0.881,11
92,Sep 14 2019 01: +0,0.766,14
93,Sep 15 2019 01: +0,0.855,13
94,Sep 16 2019 01: +0,0.849,20
95,Sep 17 2019 01: +0,0.759,16
96,Sep 18 2019 01: +0,0.746,29
97,Sep 19 2019 01: +0,0.762,20
98,Sep 20 2019 01: +0,0.797,19
99,Sep 21 2019 01: +0,0.786,17
100,Sep 22 2019 01: +0,0.816,20
101,Sep 23 2019 01: +0,0.817,5
102,Sep 24 2019 01: +0,0.761,22
103,Sep 25 2019 01: +0,0.793,8
104,Sep 26 2019 01: +0,0.757,20
105,Sep 27 2019 01: +0,0.716,21
106,Sep 28 2019 01: +0,0.762,16
107,Sep 29 2019 01: +0,0.695,22
108,Sep 30 2019 01: +0,0.75,16
109,Oct 01 2019 01: +0,0.761,12
110,Oct 02 2019 01: +0,0.733,11
111,Oct 03 2019 01: +0,0.742,21
112,Oct 04 2019 01: +0,0.744,27
113,Oct 05 2019 01: +0,0.72,19
114,Oct 06 2019 01: +0,0.779,24
115,Oct 07 2019 01: +0,0.794,17
116,Oct 08 2019 01: +0,0.807,14
117,Oct 09 2019 01: +0,0.788,17
118,Oct 10 2019 01: +0,0.774,14
119,Oct 11 2019 01: +0,0.756,11
120,Oct 12 2019 01: +0,0.76,23
121,Oct 13 2019 01: +0,0.746,13
122,Oct 14 2019 01: +0,0.673,8
123,Oct 15 2019 01: +0,0.729,19
124,Oct 16 2019 01: +0,0.759,5
125,Oct 17 2019 01: +0,0.804,17
126,Oct 18 2019 01: +0,0.798,21
127,Oct 19 2019 01: +0,0.766,24
128,Oct 20 2019 01: +0,0.811,18
129,Oct 21 2019 01: +0,0.712,19
130,Oct 22 2019 01: +0,0.718,15
131,Oct 23 2019 01: +0,0.754,14
132,Oct 24 2019 01: +0,0.686,16
133,Oct 25 2019 01: +0,0.707,14
134,Oct 26 2019 01: +0,0.708,16
135,Oct 27 2019 01: +0,0.686,9
136,Oct 28 2019 01: +0,0.699,10
137,Oct 29 2019 01: +0,0.674,13
