,time,price,volume
0,Mar 22 2018 01: +0,1.549,11
1,Mar 23 2018 01: +0,1.141,33
2,Mar 24 2018 01: +0,1.591,45
3,Mar 25 2018 01: +0,1.699,30
4,Mar 26 2018 01: +0,1.625,16
5,Mar 27 2018 01: +0,1.561,34
6,Mar 28 2018 01: +0,1.367,28
7,Mar 29 2018 01: +0,1.522,36
8,Mar 30 2018 01: +0,1.473,33
9,Mar 31 2018 01: +0,1.509,31
10,Apr 01 2018 01: +0,1.505,35
11,Apr 02 2018 01: +0,1.606,31
12,Apr 03 2018 01: +0,1.755,27
13,Apr 04 2018 01: +0,1.562,37
14,Apr 05 2018 01: +0,1.72,52
15,Apr 06 2018 01: +0,1.727,41
16,Apr 07 2018 01: +0,1.706,37
17,Apr 08 2018 01: +0,2.629,37
18,Apr 09 2018 01: +0,2.564,22
19,Apr 10 2018 01: +0,2.339,26
20,Apr 11 2018 01: +0,2.529,20
21,Apr 12 2018 01: +0,2.221,31
22,Apr 13 2018 01: +0,2.048,23
23,Apr 14 2018 01: +0,2.057,27
24,Apr 15 2018 01: +0,1.839,28
25,Apr 16 2018 01: +0,1.929,20
26,Apr 17 2018 01: +0,1.874,19
27,Apr 18 2018 01: +0,1.918,25
28,Apr 19 2018 01: +0,1.921,21
29,Apr 20 2018 01: +0,1.986,23
30,Apr 21 2018 01: +0,2.084,17
31,Apr 22 2018 01: +0,2.22,18
32,Apr 23 2018 01: +0,2.342,12
33,Apr 24 2018 01: +0,2.231,16
34,Apr 25 2018 01: +0,2.288,15
35,Apr 26 2018 01: +0,2.236,14
36,Apr 27 2018 01: +0,2.192,19
37,Apr 28 2018 01: +0,2.187,21
38,Apr 29 2018 01: +0,2.278,21
39,Apr 30 2018 01: +0,2.459,11
40,May 01 2018 01: +0,2.462,15
41,May 02 2018 01: +0,2.539,14
42,May 03 2018 01: +0,2.343,13
43,May 04 2018 01: +0,2.343,27
44,May 05 2018 01: +0,2.52,35
45,May 06 2018 01: +0,2.431,22
46,May 07 2018 01: +0,2.486,18
47,May 08 2018 01: +0,2.355,13
48,May 09 2018 01: +0,2.21,16
49,May 10 2018 01: +0,2.145,12
50,May 11 2018 01: +0,2.166,16
51,May 12 2018 01: +0,2.114,15
52,May 13 2018 01: +0,2.147,18
53,May 14 2018 01: +0,2.155,15
54,May 15 2018 01: +0,2.237,14
55,May 16 2018 01: +0,2.186,12
56,May 17 2018 01: +0,2.13,11
57,May 18 2018 01: +0,2.267,19
58,May 19 2018 01: +0,2.256,21
59,May 20 2018 01: +0,2.28,11
60,May 21 2018 01: +0,2.169,11
61,May 22 2018 01: +0,2.082,12
62,May 23 2018 01: +0,2.192,7
63,May 24 2018 01: +0,2.153,14
64,May 25 2018 01: +0,2.123,14
65,May 26 2018 01: +0,2.028,20
66,May 27 2018 01: +0,2.017,16
67,May 28 2018 01: +0,2.061,15
68,May 29 2018 01: +0,1.978,12
69,May 30 2018 01: +0,2.147,8
70,May 31 2018 01: +0,1.922,8
71,Jun 01 2018 01: +0,1.63,23
72,Jun 02 2018 01: +0,1.653,14
73,Jun 03 2018 01: +0,1.762,10
74,Jun 04 2018 01: +0,1.923,13
75,Jun 05 2018 01: +0,2.008,12
76,Jun 06 2018 01: +0,1.896,15
77,Jun 07 2018 01: +0,1.784,15
78,Jun 08 2018 01: +0,1.974,18
79,Jun 09 2018 01: +0,1.92,16
80,Jun 10 2018 01: +0,1.99,19
81,Jun 11 2018 01: +0,1.879,15
82,Jun 12 2018 01: +0,1.942,15
83,Jun 13 2018 01: +0,1.887,11
84,Jun 14 2018 01: +0,1.759,15
85,Jun 15 2018 01: +0,1.615,11
86,Jun 16 2018 01: +0,1.591,18
87,Jun 17 2018 01: +0,1.668,15
88,Jun 18 2018 01: +0,1.536,11
89,Jun 19 2018 01: +0,1.727,15
90,Jun 20 2018 01: +0,1.255,8
91,Jun 21 2018 01: +0,1.63,8
92,Jun 22 2018 01: +0,1.384,13
93,Jun 23 2018 01: +0,1.538,15
94,Jun 24 2018 01: +0,1.448,9
95,Jun 25 2018 01: +0,1.63,15
96,Jun 26 2018 01: +0,1.479,8
97,Jun 27 2018 01: +0,1.528,9
98,Jun 28 2018 01: +0,1.33,13
99,Jun 29 2018 01: +0,1.52,15
100,Jun 30 2018 01: +0,1.484,14
101,Jul 01 2018 01: +0,1.448,14
102,Jul 02 2018 01: +0,1.473,13
103,Jul 03 2018 01: +0,1.435,18
104,Jul 04 2018 01: +0,1.428,18
105,Jul 05 2018 01: +0,1.38,25
106,Jul 06 2018 01: +0,1.574,17
107,Jul 07 2018 01: +0,1.859,21
108,Jul 08 2018 01: +0,1.758,17
109,Jul 09 2018 01: +0,1.78,14
110,Jul 10 2018 01: +0,1.725,23
111,Jul 11 2018 01: +0,1.761,14
112,Jul 12 2018 01: +0,1.809,20
113,Jul 13 2018 01: +0,1.845,17
114,Jul 14 2018 01: +0,2.114,16
115,Jul 15 2018 01: +0,2.005,14
116,Jul 16 2018 01: +0,2.002,16
117,Jul 17 2018 01: +0,2.035,9
118,Jul 18 2018 01: +0,1.988,22
119,Jul 19 2018 01: +0,2.21,12
120,Jul 20 2018 01: +0,2.123,14
121,Jul 21 2018 01: +0,2.212,12
122,Jul 22 2018 01: +0,2.062,14
123,Jul 23 2018 01: +0,2.133,9
124,Jul 24 2018 01: +0,2.087,9
125,Jul 25 2018 01: +0,1.984,15
126,Jul 26 2018 01: +0,2.189,8
127,Jul 27 2018 01: +0,2.159,12
128,Jul 28 2018 01: +0,1.944,14
129,Jul 29 2018 01: +0,2.205,15
130,Jul 30 2018 01: +0,2.095,12
131,Jul 31 2018 01: +0,2.132,12
132,Aug 01 2018 01: +0,2.189,9
133,Aug 02 2018 01: +0,2.316,24
134,Aug 03 2018 01: +0,2.304,12
135,Aug 04 2018 01: +0,2.104,9
136,Aug 05 2018 01: +0,2.26,16
137,Aug 06 2018 01: +0,2.268,8
138,Aug 07 2018 01: +0,2.302,13
139,Aug 08 2018 01: +0,2.173,16
140,Aug 09 2018 01: +0,2.216,16
141,Aug 10 2018 01: +0,2.325,10
142,Aug 11 2018 01: +0,2.295,8
143,Aug 12 2018 01: +0,2.16,8
144,Aug 13 2018 01: +0,2.232,11
145,Aug 14 2018 01: +0,2.221,7
146,Aug 15 2018 01: +0,2.319,4
147,Aug 16 2018 01: +0,2.052,6
148,Aug 17 2018 01: +0,2.212,7
149,Aug 18 2018 01: +0,2.164,12
150,Aug 19 2018 01: +0,1.887,3
151,Aug 20 2018 01: +0,1.72,12
152,Aug 21 2018 01: +0,1.895,8
153,Aug 22 2018 01: +0,1.9,12
154,Aug 23 2018 01: +0,1.971,7
155,Aug 24 2018 01: +0,2.263,10
156,Aug 25 2018 01: +0,2.31,7
157,Aug 26 2018 01: +0,2.284,5
158,Aug 27 2018 01: +0,1.57,3
159,Aug 28 2018 01: +0,2.098,1
160,Aug 29 2018 01: +0,1.692,9
161,Aug 30 2018 01: +0,1.846,9
162,Aug 31 2018 01: +0,2.063,8
163,Sep 01 2018 01: +0,1.96,7
164,Sep 02 2018 01: +0,1.591,7
165,Sep 03 2018 01: +0,1.978,6
166,Sep 04 2018 01: +0,1.814,4
167,Sep 05 2018 01: +0,1.713,7
168,Sep 06 2018 01: +0,1.849,9
169,Sep 07 2018 01: +0,1.892,10
170,Sep 08 2018 01: +0,1.732,11
171,Sep 09 2018 01: +0,2.01,10
172,Sep 10 2018 01: +0,2.133,11
173,Sep 11 2018 01: +0,2.003,6
174,Sep 12 2018 01: +0,2.235,9
175,Sep 13 2018 01: +0,2.102,7
176,Sep 14 2018 01: +0,2.018,5
177,Sep 15 2018 01: +0,1.773,7
178,Sep 16 2018 01: +0,1.921,6
179,Sep 17 2018 01: +0,1.832,9
180,Sep 18 2018 01: +0,1.93,16
181,Sep 19 2018 01: +0,1.83,7
182,Sep 20 2018 01: +0,1.857,12
183,Sep 21 2018 01: +0,1.846,9
184,Sep 22 2018 01: +0,1.845,6
185,Sep 23 2018 01: +0,1.893,10
186,Sep 24 2018 01: +0,1.999,6
187,Sep 25 2018 01: +0,1.912,5
188,Sep 26 2018 01: +0,1.848,7
189,Sep 27 2018 01: +0,1.909,6
190,Sep 28 2018 01: +0,1.728,5
191,Sep 29 2018 01: +0,1.923,12
192,Sep 30 2018 01: +0,1.891,11
193,Oct 01 2018 01: +0,1.628,5
194,Oct 02 2018 01: +0,1.931,9
195,Oct 03 2018 01: +0,1.958,8
196,Oct 04 2018 01: +0,1.997,19
197,Oct 05 2018 01: +0,2.09,3
198,Oct 06 2018 01: +0,2.068,10
199,Oct 07 2018 01: +0,2.096,16
200,Oct 08 2018 01: +0,2.219,9
201,Oct 09 2018 01: +0,2.122,5
202,Oct 10 2018 01: +0,2.054,6
203,Oct 11 2018 01: +0,2.32,11
204,Oct 12 2018 01: +0,2.425,8
205,Oct 13 2018 01: +0,2.227,12
206,Oct 14 2018 01: +0,2.352,8
207,Oct 15 2018 01: +0,2.317,8
208,Oct 16 2018 01: +0,2.525,10
209,Oct 17 2018 01: +0,2.85,9
210,Oct 18 2018 01: +0,2.655,8
211,Oct 19 2018 01: +0,2.548,6
212,Oct 20 2018 01: +0,2.998,18
213,Oct 21 2018 01: +0,4.74,7
214,Oct 22 2018 01: +0,4.01,2
215,Oct 23 2018 01: +0,3.219,4
216,Oct 24 2018 01: +0,3.277,2
217,Oct 25 2018 01: +0,2.583,8
218,Oct 26 2018 01: +0,2.394,6
219,Oct 27 2018 01: +0,2.663,10
220,Oct 28 2018 01: +0,2.376,10
221,Oct 29 2018 01: +0,2.506,8
222,Oct 30 2018 01: +0,2.819,8
223,Oct 31 2018 01: +0,2.834,7
224,Nov 01 2018 01: +0,2.932,17
225,Nov 02 2018 01: +0,3.212,9
226,Nov 03 2018 01: +0,3.124,9
227,Nov 04 2018 01: +0,3.404,8
228,Nov 05 2018 01: +0,3.165,6
229,Nov 06 2018 01: +0,3.373,12
230,Nov 07 2018 01: +0,3.232,11
231,Nov 08 2018 01: +0,3.4,3
232,Nov 09 2018 01: +0,3.308,8
233,Nov 10 2018 01: +0,3.587,9
234,Nov 11 2018 01: +0,4.078,7
235,Nov 12 2018 01: +0,4.339,4
236,Nov 13 2018 01: +0,3.706,6
237,Nov 14 2018 01: +0,3.478,2
238,Nov 15 2018 01: +0,3.719,5
239,Nov 16 2018 01: +0,3.901,8
240,Nov 17 2018 01: +0,3.812,6
241,Nov 18 2018 01: +0,3.818,12
242,Nov 19 2018 01: +0,4.642,6
243,Nov 20 2018 01: +0,4.07,4
244,Nov 21 2018 01: +0,4.097,7
245,Nov 22 2018 01: +0,4.123,7
246,Nov 23 2018 01: +0,3.612,8
247,Nov 24 2018 01: +0,3.8,11
248,Nov 25 2018 01: +0,3.901,5
249,Nov 26 2018 01: +0,3.743,6
250,Nov 27 2018 01: +0,3.801,5
251,Nov 28 2018 01: +0,3.602,2
252,Nov 29 2018 01: +0,3.417,4
253,Nov 30 2018 01: +0,3.565,4
254,Dec 01 2018 01: +0,3.356,11
255,Dec 02 2018 01: +0,3.572,7
256,Dec 03 2018 01: +0,3.767,7
257,Dec 04 2018 01: +0,3.455,6
258,Dec 05 2018 01: +0,3.638,7
259,Dec 06 2018 01: +0,3.578,6
260,Dec 07 2018 01: +0,3.748,13
261,Dec 08 2018 01: +0,3.606,12
262,Dec 09 2018 01: +0,3.615,14
263,Dec 10 2018 01: +0,3.564,8
264,Dec 11 2018 01: +0,3.455,6
265,Dec 12 2018 01: +0,3.586,6
266,Dec 13 2018 01: +0,3.391,8
267,Dec 14 2018 01: +0,3.613,19
268,Dec 15 2018 01: +0,3.567,9
269,Dec 16 2018 01: +0,3.598,7
270,Dec 17 2018 01: +0,3.889,9
271,Dec 18 2018 01: +0,4.034,10
272,Dec 19 2018 01: +0,4.346,8
273,Dec 20 2018 01: +0,4.148,8
274,Dec 21 2018 01: +0,3.875,6
275,Dec 22 2018 01: +0,3.923,14
276,Dec 23 2018 01: +0,3.754,12
277,Dec 24 2018 01: +0,3.848,7
278,Dec 25 2018 01: +0,4.378,13
279,Dec 26 2018 01: +0,4.693,7
280,Dec 27 2018 01: +0,4.475,14
281,Dec 28 2018 01: +0,4.64,12
282,Dec 29 2018 01: +0,4.39,4
283,Dec 30 2018 01: +0,4.543,11
284,Dec 31 2018 01: +0,4.53,13
285,Jan 01 2019 01: +0,4.497,15
286,Jan 02 2019 01: +0,4.743,8
287,Jan 03 2019 01: +0,4.706,12
288,Jan 04 2019 01: +0,4.675,12
289,Jan 05 2019 01: +0,4.582,15
290,Jan 06 2019 01: +0,5.302,8
291,Jan 07 2019 01: +0,5.338,7
292,Jan 08 2019 01: +0,4.187,7
293,Jan 09 2019 01: +0,4.98,5
294,Jan 10 2019 01: +0,4.79,6
295,Jan 11 2019 01: +0,5.621,11
296,Jan 12 2019 01: +0,5.024,7
297,Jan 13 2019 01: +0,4.928,8
298,Jan 14 2019 01: +0,4.946,3
299,Jan 15 2019 01: +0,4.461,8
300,Jan 16 2019 01: +0,5.129,3
301,Jan 17 2019 01: +0,4.829,2
302,Jan 18 2019 01: +0,4.286,4
303,Jan 19 2019 01: +0,4.425,16
304,Jan 20 2019 01: +0,4.555,6
305,Jan 21 2019 01: +0,4.703,7
306,Jan 22 2019 01: +0,4.996,8
307,Jan 23 2019 01: +0,5.079,5
308,Jan 24 2019 01: +0,4.705,2
309,Jan 25 2019 01: +0,4.392,8
310,Jan 26 2019 01: +0,4.403,8
311,Jan 27 2019 01: +0,4.263,8
312,Jan 28 2019 01: +0,4.323,6
313,Jan 29 2019 01: +0,4.169,8
314,Jan 30 2019 01: +0,4.254,14
315,Jan 31 2019 01: +0,4.439,5
316,Feb 01 2019 01: +0,4.723,9
317,Feb 02 2019 01: +0,4.686,4
318,Feb 03 2019 01: +0,4.229,7
319,Feb 04 2019 01: +0,4.426,2
320,Feb 05 2019 01: +0,4.109,4
321,Feb 06 2019 01: +0,4.349,9
322,Feb 07 2019 01: +0,4.27,10
323,Feb 08 2019 01: +0,4.248,8
324,Feb 09 2019 01: +0,4.219,4
325,Feb 10 2019 01: +0,4.028,4
326,Feb 11 2019 01: +0,4.057,6
327,Feb 12 2019 01: +0,3.584,5
328,Feb 13 2019 01: +0,4.022,3
329,Feb 14 2019 01: +0,3.945,6
330,Feb 15 2019 01: +0,3.821,9
331,Feb 16 2019 01: +0,3.819,3
332,Feb 17 2019 01: +0,3.986,7
333,Feb 18 2019 01: +0,3.862,7
334,Feb 19 2019 01: +0,3.855,11
335,Feb 20 2019 01: +0,4.059,8
336,Feb 21 2019 01: +0,4.241,8
337,Feb 22 2019 01: +0,4.433,10
338,Feb 23 2019 01: +0,4.411,8
339,Feb 24 2019 01: +0,3.916,8
340,Feb 25 2019 01: +0,4.29,1
341,Feb 26 2019 01: +0,4.0,1
342,Feb 27 2019 01: +0,3.77,3
343,Feb 28 2019 01: +0,3.856,8
344,Mar 01 2019 01: +0,4.074,9
345,Mar 02 2019 01: +0,4.299,7
346,Mar 03 2019 01: +0,4.144,5
347,Mar 04 2019 01: +0,4.299,5
348,Mar 05 2019 01: +0,3.307,3
349,Mar 06 2019 01: +0,3.798,6
350,Mar 07 2019 01: +0,4.055,5
351,Mar 08 2019 01: +0,4.328,9
352,Mar 09 2019 01: +0,4.13,9
353,Mar 10 2019 01: +0,4.345,4
354,Mar 11 2019 01: +0,4.282,8
355,Mar 12 2019 01: +0,4.415,3
356,Mar 13 2019 01: +0,4.39,9
357,Mar 14 2019 01: +0,4.283,6
358,Mar 15 2019 01: +0,4.481,4
359,Mar 16 2019 01: +0,4.324,5
360,Mar 17 2019 01: +0,4.071,7
361,Mar 18 2019 01: +0,4.342,7
362,Mar 19 2019 01: +0,4.247,4
363,Mar 20 2019 01: +0,4.358,5
364,Mar 21 2019 01: +0,4.374,9
365,Mar 22 2019 01: +0,4.393,1
366,Mar 23 2019 01: +0,3.792,11
367,Mar 24 2019 01: +0,4.114,8
368,Mar 25 2019 01: +0,3.634,2
369,Mar 26 2019 01: +0,4.249,6
370,Mar 27 2019 01: +0,3.52,4
371,Mar 28 2019 01: +0,3.496,5
372,Mar 29 2019 01: +0,3.986,8
373,Mar 30 2019 01: +0,3.928,4
374,Mar 31 2019 01: +0,3.82,7
375,Apr 01 2019 01: +0,4.084,5
376,Apr 02 2019 01: +0,3.485,2
377,Apr 03 2019 01: +0,3.527,7
378,Apr 04 2019 01: +0,3.571,14
379,Apr 05 2019 01: +0,3.768,11
380,Apr 06 2019 01: +0,3.751,9
381,Apr 07 2019 01: +0,3.743,11
382,Apr 08 2019 01: +0,3.805,7
383,Apr 09 2019 01: +0,3.94,8
384,Apr 10 2019 01: +0,4.029,7
385,Apr 11 2019 01: +0,4.001,10
386,Apr 12 2019 01: +0,3.918,4
387,Apr 13 2019 01: +0,3.854,11
388,Apr 14 2019 01: +0,3.914,8
389,Apr 15 2019 01: +0,4.141,5
390,Apr 16 2019 01: +0,3.981,4
391,Apr 17 2019 01: +0,3.974,8
392,Apr 18 2019 01: +0,4.07,8
393,Apr 19 2019 01: +0,4.107,9
394,Apr 20 2019 01: +0,4.365,2
395,Apr 21 2019 01: +0,3.984,4
396,Apr 22 2019 01: +0,4.256,7
397,Apr 23 2019 01: +0,4.064,5
398,Apr 24 2019 01: +0,3.698,2
399,Apr 25 2019 01: +0,4.282,6
400,Apr 26 2019 01: +0,4.488,2
401,Apr 27 2019 01: +0,4.156,7
402,Apr 28 2019 01: +0,4.13,9
403,Apr 29 2019 01: +0,4.312,7
404,Apr 30 2019 01: +0,4.498,1
405,May 01 2019 01: +0,4.093,6
406,May 02 2019 01: +0,4.093,8
407,May 03 2019 01: +0,4.457,3
408,May 04 2019 01: +0,3.972,11
409,May 05 2019 01: +0,3.916,4
410,May 06 2019 01: +0,3.949,4
411,May 07 2019 01: +0,4.043,5
412,May 08 2019 01: +0,3.723,4
413,May 09 2019 01: +0,3.95,4
414,May 10 2019 01: +0,3.644,8
415,May 11 2019 01: +0,3.944,8
416,May 12 2019 01: +0,3.829,11
417,May 13 2019 01: +0,4.183,2
418,May 14 2019 01: +0,4.049,10
419,May 15 2019 01: +0,3.836,5
420,May 16 2019 01: +0,4.087,8
421,May 17 2019 01: +0,3.836,4
422,May 18 2019 01: +0,3.792,8
423,May 19 2019 01: +0,3.907,12
424,May 20 2019 01: +0,3.929,6
425,May 21 2019 01: +0,3.692,4
426,May 22 2019 01: +0,4.151,4
427,May 23 2019 01: +0,4.093,3
428,May 24 2019 01: +0,3.751,3
429,May 25 2019 01: +0,4.215,5
430,May 26 2019 01: +0,3.744,4
431,May 27 2019 01: +0,4.187,7
432,May 28 2019 01: +0,4.148,4
433,May 29 2019 01: +0,3.872,5
434,May 30 2019 01: +0,4.022,5
435,May 31 2019 01: +0,3.379,9
436,Jun 01 2019 01: +0,3.933,8
437,Jun 02 2019 01: +0,4.09,4
438,Jun 03 2019 01: +0,3.978,6
439,Jun 04 2019 01: +0,3.488,6
440,Jun 05 2019 01: +0,4.025,3
441,Jun 06 2019 01: +0,3.976,10
442,Jun 07 2019 01: +0,3.892,6
443,Jun 08 2019 01: +0,3.657,8
444,Jun 09 2019 01: +0,3.826,7
445,Jun 10 2019 01: +0,3.881,7
446,Jun 11 2019 01: +0,3.661,4
447,Jun 12 2019 01: +0,4.107,6
448,Jun 13 2019 01: +0,4.059,2
449,Jun 14 2019 01: +0,3.559,6
450,Jun 15 2019 01: +0,3.553,8
451,Jun 16 2019 01: +0,3.707,5
452,Jun 17 2019 01: +0,3.607,4
453,Jun 18 2019 01: +0,4.023,4
454,Jun 19 2019 01: +0,3.196,5
455,Jun 20 2019 01: +0,3.827,5
456,Jun 21 2019 01: +0,4.09,6
457,Jun 22 2019 01: +0,3.726,7
458,Jun 23 2019 01: +0,4.036,7
459,Jun 24 2019 01: +0,4.123,7
460,Jun 25 2019 01: +0,3.88,5
461,Jun 26 2019 01: +0,3.664,3
462,Jun 27 2019 01: +0,3.551,10
463,Jun 28 2019 01: +0,3.55,9
464,Jun 29 2019 01: +0,3.72,5
465,Jun 30 2019 01: +0,3.77,2
466,Jul 01 2019 01: +0,3.52,9
467,Jul 02 2019 01: +0,3.543,6
468,Jul 03 2019 01: +0,3.541,3
469,Jul 04 2019 01: +0,3.616,7
470,Jul 05 2019 01: +0,3.226,6
471,Jul 06 2019 01: +0,3.719,10
472,Jul 07 2019 01: +0,3.791,9
473,Jul 08 2019 01: +0,3.509,7
474,Jul 09 2019 01: +0,3.603,4
