,time,price,volume
0,Feb 13 2020 01: +0,1.179,14
1,Feb 14 2020 01: +0,1.148,120
2,Feb 15 2020 01: +0,1.415,106
3,Feb 16 2020 01: +0,1.299,92
4,Feb 17 2020 01: +0,1.202,65
5,Feb 18 2020 01: +0,1.168,57
6,Feb 19 2020 01: +0,1.168,61
7,Feb 20 2020 01: +0,1.111,68
8,Feb 21 2020 01: +0,1.119,76
9,Feb 22 2020 01: +0,1.081,75
10,Feb 23 2020 01: +0,1.092,68
11,Feb 24 2020 01: +0,1.128,61
12,Feb 25 2020 01: +0,1.067,48
13,Feb 26 2020 01: +0,1.1,55
14,Feb 27 2020 01: +0,1.148,97
15,Feb 28 2020 01: +0,1.119,172
16,Feb 29 2020 01: +0,1.146,135
17,Mar 01 2020 01: +0,1.177,111
18,Mar 02 2020 01: +0,1.182,81
19,Mar 03 2020 01: +0,1.193,90
20,Mar 04 2020 01: +0,1.231,67
21,Mar 05 2020 01: +0,1.308,68
22,Mar 06 2020 01: +0,1.367,76
23,Mar 07 2020 01: +0,1.33,85
24,Mar 08 2020 01: +0,1.354,55
25,Mar 09 2020 01: +0,1.416,61
26,Mar 10 2020 01: +0,1.479,38
27,Mar 11 2020 01: +0,1.538,41
28,Mar 12 2020 01: +0,1.373,43
29,Mar 13 2020 01: +0,1.458,66
30,Mar 14 2020 01: +0,1.565,85
31,Mar 15 2020 01: +0,1.55,72
32,Mar 16 2020 01: +0,1.51,67
33,Mar 17 2020 01: +0,1.542,65
34,Mar 18 2020 01: +0,1.365,57
35,Mar 19 2020 01: +0,1.458,69
36,Mar 20 2020 01: +0,1.531,82
37,Mar 21 2020 01: +0,1.52,80
38,Mar 22 2020 01: +0,1.503,71
39,Mar 23 2020 01: +0,1.508,63
40,Mar 24 2020 01: +0,1.512,59
41,Mar 25 2020 01: +0,1.544,70
42,Mar 26 2020 01: +0,1.56,67
43,Mar 27 2020 01: +0,1.37,53
44,Mar 28 2020 01: +0,1.495,62
45,Mar 29 2020 01: +0,1.521,66
46,Mar 30 2020 01: +0,1.41,60
47,Mar 31 2020 01: +0,1.426,57
48,Apr 01 2020 01: +0,1.421,57
49,Apr 02 2020 01: +0,1.474,66
50,Apr 03 2020 01: +0,1.469,69
51,Apr 04 2020 01: +0,1.496,58
52,Apr 05 2020 01: +0,1.512,71
53,Apr 06 2020 01: +0,1.526,55
54,Apr 07 2020 01: +0,1.567,64
55,Apr 08 2020 01: +0,1.771,65
56,Apr 09 2020 01: +0,1.768,85
57,Apr 10 2020 01: +0,1.718,60
58,Apr 11 2020 01: +0,1.729,57
59,Apr 12 2020 01: +0,1.729,67
60,Apr 13 2020 01: +0,1.815,61
61,Apr 14 2020 01: +0,1.92,59
62,Apr 15 2020 01: +0,1.989,39
63,Apr 16 2020 01: +0,1.813,58
64,Apr 17 2020 01: +0,1.799,65
65,Apr 18 2020 01: +0,1.806,59
66,Apr 19 2020 01: +0,1.734,58
67,Apr 20 2020 01: +0,1.742,51
68,Apr 21 2020 01: +0,1.672,42
69,Apr 22 2020 01: +0,1.721,45
70,Apr 23 2020 01: +0,1.722,45
71,Apr 24 2020 01: +0,1.592,46
72,Apr 25 2020 01: +0,1.747,57
73,Apr 26 2020 01: +0,1.823,59
74,Apr 27 2020 01: +0,1.845,60
75,Apr 28 2020 01: +0,1.964,52
76,Apr 29 2020 01: +0,1.857,47
77,Apr 30 2020 01: +0,1.83,44
78,May 01 2020 01: +0,1.813,42
79,May 02 2020 01: +0,1.883,43
80,May 03 2020 01: +0,1.854,42
81,May 04 2020 01: +0,1.768,50
82,May 05 2020 01: +0,1.829,39
83,May 06 2020 01: +0,1.823,39
84,May 07 2020 01: +0,1.832,57
85,May 08 2020 01: +0,2.067,56
86,May 09 2020 01: +0,2.484,60
87,May 10 2020 01: +0,2.573,45
88,May 11 2020 01: +0,2.481,45
89,May 12 2020 01: +0,2.468,32
90,May 13 2020 01: +0,2.598,40
91,May 14 2020 01: +0,2.446,46
92,May 15 2020 01: +0,2.359,46
93,May 16 2020 01: +0,2.307,61
94,May 17 2020 01: +0,2.469,46
95,May 18 2020 01: +0,2.53,34
96,May 19 2020 01: +0,2.522,28
97,May 20 2020 01: +0,2.393,35
98,May 21 2020 01: +0,2.198,18
99,May 22 2020 01: +0,2.062,35
100,May 23 2020 01: +0,2.18,29
101,May 24 2020 01: +0,2.249,33
102,May 25 2020 01: +0,2.189,31
103,May 26 2020 01: +0,2.109,44
104,May 27 2020 01: +0,2.094,43
105,May 28 2020 01: +0,2.092,39
106,May 29 2020 01: +0,1.851,48
107,May 30 2020 01: +0,1.826,40
108,May 31 2020 01: +0,1.834,35
109,Jun 01 2020 01: +0,2.035,26
110,Jun 02 2020 01: +0,2.025,33
111,Jun 03 2020 01: +0,1.842,29
112,Jun 04 2020 01: +0,1.92,33
113,Jun 05 2020 01: +0,1.962,41
114,Jun 06 2020 01: +0,1.89,30
115,Jun 07 2020 01: +0,2.018,41
116,Jun 08 2020 01: +0,2.013,34
117,Jun 09 2020 01: +0,1.984,34
118,Jun 10 2020 01: +0,2.067,30
119,Jun 11 2020 01: +0,1.815,43
120,Jun 12 2020 01: +0,1.387,60
121,Jun 13 2020 01: +0,1.155,38
122,Jun 14 2020 01: +0,1.243,47
123,Jun 15 2020 01: +0,1.416,27
124,Jun 16 2020 01: +0,1.474,30
125,Jun 17 2020 01: +0,1.522,26
126,Jun 18 2020 01: +0,1.293,32
127,Jun 19 2020 01: +0,1.351,29
128,Jun 20 2020 01: +0,1.353,27
129,Jun 21 2020 01: +0,1.172,29
130,Jun 22 2020 01: +0,1.315,32
131,Jun 23 2020 01: +0,1.194,31
132,Jun 24 2020 01: +0,1.28,26
133,Jun 25 2020 01: +0,1.076,35
134,Jun 26 2020 01: +0,1.092,24
135,Jun 27 2020 01: +0,1.136,38
136,Jun 28 2020 01: +0,1.064,29
137,Jun 29 2020 01: +0,1.23,27
138,Jun 30 2020 01: +0,1.192,30
139,Jul 01 2020 01: +0,1.175,35
140,Jul 02 2020 01: +0,1.401,47
141,Jul 03 2020 01: +0,1.382,27
142,Jul 04 2020 01: +0,1.177,25
143,Jul 05 2020 01: +0,1.33,28
144,Jul 06 2020 01: +0,1.164,36
145,Jul 07 2020 01: +0,1.397,37
146,Jul 08 2020 01: +0,1.301,33
147,Jul 09 2020 01: +0,1.434,31
148,Jul 10 2020 01: +0,1.408,29
149,Jul 11 2020 01: +0,1.404,32
150,Jul 12 2020 01: +0,1.453,23
151,Jul 13 2020 01: +0,1.43,29
152,Jul 14 2020 01: +0,1.4,34
153,Jul 15 2020 01: +0,1.449,41
154,Jul 16 2020 01: +0,1.38,25
155,Jul 17 2020 01: +0,1.457,30
156,Jul 18 2020 01: +0,1.488,21
157,Jul 19 2020 01: +0,1.457,34
158,Jul 20 2020 01: +0,1.403,43
159,Jul 21 2020 01: +0,1.269,32
160,Jul 22 2020 01: +0,1.369,31
161,Jul 23 2020 01: +0,1.324,27
162,Jul 24 2020 01: +0,1.341,31
163,Jul 25 2020 01: +0,1.51,38
164,Jul 26 2020 01: +0,1.474,40
165,Jul 27 2020 01: +0,1.455,32
166,Jul 28 2020 01: +0,1.385,33
167,Jul 29 2020 01: +0,1.264,32
168,Jul 30 2020 01: +0,1.349,32
169,Jul 31 2020 01: +0,1.348,36
170,Aug 01 2020 01: +0,1.445,33
171,Aug 02 2020 01: +0,1.42,33
172,Aug 03 2020 01: +0,1.214,27
173,Aug 04 2020 01: +0,1.178,32
174,Aug 05 2020 01: +0,1.126,32
175,Aug 06 2020 01: +0,1.193,49
176,Aug 07 2020 01: +0,1.273,30
177,Aug 08 2020 01: +0,1.243,29
178,Aug 09 2020 01: +0,1.13,44
179,Aug 10 2020 01: +0,1.253,43
180,Aug 11 2020 01: +0,1.138,34
181,Aug 12 2020 01: +0,1.128,28
182,Aug 13 2020 01: +0,1.095,35
183,Aug 14 2020 01: +0,1.122,38
184,Aug 15 2020 01: +0,1.095,39
185,Aug 16 2020 01: +0,1.135,31
