,time,price,volume
0,Aug 03 2017 01: +0,1.342,18
1,Aug 04 2017 01: +0,1.331,42
2,Aug 05 2017 01: +0,1.35,40
3,Aug 06 2017 01: +0,1.376,36
4,Aug 07 2017 01: +0,1.386,29
5,Aug 08 2017 01: +0,1.347,28
6,Aug 09 2017 01: +0,1.328,28
7,Aug 10 2017 01: +0,1.36,33
8,Aug 11 2017 01: +0,1.55,35
9,Aug 12 2017 01: +0,2.011,19
10,Aug 13 2017 01: +0,1.931,18
11,Aug 14 2017 01: +0,1.772,16
12,Aug 15 2017 01: +0,1.689,30
13,Aug 16 2017 01: +0,1.643,24
14,Aug 17 2017 01: +0,1.714,22
15,Aug 18 2017 01: +0,1.639,30
16,Aug 19 2017 01: +0,1.807,16
17,Aug 20 2017 01: +0,2.0,27
18,Aug 21 2017 01: +0,2.159,26
19,Aug 22 2017 01: +0,2.704,14
20,Aug 23 2017 01: +0,2.308,13
21,Aug 24 2017 01: +0,2.291,16
22,Aug 25 2017 01: +0,1.98,19
23,Aug 26 2017 01: +0,1.939,15
24,Aug 27 2017 01: +0,1.954,13
25,Aug 28 2017 01: +0,2.046,8
26,Aug 29 2017 01: +0,2.06,15
27,Aug 30 2017 01: +0,1.871,11
28,Aug 31 2017 01: +0,1.841,15
29,Sep 01 2017 01: +0,1.773,13
30,Sep 02 2017 01: +0,1.87,17
31,Sep 03 2017 01: +0,1.888,11
32,Sep 04 2017 01: +0,1.828,13
33,Sep 05 2017 01: +0,1.634,5
34,Sep 06 2017 01: +0,1.568,5
35,Sep 07 2017 01: +0,1.635,17
36,Sep 08 2017 01: +0,1.754,6
37,Sep 09 2017 01: +0,1.771,12
38,Sep 10 2017 01: +0,1.798,16
39,Sep 11 2017 01: +0,1.615,10
40,Sep 12 2017 01: +0,1.759,19
41,Sep 13 2017 01: +0,1.794,13
42,Sep 14 2017 01: +0,1.74,13
43,Sep 15 2017 01: +0,1.785,17
44,Sep 16 2017 01: +0,1.847,11
45,Sep 17 2017 01: +0,1.735,14
46,Sep 18 2017 01: +0,1.784,18
47,Sep 19 2017 01: +0,1.89,13
48,Sep 20 2017 01: +0,1.426,7
49,Sep 21 2017 01: +0,1.811,10
50,Sep 22 2017 01: +0,1.654,10
51,Sep 23 2017 01: +0,1.733,15
52,Sep 24 2017 01: +0,1.823,18
53,Sep 25 2017 01: +0,1.906,8
54,Sep 26 2017 01: +0,1.898,8
55,Sep 27 2017 01: +0,2.006,5
56,Sep 28 2017 01: +0,2.055,8
57,Sep 29 2017 01: +0,1.984,11
58,Sep 30 2017 01: +0,1.917,10
59,Oct 01 2017 01: +0,1.93,12
60,Oct 02 2017 01: +0,1.971,18
61,Oct 03 2017 01: +0,1.845,23
62,Oct 04 2017 01: +0,2.03,10
63,Oct 05 2017 01: +0,2.265,11
64,Oct 06 2017 01: +0,1.849,7
65,Oct 07 2017 01: +0,1.77,10
66,Oct 08 2017 01: +0,1.897,11
67,Oct 09 2017 01: +0,2.106,12
68,Oct 10 2017 01: +0,1.906,8
69,Oct 11 2017 01: +0,1.998,8
70,Oct 12 2017 01: +0,2.016,17
71,Oct 13 2017 01: +0,2.093,16
72,Oct 14 2017 01: +0,1.94,10
73,Oct 15 2017 01: +0,2.213,11
74,Oct 16 2017 01: +0,1.892,8
75,Oct 17 2017 01: +0,2.046,18
76,Oct 18 2017 01: +0,2.224,14
77,Oct 19 2017 01: +0,1.843,10
78,Oct 20 2017 01: +0,2.105,7
79,Oct 21 2017 01: +0,2.116,16
80,Oct 22 2017 01: +0,2.032,16
81,Oct 23 2017 01: +0,2.072,13
82,Oct 24 2017 01: +0,2.039,11
83,Oct 25 2017 01: +0,2.101,10
84,Oct 26 2017 01: +0,2.153,20
85,Oct 27 2017 01: +0,1.899,13
86,Oct 28 2017 01: +0,2.773,12
87,Oct 29 2017 01: +0,2.827,10
88,Oct 30 2017 01: +0,2.285,12
89,Oct 31 2017 01: +0,2.262,10
90,Nov 01 2017 01: +0,2.054,5
91,Nov 02 2017 01: +0,2.072,9
92,Nov 03 2017 01: +0,2.095,10
93,Nov 04 2017 01: +0,2.075,12
94,Nov 05 2017 01: +0,2.169,11
95,Nov 06 2017 01: +0,2.393,13
96,Nov 07 2017 01: +0,2.257,6
97,Nov 08 2017 01: +0,2.292,10
98,Nov 09 2017 01: +0,2.151,12
99,Nov 10 2017 01: +0,2.138,11
100,Nov 11 2017 01: +0,2.118,12
101,Nov 12 2017 01: +0,2.216,10
102,Nov 13 2017 01: +0,2.232,7
103,Nov 14 2017 01: +0,2.073,8
104,Nov 15 2017 01: +0,1.894,2
105,Nov 16 2017 01: +0,1.876,10
106,Nov 17 2017 01: +0,1.884,6
107,Nov 18 2017 01: +0,2.144,12
108,Nov 19 2017 01: +0,2.152,12
109,Nov 20 2017 01: +0,2.223,13
110,Nov 21 2017 01: +0,2.298,8
111,Nov 22 2017 01: +0,2.298,9
112,Nov 23 2017 01: +0,1.978,10
113,Nov 24 2017 01: +0,2.106,13
114,Nov 25 2017 01: +0,2.063,9
115,Nov 26 2017 01: +0,1.693,9
116,Nov 27 2017 01: +0,1.631,8
117,Nov 28 2017 01: +0,1.988,6
118,Nov 29 2017 01: +0,2.166,9
119,Nov 30 2017 01: +0,2.277,12
120,Dec 01 2017 01: +0,2.175,6
121,Dec 02 2017 01: +0,2.04,10
122,Dec 03 2017 01: +0,2.02,8
123,Dec 04 2017 01: +0,2.301,11
124,Dec 05 2017 01: +0,2.334,2
125,Dec 06 2017 01: +0,1.996,9
126,Dec 07 2017 01: +0,2.149,16
127,Dec 08 2017 01: +0,2.354,5
128,Dec 09 2017 01: +0,2.309,11
129,Dec 10 2017 01: +0,2.281,16
130,Dec 11 2017 01: +0,2.268,9
131,Dec 12 2017 01: +0,2.223,5
132,Dec 13 2017 01: +0,2.308,7
133,Dec 14 2017 01: +0,2.422,12
134,Dec 15 2017 01: +0,2.506,13
135,Dec 16 2017 01: +0,3.015,11
136,Dec 17 2017 01: +0,3.19,9
137,Dec 18 2017 01: +0,2.817,6
138,Dec 19 2017 01: +0,2.661,6
139,Dec 20 2017 01: +0,2.771,11
140,Dec 21 2017 01: +0,2.897,12
141,Dec 22 2017 01: +0,2.958,12
142,Dec 23 2017 01: +0,2.788,9
143,Dec 24 2017 01: +0,3.113,12
144,Dec 25 2017 01: +0,4.294,15
145,Dec 26 2017 01: +0,5.338,14
146,Dec 27 2017 01: +0,4.467,8
147,Dec 28 2017 01: +0,4.08,19
148,Dec 29 2017 01: +0,4.707,16
149,Dec 30 2017 01: +0,5.298,3
150,Dec 31 2017 01: +0,3.987,10
151,Jan 01 2018 01: +0,4.236,10
152,Jan 02 2018 01: +0,4.233,11
153,Jan 03 2018 01: +0,3.946,8
154,Jan 04 2018 01: +0,3.464,10
155,Jan 05 2018 01: +0,3.368,8
156,Jan 06 2018 01: +0,3.425,8
157,Jan 07 2018 01: +0,3.305,11
158,Jan 08 2018 01: +0,3.491,12
159,Jan 09 2018 01: +0,3.684,4
160,Jan 10 2018 01: +0,3.889,10
161,Jan 11 2018 01: +0,3.611,12
162,Jan 12 2018 01: +0,3.808,16
163,Jan 13 2018 01: +0,3.636,13
164,Jan 14 2018 01: +0,3.544,8
165,Jan 15 2018 01: +0,3.362,9
166,Jan 16 2018 01: +0,2.948,13
167,Jan 17 2018 01: +0,3.132,5
168,Jan 18 2018 01: +0,3.286,16
169,Jan 19 2018 01: +0,3.287,12
170,Jan 20 2018 01: +0,3.308,10
171,Jan 21 2018 01: +0,3.018,10
172,Jan 22 2018 01: +0,2.996,14
173,Jan 23 2018 01: +0,3.337,10
174,Jan 24 2018 01: +0,3.442,4
175,Jan 25 2018 01: +0,3.417,7
176,Jan 26 2018 01: +0,3.541,7
177,Jan 27 2018 01: +0,3.187,11
178,Jan 28 2018 01: +0,3.467,10
