,time,price,volume
0,Feb 15 2018 01: +0,1.647,1
1,Feb 16 2018 01: +0,1.05,35
2,Feb 17 2018 01: +0,1.171,27
3,Feb 18 2018 01: +0,1.228,30
4,Feb 19 2018 01: +0,1.215,20
5,Feb 20 2018 01: +0,1.308,24
6,Feb 21 2018 01: +0,1.258,18
7,Feb 22 2018 01: +0,1.261,27
8,Feb 23 2018 01: +0,1.168,27
9,Feb 24 2018 01: +0,1.191,16
10,Feb 25 2018 01: +0,1.141,24
11,Feb 26 2018 01: +0,1.133,22
12,Feb 27 2018 01: +0,1.147,25
13,Feb 28 2018 01: +0,1.129,19
14,Mar 01 2018 01: +0,1.158,25
15,Mar 02 2018 01: +0,1.094,27
16,Mar 03 2018 01: +0,1.161,29
17,Mar 04 2018 01: +0,1.101,25
18,Mar 05 2018 01: +0,1.122,23
19,Mar 06 2018 01: +0,1.138,15
20,Mar 07 2018 01: +0,1.252,22
21,Mar 08 2018 01: +0,1.273,17
22,Mar 09 2018 01: +0,1.143,15
23,Mar 10 2018 01: +0,1.266,16
24,Mar 11 2018 01: +0,1.08,18
25,Mar 12 2018 01: +0,1.09,22
26,Mar 13 2018 01: +0,1.187,17
27,Mar 14 2018 01: +0,1.238,18
28,Mar 15 2018 01: +0,1.288,23
29,Mar 16 2018 01: +0,1.266,15
30,Mar 17 2018 01: +0,1.266,21
31,Mar 18 2018 01: +0,1.318,21
32,Mar 19 2018 01: +0,1.375,19
33,Mar 20 2018 01: +0,1.515,9
34,Mar 21 2018 01: +0,1.405,10
35,Mar 22 2018 01: +0,1.375,14
36,Mar 23 2018 01: +0,1.248,18
37,Mar 24 2018 01: +0,1.326,18
38,Mar 25 2018 01: +0,1.339,15
39,Mar 26 2018 01: +0,1.428,13
40,Mar 27 2018 01: +0,1.408,10
41,Mar 28 2018 01: +0,1.401,14
42,Mar 29 2018 01: +0,1.267,7
43,Mar 30 2018 01: +0,1.238,15
44,Mar 31 2018 01: +0,1.3,11
45,Apr 01 2018 01: +0,1.325,13
46,Apr 02 2018 01: +0,1.247,20
47,Apr 03 2018 01: +0,1.278,10
48,Apr 04 2018 01: +0,1.271,17
49,Apr 05 2018 01: +0,1.269,19
50,Apr 06 2018 01: +0,1.053,19
51,Apr 07 2018 01: +0,1.122,17
52,Apr 08 2018 01: +0,1.102,18
53,Apr 09 2018 01: +0,1.073,8
54,Apr 10 2018 01: +0,1.154,15
55,Apr 11 2018 01: +0,1.122,8
56,Apr 12 2018 01: +0,1.051,10
57,Apr 13 2018 01: +0,1.172,20
58,Apr 14 2018 01: +0,1.169,11
59,Apr 15 2018 01: +0,1.145,18
60,Apr 16 2018 01: +0,1.265,7
61,Apr 17 2018 01: +0,1.057,10
62,Apr 18 2018 01: +0,1.149,11
63,Apr 19 2018 01: +0,1.132,8
64,Apr 20 2018 01: +0,1.013,7
65,Apr 21 2018 01: +0,1.168,11
66,Apr 22 2018 01: +0,1.194,8
67,Apr 23 2018 01: +0,1.196,6
68,Apr 24 2018 01: +0,1.069,10
69,Apr 25 2018 01: +0,1.16,6
70,Apr 26 2018 01: +0,1.184,11
71,Apr 27 2018 01: +0,1.048,10
72,Apr 28 2018 01: +0,0.974,10
73,Apr 29 2018 01: +0,1.039,18
74,Apr 30 2018 01: +0,1.186,8
75,May 01 2018 01: +0,1.066,5
76,May 02 2018 01: +0,1.068,11
77,May 03 2018 01: +0,1.078,6
78,May 04 2018 01: +0,1.014,5
79,May 05 2018 01: +0,0.946,21
80,May 06 2018 01: +0,1.075,14
81,May 07 2018 01: +0,1.082,18
82,May 08 2018 01: +0,1.075,12
83,May 09 2018 01: +0,1.052,9
84,May 10 2018 01: +0,0.999,10
85,May 11 2018 01: +0,1.044,13
86,May 12 2018 01: +0,0.853,5
87,May 13 2018 01: +0,0.866,13
88,May 14 2018 01: +0,1.046,7
89,May 15 2018 01: +0,1.078,4
90,May 16 2018 01: +0,1.028,8
91,May 17 2018 01: +0,1.084,8
92,May 18 2018 01: +0,1.008,5
93,May 19 2018 01: +0,1.18,4
94,May 20 2018 01: +0,1.09,8
95,May 21 2018 01: +0,1.161,5
96,May 22 2018 01: +0,1.073,6
97,May 23 2018 01: +0,0.921,8
98,May 24 2018 01: +0,0.911,9
99,May 25 2018 01: +0,0.819,13
100,May 26 2018 01: +0,0.928,2
101,May 27 2018 01: +0,0.895,9
102,May 28 2018 01: +0,0.873,7
103,May 29 2018 01: +0,0.876,2
104,May 30 2018 01: +0,0.921,8
105,May 31 2018 01: +0,1.026,9
106,Jun 01 2018 01: +0,1.1,1
107,Jun 02 2018 01: +0,0.815,9
108,Jun 03 2018 01: +0,0.867,9
109,Jun 04 2018 01: +0,0.863,5
110,Jun 05 2018 01: +0,0.956,3
111,Jun 06 2018 01: +0,0.905,9
112,Jun 07 2018 01: +0,0.944,14
