,time,price,volume
0,Feb 07 2020 01: +0,2.0,16
1,Feb 08 2020 01: +0,1.021,54
2,Feb 09 2020 01: +0,0.975,47
3,Feb 10 2020 01: +0,0.943,39
4,Feb 11 2020 01: +0,0.957,36
5,Feb 12 2020 01: +0,0.958,44
6,Feb 13 2020 01: +0,0.965,39
7,Feb 14 2020 01: +0,0.931,38
8,Feb 15 2020 01: +0,0.959,49
9,Feb 16 2020 01: +0,0.943,44
10,Feb 17 2020 01: +0,0.923,29
11,Feb 18 2020 01: +0,0.9,32
12,Feb 19 2020 01: +0,0.979,25
13,Feb 20 2020 01: +0,0.913,27
14,Feb 21 2020 01: +0,0.886,31
15,Feb 22 2020 01: +0,0.838,47
16,Feb 23 2020 01: +0,0.882,43
17,Feb 24 2020 01: +0,0.915,25
18,Feb 25 2020 01: +0,0.929,33
19,Feb 26 2020 01: +0,0.794,31
20,Feb 27 2020 01: +0,0.887,31
21,Feb 28 2020 01: +0,0.768,39
22,Feb 29 2020 01: +0,0.817,30
23,Mar 01 2020 01: +0,0.779,32
24,Mar 02 2020 01: +0,0.838,27
25,Mar 03 2020 01: +0,0.876,18
26,Mar 04 2020 01: +0,0.814,21
27,Mar 05 2020 01: +0,0.839,39
28,Mar 06 2020 01: +0,0.795,26
29,Mar 07 2020 01: +0,0.755,38
30,Mar 08 2020 01: +0,0.745,44
31,Mar 09 2020 01: +0,0.816,29
32,Mar 10 2020 01: +0,0.85,34
33,Mar 11 2020 01: +0,0.823,23
34,Mar 12 2020 01: +0,0.821,21
35,Mar 13 2020 01: +0,0.783,24
36,Mar 14 2020 01: +0,0.831,32
37,Mar 15 2020 01: +0,0.82,24
38,Mar 16 2020 01: +0,0.808,25
39,Mar 17 2020 01: +0,0.777,31
40,Mar 18 2020 01: +0,0.784,27
41,Mar 19 2020 01: +0,0.776,16
42,Mar 20 2020 01: +0,0.783,30
43,Mar 21 2020 01: +0,0.787,34
44,Mar 22 2020 01: +0,0.743,29
45,Mar 23 2020 01: +0,0.698,36
46,Mar 24 2020 01: +0,0.703,37
47,Mar 25 2020 01: +0,0.732,29
48,Mar 26 2020 01: +0,0.709,44
49,Mar 27 2020 01: +0,0.72,42
50,Mar 28 2020 01: +0,0.778,42
51,Mar 29 2020 01: +0,0.803,25
52,Mar 30 2020 01: +0,0.732,32
53,Mar 31 2020 01: +0,0.79,37
54,Apr 01 2020 01: +0,0.785,30
55,Apr 02 2020 01: +0,0.852,55
56,Apr 03 2020 01: +0,0.769,17
57,Apr 04 2020 01: +0,0.898,36
58,Apr 05 2020 01: +0,0.905,24
59,Apr 06 2020 01: +0,0.961,30
60,Apr 07 2020 01: +0,1.013,29
61,Apr 08 2020 01: +0,0.992,22
62,Apr 09 2020 01: +0,0.975,34
63,Apr 10 2020 01: +0,0.997,19
64,Apr 11 2020 01: +0,0.956,26
65,Apr 12 2020 01: +0,1.024,29
66,Apr 13 2020 01: +0,1.045,20
67,Apr 14 2020 01: +0,1.029,21
68,Apr 15 2020 01: +0,1.037,23
69,Apr 16 2020 01: +0,0.998,31
70,Apr 17 2020 01: +0,0.92,25
71,Apr 18 2020 01: +0,0.976,22
72,Apr 19 2020 01: +0,0.897,32
73,Apr 20 2020 01: +0,0.96,26
74,Apr 21 2020 01: +0,0.961,21
75,Apr 22 2020 01: +0,0.965,13
76,Apr 23 2020 01: +0,0.94,20
77,Apr 24 2020 01: +0,0.888,28
78,Apr 25 2020 01: +0,0.921,30
79,Apr 26 2020 01: +0,0.961,25
80,Apr 27 2020 01: +0,0.946,21
81,Apr 28 2020 01: +0,0.945,21
82,Apr 29 2020 01: +0,0.917,23
83,Apr 30 2020 01: +0,0.945,21
84,May 01 2020 01: +0,0.86,15
85,May 02 2020 01: +0,0.94,34
86,May 03 2020 01: +0,0.982,29
87,May 04 2020 01: +0,0.932,27
88,May 05 2020 01: +0,0.991,24
89,May 06 2020 01: +0,0.963,14
90,May 07 2020 01: +0,1.025,23
91,May 08 2020 01: +0,1.009,24
92,May 09 2020 01: +0,0.985,21
93,May 10 2020 01: +0,1.046,28
94,May 11 2020 01: +0,1.016,21
95,May 12 2020 01: +0,1.084,25
96,May 13 2020 01: +0,1.033,25
97,May 14 2020 01: +0,1.003,23
98,May 15 2020 01: +0,1.022,28
99,May 16 2020 01: +0,1.081,15
100,May 17 2020 01: +0,0.972,17
101,May 18 2020 01: +0,1.024,9
102,May 19 2020 01: +0,1.025,15
103,May 20 2020 01: +0,1.083,16
104,May 21 2020 01: +0,1.076,12
105,May 22 2020 01: +0,1.121,22
106,May 23 2020 01: +0,1.115,18
107,May 24 2020 01: +0,1.055,13
108,May 25 2020 01: +0,1.064,15
109,May 26 2020 01: +0,1.144,14
110,May 27 2020 01: +0,1.131,15
111,May 28 2020 01: +0,1.025,26
112,May 29 2020 01: +0,0.962,25
113,May 30 2020 01: +0,0.953,16
114,May 31 2020 01: +0,0.89,7
115,Jun 01 2020 01: +0,0.985,23
116,Jun 02 2020 01: +0,1.02,16
117,Jun 03 2020 01: +0,1.034,17
118,Jun 04 2020 01: +0,0.954,19
119,Jun 05 2020 01: +0,1.003,24
120,Jun 06 2020 01: +0,0.997,17
121,Jun 07 2020 01: +0,0.955,20
122,Jun 08 2020 01: +0,0.967,15
123,Jun 09 2020 01: +0,1.074,28
124,Jun 10 2020 01: +0,1.116,21
125,Jun 11 2020 01: +0,1.131,23
126,Jun 12 2020 01: +0,0.914,29
127,Jun 13 2020 01: +0,0.934,19
128,Jun 14 2020 01: +0,0.978,8
129,Jun 15 2020 01: +0,0.934,6
130,Jun 16 2020 01: +0,0.966,16
131,Jun 17 2020 01: +0,0.837,17
132,Jun 18 2020 01: +0,0.786,17
133,Jun 19 2020 01: +0,0.752,16
134,Jun 20 2020 01: +0,0.791,30
135,Jun 21 2020 01: +0,0.825,13
136,Jun 22 2020 01: +0,0.714,16
137,Jun 23 2020 01: +0,0.713,17
138,Jun 24 2020 01: +0,0.73,13
139,Jun 25 2020 01: +0,0.662,13
140,Jun 26 2020 01: +0,0.72,20
141,Jun 27 2020 01: +0,0.699,13
142,Jun 28 2020 01: +0,0.678,14
143,Jun 29 2020 01: +0,0.654,13
144,Jun 30 2020 01: +0,0.763,17
145,Jul 01 2020 01: +0,0.799,11
146,Jul 02 2020 01: +0,0.756,16
147,Jul 03 2020 01: +0,0.744,14
148,Jul 04 2020 01: +0,0.734,23
149,Jul 05 2020 01: +0,0.764,17
150,Jul 06 2020 01: +0,0.83,10
151,Jul 07 2020 01: +0,0.879,16
152,Jul 08 2020 01: +0,0.773,9
153,Jul 09 2020 01: +0,0.826,11
154,Jul 10 2020 01: +0,0.836,16
155,Jul 11 2020 01: +0,0.873,15
156,Jul 12 2020 01: +0,0.881,17
157,Jul 13 2020 01: +0,0.916,16
158,Jul 14 2020 01: +0,0.971,11
159,Jul 15 2020 01: +0,0.984,15
160,Jul 16 2020 01: +0,0.985,14
161,Jul 17 2020 01: +0,0.96,13
162,Jul 18 2020 01: +0,0.923,9
163,Jul 19 2020 01: +0,0.964,17
164,Jul 20 2020 01: +0,0.878,9
165,Jul 21 2020 01: +0,0.981,7
166,Jul 22 2020 01: +0,0.957,9
167,Jul 23 2020 01: +0,0.952,16
168,Jul 24 2020 01: +0,0.915,9
169,Jul 25 2020 01: +0,0.94,21
170,Jul 26 2020 01: +0,0.943,15
171,Jul 27 2020 01: +0,0.899,17
172,Jul 28 2020 01: +0,0.841,6
173,Jul 29 2020 01: +0,0.821,11
174,Jul 30 2020 01: +0,0.87,12
175,Jul 31 2020 01: +0,0.851,20
176,Aug 01 2020 01: +0,0.83,24
177,Aug 02 2020 01: +0,0.797,24
178,Aug 03 2020 01: +0,0.804,8
179,Aug 04 2020 01: +0,0.741,27
180,Aug 05 2020 01: +0,0.836,9
181,Aug 06 2020 01: +0,0.719,16
182,Aug 07 2020 01: +0,0.748,14
183,Aug 08 2020 01: +0,0.725,21
184,Aug 09 2020 01: +0,0.7,11
185,Aug 10 2020 01: +0,0.676,24
186,Aug 11 2020 01: +0,0.713,22
187,Aug 12 2020 01: +0,0.703,19
188,Aug 13 2020 01: +0,0.672,17
189,Aug 14 2020 01: +0,0.694,34
190,Aug 15 2020 01: +0,0.698,22
191,Aug 16 2020 01: +0,0.727,25
192,Aug 17 2020 01: +0,0.68,23
193,Aug 18 2020 01: +0,0.608,35
194,Aug 19 2020 01: +0,0.602,17
195,Aug 20 2020 01: +0,0.638,28
196,Aug 21 2020 01: +0,0.668,28
197,Aug 22 2020 01: +0,0.679,35
198,Aug 23 2020 01: +0,0.594,21
199,Aug 24 2020 01: +0,0.633,21
200,Aug 25 2020 01: +0,0.661,26
201,Aug 26 2020 01: +0,0.641,30
202,Aug 27 2020 01: +0,0.629,25
203,Aug 28 2020 01: +0,0.637,15
204,Aug 29 2020 01: +0,0.651,19
205,Aug 30 2020 01: +0,0.61,16
206,Aug 31 2020 01: +0,0.601,14
207,Sep 01 2020 01: +0,0.603,8
208,Sep 02 2020 01: +0,0.628,18
209,Sep 03 2020 01: +0,0.648,17
210,Sep 04 2020 01: +0,0.636,21
211,Sep 05 2020 01: +0,0.628,12
212,Sep 06 2020 01: +0,0.624,17
213,Sep 07 2020 01: +0,0.643,24
214,Sep 08 2020 01: +0,0.661,15
215,Sep 09 2020 01: +0,0.618,30
216,Sep 10 2020 01: +0,0.648,20
217,Sep 11 2020 01: +0,0.612,18
218,Sep 12 2020 01: +0,0.626,16
219,Sep 13 2020 01: +0,0.606,15
220,Sep 14 2020 01: +0,0.581,18
221,Sep 15 2020 01: +0,0.55,17
222,Sep 16 2020 01: +0,0.59,9
223,Sep 17 2020 01: +0,0.559,17
224,Sep 18 2020 01: +0,0.566,22
225,Sep 19 2020 01: +0,0.561,16
226,Sep 20 2020 01: +0,0.569,16
227,Sep 21 2020 01: +0,0.577,16
228,Sep 22 2020 01: +0,0.617,11
229,Sep 23 2020 01: +0,0.589,21
230,Sep 24 2020 01: +0,0.507,14
231,Sep 25 2020 01: +0,0.564,16
232,Sep 26 2020 01: +0,0.591,16
233,Sep 27 2020 01: +0,0.545,11
234,Sep 28 2020 01: +0,0.54,15
235,Sep 29 2020 01: +0,0.565,13
236,Sep 30 2020 01: +0,0.586,14
237,Oct 01 2020 01: +0,0.551,15
238,Oct 02 2020 01: +0,0.567,21
239,Oct 03 2020 01: +0,0.61,10
240,Oct 04 2020 01: +0,0.531,8
241,Oct 05 2020 01: +0,0.554,18
242,Oct 06 2020 01: +0,0.529,18
243,Oct 07 2020 01: +0,0.566,12
244,Oct 08 2020 01: +0,0.53,13
245,Oct 09 2020 01: +0,0.538,13
246,Oct 10 2020 01: +0,0.544,19
247,Oct 11 2020 01: +0,0.554,24
248,Oct 12 2020 01: +0,0.547,28
249,Oct 13 2020 01: +0,0.563,13
250,Oct 14 2020 01: +0,0.519,20
251,Oct 15 2020 01: +0,0.555,18
252,Oct 16 2020 01: +0,0.512,17
253,Oct 17 2020 01: +0,0.538,23
254,Oct 18 2020 01: +0,0.532,18
255,Oct 19 2020 01: +0,0.559,15
256,Oct 20 2020 01: +0,0.533,13
257,Oct 21 2020 01: +0,0.535,16
258,Oct 22 2020 01: +0,0.546,17
259,Oct 23 2020 01: +0,0.56,13
260,Oct 24 2020 01: +0,0.515,25
261,Oct 25 2020 01: +0,0.537,24
262,Oct 26 2020 01: +0,0.53,20
263,Oct 27 2020 01: +0,0.533,15
