,time,price,volume
0,Nov 01 2019 01: +0,3.765,5
1,Nov 02 2019 01: +0,3.226,7
2,Nov 03 2019 01: +0,3.365,6
3,Nov 04 2019 01: +0,3.845,4
4,Nov 05 2019 01: +0,2.998,1
5,Nov 06 2019 01: +0,3.209,2
6,Nov 07 2019 01: +0,2.693,5
7,Nov 08 2019 01: +0,1.82,7
8,Nov 09 2019 01: +0,2.122,4
9,Nov 10 2019 01: +0,2.085,2
10,Nov 11 2019 01: +0,1.512,4
11,Nov 12 2019 01: +0,2.007,3
12,Nov 13 2019 01: +0,1.675,5
13,Nov 14 2019 01: +0,1.643,2
14,Nov 15 2019 01: +0,1.58,4
15,Nov 16 2019 01: +0,1.612,6
16,Nov 17 2019 01: +0,1.795,4
17,Nov 18 2019 01: +0,1.75,1
18,Nov 19 2019 01: +0,1.343,3
19,Nov 20 2019 01: +0,1.608,3
20,Nov 21 2019 01: +0,1.383,4
21,Nov 22 2019 01: +0,1.392,2
22,Nov 23 2019 01: +0,1.52,1
23,Nov 24 2019 01: +0,1.282,6
24,Nov 25 2019 01: +0,1.323,1
25,Nov 26 2019 01: +0,1.311,3
26,Nov 27 2019 01: +0,1.247,6
27,Nov 28 2019 01: +0,1.141,5
28,Nov 29 2019 01: +0,1.138,4
29,Nov 30 2019 01: +0,1.336,3
30,Dec 01 2019 01: +0,1.318,6
31,Dec 02 2019 01: +0,1.456,2
32,Dec 03 2019 01: +0,1.562,2
33,Dec 04 2019 01: +0,1.284,2
34,Dec 05 2019 01: +0,1.174,6
35,Dec 06 2019 01: +0,1.206,3
36,Dec 07 2019 01: +0,1.071,4
37,Dec 08 2019 01: +0,1.426,6
38,Dec 09 2019 01: +0,1.45,6
39,Dec 10 2019 01: +0,1.545,5
40,Dec 11 2019 01: +0,1.337,2
41,Dec 12 2019 01: +0,1.315,2
42,Dec 13 2019 01: +0,1.182,3
43,Dec 14 2019 01: +0,1.289,5
44,Dec 15 2019 01: +0,1.247,2
45,Dec 16 2019 01: +0,1.237,4
46,Dec 17 2019 01: +0,1.273,3
47,Dec 18 2019 01: +0,1.293,4
48,Dec 19 2019 01: +0,1.197,3
49,Dec 20 2019 01: +0,1.314,2
50,Dec 21 2019 01: +0,1.239,5
51,Dec 22 2019 01: +0,1.419,5
52,Dec 23 2019 01: +0,1.365,2
53,Dec 24 2019 01: +0,1.445,6
54,Dec 25 2019 01: +0,1.547,6
55,Dec 26 2019 01: +0,1.559,6
56,Dec 27 2019 01: +0,1.674,1
57,Dec 28 2019 01: +0,1.36,13
58,Dec 29 2019 01: +0,1.417,6
59,Dec 30 2019 01: +0,1.542,2
60,Dec 31 2019 01: +0,1.435,5
61,Jan 01 2020 01: +0,1.539,3
62,Jan 02 2020 01: +0,1.505,4
63,Jan 03 2020 01: +0,1.433,8
64,Jan 04 2020 01: +0,1.532,6
65,Jan 05 2020 01: +0,1.435,6
66,Jan 06 2020 01: +0,1.697,5
67,Jan 07 2020 01: +0,1.589,6
68,Jan 08 2020 01: +0,1.73,7
69,Jan 09 2020 01: +0,1.308,3
70,Jan 10 2020 01: +0,1.288,7
71,Jan 11 2020 01: +0,1.229,5
72,Jan 12 2020 01: +0,1.409,7
73,Jan 13 2020 01: +0,1.31,1
74,Jan 14 2020 01: +0,1.396,4
75,Jan 15 2020 01: +0,1.18,3
76,Jan 16 2020 01: +0,1.199,5
77,Jan 17 2020 01: +0,1.239,4
78,Jan 18 2020 01: +0,1.252,5
79,Jan 19 2020 01: +0,1.362,9
80,Jan 20 2020 01: +0,1.388,6
81,Jan 21 2020 01: +0,1.383,5
82,Jan 22 2020 01: +0,1.363,1
83,Jan 24 2020 01: +0,1.299,5
84,Jan 25 2020 01: +0,1.365,2
85,Jan 26 2020 01: +0,1.356,6
86,Jan 27 2020 01: +0,1.49,5
87,Jan 28 2020 01: +0,1.519,3
88,Jan 29 2020 01: +0,1.543,4
89,Jan 30 2020 01: +0,1.403,5
90,Jan 31 2020 01: +0,1.125,4
91,Feb 01 2020 01: +0,1.392,5
92,Feb 02 2020 01: +0,1.192,4
93,Feb 03 2020 01: +0,1.174,4
94,Feb 04 2020 01: +0,1.292,3
95,Feb 05 2020 01: +0,1.281,5
96,Feb 06 2020 01: +0,1.239,6
97,Feb 07 2020 01: +0,1.228,4
98,Feb 08 2020 01: +0,1.325,2
99,Feb 09 2020 01: +0,1.302,6
100,Feb 10 2020 01: +0,1.265,3
101,Feb 11 2020 01: +0,1.33,2
102,Feb 12 2020 01: +0,1.263,4
103,Feb 13 2020 01: +0,1.098,3
104,Feb 14 2020 01: +0,1.178,3
105,Feb 15 2020 01: +0,1.176,4
106,Feb 16 2020 01: +0,1.216,11
107,Feb 17 2020 01: +0,1.309,4
108,Feb 18 2020 01: +0,1.246,4
109,Feb 19 2020 01: +0,1.21,6
110,Feb 20 2020 01: +0,1.199,3
111,Feb 21 2020 01: +0,1.149,3
112,Feb 22 2020 01: +0,1.108,3
113,Feb 23 2020 01: +0,1.138,2
114,Feb 24 2020 01: +0,1.043,2
115,Feb 26 2020 01: +0,1.008,7
116,Feb 27 2020 01: +0,0.988,5
