,time,price,volume
0,Sep 17 2020 01: +0,3.115,58
1,Sep 18 2020 01: +0,2.264,111
2,Sep 19 2020 01: +0,1.935,83
3,Sep 20 2020 01: +0,1.89,67
4,Sep 21 2020 01: +0,1.902,54
5,Sep 22 2020 01: +0,1.976,57
6,Sep 23 2020 01: +0,1.812,43
7,Sep 24 2020 01: +0,1.54,65
8,Sep 25 2020 01: +0,1.186,80
9,Sep 26 2020 01: +0,1.331,73
10,Sep 27 2020 01: +0,1.409,39
11,Sep 28 2020 01: +0,1.286,47
12,Sep 29 2020 01: +0,1.231,33
13,Sep 30 2020 01: +0,1.21,35
14,Oct 01 2020 01: +0,1.204,68
15,Oct 02 2020 01: +0,0.957,63
16,Oct 03 2020 01: +0,1.021,59
17,Oct 04 2020 01: +0,1.035,49
18,Oct 05 2020 01: +0,1.219,48
19,Oct 06 2020 01: +0,1.145,41
20,Oct 07 2020 01: +0,1.17,41
21,Oct 08 2020 01: +0,1.081,44
22,Oct 09 2020 01: +0,1.321,136
23,Oct 10 2020 01: +0,1.313,69
24,Oct 11 2020 01: +0,1.262,78
25,Oct 12 2020 01: +0,1.334,59
26,Oct 13 2020 01: +0,1.301,55
27,Oct 14 2020 01: +0,1.25,44
28,Oct 15 2020 01: +0,1.208,86
29,Oct 16 2020 01: +0,1.191,75
30,Oct 17 2020 01: +0,1.249,75
31,Oct 18 2020 01: +0,1.159,37
32,Oct 19 2020 01: +0,1.223,55
33,Oct 20 2020 01: +0,1.198,51
34,Oct 21 2020 01: +0,1.191,42
35,Oct 22 2020 01: +0,1.138,34
36,Oct 23 2020 01: +0,1.036,39
37,Oct 24 2020 01: +0,1.161,45
38,Oct 25 2020 01: +0,1.093,50
39,Oct 26 2020 01: +0,1.119,46
40,Oct 27 2020 01: +0,1.036,36
41,Oct 28 2020 01: +0,1.024,44
42,Oct 29 2020 01: +0,1.012,44
43,Oct 30 2020 01: +0,1.104,136
44,Oct 31 2020 01: +0,1.01,51
45,Nov 01 2020 01: +0,1.073,45
46,Nov 02 2020 01: +0,1.019,50
47,Nov 03 2020 01: +0,1.072,43
48,Nov 04 2020 01: +0,1.085,47
49,Nov 05 2020 01: +0,1.123,48
50,Nov 06 2020 01: +0,1.163,64
51,Nov 07 2020 01: +0,1.186,65
52,Nov 08 2020 01: +0,1.217,70
53,Nov 09 2020 01: +0,1.204,48
54,Nov 10 2020 01: +0,1.26,61
55,Nov 11 2020 01: +0,1.221,47
56,Nov 12 2020 01: +0,1.248,49
57,Nov 13 2020 01: +0,1.263,59
58,Nov 14 2020 01: +0,1.282,69
59,Nov 15 2020 01: +0,1.317,51
60,Nov 16 2020 01: +0,1.218,38
61,Nov 17 2020 01: +0,1.294,46
62,Nov 18 2020 01: +0,1.238,37
63,Nov 19 2020 01: +0,1.302,45
64,Nov 20 2020 01: +0,1.265,51
65,Nov 21 2020 01: +0,1.267,51
66,Nov 22 2020 01: +0,1.33,41
67,Nov 23 2020 01: +0,1.344,37
68,Nov 24 2020 01: +0,1.285,44
69,Nov 25 2020 01: +0,1.222,44
70,Nov 26 2020 01: +0,1.216,51
71,Nov 27 2020 01: +0,1.316,90
72,Nov 28 2020 01: +0,1.246,59
73,Nov 29 2020 01: +0,1.296,58
74,Nov 30 2020 01: +0,1.329,54
75,Dec 01 2020 01: +0,1.33,39
76,Dec 02 2020 01: +0,1.382,30
77,Dec 03 2020 01: +0,1.397,67
78,Dec 04 2020 01: +0,1.408,94
79,Dec 05 2020 01: +0,1.556,92
80,Dec 06 2020 01: +0,1.747,88
81,Dec 07 2020 01: +0,1.756,66
82,Dec 08 2020 01: +0,1.725,58
83,Dec 09 2020 01: +0,1.705,55
84,Dec 10 2020 01: +0,1.656,54
85,Dec 11 2020 01: +0,1.805,73
86,Dec 12 2020 01: +0,1.866,67
87,Dec 13 2020 01: +0,1.984,53
88,Dec 14 2020 01: +0,2.041,68
89,Dec 15 2020 01: +0,2.159,40
90,Dec 16 2020 01: +0,2.321,42
91,Dec 17 2020 01: +0,2.213,55
92,Dec 18 2020 01: +0,2.329,58
93,Dec 19 2020 01: +0,2.514,61
94,Dec 20 2020 01: +0,2.276,69
95,Dec 21 2020 01: +0,2.44,46
96,Dec 22 2020 01: +0,2.463,73
97,Dec 23 2020 01: +0,2.367,34
98,Dec 24 2020 01: +0,2.459,55
99,Dec 25 2020 01: +0,2.594,64
100,Dec 26 2020 01: +0,2.834,65
101,Dec 27 2020 01: +0,2.718,54
102,Dec 28 2020 01: +0,2.486,57
103,Dec 29 2020 01: +0,2.671,63
104,Dec 30 2020 01: +0,2.796,50
105,Dec 31 2020 01: +0,2.739,51
106,Jan 01 2021 01: +0,2.959,59
107,Jan 02 2021 01: +0,3.045,74
108,Jan 03 2021 01: +0,3.101,73
109,Jan 04 2021 01: +0,3.12,71
110,Jan 05 2021 01: +0,3.18,90
111,Jan 06 2021 01: +0,3.517,52
112,Jan 07 2021 01: +0,3.68,70
113,Jan 08 2021 01: +0,3.741,66
114,Jan 09 2021 01: +0,3.905,65
115,Jan 10 2021 01: +0,4.29,69
116,Jan 11 2021 01: +0,4.688,73
117,Jan 12 2021 01: +0,4.434,85
118,Jan 13 2021 01: +0,5.047,69
119,Jan 14 2021 01: +0,5.13,77
120,Jan 15 2021 01: +0,5.238,80
121,Jan 16 2021 01: +0,5.659,86
122,Jan 17 2021 01: +0,5.435,75
123,Jan 18 2021 01: +0,5.449,63
124,Jan 19 2021 01: +0,6.106,70
125,Jan 20 2021 01: +0,6.856,56
126,Jan 21 2021 01: +0,6.053,73
127,Jan 22 2021 01: +0,5.494,50
128,Jan 23 2021 01: +0,5.787,83
129,Jan 24 2021 01: +0,5.877,56
130,Jan 25 2021 01: +0,5.854,58
131,Jan 26 2021 01: +0,5.95,44
132,Jan 27 2021 01: +0,6.174,46
133,Jan 28 2021 01: +0,5.944,54
134,Jan 29 2021 01: +0,5.63,50
135,Jan 30 2021 01: +0,5.681,49
136,Jan 31 2021 01: +0,5.692,40
137,Feb 01 2021 01: +0,5.726,58
138,Feb 02 2021 01: +0,5.591,38
139,Feb 03 2021 01: +0,5.324,39
140,Feb 04 2021 01: +0,5.252,50
141,Feb 05 2021 01: +0,5.294,58
142,Feb 06 2021 01: +0,5.803,63
143,Feb 07 2021 01: +0,5.963,53
144,Feb 08 2021 01: +0,5.969,64
145,Feb 09 2021 01: +0,5.883,49
146,Feb 10 2021 01: +0,6.029,63
147,Feb 11 2021 01: +0,5.903,47
148,Feb 12 2021 01: +0,5.53,42
149,Feb 13 2021 01: +0,5.513,64
150,Feb 14 2021 01: +0,5.939,67
151,Feb 15 2021 01: +0,6.311,58
152,Feb 16 2021 01: +0,5.434,45
153,Feb 17 2021 01: +0,4.795,47
154,Feb 18 2021 01: +0,5.519,54
155,Feb 19 2021 01: +0,5.543,65
156,Feb 20 2021 01: +0,5.753,59
157,Feb 21 2021 01: +0,5.552,51
158,Feb 22 2021 01: +0,5.808,54
159,Feb 23 2021 01: +0,6.019,57
160,Feb 24 2021 01: +0,6.071,60
161,Feb 25 2021 01: +0,5.719,55
162,Feb 26 2021 01: +0,5.688,39
163,Feb 27 2021 01: +0,5.459,41
164,Feb 28 2021 01: +0,5.179,40
165,Mar 01 2021 01: +0,5.482,38
166,Mar 02 2021 01: +0,5.328,31
167,Mar 03 2021 01: +0,4.739,31
168,Mar 04 2021 01: +0,4.891,33
169,Mar 05 2021 01: +0,5.036,49
170,Mar 06 2021 01: +0,5.183,65
171,Mar 07 2021 01: +0,5.513,54
172,Mar 08 2021 01: +0,5.277,41
173,Mar 09 2021 01: +0,5.361,48
174,Mar 10 2021 01: +0,5.334,37
175,Mar 11 2021 01: +0,5.38,52
176,Mar 12 2021 01: +0,5.502,65
177,Mar 13 2021 01: +0,5.795,52
178,Mar 14 2021 01: +0,5.986,58
179,Mar 15 2021 01: +0,6.035,42
180,Mar 16 2021 01: +0,5.861,49
181,Mar 17 2021 01: +0,5.771,38
182,Mar 18 2021 01: +0,6.195,52
183,Mar 19 2021 01: +0,7.145,80
184,Mar 20 2021 01: +0,7.193,62
185,Mar 21 2021 01: +0,7.341,69
186,Mar 22 2021 01: +0,7.634,41
187,Mar 23 2021 01: +0,7.165,47
188,Mar 24 2021 01: +0,7.364,29
189,Mar 25 2021 01: +0,7.75,27
190,Mar 26 2021 01: +0,8.226,43
191,Mar 27 2021 01: +0,8.344,50
192,Mar 28 2021 01: +0,8.093,36
193,Mar 29 2021 01: +0,7.607,42
194,Mar 30 2021 01: +0,8.548,29
195,Mar 31 2021 01: +0,7.719,22
196,Apr 01 2021 01: +0,8.253,36
197,Apr 02 2021 01: +0,9.105,43
198,Apr 03 2021 01: +0,9.166,38
199,Apr 04 2021 01: +0,9.153,40
200,Apr 05 2021 01: +0,8.73,28
201,Apr 06 2021 01: +0,9.885,36
202,Apr 07 2021 01: +0,9.398,33
203,Apr 08 2021 01: +0,8.609,32
204,Apr 09 2021 01: +0,9.343,45
205,Apr 10 2021 01: +0,8.654,52
206,Apr 11 2021 01: +0,8.336,30
207,Apr 12 2021 01: +0,8.867,36
208,Apr 13 2021 01: +0,8.03,28
209,Apr 14 2021 02: +0,8.845,2
210,Apr 14 2021 03: +0,8.91,2
211,Apr 14 2021 04: +0,9.13,1
212,Apr 14 2021 06: +0,7.742,2
213,Apr 14 2021 08: +0,9.08,1
214,Apr 14 2021 09: +0,5.99,1
215,Apr 14 2021 10: +0,6.665,2
216,Apr 14 2021 11: +0,7.647,1
217,Apr 14 2021 14: +0,8.08,3
