,time,price,volume
0,Nov 14 2019 01: +0,1.479,5
1,Nov 15 2019 01: +0,1.149,51
2,Nov 16 2019 01: +0,1.267,63
3,Nov 17 2019 01: +0,1.814,38
4,Nov 18 2019 01: +0,1.739,35
5,Nov 19 2019 01: +0,1.181,43
6,Nov 20 2019 01: +0,1.247,38
7,Nov 21 2019 01: +0,1.136,44
8,Nov 22 2019 01: +0,2.011,143
9,Nov 23 2019 01: +0,2.361,69
10,Nov 24 2019 01: +0,2.09,67
11,Nov 25 2019 01: +0,1.918,57
12,Nov 26 2019 01: +0,1.721,39
13,Nov 27 2019 01: +0,1.705,50
14,Nov 28 2019 01: +0,1.728,54
15,Nov 29 2019 01: +0,1.511,48
16,Nov 30 2019 01: +0,1.656,39
17,Dec 01 2019 01: +0,1.741,41
18,Dec 02 2019 01: +0,1.692,37
19,Dec 03 2019 01: +0,1.493,20
20,Dec 04 2019 01: +0,1.403,29
21,Dec 05 2019 01: +0,1.336,33
22,Dec 06 2019 01: +0,1.687,35
23,Dec 07 2019 01: +0,1.528,36
24,Dec 08 2019 01: +0,1.748,37
25,Dec 09 2019 01: +0,1.565,26
26,Dec 10 2019 01: +0,1.782,30
27,Dec 11 2019 01: +0,1.986,27
28,Dec 12 2019 01: +0,2.123,25
29,Dec 13 2019 01: +0,2.823,97
30,Dec 14 2019 01: +0,2.703,61
31,Dec 15 2019 01: +0,2.588,52
32,Dec 16 2019 01: +0,2.435,40
33,Dec 17 2019 01: +0,2.197,23
34,Dec 18 2019 01: +0,2.252,52
35,Dec 19 2019 01: +0,2.035,44
36,Dec 20 2019 01: +0,1.829,37
37,Dec 21 2019 01: +0,2.107,40
38,Dec 22 2019 01: +0,2.153,39
39,Dec 23 2019 01: +0,2.224,41
40,Dec 24 2019 01: +0,2.66,34
41,Dec 25 2019 01: +0,3.97,55
42,Dec 26 2019 01: +0,3.91,46
43,Dec 27 2019 01: +0,3.219,33
44,Dec 28 2019 01: +0,3.188,46
45,Dec 29 2019 01: +0,2.994,50
46,Dec 30 2019 01: +0,3.201,32
47,Dec 31 2019 01: +0,3.018,20
48,Jan 01 2020 01: +0,3.51,27
49,Jan 02 2020 01: +0,3.745,45
50,Jan 03 2020 01: +0,3.593,27
51,Jan 04 2020 01: +0,3.813,40
52,Jan 05 2020 01: +0,3.517,30
53,Jan 06 2020 01: +0,3.293,26
54,Jan 07 2020 01: +0,2.942,21
55,Jan 08 2020 01: +0,3.213,29
56,Jan 09 2020 01: +0,3.662,28
57,Jan 10 2020 01: +0,3.116,21
58,Jan 11 2020 01: +0,3.426,45
59,Jan 12 2020 01: +0,3.297,28
60,Jan 13 2020 01: +0,3.658,25
61,Jan 14 2020 01: +0,3.54,17
62,Jan 15 2020 01: +0,3.189,23
63,Jan 16 2020 01: +0,3.156,21
64,Jan 17 2020 01: +0,2.975,21
65,Jan 18 2020 01: +0,3.096,28
66,Jan 19 2020 01: +0,3.258,35
67,Jan 20 2020 01: +0,3.48,21
68,Jan 21 2020 01: +0,3.653,22
