,time,price,volume
0,Apr 12 2018 01: +0,1.35,1
1,Apr 13 2018 01: +0,1.01,12
2,Apr 14 2018 01: +0,0.955,10
3,Apr 15 2018 01: +0,0.973,9
4,Apr 16 2018 01: +0,1.059,6
5,Apr 17 2018 01: +0,0.953,6
6,Apr 18 2018 01: +0,0.99,9
7,Apr 19 2018 01: +0,0.936,12
8,Apr 20 2018 01: +0,0.888,6
9,Apr 21 2018 01: +0,0.83,8
10,Apr 22 2018 01: +0,0.807,15
11,Apr 23 2018 01: +0,0.819,8
12,Apr 24 2018 01: +0,0.993,6
13,Apr 25 2018 01: +0,1.065,2
14,Apr 26 2018 01: +0,1.153,23
15,Apr 27 2018 01: +0,1.219,9
16,Apr 28 2018 01: +0,1.244,3
17,Apr 29 2018 01: +0,1.013,6
18,Apr 30 2018 01: +0,1.069,9
19,May 01 2018 01: +0,0.972,4
20,May 02 2018 01: +0,1.003,6
21,May 03 2018 01: +0,1.067,14
22,May 04 2018 01: +0,1.68,6
23,May 05 2018 01: +0,1.01,2
24,May 06 2018 01: +0,1.234,6
25,May 07 2018 01: +0,1.1,1
26,May 08 2018 01: +0,1.026,3
27,May 09 2018 01: +0,0.967,8
28,May 10 2018 01: +0,0.951,4
29,May 11 2018 01: +0,1.087,3
30,May 12 2018 01: +0,1.053,5
31,May 13 2018 01: +0,0.861,5
32,May 14 2018 01: +0,1.021,4
33,May 15 2018 01: +0,1.089,2
34,May 16 2018 01: +0,1.047,9
35,May 17 2018 01: +0,1.004,3
36,May 18 2018 01: +0,1.017,5
37,May 19 2018 01: +0,0.991,7
38,May 20 2018 01: +0,0.983,3
39,May 21 2018 01: +0,0.771,3
40,May 22 2018 01: +0,0.893,5
41,May 23 2018 01: +0,0.768,2
42,May 24 2018 01: +0,0.869,6
43,May 25 2018 01: +0,0.892,2
44,May 26 2018 01: +0,0.897,3
45,May 27 2018 01: +0,0.826,4
46,May 28 2018 01: +0,0.865,6
47,May 29 2018 01: +0,0.953,3
48,May 30 2018 01: +0,1.052,2
49,May 31 2018 01: +0,0.899,4
50,Jun 01 2018 01: +0,0.796,4
51,Jun 02 2018 01: +0,0.886,3
52,Jun 03 2018 01: +0,1.034,6
53,Jun 04 2018 01: +0,0.856,2
54,Jun 05 2018 01: +0,0.834,2
55,Jun 06 2018 01: +0,0.975,6
56,Jun 07 2018 01: +0,1.012,7
57,Jun 08 2018 01: +0,0.962,7
58,Jun 09 2018 01: +0,0.999,3
59,Jun 10 2018 01: +0,1.009,6
60,Jun 11 2018 01: +0,0.953,4
61,Jun 12 2018 01: +0,0.912,4
62,Jun 13 2018 01: +0,1.0,4
63,Jun 14 2018 01: +0,0.896,2
64,Jun 15 2018 01: +0,0.885,5
65,Jun 16 2018 01: +0,0.99,4
66,Jun 17 2018 01: +0,0.975,5
67,Jun 18 2018 01: +0,0.976,7
68,Jun 19 2018 01: +0,1.02,7
69,Jun 20 2018 01: +0,0.959,4
70,Jun 21 2018 01: +0,0.861,3
71,Jun 22 2018 01: +0,1.034,5
72,Jun 23 2018 01: +0,0.887,4
73,Jun 24 2018 01: +0,0.996,3
74,Jun 25 2018 01: +0,0.983,3
75,Jun 26 2018 01: +0,0.816,3
76,Jun 27 2018 01: +0,0.98,2
77,Jun 28 2018 01: +0,0.751,4
78,Jun 29 2018 01: +0,0.819,6
79,Jun 30 2018 01: +0,0.799,4
80,Jul 01 2018 01: +0,0.973,4
81,Jul 02 2018 01: +0,0.88,7
82,Jul 03 2018 01: +0,0.958,3
83,Jul 04 2018 01: +0,0.969,3
84,Jul 05 2018 01: +0,0.923,5
85,Jul 06 2018 01: +0,0.99,1
86,Jul 07 2018 01: +0,0.995,7
87,Jul 08 2018 01: +0,1.05,6
88,Jul 09 2018 01: +0,0.962,6
89,Jul 10 2018 01: +0,0.941,4
90,Jul 11 2018 01: +0,1.045,2
91,Jul 12 2018 01: +0,0.801,4
92,Jul 13 2018 01: +0,0.895,5
93,Jul 14 2018 01: +0,0.981,7
94,Jul 15 2018 01: +0,1.022,6
95,Jul 16 2018 01: +0,1.05,6
96,Jul 17 2018 01: +0,0.963,5
97,Jul 18 2018 01: +0,1.032,3
98,Jul 19 2018 01: +0,0.803,3
99,Jul 20 2018 01: +0,0.877,7
100,Jul 21 2018 01: +0,0.863,4
101,Jul 22 2018 01: +0,0.966,3
102,Jul 23 2018 01: +0,1.029,9
103,Jul 24 2018 01: +0,1.033,11
104,Jul 25 2018 01: +0,0.94,4
105,Jul 26 2018 01: +0,1.079,4
106,Jul 27 2018 01: +0,1.115,3
107,Jul 28 2018 01: +0,1.125,2
108,Jul 29 2018 01: +0,1.067,2
109,Jul 30 2018 01: +0,0.847,6
110,Jul 31 2018 01: +0,1.369,10
111,Aug 01 2018 01: +0,1.19,5
112,Aug 02 2018 01: +0,1.354,27
113,Aug 03 2018 01: +0,1.058,11
114,Aug 04 2018 01: +0,1.298,3
115,Aug 05 2018 01: +0,1.206,3
116,Aug 06 2018 01: +0,1.046,8
117,Aug 07 2018 01: +0,0.74,3
118,Aug 08 2018 01: +0,1.445,5
119,Aug 09 2018 01: +0,1.077,5
120,Aug 10 2018 01: +0,1.214,6
121,Aug 11 2018 01: +0,0.967,3
122,Aug 12 2018 01: +0,1.017,7
123,Aug 13 2018 01: +0,1.162,2
124,Aug 14 2018 01: +0,0.836,5
125,Aug 15 2018 01: +0,1.042,4
126,Aug 16 2018 01: +0,0.752,5
127,Aug 17 2018 01: +0,0.926,7
128,Aug 18 2018 01: +0,1.084,3
129,Aug 19 2018 01: +0,1.05,2
130,Aug 20 2018 01: +0,0.92,2
131,Aug 21 2018 01: +0,0.918,3
132,Aug 22 2018 01: +0,0.824,4
133,Aug 23 2018 01: +0,0.907,6
134,Aug 24 2018 01: +0,1.02,4
135,Aug 25 2018 01: +0,1.05,2
136,Aug 26 2018 01: +0,1.082,7
137,Aug 27 2018 01: +0,1.074,2
138,Aug 28 2018 01: +0,1.07,1
139,Aug 29 2018 01: +0,0.836,2
140,Aug 30 2018 01: +0,0.828,4
141,Aug 31 2018 01: +0,0.815,2
142,Sep 01 2018 01: +0,0.78,2
143,Sep 02 2018 01: +0,0.759,7
144,Sep 03 2018 01: +0,0.786,8
145,Sep 04 2018 01: +0,0.84,1
146,Sep 05 2018 01: +0,0.728,3
147,Sep 06 2018 01: +0,0.742,4
148,Sep 07 2018 01: +0,0.946,4
149,Sep 08 2018 01: +0,0.872,3
150,Sep 09 2018 01: +0,1.044,8
151,Sep 11 2018 01: +0,1.07,3
152,Sep 12 2018 01: +0,1.1,3
153,Sep 13 2018 01: +0,1.025,3
154,Sep 14 2018 01: +0,1.061,2
155,Sep 15 2018 01: +0,0.967,2
156,Sep 16 2018 01: +0,1.002,4
157,Sep 17 2018 01: +0,0.815,2
158,Sep 18 2018 01: +0,0.935,2
159,Sep 19 2018 01: +0,0.999,2
160,Sep 20 2018 01: +0,1.023,2
161,Sep 21 2018 01: +0,1.061,2
162,Sep 22 2018 01: +0,1.068,3
