,time,price,volume
0,Mar 08 2019 01: +0,1.291,8
1,Mar 09 2019 01: +0,1.117,89
2,Mar 10 2019 01: +0,1.218,57
3,Mar 11 2019 01: +0,1.168,46
4,Mar 12 2019 01: +0,1.217,39
5,Mar 13 2019 01: +0,1.191,50
6,Mar 14 2019 01: +0,1.222,57
7,Mar 15 2019 01: +0,1.206,93
8,Mar 16 2019 01: +0,1.221,90
9,Mar 17 2019 01: +0,1.207,61
10,Mar 18 2019 01: +0,1.155,48
11,Mar 19 2019 01: +0,1.184,38
12,Mar 20 2019 01: +0,1.151,59
13,Mar 21 2019 01: +0,1.166,38
14,Mar 22 2019 01: +0,1.119,53
15,Mar 23 2019 01: +0,1.091,72
16,Mar 24 2019 01: +0,1.101,65
17,Mar 25 2019 01: +0,1.13,38
18,Mar 26 2019 01: +0,1.151,51
19,Mar 27 2019 01: +0,1.135,52
20,Mar 28 2019 01: +0,1.134,44
21,Mar 29 2019 01: +0,1.093,48
22,Mar 30 2019 01: +0,1.067,51
23,Mar 31 2019 01: +0,1.07,37
24,Apr 01 2019 01: +0,1.061,38
25,Apr 02 2019 01: +0,1.103,40
26,Apr 03 2019 01: +0,1.142,39
27,Apr 04 2019 01: +0,1.152,39
28,Apr 05 2019 01: +0,1.152,29
29,Apr 06 2019 01: +0,1.053,57
30,Apr 07 2019 01: +0,1.086,49
31,Apr 08 2019 01: +0,1.149,32
32,Apr 09 2019 01: +0,1.145,55
33,Apr 10 2019 01: +0,1.168,32
34,Apr 11 2019 01: +0,1.156,44
35,Apr 12 2019 01: +0,1.179,37
36,Apr 13 2019 01: +0,1.132,35
37,Apr 14 2019 01: +0,1.18,36
38,Apr 15 2019 01: +0,1.192,42
39,Apr 16 2019 01: +0,1.152,26
40,Apr 17 2019 01: +0,1.199,49
41,Apr 18 2019 01: +0,1.194,29
42,Apr 19 2019 01: +0,1.174,35
43,Apr 20 2019 01: +0,1.221,39
44,Apr 21 2019 01: +0,1.197,30
45,Apr 22 2019 01: +0,1.228,28
46,Apr 23 2019 01: +0,1.217,29
47,Apr 24 2019 01: +0,1.126,35
48,Apr 25 2019 01: +0,1.202,36
49,Apr 26 2019 01: +0,1.217,37
50,Apr 27 2019 01: +0,1.285,29
51,Apr 28 2019 01: +0,1.234,36
52,Apr 29 2019 01: +0,1.256,27
53,Apr 30 2019 01: +0,1.169,26
54,May 01 2019 01: +0,1.244,25
55,May 02 2019 01: +0,1.142,19
56,May 03 2019 01: +0,1.217,33
57,May 04 2019 01: +0,1.106,23
58,May 05 2019 01: +0,1.104,21
59,May 06 2019 01: +0,1.155,25
60,May 07 2019 01: +0,1.072,30
61,May 08 2019 01: +0,1.055,20
62,May 09 2019 01: +0,1.087,33
63,May 10 2019 01: +0,1.107,37
64,May 11 2019 01: +0,1.109,27
65,May 12 2019 01: +0,1.12,18
66,May 13 2019 01: +0,1.117,23
67,May 14 2019 01: +0,1.139,20
68,May 15 2019 01: +0,1.046,24
69,May 16 2019 01: +0,1.095,31
70,May 17 2019 01: +0,0.955,26
71,May 18 2019 01: +0,1.007,22
72,May 19 2019 01: +0,0.995,25
73,May 20 2019 01: +0,1.107,28
74,May 21 2019 01: +0,1.057,21
75,May 22 2019 01: +0,1.064,14
76,May 23 2019 01: +0,0.961,24
77,May 24 2019 01: +0,0.878,33
78,May 25 2019 01: +0,1.015,27
79,May 26 2019 01: +0,0.991,23
80,May 27 2019 01: +0,1.035,22
81,May 28 2019 01: +0,1.015,16
82,May 29 2019 01: +0,1.023,20
83,May 30 2019 01: +0,0.96,14
84,May 31 2019 01: +0,0.996,33
85,Jun 01 2019 01: +0,0.988,18
86,Jun 02 2019 01: +0,0.986,22
87,Jun 03 2019 01: +0,0.922,16
88,Jun 04 2019 01: +0,0.941,19
89,Jun 05 2019 01: +0,1.018,21
90,Jun 06 2019 01: +0,1.018,28
91,Jun 07 2019 01: +0,1.075,31
92,Jun 08 2019 01: +0,1.022,25
93,Jun 09 2019 01: +0,0.984,15
94,Jun 10 2019 01: +0,1.029,27
95,Jun 11 2019 01: +0,1.012,21
96,Jun 12 2019 01: +0,1.028,21
97,Jun 13 2019 01: +0,1.025,19
98,Jun 14 2019 01: +0,1.053,23
99,Jun 15 2019 01: +0,0.998,33
100,Jun 16 2019 01: +0,0.987,30
101,Jun 17 2019 01: +0,1.012,25
102,Jun 18 2019 01: +0,1.03,22
103,Jun 19 2019 01: +0,1.053,22
104,Jun 20 2019 01: +0,1.013,22
105,Jun 21 2019 01: +0,0.979,21
106,Jun 22 2019 01: +0,1.002,27
107,Jun 23 2019 01: +0,1.041,23
