,time,price,volume
0,Jun 29 2018 01: +0,1.511,22
1,Jun 30 2018 01: +0,1.401,21
2,Jul 01 2018 01: +0,1.263,13
3,Jul 02 2018 01: +0,1.185,26
4,Jul 03 2018 01: +0,1.097,22
5,Jul 04 2018 01: +0,1.099,19
6,Jul 05 2018 01: +0,1.092,24
7,Jul 06 2018 01: +0,1.077,18
8,Jul 07 2018 01: +0,1.164,26
9,Jul 08 2018 01: +0,1.359,27
10,Jul 09 2018 01: +0,1.449,18
11,Jul 10 2018 01: +0,1.443,18
12,Jul 11 2018 01: +0,1.318,14
13,Jul 12 2018 01: +0,1.048,17
14,Jul 13 2018 01: +0,1.076,22
15,Jul 14 2018 01: +0,1.076,17
16,Jul 15 2018 01: +0,1.084,17
17,Jul 16 2018 01: +0,1.392,23
18,Jul 17 2018 01: +0,1.469,21
19,Jul 18 2018 01: +0,1.374,11
20,Jul 19 2018 01: +0,1.365,20
21,Jul 20 2018 01: +0,1.367,26
22,Jul 21 2018 01: +0,1.293,17
23,Jul 22 2018 01: +0,1.325,18
24,Jul 23 2018 01: +0,1.35,13
25,Jul 24 2018 01: +0,1.402,11
26,Jul 25 2018 01: +0,1.304,13
27,Jul 26 2018 01: +0,1.341,16
28,Jul 27 2018 01: +0,1.122,20
29,Jul 28 2018 01: +0,1.162,8
30,Jul 29 2018 01: +0,1.221,18
31,Jul 30 2018 01: +0,1.269,9
32,Jul 31 2018 01: +0,1.256,7
33,Aug 01 2018 01: +0,1.232,12
34,Aug 02 2018 01: +0,1.232,18
35,Aug 03 2018 01: +0,1.21,14
36,Aug 04 2018 01: +0,1.222,14
37,Aug 05 2018 01: +0,1.216,19
38,Aug 06 2018 01: +0,1.199,10
39,Aug 07 2018 01: +0,1.165,12
40,Aug 08 2018 01: +0,1.27,15
41,Aug 09 2018 01: +0,1.154,14
42,Aug 10 2018 01: +0,1.045,22
43,Aug 11 2018 01: +0,1.187,15
44,Aug 12 2018 01: +0,1.208,22
45,Aug 13 2018 01: +0,1.136,7
46,Aug 14 2018 01: +0,1.188,16
47,Aug 15 2018 01: +0,1.276,10
48,Aug 16 2018 01: +0,1.271,6
49,Aug 17 2018 01: +0,1.231,21
50,Aug 18 2018 01: +0,1.327,13
51,Aug 19 2018 01: +0,1.118,12
52,Aug 20 2018 01: +0,1.178,9
53,Aug 21 2018 01: +0,1.265,15
54,Aug 22 2018 01: +0,1.179,9
55,Aug 23 2018 01: +0,1.171,8
56,Aug 24 2018 01: +0,1.165,7
57,Aug 25 2018 01: +0,1.181,14
58,Aug 26 2018 01: +0,1.261,14
59,Aug 27 2018 01: +0,1.133,12
60,Aug 28 2018 01: +0,1.295,10
61,Aug 29 2018 01: +0,1.26,13
62,Aug 30 2018 01: +0,1.111,12
63,Aug 31 2018 01: +0,1.02,9
64,Sep 01 2018 01: +0,1.044,7
65,Sep 02 2018 01: +0,1.311,11
66,Sep 03 2018 01: +0,1.273,7
67,Sep 04 2018 01: +0,1.205,6
68,Sep 05 2018 01: +0,1.1,5
69,Sep 06 2018 01: +0,1.159,11
70,Sep 07 2018 01: +0,1.258,11
71,Sep 08 2018 01: +0,1.261,13
72,Sep 09 2018 01: +0,1.241,9
73,Sep 10 2018 01: +0,1.29,5
74,Sep 11 2018 01: +0,1.23,7
75,Sep 12 2018 01: +0,1.233,10
76,Sep 13 2018 01: +0,1.158,8
77,Sep 14 2018 01: +0,1.268,8
78,Sep 15 2018 01: +0,1.221,17
79,Sep 16 2018 01: +0,1.313,16
80,Sep 17 2018 01: +0,1.289,9
81,Sep 18 2018 01: +0,1.297,8
82,Sep 19 2018 01: +0,1.259,7
83,Sep 20 2018 01: +0,1.348,9
84,Sep 21 2018 01: +0,1.363,11
85,Sep 22 2018 01: +0,1.28,13
86,Sep 23 2018 01: +0,1.228,12
87,Sep 24 2018 01: +0,1.237,9
88,Sep 25 2018 01: +0,1.344,9
89,Sep 26 2018 01: +0,1.239,7
90,Sep 27 2018 01: +0,1.263,6
91,Sep 28 2018 01: +0,1.271,11
92,Sep 29 2018 01: +0,1.289,12
93,Sep 30 2018 01: +0,1.355,11
94,Oct 01 2018 01: +0,1.314,13
95,Oct 02 2018 01: +0,1.249,7
96,Oct 03 2018 01: +0,1.339,13
97,Oct 04 2018 01: +0,1.226,11
98,Oct 05 2018 01: +0,1.293,15
99,Oct 06 2018 01: +0,1.343,18
100,Oct 07 2018 01: +0,1.443,11
101,Oct 08 2018 01: +0,1.624,18
102,Oct 09 2018 01: +0,2.982,8
103,Oct 10 2018 01: +0,1.988,6
104,Oct 11 2018 01: +0,2.052,6
105,Oct 12 2018 01: +0,1.844,6
106,Oct 13 2018 01: +0,1.775,13
107,Oct 14 2018 01: +0,2.049,14
108,Oct 15 2018 01: +0,1.751,6
109,Oct 16 2018 01: +0,2.204,7
110,Oct 17 2018 01: +0,2.198,6
111,Oct 18 2018 01: +0,2.214,6
112,Oct 19 2018 01: +0,2.094,7
113,Oct 20 2018 01: +0,1.879,11
114,Oct 21 2018 01: +0,1.915,12
115,Oct 22 2018 01: +0,1.912,6
116,Oct 23 2018 01: +0,1.953,17
117,Oct 24 2018 01: +0,2.088,10
118,Oct 25 2018 01: +0,2.01,8
119,Oct 26 2018 01: +0,1.919,11
120,Oct 27 2018 01: +0,1.84,6
121,Oct 28 2018 01: +0,1.806,7
122,Oct 29 2018 01: +0,1.871,8
123,Oct 30 2018 01: +0,2.106,9
124,Oct 31 2018 01: +0,2.082,10
125,Nov 01 2018 01: +0,2.305,10
126,Nov 02 2018 01: +0,2.368,3
127,Nov 03 2018 01: +0,2.216,13
128,Nov 04 2018 01: +0,2.163,9
129,Nov 05 2018 01: +0,2.111,9
130,Nov 06 2018 01: +0,2.463,11
131,Nov 07 2018 01: +0,2.457,7
132,Nov 08 2018 01: +0,2.81,11
133,Nov 09 2018 01: +0,3.329,6
134,Nov 10 2018 01: +0,2.845,14
135,Nov 11 2018 01: +0,2.967,7
136,Nov 12 2018 01: +0,2.994,7
137,Nov 13 2018 01: +0,2.882,6
138,Nov 14 2018 01: +0,2.722,7
139,Nov 15 2018 01: +0,2.89,9
140,Nov 16 2018 01: +0,2.172,2
141,Nov 17 2018 01: +0,1.967,9
142,Nov 18 2018 01: +0,2.02,8
143,Nov 19 2018 01: +0,2.0,7
144,Nov 20 2018 01: +0,2.103,4
145,Nov 21 2018 01: +0,2.208,11
146,Nov 22 2018 01: +0,2.392,9
147,Nov 23 2018 01: +0,2.755,16
148,Nov 24 2018 01: +0,2.915,10
149,Nov 25 2018 01: +0,2.719,8
150,Nov 26 2018 01: +0,2.567,4
151,Nov 27 2018 01: +0,2.409,8
152,Nov 28 2018 01: +0,2.366,5
153,Nov 29 2018 01: +0,2.292,5
154,Nov 30 2018 01: +0,2.436,11
155,Dec 01 2018 01: +0,2.51,9
156,Dec 02 2018 01: +0,2.537,11
157,Dec 03 2018 01: +0,3.034,9
158,Dec 04 2018 01: +0,2.859,5
159,Dec 05 2018 01: +0,2.908,7
160,Dec 06 2018 01: +0,2.29,2
161,Dec 07 2018 01: +0,2.544,7
162,Dec 08 2018 01: +0,2.799,6
163,Dec 09 2018 01: +0,2.46,8
164,Dec 10 2018 01: +0,2.311,12
165,Dec 11 2018 01: +0,2.553,10
166,Dec 12 2018 01: +0,2.702,8
167,Dec 13 2018 01: +0,2.757,7
168,Dec 14 2018 01: +0,2.781,12
169,Dec 15 2018 01: +0,2.733,2
170,Dec 16 2018 01: +0,2.822,14
171,Dec 17 2018 01: +0,2.483,13
172,Dec 18 2018 01: +0,2.781,5
173,Dec 19 2018 01: +0,2.868,13
174,Dec 20 2018 01: +0,2.358,13
175,Dec 21 2018 01: +0,2.456,11
176,Dec 22 2018 01: +0,2.001,7
