,time,price,volume
0,Aug 20 2020 01: +0,1.361,23
1,Aug 21 2020 01: +0,1.443,209
2,Aug 22 2020 01: +0,2.066,207
3,Aug 23 2020 01: +0,1.672,142
4,Aug 24 2020 01: +0,1.579,105
5,Aug 25 2020 01: +0,1.595,107
6,Aug 26 2020 01: +0,1.42,105
7,Aug 27 2020 01: +0,1.348,91
8,Aug 28 2020 01: +0,1.145,146
9,Aug 29 2020 01: +0,1.081,99
10,Aug 30 2020 01: +0,1.102,81
11,Aug 31 2020 01: +0,1.099,72
12,Sep 01 2020 01: +0,1.027,55
13,Sep 02 2020 01: +0,1.016,54
14,Sep 03 2020 01: +0,0.991,70
15,Sep 04 2020 01: +0,0.88,69
16,Sep 05 2020 01: +0,1.328,147
17,Sep 06 2020 01: +0,1.408,65
18,Sep 07 2020 01: +0,1.31,81
19,Sep 08 2020 01: +0,1.262,46
20,Sep 09 2020 01: +0,1.603,64
21,Sep 10 2020 01: +0,1.155,42
22,Sep 11 2020 01: +0,0.961,82
23,Sep 12 2020 01: +0,1.044,51
24,Sep 13 2020 01: +0,1.037,53
25,Sep 14 2020 01: +0,1.057,36
26,Sep 15 2020 01: +0,1.144,58
27,Sep 16 2020 01: +0,1.201,105
28,Sep 17 2020 01: +0,1.546,82
29,Sep 18 2020 01: +0,2.496,105
30,Sep 19 2020 01: +0,1.116,48
31,Sep 20 2020 01: +0,1.147,52
32,Sep 21 2020 01: +0,1.184,56
33,Sep 22 2020 01: +0,1.186,40
34,Sep 23 2020 01: +0,1.224,44
35,Sep 24 2020 01: +0,1.227,162
36,Sep 25 2020 01: +0,1.337,285
37,Sep 26 2020 01: +0,1.373,170
38,Sep 27 2020 01: +0,1.291,147
39,Sep 28 2020 01: +0,1.252,153
40,Sep 29 2020 01: +0,1.259,82
41,Sep 30 2020 01: +0,1.262,120
42,Oct 01 2020 01: +0,1.22,123
43,Oct 02 2020 01: +0,1.065,81
44,Oct 03 2020 01: +0,1.154,72
45,Oct 04 2020 01: +0,1.142,58
46,Oct 05 2020 01: +0,1.086,60
47,Oct 06 2020 01: +0,1.088,61
48,Oct 07 2020 01: +0,1.049,64
49,Oct 08 2020 01: +0,1.065,62
50,Oct 09 2020 01: +0,0.946,66
51,Oct 10 2020 01: +0,0.889,81
52,Oct 11 2020 01: +0,0.945,46
53,Oct 12 2020 01: +0,0.956,51
54,Oct 13 2020 01: +0,0.98,60
55,Oct 14 2020 01: +0,0.942,47
56,Oct 15 2020 01: +0,0.944,50
57,Oct 16 2020 01: +0,0.859,62
58,Oct 17 2020 01: +0,0.82,49
59,Oct 18 2020 01: +0,0.842,49
60,Oct 19 2020 01: +0,0.855,38
61,Oct 20 2020 01: +0,0.839,35
62,Oct 21 2020 01: +0,0.869,65
63,Oct 22 2020 01: +0,0.858,47
64,Oct 23 2020 01: +0,0.837,69
65,Oct 24 2020 01: +0,0.821,55
66,Oct 25 2020 01: +0,0.811,50
67,Oct 26 2020 01: +0,0.779,67
68,Oct 27 2020 01: +0,0.712,67
69,Oct 28 2020 01: +0,0.703,55
70,Oct 29 2020 01: +0,0.7,62
71,Oct 30 2020 01: +0,0.658,75
72,Oct 31 2020 01: +0,0.718,67
73,Nov 01 2020 01: +0,0.744,42
74,Nov 02 2020 01: +0,0.737,46
75,Nov 03 2020 01: +0,0.741,52
76,Nov 04 2020 01: +0,0.744,58
77,Nov 05 2020 01: +0,0.738,63
78,Nov 06 2020 01: +0,0.727,52
79,Nov 07 2020 01: +0,0.738,50
80,Nov 08 2020 01: +0,0.819,57
81,Nov 09 2020 01: +0,0.791,66
82,Nov 10 2020 01: +0,0.801,48
83,Nov 11 2020 01: +0,0.782,55
84,Nov 12 2020 01: +0,0.791,63
85,Nov 13 2020 01: +0,0.795,83
86,Nov 14 2020 01: +0,0.797,43
87,Nov 15 2020 01: +0,0.81,69
88,Nov 16 2020 01: +0,0.797,61
89,Nov 17 2020 01: +0,0.769,77
90,Nov 18 2020 01: +0,0.767,36
91,Nov 19 2020 01: +0,0.739,40
92,Nov 20 2020 01: +0,0.764,37
93,Nov 21 2020 01: +0,0.774,54
94,Nov 22 2020 01: +0,0.761,38
95,Nov 23 2020 01: +0,0.753,63
96,Nov 24 2020 01: +0,0.763,40
97,Nov 25 2020 01: +0,0.755,46
98,Nov 26 2020 01: +0,0.74,50
99,Nov 27 2020 01: +0,0.712,66
100,Nov 28 2020 01: +0,0.712,63
101,Nov 29 2020 01: +0,0.701,51
102,Nov 30 2020 01: +0,0.71,52
103,Dec 01 2020 01: +0,0.693,35
104,Dec 02 2020 01: +0,0.691,40
105,Dec 03 2020 01: +0,0.677,61
106,Dec 04 2020 01: +0,0.619,58
107,Dec 05 2020 01: +0,0.645,55
108,Dec 06 2020 01: +0,0.685,44
109,Dec 07 2020 01: +0,0.689,47
110,Dec 08 2020 01: +0,0.679,52
