,time,price,volume
0,Dec 03 2020 01: +0,1.78,7
1,Dec 04 2020 01: +0,1.086,22
2,Dec 05 2020 01: +0,1.099,22
3,Dec 06 2020 01: +0,1.09,23
4,Dec 07 2020 01: +0,1.087,20
5,Dec 08 2020 01: +0,0.944,22
6,Dec 09 2020 01: +0,1.107,16
7,Dec 10 2020 01: +0,1.043,14
8,Dec 11 2020 01: +0,1.021,18
9,Dec 12 2020 01: +0,0.887,25
10,Dec 13 2020 01: +0,1.108,25
11,Dec 14 2020 01: +0,1.161,15
12,Dec 15 2020 01: +0,0.989,18
13,Dec 16 2020 01: +0,0.985,14
14,Dec 17 2020 01: +0,0.905,13
15,Dec 18 2020 01: +0,0.884,17
16,Dec 19 2020 01: +0,0.757,33
17,Dec 20 2020 01: +0,0.888,26
18,Dec 21 2020 01: +0,0.933,25
19,Dec 22 2020 01: +0,0.858,19
20,Dec 23 2020 01: +0,0.89,23
21,Dec 24 2020 01: +0,0.875,24
22,Dec 25 2020 01: +0,0.895,40
23,Dec 26 2020 01: +0,0.889,32
24,Dec 27 2020 01: +0,1.041,35
25,Dec 28 2020 01: +0,1.026,19
26,Dec 29 2020 01: +0,1.039,22
27,Dec 30 2020 01: +0,1.004,17
28,Dec 31 2020 01: +0,1.002,23
29,Jan 01 2021 01: +0,0.958,26
30,Jan 02 2021 01: +0,1.12,33
31,Jan 03 2021 01: +0,1.135,28
32,Jan 04 2021 01: +0,1.135,36
33,Jan 05 2021 01: +0,1.181,23
34,Jan 06 2021 01: +0,1.31,24
35,Jan 07 2021 01: +0,2.251,33
36,Jan 08 2021 01: +0,1.395,22
37,Jan 09 2021 01: +0,1.523,50
38,Jan 10 2021 01: +0,2.17,28
39,Jan 11 2021 01: +0,2.411,21
40,Jan 12 2021 01: +0,2.247,33
41,Jan 13 2021 01: +0,2.641,42
42,Jan 14 2021 01: +0,3.027,28
43,Jan 15 2021 01: +0,2.719,35
44,Jan 16 2021 01: +0,3.165,38
45,Jan 17 2021 01: +0,3.288,38
46,Jan 18 2021 01: +0,3.437,30
47,Jan 19 2021 01: +0,3.397,25
