,time,price,volume
0,Jan 04 2018 01: +0,1.268,12
1,Jan 05 2018 01: +0,1.196,48
2,Jan 06 2018 01: +0,1.267,42
3,Jan 07 2018 01: +0,1.45,32
4,Jan 08 2018 01: +0,1.41,31
5,Jan 09 2018 01: +0,1.466,41
6,Jan 10 2018 01: +0,1.228,43
7,Jan 11 2018 01: +0,1.241,48
8,Jan 12 2018 01: +0,1.274,36
9,Jan 13 2018 01: +0,1.254,53
10,Jan 14 2018 01: +0,1.315,39
11,Jan 15 2018 01: +0,1.412,42
12,Jan 16 2018 01: +0,1.433,25
13,Jan 17 2018 01: +0,1.579,21
14,Jan 18 2018 01: +0,1.521,43
15,Jan 19 2018 01: +0,1.304,35
16,Jan 20 2018 01: +0,1.335,40
17,Jan 21 2018 01: +0,1.404,36
18,Jan 22 2018 01: +0,1.229,26
19,Jan 23 2018 01: +0,1.253,27
20,Jan 24 2018 01: +0,1.317,27
21,Jan 25 2018 01: +0,1.426,26
22,Jan 26 2018 01: +0,1.126,33
23,Jan 27 2018 01: +0,1.192,35
24,Jan 28 2018 01: +0,1.145,31
25,Jan 29 2018 01: +0,1.008,28
26,Jan 30 2018 01: +0,1.026,28
27,Jan 31 2018 01: +0,1.129,26
28,Feb 01 2018 01: +0,1.199,17
29,Feb 02 2018 01: +0,1.057,24
30,Feb 03 2018 01: +0,1.118,28
31,Feb 04 2018 01: +0,1.085,14
32,Feb 05 2018 01: +0,1.079,34
33,Feb 06 2018 01: +0,1.094,19
34,Feb 07 2018 01: +0,0.984,14
35,Feb 08 2018 01: +0,1.086,26
36,Feb 09 2018 01: +0,1.148,22
37,Feb 10 2018 01: +0,1.1,28
38,Feb 11 2018 01: +0,1.094,28
39,Feb 12 2018 01: +0,1.124,13
40,Feb 13 2018 01: +0,1.112,22
41,Feb 14 2018 01: +0,1.09,16
42,Feb 15 2018 01: +0,1.023,20
43,Feb 16 2018 01: +0,1.001,29
44,Feb 17 2018 01: +0,1.028,25
45,Feb 18 2018 01: +0,1.049,16
46,Feb 19 2018 01: +0,0.984,24
47,Feb 20 2018 01: +0,1.006,16
48,Feb 21 2018 01: +0,0.954,19
49,Feb 22 2018 01: +0,0.988,20
50,Feb 23 2018 01: +0,1.067,17
51,Feb 24 2018 01: +0,1.006,24
52,Feb 25 2018 01: +0,0.981,18
53,Feb 26 2018 01: +0,0.936,14
54,Feb 27 2018 01: +0,0.946,16
55,Feb 28 2018 01: +0,0.969,18
56,Mar 01 2018 01: +0,1.041,29
57,Mar 02 2018 01: +0,1.03,17
58,Mar 03 2018 01: +0,1.084,10
59,Mar 04 2018 01: +0,1.037,14
60,Mar 05 2018 01: +0,0.992,23
61,Mar 06 2018 01: +0,1.005,13
62,Mar 07 2018 01: +0,1.06,19
63,Mar 08 2018 01: +0,0.989,10
64,Mar 09 2018 01: +0,1.002,15
65,Mar 10 2018 01: +0,1.045,20
66,Mar 11 2018 01: +0,0.984,17
67,Mar 12 2018 01: +0,0.923,13
68,Mar 13 2018 01: +0,0.93,24
69,Mar 14 2018 01: +0,0.893,11
70,Mar 15 2018 01: +0,0.847,18
71,Mar 16 2018 01: +0,0.916,18
72,Mar 17 2018 01: +0,0.97,15
73,Mar 18 2018 01: +0,0.988,23
74,Mar 19 2018 01: +0,0.993,13
75,Mar 20 2018 01: +0,1.015,12
76,Mar 21 2018 01: +0,1.058,12
77,Mar 22 2018 01: +0,0.913,7
78,Mar 23 2018 01: +0,0.972,16
79,Mar 24 2018 01: +0,0.993,18
80,Mar 25 2018 01: +0,0.94,8
81,Mar 26 2018 01: +0,0.913,15
82,Mar 27 2018 01: +0,0.873,21
83,Mar 28 2018 01: +0,0.919,15
84,Mar 29 2018 01: +0,0.971,15
85,Mar 30 2018 01: +0,0.928,12
86,Mar 31 2018 01: +0,0.939,20
87,Apr 01 2018 01: +0,0.992,10
88,Apr 02 2018 01: +0,0.966,18
89,Apr 03 2018 01: +0,0.932,10
90,Apr 04 2018 01: +0,0.934,17
91,Apr 05 2018 01: +0,0.991,24
92,Apr 06 2018 01: +0,0.97,10
93,Apr 07 2018 01: +0,0.934,19
94,Apr 08 2018 01: +0,0.978,17
95,Apr 09 2018 01: +0,0.999,18
96,Apr 10 2018 01: +0,0.968,13
97,Apr 11 2018 01: +0,0.951,23
98,Apr 12 2018 01: +0,0.885,10
99,Apr 13 2018 01: +0,0.937,16
100,Apr 14 2018 01: +0,0.98,13
101,Apr 15 2018 01: +0,0.943,16
102,Apr 16 2018 01: +0,0.969,10
103,Apr 17 2018 01: +0,0.936,14
104,Apr 18 2018 01: +0,0.846,15
105,Apr 19 2018 01: +0,0.954,12
106,Apr 20 2018 01: +0,0.908,9
107,Apr 21 2018 01: +0,0.885,16
108,Apr 22 2018 01: +0,0.942,12
109,Apr 23 2018 01: +0,0.947,15
110,Apr 24 2018 01: +0,0.982,12
111,Apr 25 2018 01: +0,0.978,18
112,Apr 26 2018 01: +0,0.877,10
113,Apr 27 2018 01: +0,0.935,21
114,Apr 28 2018 01: +0,0.906,13
115,Apr 29 2018 01: +0,0.916,10
116,Apr 30 2018 01: +0,0.854,11
117,May 01 2018 01: +0,0.857,9
118,May 02 2018 01: +0,0.855,11
119,May 03 2018 01: +0,0.925,14
120,May 04 2018 01: +0,0.928,16
121,May 05 2018 01: +0,0.831,14
122,May 06 2018 01: +0,0.861,17
123,May 07 2018 01: +0,0.901,18
