,time,price,volume
0,Aug 08 2020 01: +0,1.37,8
1,Aug 09 2020 01: +0,0.759,9
2,Aug 10 2020 01: +0,0.871,10
3,Aug 11 2020 01: +0,0.704,8
4,Aug 12 2020 01: +0,0.6,17
5,Aug 13 2020 01: +0,0.544,13
6,Aug 14 2020 01: +0,0.555,19
7,Aug 15 2020 01: +0,0.671,13
8,Aug 16 2020 01: +0,0.586,8
9,Aug 17 2020 01: +0,0.609,14
10,Aug 18 2020 01: +0,0.469,10
11,Aug 19 2020 01: +0,0.446,7
12,Aug 20 2020 01: +0,0.519,11
13,Aug 21 2020 01: +0,0.48,18
14,Aug 22 2020 01: +0,0.505,13
15,Aug 23 2020 01: +0,0.449,17
16,Aug 24 2020 01: +0,0.536,13
17,Aug 25 2020 01: +0,0.546,13
18,Aug 26 2020 01: +0,0.463,7
19,Aug 27 2020 01: +0,0.455,8
20,Aug 28 2020 01: +0,0.42,11
21,Aug 29 2020 01: +0,0.463,7
22,Aug 30 2020 01: +0,0.501,10
23,Aug 31 2020 01: +0,0.417,6
24,Sep 01 2020 01: +0,0.452,6
25,Sep 02 2020 01: +0,0.405,3
26,Sep 03 2020 01: +0,0.435,11
27,Sep 04 2020 01: +0,0.394,10
28,Sep 05 2020 01: +0,0.392,5
29,Sep 06 2020 01: +0,0.421,13
30,Sep 07 2020 01: +0,0.417,11
31,Sep 08 2020 01: +0,0.436,3
32,Sep 09 2020 01: +0,0.461,5
33,Sep 10 2020 01: +0,0.429,9
34,Sep 11 2020 01: +0,0.367,14
35,Sep 12 2020 01: +0,0.336,9
36,Sep 13 2020 01: +0,0.363,8
37,Sep 14 2020 01: +0,0.363,12
38,Sep 15 2020 01: +0,0.325,16
39,Sep 16 2020 01: +0,0.307,17
40,Sep 17 2020 01: +0,0.339,12
41,Sep 18 2020 01: +0,0.326,17
42,Sep 19 2020 01: +0,0.386,10
43,Sep 20 2020 01: +0,0.333,7
44,Sep 21 2020 01: +0,0.363,15
45,Sep 22 2020 01: +0,0.336,7
46,Sep 23 2020 01: +0,0.328,7
47,Sep 24 2020 01: +0,0.345,11
48,Sep 25 2020 01: +0,0.329,15
49,Sep 26 2020 01: +0,0.323,10
50,Sep 27 2020 01: +0,0.354,6
51,Sep 28 2020 01: +0,0.338,12
52,Sep 29 2020 01: +0,0.358,6
53,Sep 30 2020 01: +0,0.323,12
54,Oct 01 2020 01: +0,0.332,16
55,Oct 02 2020 01: +0,0.33,13
56,Oct 03 2020 01: +0,0.376,15
57,Oct 04 2020 01: +0,0.397,6
58,Oct 05 2020 01: +0,0.342,9
59,Oct 06 2020 01: +0,0.324,10
60,Oct 07 2020 01: +0,0.325,16
61,Oct 08 2020 01: +0,0.329,14
62,Oct 09 2020 01: +0,0.342,13
63,Oct 10 2020 01: +0,0.368,16
64,Oct 11 2020 01: +0,0.397,13
65,Oct 12 2020 01: +0,0.34,4
66,Oct 13 2020 01: +0,0.428,5
67,Oct 14 2020 01: +0,0.385,7
68,Oct 15 2020 01: +0,0.352,8
69,Oct 16 2020 01: +0,0.323,9
70,Oct 17 2020 01: +0,0.363,11
71,Oct 18 2020 01: +0,0.353,8
72,Oct 19 2020 01: +0,0.371,6
73,Oct 20 2020 01: +0,0.376,8
74,Oct 21 2020 01: +0,0.373,5
75,Oct 22 2020 01: +0,0.37,6
76,Oct 23 2020 01: +0,0.367,20
77,Oct 24 2020 01: +0,0.386,11
78,Oct 25 2020 01: +0,0.39,8
79,Oct 26 2020 01: +0,0.41,6
80,Oct 27 2020 01: +0,0.409,13
81,Oct 28 2020 01: +0,0.42,10
82,Oct 29 2020 01: +0,0.401,7
83,Oct 30 2020 01: +0,0.347,10
84,Oct 31 2020 01: +0,0.376,18
85,Nov 01 2020 01: +0,0.363,8
86,Nov 02 2020 01: +0,0.358,16
87,Nov 03 2020 01: +0,0.369,6
88,Nov 04 2020 01: +0,0.398,9
89,Nov 05 2020 01: +0,0.382,13
90,Nov 06 2020 01: +0,0.376,10
91,Nov 07 2020 01: +0,0.388,10
92,Nov 08 2020 01: +0,0.386,4
93,Nov 09 2020 01: +0,0.359,9
94,Nov 10 2020 01: +0,0.385,11
95,Nov 11 2020 01: +0,0.392,5
96,Nov 12 2020 01: +0,0.397,11
97,Nov 13 2020 01: +0,0.4,10
98,Nov 14 2020 01: +0,0.362,13
99,Nov 15 2020 01: +0,0.388,14
100,Nov 16 2020 01: +0,0.321,9
101,Nov 17 2020 01: +0,0.339,10
102,Nov 18 2020 01: +0,0.373,11
103,Nov 19 2020 01: +0,0.393,14
104,Nov 20 2020 01: +0,0.377,13
105,Nov 21 2020 01: +0,0.385,9
106,Nov 22 2020 01: +0,0.395,9
107,Nov 23 2020 01: +0,0.381,4
108,Nov 24 2020 01: +0,0.383,9
109,Nov 25 2020 01: +0,0.371,8
110,Nov 26 2020 01: +0,0.376,12
111,Nov 27 2020 01: +0,0.364,12
112,Nov 28 2020 01: +0,0.32,14
113,Nov 29 2020 01: +0,0.324,17
114,Nov 30 2020 01: +0,0.336,8
115,Dec 01 2020 01: +0,0.353,18
116,Dec 02 2020 01: +0,0.357,16
117,Dec 03 2020 01: +0,0.341,20
118,Dec 04 2020 01: +0,0.349,11
119,Dec 05 2020 01: +0,0.371,12
120,Dec 06 2020 01: +0,0.385,13
121,Dec 07 2020 01: +0,0.383,12
122,Dec 08 2020 01: +0,0.412,10
123,Dec 09 2020 01: +0,0.376,10
124,Dec 10 2020 01: +0,0.425,11
125,Dec 11 2020 01: +0,0.413,11
126,Dec 12 2020 01: +0,0.391,11
127,Dec 13 2020 01: +0,0.416,12
128,Dec 14 2020 01: +0,0.404,11
129,Dec 15 2020 01: +0,0.44,4
130,Dec 16 2020 01: +0,0.349,12
131,Dec 17 2020 01: +0,0.428,11
132,Dec 18 2020 01: +0,0.419,5
133,Dec 19 2020 01: +0,0.432,5
134,Dec 20 2020 01: +0,0.38,27
135,Dec 21 2020 01: +0,0.407,16
136,Dec 22 2020 01: +0,0.422,15
137,Dec 23 2020 01: +0,0.416,11
138,Dec 24 2020 01: +0,0.418,8
139,Dec 25 2020 01: +0,0.424,12
140,Dec 26 2020 01: +0,0.491,14
141,Dec 27 2020 01: +0,0.467,13
142,Dec 28 2020 01: +0,0.47,17
143,Dec 29 2020 01: +0,0.505,20
144,Dec 30 2020 01: +0,0.482,18
145,Dec 31 2020 01: +0,0.468,12
146,Jan 01 2021 01: +0,0.45,13
147,Jan 02 2021 01: +0,0.546,16
148,Jan 03 2021 01: +0,0.565,19
149,Jan 04 2021 01: +0,0.521,17
150,Jan 05 2021 01: +0,0.594,11
151,Jan 06 2021 01: +0,0.502,9
152,Jan 07 2021 01: +0,0.554,18
153,Jan 08 2021 01: +0,0.62,25
154,Jan 09 2021 01: +0,0.697,13
155,Jan 10 2021 01: +0,0.676,23
156,Jan 11 2021 01: +0,0.71,27
157,Jan 12 2021 01: +0,0.76,17
158,Jan 13 2021 01: +0,0.745,19
159,Jan 14 2021 01: +0,0.777,21
160,Jan 15 2021 01: +0,0.819,23
161,Jan 16 2021 01: +0,0.899,31
162,Jan 17 2021 01: +0,0.918,17
163,Jan 18 2021 01: +0,0.988,21
164,Jan 19 2021 01: +0,0.999,21
165,Jan 20 2021 01: +0,1.013,16
166,Jan 21 2021 01: +0,0.936,30
167,Jan 22 2021 01: +0,1.011,20
168,Jan 23 2021 01: +0,1.021,10
169,Jan 24 2021 01: +0,1.047,10
170,Jan 25 2021 01: +0,1.103,11
171,Jan 26 2021 01: +0,1.205,16
172,Jan 27 2021 01: +0,1.343,6
173,Jan 28 2021 01: +0,0.95,30
174,Jan 29 2021 01: +0,0.763,35
175,Jan 30 2021 01: +0,0.967,12
176,Jan 31 2021 01: +0,1.047,10
177,Feb 01 2021 01: +0,0.978,17
178,Feb 02 2021 01: +0,1.065,16
179,Feb 03 2021 01: +0,1.081,10
180,Feb 04 2021 01: +0,1.025,12
181,Feb 05 2021 01: +0,0.985,9
182,Feb 06 2021 01: +0,1.026,21
183,Feb 07 2021 01: +0,1.133,17
184,Feb 08 2021 01: +0,1.033,12
185,Feb 09 2021 01: +0,0.986,20
186,Feb 10 2021 01: +0,1.047,13
187,Feb 11 2021 01: +0,0.879,25
188,Feb 12 2021 01: +0,0.921,27
189,Feb 13 2021 01: +0,1.03,7
190,Feb 14 2021 01: +0,1.071,14
191,Feb 15 2021 01: +0,1.024,14
192,Feb 16 2021 01: +0,0.894,3
193,Feb 17 2021 01: +0,0.975,9
194,Feb 18 2021 01: +0,1.003,8
195,Feb 19 2021 01: +0,0.955,9
196,Feb 20 2021 01: +0,0.84,6
197,Feb 21 2021 01: +0,0.947,8
198,Feb 22 2021 01: +0,0.863,5
199,Feb 23 2021 01: +0,0.993,7
200,Feb 24 2021 01: +0,0.926,7
201,Feb 25 2021 01: +0,0.831,4
202,Feb 26 2021 01: +0,0.881,12
203,Feb 27 2021 01: +0,0.934,14
204,Feb 28 2021 01: +0,0.959,7
205,Mar 01 2021 01: +0,0.923,10
206,Mar 02 2021 01: +0,0.914,6
207,Mar 03 2021 01: +0,0.93,8
208,Mar 04 2021 01: +0,0.933,13
209,Mar 05 2021 01: +0,0.863,9
210,Mar 06 2021 01: +0,0.82,14
211,Mar 07 2021 01: +0,0.972,14
212,Mar 08 2021 01: +0,0.992,12
213,Mar 09 2021 01: +0,1.05,6
214,Mar 10 2021 01: +0,1.018,8
215,Mar 11 2021 01: +0,0.972,9
216,Mar 12 2021 01: +0,0.896,11
217,Mar 13 2021 01: +0,0.941,6
218,Mar 14 2021 01: +0,0.961,12
219,Mar 15 2021 01: +0,0.979,7
220,Mar 16 2021 01: +0,0.833,4
221,Mar 17 2021 01: +0,0.957,7
222,Mar 18 2021 01: +0,0.895,9
223,Mar 19 2021 01: +0,0.971,11
224,Mar 20 2021 01: +0,0.922,5
225,Mar 21 2021 01: +0,0.906,8
