,time,price,volume
0,Sep 10 2020 01: +0,1.184,3
1,Sep 11 2020 01: +0,0.72,47
2,Sep 12 2020 01: +0,0.599,20
3,Sep 13 2020 01: +0,0.606,25
4,Sep 14 2020 01: +0,0.622,12
5,Sep 15 2020 01: +0,0.614,14
6,Sep 16 2020 01: +0,0.67,20
7,Sep 17 2020 01: +0,0.558,24
8,Sep 18 2020 01: +0,0.454,27
9,Sep 19 2020 01: +0,0.591,13
10,Sep 20 2020 01: +0,0.567,22
11,Sep 21 2020 01: +0,0.493,17
12,Sep 22 2020 01: +0,0.481,10
13,Sep 23 2020 01: +0,0.419,18
14,Sep 24 2020 01: +0,0.464,18
15,Sep 25 2020 01: +0,0.451,14
16,Sep 26 2020 01: +0,0.435,13
17,Sep 27 2020 01: +0,0.585,20
18,Sep 28 2020 01: +0,0.502,9
19,Sep 29 2020 01: +0,0.507,20
20,Sep 30 2020 01: +0,0.475,18
21,Oct 01 2020 01: +0,0.455,31
22,Oct 02 2020 01: +0,0.375,25
23,Oct 03 2020 01: +0,0.442,15
24,Oct 04 2020 01: +0,0.525,9
25,Oct 05 2020 01: +0,0.581,13
26,Oct 06 2020 01: +0,0.579,10
27,Oct 07 2020 01: +0,0.534,9
28,Oct 08 2020 01: +0,0.516,14
29,Oct 09 2020 01: +0,0.466,24
30,Oct 10 2020 01: +0,0.396,18
31,Oct 11 2020 01: +0,0.436,20
32,Oct 12 2020 01: +0,0.537,8
33,Oct 13 2020 01: +0,0.517,12
34,Oct 14 2020 01: +0,0.439,14
35,Oct 15 2020 01: +0,0.444,8
36,Oct 16 2020 01: +0,0.409,13
37,Oct 17 2020 01: +0,0.411,14
38,Oct 18 2020 01: +0,0.497,10
39,Oct 19 2020 01: +0,0.416,23
40,Oct 20 2020 01: +0,0.52,14
41,Oct 21 2020 01: +0,0.564,17
42,Oct 22 2020 01: +0,0.544,9
43,Oct 23 2020 01: +0,0.45,15
44,Oct 24 2020 01: +0,0.481,14
45,Oct 25 2020 01: +0,0.476,10
46,Oct 26 2020 01: +0,0.467,13
47,Oct 27 2020 01: +0,0.4,17
48,Oct 28 2020 01: +0,0.42,14
49,Oct 29 2020 01: +0,0.543,9
50,Oct 30 2020 01: +0,0.421,16
51,Oct 31 2020 01: +0,0.519,17
52,Nov 01 2020 01: +0,0.481,19
53,Nov 02 2020 01: +0,0.473,10
54,Nov 03 2020 01: +0,0.508,9
55,Nov 04 2020 01: +0,0.514,20
56,Nov 05 2020 01: +0,0.505,11
57,Nov 06 2020 01: +0,0.493,12
58,Nov 07 2020 01: +0,0.498,14
59,Nov 08 2020 01: +0,0.549,17
60,Nov 09 2020 01: +0,0.582,7
61,Nov 10 2020 01: +0,0.56,9
62,Nov 11 2020 01: +0,0.538,12
63,Nov 12 2020 01: +0,0.546,15
64,Nov 13 2020 01: +0,0.511,14
65,Nov 14 2020 01: +0,0.554,13
66,Nov 15 2020 01: +0,0.578,12
67,Nov 16 2020 01: +0,0.534,10
68,Nov 17 2020 01: +0,0.516,16
69,Nov 18 2020 01: +0,0.505,15
70,Nov 19 2020 01: +0,0.478,16
71,Nov 20 2020 01: +0,0.507,18
72,Nov 21 2020 01: +0,0.461,18
73,Nov 22 2020 01: +0,0.464,18
74,Nov 23 2020 01: +0,0.505,17
75,Nov 24 2020 01: +0,0.475,11
76,Nov 25 2020 01: +0,0.422,12
77,Nov 26 2020 01: +0,0.457,15
78,Nov 27 2020 01: +0,0.413,15
79,Nov 28 2020 01: +0,0.432,12
80,Nov 29 2020 01: +0,0.399,16
81,Nov 30 2020 01: +0,0.408,14
82,Dec 01 2020 01: +0,0.393,19
83,Dec 02 2020 01: +0,0.422,17
84,Dec 03 2020 01: +0,0.434,24
85,Dec 04 2020 01: +0,0.391,20
86,Dec 05 2020 01: +0,0.415,16
87,Dec 06 2020 01: +0,0.405,19
88,Dec 07 2020 01: +0,0.418,14
89,Dec 08 2020 01: +0,0.434,16
90,Dec 09 2020 01: +0,0.411,8
91,Dec 10 2020 01: +0,0.414,24
92,Dec 11 2020 01: +0,0.414,19
93,Dec 12 2020 01: +0,0.457,18
94,Dec 13 2020 01: +0,0.452,17
95,Dec 14 2020 01: +0,0.461,21
96,Dec 15 2020 01: +0,0.473,28
97,Dec 16 2020 01: +0,0.464,13
98,Dec 17 2020 01: +0,0.501,26
99,Dec 18 2020 01: +0,0.551,10
100,Dec 19 2020 01: +0,0.472,13
101,Dec 20 2020 01: +0,0.461,25
102,Dec 21 2020 01: +0,0.497,30
103,Dec 22 2020 01: +0,0.487,27
104,Dec 23 2020 01: +0,0.526,25
105,Dec 24 2020 01: +0,0.499,18
106,Dec 25 2020 01: +0,0.538,28
107,Dec 26 2020 01: +0,0.569,26
108,Dec 27 2020 01: +0,0.663,23
109,Dec 28 2020 01: +0,0.693,21
110,Dec 29 2020 01: +0,0.66,18
111,Dec 30 2020 01: +0,0.686,22
112,Dec 31 2020 01: +0,0.574,19
113,Jan 01 2021 01: +0,0.684,26
114,Jan 02 2021 01: +0,0.72,29
115,Jan 03 2021 01: +0,0.703,22
116,Jan 04 2021 01: +0,0.719,18
117,Jan 05 2021 01: +0,0.794,31
118,Jan 06 2021 01: +0,0.677,21
119,Jan 07 2021 01: +0,0.695,30
120,Jan 08 2021 01: +0,0.77,34
121,Jan 09 2021 01: +0,0.75,32
122,Jan 10 2021 01: +0,0.906,26
123,Jan 11 2021 01: +0,0.904,24
124,Jan 12 2021 01: +0,0.888,29
125,Jan 13 2021 01: +0,0.796,58
126,Jan 14 2021 01: +0,0.893,46
127,Jan 15 2021 01: +0,0.86,35
128,Jan 16 2021 01: +0,1.081,48
129,Jan 17 2021 01: +0,2.168,33
130,Jan 18 2021 01: +0,1.9,33
131,Jan 19 2021 01: +0,1.441,33
132,Jan 20 2021 01: +0,1.253,34
133,Jan 21 2021 01: +0,1.139,27
134,Jan 22 2021 01: +0,1.27,24
135,Jan 23 2021 01: +0,1.222,25
136,Jan 24 2021 01: +0,1.214,30
137,Jan 25 2021 01: +0,1.176,21
138,Jan 26 2021 01: +0,1.205,37
139,Jan 27 2021 01: +0,1.163,38
140,Jan 28 2021 01: +0,1.162,24
141,Jan 29 2021 01: +0,1.134,30
142,Jan 30 2021 01: +0,1.195,21
143,Jan 31 2021 01: +0,1.13,23
144,Feb 01 2021 01: +0,1.27,23
145,Feb 02 2021 01: +0,1.327,24
146,Feb 03 2021 01: +0,1.273,20
147,Feb 04 2021 01: +0,1.136,20
148,Feb 05 2021 01: +0,1.092,19
149,Feb 06 2021 01: +0,1.168,20
150,Feb 07 2021 01: +0,1.185,23
151,Feb 08 2021 01: +0,1.188,15
152,Feb 09 2021 01: +0,1.105,27
153,Feb 10 2021 01: +0,1.171,24
154,Feb 11 2021 01: +0,1.202,20
155,Feb 12 2021 01: +0,1.094,11
156,Feb 13 2021 01: +0,1.16,26
157,Feb 14 2021 01: +0,1.103,22
158,Feb 15 2021 01: +0,1.175,25
159,Feb 16 2021 01: +0,1.161,35
160,Feb 17 2021 01: +0,1.199,21
161,Feb 18 2021 01: +0,1.193,18
162,Feb 19 2021 01: +0,1.223,26
163,Feb 20 2021 01: +0,1.111,20
164,Feb 21 2021 01: +0,1.172,22
165,Feb 22 2021 01: +0,1.198,18
166,Feb 23 2021 01: +0,1.129,14
167,Feb 24 2021 01: +0,1.111,24
168,Feb 25 2021 01: +0,1.142,20
169,Feb 26 2021 01: +0,1.111,17
170,Feb 27 2021 01: +0,1.069,18
171,Feb 28 2021 01: +0,1.036,22
172,Mar 01 2021 01: +0,1.167,17
173,Mar 02 2021 01: +0,1.093,16
174,Mar 03 2021 01: +0,1.01,19
175,Mar 04 2021 01: +0,1.078,16
176,Mar 05 2021 01: +0,1.07,20
177,Mar 06 2021 01: +0,1.118,10
178,Mar 07 2021 01: +0,1.103,17
179,Mar 08 2021 01: +0,1.097,12
180,Mar 09 2021 01: +0,1.082,13
181,Mar 10 2021 01: +0,1.099,20
182,Mar 11 2021 01: +0,1.13,9
183,Mar 12 2021 01: +0,1.093,15
184,Mar 13 2021 01: +0,1.216,20
185,Mar 14 2021 01: +0,1.349,11
186,Mar 15 2021 01: +0,1.251,9
187,Mar 16 2021 01: +0,1.014,12
188,Mar 17 2021 01: +0,1.094,17
189,Mar 18 2021 01: +0,1.231,17
190,Mar 19 2021 01: +0,0.935,14
191,Mar 20 2021 01: +0,0.985,21
192,Mar 21 2021 01: +0,1.143,8
193,Mar 22 2021 01: +0,1.152,9
194,Mar 23 2021 01: +0,1.217,4
195,Mar 24 2021 01: +0,1.157,14
196,Mar 25 2021 01: +0,1.002,9
197,Mar 26 2021 01: +0,1.038,6
198,Mar 27 2021 01: +0,0.999,14
199,Mar 28 2021 01: +0,1.138,19
200,Mar 29 2021 01: +0,1.142,13
201,Mar 30 2021 01: +0,1.179,15
202,Mar 31 2021 01: +0,1.191,13
203,Apr 01 2021 01: +0,1.23,12
204,Apr 02 2021 01: +0,1.161,14
205,Apr 03 2021 01: +0,1.153,16
206,Apr 04 2021 01: +0,1.31,13
207,Apr 05 2021 01: +0,1.265,13
208,Apr 06 2021 01: +0,1.233,14
209,Apr 07 2021 01: +0,1.295,12
210,Apr 08 2021 01: +0,1.241,10
211,Apr 09 2021 01: +0,1.091,17
212,Apr 10 2021 01: +0,1.033,9
213,Apr 11 2021 01: +0,1.059,11
214,Apr 12 2021 01: +0,1.067,6
215,Apr 13 2021 01: +0,1.014,10
216,Apr 14 2021 03: +0,1.09,1
217,Apr 14 2021 04: +0,1.09,1
218,Apr 14 2021 05: +0,1.158,1
219,Apr 14 2021 07: +0,1.145,1
220,Apr 14 2021 16: +0,1.01,1
221,Apr 14 2021 17: +0,1.107,2
222,Apr 14 2021 19: +0,1.192,3
223,Apr 14 2021 20: +0,1.194,1
224,Apr 14 2021 23: +0,1.19,1
225,Apr 15 2021 02: +0,1.19,3
226,Apr 15 2021 09: +0,0.909,1
227,Apr 15 2021 14: +0,1.115,1
228,Apr 15 2021 15: +0,1.124,1
229,Apr 15 2021 16: +0,0.89,1
230,Apr 15 2021 17: +0,1.19,1
231,Apr 15 2021 22: +0,0.89,1
232,Apr 15 2021 23: +0,1.166,1
233,Apr 16 2021 05: +0,0.921,3
234,Apr 16 2021 06: +0,1.0,1
235,Apr 16 2021 07: +0,1.09,1
236,Apr 16 2021 08: +0,1.1,1
237,Apr 16 2021 10: +0,1.09,1
238,Apr 16 2021 12: +0,0.933,1
239,Apr 16 2021 14: +0,1.088,1
240,Apr 16 2021 15: +0,1.101,3
241,Apr 16 2021 22: +0,0.754,2
242,Apr 17 2021 00: +0,0.898,1
243,Apr 17 2021 02: +0,1.032,2
244,Apr 17 2021 03: +0,1.06,1
245,Apr 17 2021 04: +0,1.061,1
246,Apr 17 2021 05: +0,1.114,1
247,Apr 17 2021 07: +0,1.146,1
248,Apr 17 2021 10: +0,1.05,1
249,Apr 17 2021 11: +0,1.148,1
250,Apr 17 2021 17: +0,1.102,1
251,Apr 17 2021 18: +0,1.1,1
252,Apr 17 2021 19: +0,0.476,1
253,Apr 17 2021 20: +0,1.033,1
254,Apr 17 2021 21: +0,0.89,1
255,Apr 17 2021 22: +0,1.103,1
256,Apr 18 2021 06: +0,1.15,1
257,Apr 18 2021 11: +0,1.072,1
258,Apr 18 2021 15: +0,1.054,1
259,Apr 18 2021 16: +0,1.117,1
260,Apr 18 2021 20: +0,0.982,1
261,Apr 19 2021 00: +0,0.922,1
262,Apr 19 2021 03: +0,0.94,1
263,Apr 19 2021 05: +0,0.943,2
264,Apr 19 2021 07: +0,0.955,1
265,Apr 19 2021 13: +0,1.007,1
266,Apr 19 2021 14: +0,0.994,1
267,Apr 19 2021 17: +0,0.975,2
268,Apr 19 2021 22: +0,1.03,1
269,Apr 20 2021 02: +0,1.055,2
270,Apr 20 2021 13: +0,1.004,2
271,Apr 20 2021 15: +0,0.998,1
272,Apr 20 2021 16: +0,0.93,2
273,Apr 20 2021 22: +0,1.056,2
274,Apr 20 2021 23: +0,1.1,1
275,Apr 21 2021 02: +0,1.12,2
276,Apr 21 2021 03: +0,1.12,1
277,Apr 21 2021 05: +0,1.12,1
278,Apr 21 2021 06: +0,1.15,1
279,Apr 21 2021 13: +0,1.144,1
280,Apr 21 2021 17: +0,1.141,1
281,Apr 21 2021 18: +0,1.116,1
282,Apr 21 2021 20: +0,1.12,1
283,Apr 21 2021 23: +0,1.131,1
284,Apr 22 2021 00: +0,1.146,1
285,Apr 22 2021 02: +0,1.15,1
286,Apr 22 2021 03: +0,1.15,2
287,Apr 22 2021 06: +0,1.138,1
288,Apr 22 2021 11: +0,1.139,1
289,Apr 22 2021 15: +0,1.164,1
290,Apr 22 2021 19: +0,1.16,1
291,Apr 22 2021 21: +0,0.92,1
292,Apr 22 2021 22: +0,1.05,1
293,Apr 23 2021 01: +0,1.08,2
294,Apr 23 2021 02: +0,1.157,1
295,Apr 23 2021 07: +0,1.15,1
296,Apr 23 2021 09: +0,0.927,1
297,Apr 23 2021 14: +0,0.949,2
298,Apr 23 2021 19: +0,0.98,1
299,Apr 23 2021 22: +0,1.108,1
300,Apr 23 2021 23: +0,1.149,1
301,Apr 24 2021 00: +0,1.167,2
302,Apr 24 2021 01: +0,0.909,1
303,Apr 24 2021 03: +0,1.17,1
