,time,price,volume
0,Jun 15 2017 01: +0,1.725,16
1,Jun 16 2017 01: +0,1.241,51
2,Jun 17 2017 01: +0,1.308,53
3,Jun 18 2017 01: +0,1.308,41
4,Jun 19 2017 01: +0,1.345,47
5,Jun 20 2017 01: +0,1.323,32
6,Jun 21 2017 01: +0,1.231,34
7,Jun 22 2017 01: +0,1.074,33
8,Jun 23 2017 01: +0,1.093,48
9,Jun 24 2017 01: +0,1.419,52
10,Jun 25 2017 01: +0,1.594,34
11,Jun 26 2017 01: +0,1.378,22
12,Jun 27 2017 01: +0,1.449,30
13,Jun 28 2017 01: +0,1.426,24
14,Jun 29 2017 01: +0,1.445,31
15,Jun 30 2017 01: +0,1.48,34
16,Jul 01 2017 01: +0,1.653,50
17,Jul 02 2017 01: +0,1.759,34
18,Jul 03 2017 01: +0,1.714,32
19,Jul 04 2017 01: +0,1.638,27
20,Jul 05 2017 01: +0,1.569,33
21,Jul 06 2017 01: +0,1.97,31
22,Jul 07 2017 01: +0,1.548,33
23,Jul 08 2017 01: +0,1.676,31
24,Jul 09 2017 01: +0,2.013,31
25,Jul 10 2017 01: +0,1.891,30
26,Jul 11 2017 01: +0,1.92,22
27,Jul 12 2017 01: +0,1.854,25
28,Jul 13 2017 01: +0,1.784,41
29,Jul 14 2017 01: +0,1.93,35
30,Jul 15 2017 01: +0,1.954,30
31,Jul 16 2017 01: +0,1.973,25
32,Jul 17 2017 01: +0,2.082,24
33,Jul 18 2017 01: +0,2.09,25
34,Jul 19 2017 01: +0,2.053,28
35,Jul 20 2017 01: +0,2.385,25
36,Jul 21 2017 01: +0,2.306,19
37,Jul 22 2017 01: +0,2.283,16
38,Jul 23 2017 01: +0,2.267,19
39,Jul 24 2017 01: +0,2.384,21
40,Jul 25 2017 01: +0,2.178,21
41,Jul 26 2017 01: +0,2.28,21
42,Jul 27 2017 01: +0,2.101,20
43,Jul 28 2017 01: +0,2.288,17
44,Jul 29 2017 01: +0,2.192,29
45,Jul 30 2017 01: +0,2.424,17
46,Jul 31 2017 01: +0,2.442,18
47,Aug 01 2017 01: +0,1.988,4
48,Aug 02 2017 01: +0,1.911,16
49,Aug 03 2017 01: +0,2.103,29
50,Aug 04 2017 01: +0,2.187,26
51,Aug 05 2017 01: +0,2.207,22
52,Aug 06 2017 01: +0,2.15,17
53,Aug 07 2017 01: +0,2.157,18
54,Aug 08 2017 01: +0,2.111,25
55,Aug 09 2017 01: +0,2.221,21
56,Aug 10 2017 01: +0,2.014,20
57,Aug 11 2017 01: +0,1.86,17
58,Aug 12 2017 01: +0,1.955,19
59,Aug 13 2017 01: +0,2.063,23
60,Aug 14 2017 01: +0,1.972,11
61,Aug 15 2017 01: +0,1.949,17
62,Aug 16 2017 01: +0,2.17,12
63,Aug 17 2017 01: +0,2.006,12
64,Aug 18 2017 01: +0,1.903,13
65,Aug 19 2017 01: +0,1.83,18
66,Aug 20 2017 01: +0,1.841,14
67,Aug 21 2017 01: +0,1.889,16
68,Aug 22 2017 01: +0,2.052,19
69,Aug 23 2017 01: +0,2.128,13
70,Aug 24 2017 01: +0,2.166,16
71,Aug 25 2017 01: +0,2.308,9
72,Aug 26 2017 01: +0,2.272,12
73,Aug 27 2017 01: +0,2.231,22
74,Aug 28 2017 01: +0,1.969,13
75,Aug 29 2017 01: +0,1.951,10
76,Aug 30 2017 01: +0,2.019,11
77,Aug 31 2017 01: +0,1.82,18
78,Sep 01 2017 01: +0,1.802,17
79,Sep 02 2017 01: +0,2.074,22
80,Sep 03 2017 01: +0,2.041,20
81,Sep 04 2017 01: +0,1.911,8
82,Sep 05 2017 01: +0,2.121,13
83,Sep 06 2017 01: +0,1.845,13
84,Sep 07 2017 01: +0,1.735,15
85,Sep 08 2017 01: +0,2.139,19
86,Sep 09 2017 01: +0,2.253,17
87,Sep 10 2017 01: +0,2.132,23
88,Sep 11 2017 01: +0,2.335,16
89,Sep 12 2017 01: +0,2.508,9
90,Sep 13 2017 01: +0,2.772,18
91,Sep 14 2017 01: +0,3.024,11
92,Sep 15 2017 01: +0,2.813,17
93,Sep 16 2017 01: +0,2.748,22
94,Sep 17 2017 01: +0,2.753,10
95,Sep 18 2017 01: +0,2.79,11
96,Sep 19 2017 01: +0,2.649,7
97,Sep 20 2017 01: +0,2.933,12
98,Sep 21 2017 01: +0,2.835,11
99,Sep 22 2017 01: +0,2.766,11
100,Sep 23 2017 01: +0,3.137,13
101,Sep 24 2017 01: +0,2.428,9
102,Sep 25 2017 01: +0,2.53,11
103,Sep 26 2017 01: +0,2.015,9
104,Sep 27 2017 01: +0,2.479,13
105,Sep 28 2017 01: +0,2.195,18
106,Sep 29 2017 01: +0,2.471,17
107,Sep 30 2017 01: +0,2.588,16
108,Oct 01 2017 01: +0,2.903,14
109,Oct 02 2017 01: +0,2.734,7
110,Oct 03 2017 01: +0,2.988,13
111,Oct 04 2017 01: +0,2.792,13
112,Oct 05 2017 01: +0,2.715,15
113,Oct 06 2017 01: +0,2.811,6
114,Oct 07 2017 01: +0,2.739,16
115,Oct 08 2017 01: +0,2.767,12
116,Oct 09 2017 01: +0,2.774,12
117,Oct 10 2017 01: +0,2.852,8
118,Oct 11 2017 01: +0,2.631,13
119,Oct 12 2017 01: +0,2.531,12
120,Oct 13 2017 01: +0,2.505,15
121,Oct 14 2017 01: +0,2.56,12
122,Oct 15 2017 01: +0,2.504,16
123,Oct 16 2017 01: +0,2.372,7
124,Oct 17 2017 01: +0,2.564,12
125,Oct 18 2017 01: +0,2.618,8
126,Oct 19 2017 01: +0,2.622,11
127,Oct 20 2017 01: +0,2.211,15
128,Oct 21 2017 01: +0,2.251,17
129,Oct 22 2017 01: +0,2.573,12
130,Oct 23 2017 01: +0,2.563,9
131,Oct 24 2017 01: +0,2.362,11
132,Oct 25 2017 01: +0,2.096,15
133,Oct 26 2017 01: +0,2.002,14
134,Oct 27 2017 01: +0,1.845,16
135,Oct 28 2017 01: +0,1.958,13
136,Oct 29 2017 01: +0,1.875,13
137,Oct 30 2017 01: +0,2.056,8
138,Oct 31 2017 01: +0,1.948,10
139,Nov 01 2017 01: +0,1.872,4
140,Nov 02 2017 01: +0,2.033,12
141,Nov 03 2017 01: +0,1.793,6
142,Nov 04 2017 01: +0,1.888,17
143,Nov 05 2017 01: +0,2.146,23
144,Nov 06 2017 01: +0,2.197,16
145,Nov 07 2017 01: +0,2.573,13
146,Nov 08 2017 01: +0,2.415,8
147,Nov 09 2017 01: +0,2.488,14
148,Nov 10 2017 01: +0,2.721,16
149,Nov 11 2017 01: +0,3.122,18
150,Nov 12 2017 01: +0,3.303,10
151,Nov 13 2017 01: +0,2.665,8
152,Nov 14 2017 01: +0,2.653,14
153,Nov 15 2017 01: +0,3.005,10
154,Nov 16 2017 01: +0,2.804,9
155,Nov 17 2017 01: +0,2.759,10
156,Nov 18 2017 01: +0,3.105,10
157,Nov 19 2017 01: +0,2.985,8
158,Nov 20 2017 01: +0,2.912,13
159,Nov 21 2017 01: +0,2.998,11
160,Nov 22 2017 01: +0,2.958,15
161,Nov 23 2017 01: +0,2.771,16
162,Nov 24 2017 01: +0,2.876,13
163,Nov 25 2017 01: +0,3.021,18
164,Nov 26 2017 01: +0,2.687,17
165,Nov 27 2017 01: +0,3.23,10
166,Nov 28 2017 01: +0,2.904,14
167,Nov 29 2017 01: +0,3.15,9
168,Nov 30 2017 01: +0,2.948,16
169,Dec 01 2017 01: +0,3.244,18
170,Dec 02 2017 01: +0,5.782,11
171,Dec 03 2017 01: +0,3.959,11
172,Dec 04 2017 01: +0,5.198,9
173,Dec 05 2017 01: +0,4.162,10
174,Dec 06 2017 01: +0,3.543,10
175,Dec 07 2017 01: +0,4.044,12
176,Dec 08 2017 01: +0,3.695,8
177,Dec 09 2017 01: +0,3.639,21
178,Dec 10 2017 01: +0,4.128,12
179,Dec 11 2017 01: +0,4.018,16
180,Dec 12 2017 01: +0,4.655,14
181,Dec 13 2017 01: +0,5.017,16
182,Dec 14 2017 01: +0,4.708,6
183,Dec 15 2017 01: +0,4.213,11
184,Dec 16 2017 01: +0,4.718,15
185,Dec 17 2017 01: +0,4.911,8
186,Dec 18 2017 01: +0,5.324,12
187,Dec 19 2017 01: +0,5.151,12
188,Dec 20 2017 01: +0,5.894,9
189,Dec 21 2017 01: +0,5.05,14
190,Dec 22 2017 01: +0,5.695,8
191,Dec 23 2017 01: +0,5.62,12
192,Dec 24 2017 01: +0,5.467,11
193,Dec 25 2017 01: +0,5.65,22
