,time,price,volume
0,Aug 09 2019 01: +0,0.976,36
1,Aug 10 2019 01: +0,0.908,82
2,Aug 11 2019 01: +0,0.884,47
3,Aug 12 2019 01: +0,0.812,60
4,Aug 13 2019 01: +0,0.901,38
5,Aug 14 2019 01: +0,0.863,38
6,Aug 15 2019 01: +0,0.833,62
7,Aug 16 2019 01: +0,0.699,107
8,Aug 17 2019 01: +0,0.632,88
9,Aug 18 2019 01: +0,0.701,69
10,Aug 19 2019 01: +0,0.685,58
11,Aug 20 2019 01: +0,0.679,44
12,Aug 21 2019 01: +0,0.76,40
13,Aug 22 2019 01: +0,0.712,39
14,Aug 23 2019 01: +0,0.7,55
15,Aug 24 2019 01: +0,0.693,50
16,Aug 25 2019 01: +0,0.744,44
17,Aug 26 2019 01: +0,0.681,46
18,Aug 27 2019 01: +0,0.686,48
19,Aug 28 2019 01: +0,0.658,40
20,Aug 29 2019 01: +0,0.615,51
21,Aug 30 2019 01: +0,0.647,45
22,Aug 31 2019 01: +0,0.655,53
23,Sep 01 2019 01: +0,0.656,52
24,Sep 02 2019 01: +0,0.667,43
25,Sep 03 2019 01: +0,0.689,41
26,Sep 04 2019 01: +0,0.674,29
27,Sep 05 2019 01: +0,0.69,47
28,Sep 06 2019 01: +0,0.658,39
29,Sep 07 2019 01: +0,0.704,61
30,Sep 08 2019 01: +0,0.69,48
31,Sep 09 2019 01: +0,0.675,33
32,Sep 10 2019 01: +0,0.645,32
33,Sep 11 2019 01: +0,0.687,34
34,Sep 12 2019 01: +0,0.692,20
35,Sep 13 2019 01: +0,0.628,47
36,Sep 14 2019 01: +0,0.645,33
37,Sep 15 2019 01: +0,0.686,56
38,Sep 16 2019 01: +0,0.641,30
39,Sep 17 2019 01: +0,0.65,30
40,Sep 18 2019 01: +0,0.686,25
41,Sep 19 2019 01: +0,0.666,22
42,Sep 20 2019 01: +0,0.629,43
43,Sep 21 2019 01: +0,0.626,37
44,Sep 22 2019 01: +0,0.648,43
45,Sep 23 2019 01: +0,0.585,28
46,Sep 24 2019 01: +0,0.608,22
47,Sep 25 2019 01: +0,0.614,26
48,Sep 26 2019 01: +0,0.586,38
49,Sep 27 2019 01: +0,0.64,34
50,Sep 28 2019 01: +0,0.621,42
51,Sep 29 2019 01: +0,0.615,28
52,Sep 30 2019 01: +0,0.607,23
53,Oct 01 2019 01: +0,0.636,27
54,Oct 02 2019 01: +0,0.598,27
55,Oct 03 2019 01: +0,0.608,37
56,Oct 04 2019 01: +0,0.581,34
57,Oct 05 2019 01: +0,0.595,48
58,Oct 06 2019 01: +0,0.643,30
59,Oct 07 2019 01: +0,0.593,40
60,Oct 08 2019 01: +0,0.585,30
61,Oct 09 2019 01: +0,0.56,25
62,Oct 10 2019 01: +0,0.6,41
63,Oct 11 2019 01: +0,0.598,22
64,Oct 12 2019 01: +0,0.555,61
65,Oct 13 2019 01: +0,0.595,37
66,Oct 14 2019 01: +0,0.57,25
67,Oct 15 2019 01: +0,0.581,23
68,Oct 16 2019 01: +0,0.537,37
69,Oct 17 2019 01: +0,0.591,44
70,Oct 18 2019 01: +0,0.601,50
71,Oct 19 2019 01: +0,0.547,48
72,Oct 20 2019 01: +0,0.583,58
73,Oct 21 2019 01: +0,0.594,41
74,Oct 22 2019 01: +0,0.564,30
75,Oct 23 2019 01: +0,0.553,29
76,Oct 24 2019 01: +0,0.592,39
77,Oct 25 2019 01: +0,0.563,45
78,Oct 26 2019 01: +0,0.568,35
79,Oct 27 2019 01: +0,0.584,37
80,Oct 28 2019 01: +0,0.563,27
81,Oct 29 2019 01: +0,0.541,20
82,Oct 30 2019 01: +0,0.566,38
83,Oct 31 2019 01: +0,0.524,23
84,Nov 01 2019 01: +0,0.519,40
85,Nov 02 2019 01: +0,0.524,45
86,Nov 03 2019 01: +0,0.524,38
87,Nov 04 2019 01: +0,0.541,33
88,Nov 05 2019 01: +0,0.544,25
89,Nov 06 2019 01: +0,0.55,27
90,Nov 07 2019 01: +0,0.551,33
91,Nov 08 2019 01: +0,0.539,44
92,Nov 09 2019 01: +0,0.589,47
93,Nov 10 2019 01: +0,0.597,37
94,Nov 11 2019 01: +0,0.576,38
95,Nov 12 2019 01: +0,0.566,24
96,Nov 13 2019 01: +0,0.54,23
97,Nov 14 2019 01: +0,0.559,30
98,Nov 15 2019 01: +0,0.537,28
99,Nov 16 2019 01: +0,0.557,44
100,Nov 17 2019 01: +0,0.552,44
101,Nov 18 2019 01: +0,0.515,43
102,Nov 19 2019 01: +0,0.508,24
103,Nov 20 2019 01: +0,0.481,35
104,Nov 21 2019 01: +0,0.49,29
105,Nov 22 2019 01: +0,0.498,47
106,Nov 23 2019 01: +0,0.508,36
107,Nov 24 2019 01: +0,0.515,67
108,Nov 25 2019 01: +0,0.541,34
109,Nov 26 2019 01: +0,0.534,27
110,Nov 27 2019 01: +0,0.524,22
111,Nov 28 2019 01: +0,0.514,31
112,Nov 29 2019 01: +0,0.533,39
113,Nov 30 2019 01: +0,0.546,37
114,Dec 01 2019 01: +0,0.517,41
115,Dec 02 2019 01: +0,0.52,19
116,Dec 03 2019 01: +0,0.518,28
117,Dec 04 2019 01: +0,0.536,24
118,Dec 05 2019 01: +0,0.536,38
119,Dec 06 2019 01: +0,0.56,37
120,Dec 07 2019 01: +0,0.546,30
121,Dec 08 2019 01: +0,0.542,39
122,Dec 09 2019 01: +0,0.548,30
