,time,price,volume
0,Jul 20 2017 01: +0,1.297,37
1,Jul 21 2017 01: +0,1.254,80
2,Jul 22 2017 01: +0,1.34,77
3,Jul 23 2017 01: +0,1.313,53
4,Jul 24 2017 01: +0,1.357,86
5,Jul 25 2017 01: +0,1.354,58
6,Jul 26 2017 01: +0,1.374,51
7,Jul 27 2017 01: +0,1.366,79
8,Jul 28 2017 01: +0,1.36,54
9,Jul 29 2017 01: +0,1.718,68
10,Jul 30 2017 01: +0,1.916,44
11,Jul 31 2017 01: +0,1.983,44
12,Aug 01 2017 01: +0,1.974,30
13,Aug 02 2017 01: +0,1.779,41
14,Aug 03 2017 01: +0,1.677,56
15,Aug 04 2017 01: +0,1.615,36
16,Aug 05 2017 01: +0,1.698,51
17,Aug 06 2017 01: +0,1.841,45
18,Aug 07 2017 01: +0,1.837,50
19,Aug 08 2017 01: +0,1.913,41
20,Aug 09 2017 01: +0,1.84,27
21,Aug 10 2017 01: +0,1.752,31
22,Aug 11 2017 01: +0,1.845,35
23,Aug 12 2017 01: +0,1.911,39
24,Aug 13 2017 01: +0,1.732,44
25,Aug 14 2017 01: +0,1.717,30
26,Aug 15 2017 01: +0,1.791,35
27,Aug 16 2017 01: +0,1.79,29
28,Aug 17 2017 01: +0,1.865,42
29,Aug 18 2017 01: +0,1.829,33
30,Aug 19 2017 01: +0,1.769,41
31,Aug 20 2017 01: +0,1.891,36
32,Aug 21 2017 01: +0,1.767,34
33,Aug 22 2017 01: +0,1.747,27
34,Aug 23 2017 01: +0,1.473,30
35,Aug 24 2017 01: +0,1.723,29
36,Aug 25 2017 01: +0,1.864,32
37,Aug 26 2017 01: +0,1.783,32
38,Aug 27 2017 01: +0,1.626,36
39,Aug 28 2017 01: +0,1.796,21
40,Aug 29 2017 01: +0,1.761,20
41,Aug 30 2017 01: +0,1.529,27
42,Aug 31 2017 01: +0,1.661,20
43,Sep 01 2017 01: +0,1.705,27
44,Sep 02 2017 01: +0,1.71,34
45,Sep 03 2017 01: +0,1.697,27
46,Sep 04 2017 01: +0,1.764,18
47,Sep 05 2017 01: +0,1.639,26
48,Sep 06 2017 01: +0,1.789,15
49,Sep 07 2017 01: +0,1.618,18
50,Sep 08 2017 01: +0,1.749,25
51,Sep 09 2017 01: +0,1.922,29
52,Sep 10 2017 01: +0,1.949,37
53,Sep 11 2017 01: +0,1.764,25
54,Sep 12 2017 01: +0,1.914,13
55,Sep 13 2017 01: +0,1.883,25
56,Sep 14 2017 01: +0,2.06,26
57,Sep 15 2017 01: +0,1.995,27
58,Sep 16 2017 01: +0,1.945,32
