,time,price,volume
0,Jan 04 2020 01: +0,1.381,48
1,Jan 05 2020 01: +0,1.127,77
2,Jan 06 2020 01: +0,1.139,59
3,Jan 07 2020 01: +0,1.043,51
4,Jan 08 2020 01: +0,1.035,54
5,Jan 09 2020 01: +0,0.999,54
6,Jan 10 2020 01: +0,1.045,56
7,Jan 11 2020 01: +0,1.115,70
8,Jan 12 2020 01: +0,0.979,86
9,Jan 13 2020 01: +0,1.01,53
10,Jan 14 2020 01: +0,0.955,53
11,Jan 15 2020 01: +0,0.966,31
12,Jan 16 2020 01: +0,0.871,35
13,Jan 17 2020 01: +0,0.887,50
14,Jan 18 2020 01: +0,0.927,55
15,Jan 19 2020 01: +0,0.962,43
16,Jan 20 2020 01: +0,0.916,33
17,Jan 21 2020 01: +0,0.905,38
18,Jan 22 2020 01: +0,0.874,25
19,Jan 23 2020 01: +0,0.839,34
20,Jan 24 2020 01: +0,0.906,38
21,Jan 25 2020 01: +0,0.933,48
22,Jan 26 2020 01: +0,0.89,51
23,Jan 27 2020 01: +0,0.788,32
24,Jan 28 2020 01: +0,0.914,27
25,Jan 29 2020 01: +0,0.918,28
26,Jan 30 2020 01: +0,0.907,20
27,Jan 31 2020 01: +0,0.916,31
28,Feb 01 2020 01: +0,0.895,36
29,Feb 02 2020 01: +0,0.857,53
30,Feb 03 2020 01: +0,0.848,23
31,Feb 04 2020 01: +0,0.906,37
32,Feb 05 2020 01: +0,0.958,47
33,Feb 06 2020 01: +0,1.028,30
34,Feb 07 2020 01: +0,0.936,38
35,Feb 08 2020 01: +0,1.041,47
36,Feb 09 2020 01: +0,0.952,40
37,Feb 10 2020 01: +0,0.996,23
38,Feb 11 2020 01: +0,1.015,25
39,Feb 12 2020 01: +0,0.985,24
40,Feb 13 2020 01: +0,0.977,29
41,Feb 14 2020 01: +0,0.917,53
42,Feb 15 2020 01: +0,0.93,61
43,Feb 16 2020 01: +0,0.922,30
44,Feb 17 2020 01: +0,0.959,43
45,Feb 18 2020 01: +0,0.92,42
46,Feb 19 2020 01: +0,0.986,20
47,Feb 20 2020 01: +0,0.976,30
48,Feb 21 2020 01: +0,1.0,27
49,Feb 22 2020 01: +0,0.863,42
50,Feb 23 2020 01: +0,0.861,44
51,Feb 24 2020 01: +0,0.847,35
52,Feb 25 2020 01: +0,0.783,23
53,Feb 26 2020 01: +0,0.791,32
54,Feb 27 2020 01: +0,0.815,36
55,Feb 28 2020 01: +0,0.693,47
56,Feb 29 2020 01: +0,0.755,41
57,Mar 01 2020 01: +0,0.808,46
58,Mar 02 2020 01: +0,0.785,34
59,Mar 03 2020 01: +0,0.776,37
60,Mar 04 2020 01: +0,0.801,30
61,Mar 05 2020 01: +0,0.811,25
62,Mar 06 2020 01: +0,0.742,35
63,Mar 07 2020 01: +0,0.743,32
64,Mar 08 2020 01: +0,0.782,44
65,Mar 09 2020 01: +0,0.776,29
66,Mar 10 2020 01: +0,0.711,25
67,Mar 11 2020 01: +0,0.767,41
68,Mar 12 2020 01: +0,0.79,23
69,Mar 13 2020 01: +0,0.703,33
70,Mar 14 2020 01: +0,0.735,38
71,Mar 15 2020 01: +0,0.729,46
72,Mar 16 2020 01: +0,0.705,37
73,Mar 17 2020 01: +0,0.718,27
74,Mar 18 2020 01: +0,0.764,45
75,Mar 19 2020 01: +0,0.769,62
76,Mar 20 2020 01: +0,0.779,43
77,Mar 21 2020 01: +0,0.725,46
78,Mar 22 2020 01: +0,0.705,40
79,Mar 23 2020 01: +0,0.757,59
80,Mar 24 2020 01: +0,0.783,37
