,time,price,volume
0,Feb 14 2016 01: +0,21.003,4
1,Feb 15 2016 01: +0,19.833,2
2,Feb 16 2016 01: +0,22.207,2
3,Feb 17 2016 01: +0,18.844,3
4,Feb 18 2016 01: +0,6.5,19
5,Feb 19 2016 01: +0,6.972,20
6,Feb 20 2016 01: +0,6.847,20
7,Feb 21 2016 01: +0,6.357,25
8,Feb 22 2016 01: +0,6.183,13
9,Feb 23 2016 01: +0,6.075,16
10,Feb 24 2016 01: +0,5.704,10
11,Feb 25 2016 01: +0,5.758,18
12,Feb 26 2016 01: +0,6.29,18
13,Feb 27 2016 01: +0,5.746,17
14,Feb 28 2016 01: +0,5.547,19
15,Feb 29 2016 01: +0,5.763,11
16,Mar 01 2016 01: +0,5.633,10
17,Mar 02 2016 01: +0,5.305,14
18,Mar 03 2016 01: +0,5.665,13
19,Mar 04 2016 01: +0,5.819,23
20,Mar 05 2016 01: +0,5.551,21
21,Mar 06 2016 01: +0,5.858,27
22,Mar 07 2016 01: +0,6.298,15
23,Mar 08 2016 01: +0,5.71,12
24,Mar 09 2016 01: +0,4.914,9
25,Mar 10 2016 01: +0,5.31,16
26,Mar 11 2016 01: +0,4.933,10
27,Mar 12 2016 01: +0,5.239,8
28,Mar 13 2016 01: +0,5.145,10
29,Mar 14 2016 01: +0,4.847,6
30,Mar 15 2016 01: +0,4.816,12
31,Mar 16 2016 01: +0,5.609,7
32,Mar 17 2016 01: +0,5.31,8
33,Mar 18 2016 01: +0,5.832,15
34,Mar 19 2016 01: +0,5.758,9
35,Mar 20 2016 01: +0,5.405,14
36,Mar 21 2016 01: +0,5.45,9
37,Mar 22 2016 01: +0,5.275,14
38,Mar 23 2016 01: +0,5.569,6
39,Mar 24 2016 01: +0,5.678,11
40,Mar 25 2016 01: +0,5.72,18
41,Mar 26 2016 01: +0,5.895,14
42,Mar 27 2016 01: +0,6.177,22
43,Mar 28 2016 01: +0,5.346,8
44,Mar 29 2016 01: +0,5.574,12
45,Mar 30 2016 01: +0,5.22,12
46,Mar 31 2016 01: +0,5.239,10
47,Apr 01 2016 01: +0,5.451,7
48,Apr 02 2016 01: +0,5.709,14
49,Apr 03 2016 01: +0,5.416,11
50,Apr 04 2016 01: +0,4.535,10
51,Apr 05 2016 01: +0,5.125,12
52,Apr 06 2016 01: +0,4.983,11
53,Apr 07 2016 01: +0,5.343,12
54,Apr 08 2016 01: +0,5.223,14
55,Apr 09 2016 01: +0,5.414,22
56,Apr 10 2016 01: +0,5.447,16
57,Apr 11 2016 01: +0,5.38,14
58,Apr 12 2016 01: +0,5.347,15
59,Apr 13 2016 01: +0,5.666,10
60,Apr 14 2016 01: +0,5.674,11
61,Apr 15 2016 01: +0,5.205,11
62,Apr 16 2016 01: +0,5.447,21
63,Apr 17 2016 01: +0,5.476,13
64,Apr 18 2016 01: +0,5.849,9
65,Apr 19 2016 01: +0,5.557,12
66,Apr 20 2016 01: +0,5.693,10
67,Apr 21 2016 01: +0,5.768,10
68,Apr 22 2016 01: +0,5.657,14
69,Apr 23 2016 01: +0,5.787,21
70,Apr 24 2016 01: +0,5.754,18
71,Apr 25 2016 01: +0,5.721,13
72,Apr 26 2016 01: +0,5.54,7
73,Apr 27 2016 01: +0,5.568,5
74,Apr 28 2016 01: +0,5.649,9
75,Apr 29 2016 01: +0,5.342,12
76,Apr 30 2016 01: +0,5.64,15
77,May 01 2016 01: +0,4.958,20
78,May 02 2016 01: +0,5.096,6
79,May 03 2016 01: +0,5.241,8
80,May 04 2016 01: +0,5.143,8
81,May 05 2016 01: +0,5.227,14
82,May 06 2016 01: +0,5.259,15
83,May 07 2016 01: +0,5.583,18
84,May 08 2016 01: +0,5.825,11
85,May 09 2016 01: +0,5.391,11
86,May 10 2016 01: +0,5.629,13
87,May 11 2016 01: +0,5.782,15
88,May 12 2016 01: +0,5.882,16
89,May 13 2016 01: +0,5.968,15
90,May 14 2016 01: +0,5.994,23
91,May 15 2016 01: +0,5.892,21
92,May 16 2016 01: +0,6.222,14
93,May 17 2016 01: +0,5.4,18
94,May 18 2016 01: +0,5.794,12
95,May 19 2016 01: +0,5.117,19
96,May 20 2016 01: +0,5.288,14
97,May 21 2016 01: +0,5.17,17
98,May 22 2016 01: +0,5.79,19
99,May 23 2016 01: +0,5.645,8
100,May 24 2016 01: +0,5.398,11
101,May 25 2016 01: +0,5.804,11
102,May 26 2016 01: +0,5.753,15
103,May 27 2016 01: +0,5.661,8
104,May 28 2016 01: +0,5.667,11
105,May 29 2016 01: +0,5.689,13
106,May 30 2016 01: +0,5.769,9
107,May 31 2016 01: +0,5.416,10
108,Jun 01 2016 01: +0,5.141,9
109,Jun 02 2016 01: +0,5.018,22
110,Jun 03 2016 01: +0,5.605,13
111,Jun 04 2016 01: +0,5.781,16
112,Jun 05 2016 01: +0,6.107,13
113,Jun 06 2016 01: +0,5.726,16
114,Jun 07 2016 01: +0,5.821,15
115,Jun 08 2016 01: +0,5.713,10
116,Jun 09 2016 01: +0,6.025,16
117,Jun 10 2016 01: +0,6.992,20
118,Jun 11 2016 01: +0,7.085,16
119,Jun 12 2016 01: +0,6.745,15
120,Jun 13 2016 01: +0,5.963,16
121,Jun 14 2016 01: +0,5.442,13
