,time,price,volume
0,Apr 19 2018 01: +0,1.547,21
1,Apr 20 2018 01: +0,1.581,34
2,Apr 21 2018 01: +0,1.528,40
3,Apr 22 2018 01: +0,1.429,37
4,Apr 23 2018 01: +0,1.408,42
5,Apr 24 2018 01: +0,1.406,27
6,Apr 25 2018 01: +0,1.301,27
7,Apr 26 2018 01: +0,1.26,29
8,Apr 27 2018 01: +0,1.272,41
9,Apr 28 2018 01: +0,1.319,37
10,Apr 29 2018 01: +0,1.266,28
11,Apr 30 2018 01: +0,1.334,33
12,May 01 2018 01: +0,1.287,32
13,May 02 2018 01: +0,1.336,23
14,May 03 2018 01: +0,1.229,30
15,May 04 2018 01: +0,1.207,33
16,May 05 2018 01: +0,1.348,40
17,May 06 2018 01: +0,1.335,32
18,May 07 2018 01: +0,1.389,40
19,May 08 2018 01: +0,1.651,30
20,May 09 2018 01: +0,1.588,18
21,May 10 2018 01: +0,1.552,10
22,May 11 2018 01: +0,1.457,26
23,May 12 2018 01: +0,1.453,25
24,May 13 2018 01: +0,1.429,25
25,May 14 2018 01: +0,1.251,17
26,May 15 2018 01: +0,1.233,25
27,May 16 2018 01: +0,1.298,21
28,May 17 2018 01: +0,1.379,15
29,May 18 2018 01: +0,1.484,12
30,May 19 2018 01: +0,1.459,16
31,May 20 2018 01: +0,1.428,20
32,May 21 2018 01: +0,1.422,18
33,May 22 2018 01: +0,1.394,14
34,May 23 2018 01: +0,1.35,12
35,May 24 2018 01: +0,1.256,17
36,May 25 2018 01: +0,1.307,16
37,May 26 2018 01: +0,1.244,17
38,May 27 2018 01: +0,1.281,18
39,May 28 2018 01: +0,1.248,19
40,May 29 2018 01: +0,1.461,18
41,May 30 2018 01: +0,1.44,7
42,May 31 2018 01: +0,1.439,14
43,Jun 01 2018 01: +0,1.171,16
44,Jun 02 2018 01: +0,1.384,11
45,Jun 03 2018 01: +0,1.192,24
46,Jun 04 2018 01: +0,1.301,11
47,Jun 05 2018 01: +0,1.332,12
48,Jun 06 2018 01: +0,1.297,18
49,Jun 07 2018 01: +0,1.31,19
50,Jun 08 2018 01: +0,1.348,28
51,Jun 09 2018 01: +0,1.444,20
52,Jun 10 2018 01: +0,1.536,12
53,Jun 11 2018 01: +0,1.574,22
54,Jun 12 2018 01: +0,1.586,9
55,Jun 13 2018 01: +0,1.636,26
56,Jun 14 2018 01: +0,1.59,15
57,Jun 15 2018 01: +0,1.505,17
58,Jun 16 2018 01: +0,1.599,25
59,Jun 17 2018 01: +0,1.603,31
60,Jun 18 2018 01: +0,1.651,19
61,Jun 19 2018 01: +0,1.945,20
62,Jun 20 2018 01: +0,1.978,10
63,Jun 21 2018 01: +0,2.061,12
64,Jun 22 2018 01: +0,1.911,16
65,Jun 23 2018 01: +0,1.668,11
66,Jun 24 2018 01: +0,1.447,21
67,Jun 25 2018 01: +0,1.589,23
68,Jun 26 2018 01: +0,1.704,10
69,Jun 27 2018 01: +0,1.625,16
70,Jun 28 2018 01: +0,1.472,15
71,Jun 29 2018 01: +0,1.512,23
72,Jun 30 2018 01: +0,1.524,13
73,Jul 01 2018 01: +0,1.653,19
74,Jul 02 2018 01: +0,1.707,13
75,Jul 03 2018 01: +0,1.686,18
76,Jul 04 2018 01: +0,1.738,20
77,Jul 05 2018 01: +0,1.751,28
78,Jul 06 2018 01: +0,1.631,19
79,Jul 07 2018 01: +0,1.641,12
80,Jul 08 2018 01: +0,1.783,19
81,Jul 09 2018 01: +0,1.878,16
82,Jul 10 2018 01: +0,1.868,18
83,Jul 11 2018 01: +0,2.001,13
84,Jul 12 2018 01: +0,1.955,11
85,Jul 13 2018 01: +0,1.719,11
86,Jul 14 2018 01: +0,1.783,10
87,Jul 15 2018 01: +0,1.802,13
88,Jul 16 2018 01: +0,1.877,16
89,Jul 17 2018 01: +0,1.889,14
90,Jul 18 2018 01: +0,2.051,10
91,Jul 19 2018 01: +0,1.753,11
92,Jul 20 2018 01: +0,1.748,16
93,Jul 21 2018 01: +0,1.953,11
94,Jul 22 2018 01: +0,1.948,8
95,Jul 23 2018 01: +0,1.937,9
96,Jul 24 2018 01: +0,1.979,10
97,Jul 25 2018 01: +0,2.039,9
98,Jul 26 2018 01: +0,1.732,15
99,Jul 27 2018 01: +0,1.697,12
100,Jul 28 2018 01: +0,1.736,16
101,Jul 29 2018 01: +0,1.816,9
102,Jul 30 2018 01: +0,1.829,13
103,Jul 31 2018 01: +0,1.842,9
104,Aug 01 2018 01: +0,1.748,10
105,Aug 02 2018 01: +0,1.775,15
106,Aug 03 2018 01: +0,1.622,8
107,Aug 04 2018 01: +0,1.631,10
108,Aug 05 2018 01: +0,1.621,19
109,Aug 06 2018 01: +0,1.478,6
110,Aug 07 2018 01: +0,1.597,9
111,Aug 08 2018 01: +0,1.652,9
112,Aug 09 2018 01: +0,1.747,11
113,Aug 10 2018 01: +0,1.532,17
114,Aug 11 2018 01: +0,1.68,14
115,Aug 12 2018 01: +0,1.584,13
116,Aug 13 2018 01: +0,1.593,8
117,Aug 14 2018 01: +0,1.567,13
118,Aug 15 2018 01: +0,1.649,11
119,Aug 16 2018 01: +0,1.416,10
120,Aug 17 2018 01: +0,1.596,15
121,Aug 18 2018 01: +0,1.68,7
122,Aug 19 2018 01: +0,1.715,3
123,Aug 20 2018 01: +0,1.395,7
124,Aug 21 2018 01: +0,1.558,11
125,Aug 22 2018 01: +0,1.51,6
126,Aug 23 2018 01: +0,1.463,12
127,Aug 24 2018 01: +0,1.377,13
128,Aug 25 2018 01: +0,1.608,15
129,Aug 26 2018 01: +0,1.53,11
130,Aug 27 2018 01: +0,1.678,9
131,Aug 28 2018 01: +0,1.658,10
132,Aug 29 2018 01: +0,1.436,7
133,Aug 30 2018 01: +0,1.48,6
134,Aug 31 2018 01: +0,1.294,9
135,Sep 01 2018 01: +0,1.326,12
136,Sep 02 2018 01: +0,1.257,9
137,Sep 03 2018 01: +0,1.324,13
138,Sep 04 2018 01: +0,1.285,9
139,Sep 05 2018 01: +0,1.305,6
140,Sep 06 2018 01: +0,1.346,5
141,Sep 07 2018 01: +0,1.317,8
142,Sep 08 2018 01: +0,1.222,18
143,Sep 09 2018 01: +0,1.194,9
144,Sep 10 2018 01: +0,1.209,7
145,Sep 11 2018 01: +0,1.162,5
146,Sep 12 2018 01: +0,1.138,13
147,Sep 13 2018 01: +0,1.207,8
148,Sep 14 2018 01: +0,1.097,18
149,Sep 15 2018 01: +0,1.089,11
150,Sep 16 2018 01: +0,1.037,12
151,Sep 17 2018 01: +0,1.008,10
152,Sep 18 2018 01: +0,1.04,13
153,Sep 19 2018 01: +0,0.966,7
154,Sep 20 2018 01: +0,0.99,13
155,Sep 21 2018 01: +0,1.041,18
156,Sep 22 2018 01: +0,1.057,11
157,Sep 23 2018 01: +0,1.096,16
158,Sep 24 2018 01: +0,1.108,9
159,Sep 25 2018 01: +0,1.165,15
160,Sep 26 2018 01: +0,1.171,8
161,Sep 27 2018 01: +0,1.04,5
162,Sep 28 2018 01: +0,0.9,17
163,Sep 29 2018 01: +0,0.903,15
164,Sep 30 2018 01: +0,0.961,14
165,Oct 01 2018 01: +0,1.089,12
166,Oct 02 2018 01: +0,1.021,9
167,Oct 03 2018 01: +0,0.942,6
