,time,price,volume
0,May 23 2019 01: +0,1.262,8
1,May 24 2019 01: +0,1.078,283
2,May 25 2019 01: +0,1.338,222
3,May 26 2019 01: +0,1.43,161
4,May 27 2019 01: +0,1.437,188
5,May 28 2019 01: +0,1.497,108
6,May 29 2019 01: +0,1.403,138
7,May 30 2019 01: +0,1.403,108
8,May 31 2019 01: +0,1.24,95
9,Jun 01 2019 01: +0,1.208,123
10,Jun 02 2019 01: +0,1.288,102
11,Jun 03 2019 01: +0,1.227,70
12,Jun 04 2019 01: +0,1.198,75
13,Jun 05 2019 01: +0,1.364,92
14,Jun 06 2019 01: +0,1.296,130
15,Jun 07 2019 01: +0,1.352,76
16,Jun 08 2019 01: +0,1.332,90
17,Jun 09 2019 01: +0,1.324,104
18,Jun 10 2019 01: +0,1.27,98
19,Jun 11 2019 01: +0,1.289,78
20,Jun 12 2019 01: +0,1.291,84
21,Jun 13 2019 01: +0,1.289,75
22,Jun 14 2019 01: +0,1.33,129
23,Jun 15 2019 01: +0,1.396,129
24,Jun 16 2019 01: +0,1.38,74
25,Jun 17 2019 01: +0,1.332,91
26,Jun 18 2019 01: +0,1.378,89
27,Jun 19 2019 01: +0,1.354,79
28,Jun 20 2019 01: +0,1.416,113
29,Jun 21 2019 01: +0,1.367,83
30,Jun 22 2019 01: +0,1.42,116
31,Jun 23 2019 01: +0,1.535,89
32,Jun 24 2019 01: +0,1.507,93
33,Jun 25 2019 01: +0,1.535,71
34,Jun 26 2019 01: +0,1.436,82
35,Jun 27 2019 01: +0,1.435,68
36,Jun 28 2019 01: +0,1.383,75
37,Jun 29 2019 01: +0,1.356,84
38,Jun 30 2019 01: +0,1.46,109
39,Jul 01 2019 01: +0,1.551,101
40,Jul 02 2019 01: +0,1.563,81
41,Jul 03 2019 01: +0,1.548,69
42,Jul 04 2019 01: +0,1.552,102
43,Jul 05 2019 01: +0,1.488,62
44,Jul 06 2019 01: +0,1.574,90
45,Jul 07 2019 01: +0,1.561,66
46,Jul 08 2019 01: +0,1.642,76
47,Jul 09 2019 01: +0,1.692,86
48,Jul 10 2019 01: +0,2.086,68
49,Jul 11 2019 01: +0,2.623,83
50,Jul 12 2019 01: +0,3.522,37
51,Jul 13 2019 01: +0,2.998,61
52,Jul 14 2019 01: +0,2.72,59
53,Jul 15 2019 01: +0,2.696,81
54,Jul 16 2019 01: +0,2.906,40
55,Jul 17 2019 01: +0,2.746,52
56,Jul 18 2019 01: +0,2.544,58
57,Jul 19 2019 01: +0,2.428,58
58,Jul 20 2019 01: +0,2.452,53
59,Jul 21 2019 01: +0,2.615,64
60,Jul 22 2019 01: +0,2.87,60
61,Jul 23 2019 01: +0,2.699,46
62,Jul 24 2019 01: +0,2.624,62
63,Jul 25 2019 01: +0,2.678,57
64,Jul 26 2019 01: +0,2.629,57
65,Jul 27 2019 01: +0,2.543,51
66,Jul 28 2019 01: +0,2.672,43
67,Jul 29 2019 01: +0,2.55,52
68,Jul 30 2019 01: +0,2.295,67
69,Jul 31 2019 01: +0,2.568,47
70,Aug 01 2019 01: +0,2.376,74
71,Aug 02 2019 01: +0,2.47,50
72,Aug 03 2019 01: +0,2.588,44
73,Aug 04 2019 01: +0,2.633,39
74,Aug 05 2019 01: +0,2.647,43
75,Aug 06 2019 01: +0,2.718,44
76,Aug 07 2019 01: +0,2.529,50
77,Aug 08 2019 01: +0,2.534,40
78,Aug 09 2019 01: +0,2.596,50
79,Aug 10 2019 01: +0,2.555,42
80,Aug 11 2019 01: +0,2.604,57
81,Aug 12 2019 01: +0,2.715,44
82,Aug 13 2019 01: +0,2.524,37
83,Aug 14 2019 01: +0,2.497,51
84,Aug 15 2019 01: +0,2.493,50
85,Aug 16 2019 01: +0,2.082,60
86,Aug 17 2019 01: +0,2.016,49
87,Aug 18 2019 01: +0,1.974,38
88,Aug 19 2019 01: +0,1.856,35
89,Aug 20 2019 01: +0,1.922,34
90,Aug 21 2019 01: +0,1.632,39
91,Aug 22 2019 01: +0,1.669,32
