,time,price,volume
0,Jul 13 2017 01: +0,1.193,22
1,Jul 14 2017 01: +0,1.144,56
2,Jul 15 2017 01: +0,1.142,52
3,Jul 16 2017 01: +0,1.069,28
4,Jul 17 2017 01: +0,1.101,42
5,Jul 18 2017 01: +0,1.133,41
6,Jul 19 2017 01: +0,1.058,37
7,Jul 20 2017 01: +0,1.039,45
8,Jul 21 2017 01: +0,0.999,36
9,Jul 22 2017 01: +0,0.952,26
10,Jul 23 2017 01: +0,0.934,28
11,Jul 24 2017 01: +0,0.964,24
12,Jul 25 2017 01: +0,1.048,31
13,Jul 26 2017 01: +0,0.956,25
14,Jul 27 2017 01: +0,0.973,34
15,Jul 28 2017 01: +0,1.039,28
16,Jul 29 2017 01: +0,0.865,48
17,Jul 30 2017 01: +0,0.952,22
18,Jul 31 2017 01: +0,1.096,28
19,Aug 01 2017 01: +0,1.076,22
20,Aug 02 2017 01: +0,1.056,20
21,Aug 03 2017 01: +0,1.028,33
22,Aug 04 2017 01: +0,0.998,29
23,Aug 05 2017 01: +0,1.022,31
24,Aug 06 2017 01: +0,0.975,29
25,Aug 07 2017 01: +0,1.008,31
26,Aug 08 2017 01: +0,1.109,21
27,Aug 09 2017 01: +0,1.054,18
28,Aug 10 2017 01: +0,0.984,27
29,Aug 11 2017 01: +0,0.93,13
30,Aug 12 2017 01: +0,1.01,19
31,Aug 13 2017 01: +0,1.065,21
32,Aug 14 2017 01: +0,1.06,15
33,Aug 15 2017 01: +0,0.952,25
34,Aug 16 2017 01: +0,0.969,22
35,Aug 17 2017 01: +0,0.991,29
36,Aug 18 2017 01: +0,0.988,21
37,Aug 19 2017 01: +0,1.047,18
38,Aug 20 2017 01: +0,1.039,14
39,Aug 21 2017 01: +0,0.992,17
40,Aug 22 2017 01: +0,1.029,15
41,Aug 23 2017 01: +0,1.053,18
42,Aug 24 2017 01: +0,1.02,27
43,Aug 25 2017 01: +0,0.99,21
44,Aug 26 2017 01: +0,0.923,23
45,Aug 27 2017 01: +0,0.956,18
46,Aug 28 2017 01: +0,0.902,13
47,Aug 29 2017 01: +0,0.938,19
48,Aug 30 2017 01: +0,0.955,16
49,Aug 31 2017 01: +0,0.925,12
50,Sep 01 2017 01: +0,0.82,9
51,Sep 02 2017 01: +0,0.815,23
52,Sep 03 2017 01: +0,0.869,15
53,Sep 04 2017 01: +0,0.781,16
54,Sep 05 2017 01: +0,0.942,16
55,Sep 06 2017 01: +0,0.817,6
56,Sep 07 2017 01: +0,0.887,15
57,Sep 08 2017 01: +0,0.926,23
58,Sep 09 2017 01: +0,0.915,23
59,Sep 10 2017 01: +0,0.901,20
60,Sep 11 2017 01: +0,0.85,18
61,Sep 12 2017 01: +0,0.955,13
62,Sep 13 2017 01: +0,0.974,13
63,Sep 14 2017 01: +0,0.957,27
64,Sep 15 2017 01: +0,0.977,19
65,Sep 16 2017 01: +0,0.983,24
66,Sep 17 2017 01: +0,0.935,19
67,Sep 18 2017 01: +0,0.984,13
68,Sep 19 2017 01: +0,0.993,10
69,Sep 20 2017 01: +0,0.941,13
70,Sep 21 2017 01: +0,0.914,16
71,Sep 22 2017 01: +0,0.891,15
72,Sep 23 2017 01: +0,0.921,19
73,Sep 24 2017 01: +0,0.961,12
74,Sep 25 2017 01: +0,0.994,17
75,Sep 26 2017 01: +0,0.888,17
76,Sep 27 2017 01: +0,0.935,16
77,Sep 28 2017 01: +0,0.97,27
78,Sep 29 2017 01: +0,0.98,12
79,Sep 30 2017 01: +0,1.012,25
80,Oct 01 2017 01: +0,0.978,24
81,Oct 02 2017 01: +0,1.039,14
82,Oct 03 2017 01: +0,1.014,12
