,time,price,volume
0,Aug 27 2015 01: +0,3.384,4
1,Aug 28 2015 01: +0,1.436,23
2,Aug 29 2015 01: +0,0.555,57
3,Aug 30 2015 01: +0,0.371,71
4,Aug 31 2015 01: +0,0.257,75
5,Sep 01 2015 01: +0,0.241,79
6,Sep 02 2015 01: +0,0.203,52
7,Sep 03 2015 01: +0,0.163,54
8,Sep 04 2015 01: +0,0.193,80
9,Sep 05 2015 01: +0,0.17,94
10,Sep 06 2015 01: +0,0.139,129
11,Sep 07 2015 01: +0,0.149,52
12,Sep 08 2015 01: +0,0.127,77
13,Sep 09 2015 01: +0,0.114,71
14,Sep 10 2015 01: +0,0.103,85
15,Sep 11 2015 01: +0,0.111,121
16,Sep 12 2015 01: +0,0.1,81
17,Sep 13 2015 01: +0,0.088,125
18,Sep 14 2015 01: +0,0.09,70
19,Sep 15 2015 01: +0,0.088,67
20,Sep 16 2015 01: +0,0.074,78
21,Sep 17 2015 01: +0,0.073,94
22,Sep 18 2015 01: +0,0.079,108
23,Sep 19 2015 01: +0,0.079,112
24,Sep 20 2015 01: +0,0.069,96
25,Sep 21 2015 01: +0,0.062,82
26,Sep 22 2015 01: +0,0.059,88
27,Sep 23 2015 01: +0,0.057,98
28,Sep 24 2015 01: +0,0.06,68
29,Sep 25 2015 01: +0,0.044,85
30,Sep 26 2015 01: +0,0.045,94
31,Sep 27 2015 01: +0,0.037,104
32,Sep 28 2015 01: +0,0.04,77
33,Sep 29 2015 01: +0,0.043,60
34,Sep 30 2015 01: +0,0.039,60
35,Oct 01 2015 01: +0,0.036,68
36,Oct 02 2015 01: +0,0.039,73
37,Oct 03 2015 01: +0,0.05,102
38,Oct 04 2015 01: +0,0.05,96
39,Oct 05 2015 01: +0,0.055,74
40,Oct 06 2015 01: +0,0.057,86
41,Oct 07 2015 01: +0,0.065,72
42,Oct 08 2015 01: +0,0.06,75
43,Oct 09 2015 01: +0,0.058,69
44,Oct 10 2015 01: +0,0.06,92
45,Oct 11 2015 01: +0,0.059,91
46,Oct 12 2015 01: +0,0.062,64
47,Oct 13 2015 01: +0,0.056,68
48,Oct 14 2015 01: +0,0.06,59
49,Oct 15 2015 01: +0,0.057,74
50,Oct 16 2015 01: +0,0.064,56
51,Oct 17 2015 01: +0,0.053,83
52,Oct 18 2015 01: +0,0.059,101
53,Oct 19 2015 01: +0,0.066,44
54,Oct 20 2015 01: +0,0.049,82
55,Oct 21 2015 01: +0,0.048,70
56,Oct 22 2015 01: +0,0.052,58
57,Oct 23 2015 01: +0,0.061,63
58,Oct 24 2015 01: +0,0.054,85
59,Oct 25 2015 01: +0,0.058,80
60,Oct 26 2015 01: +0,0.052,54
61,Oct 27 2015 01: +0,0.05,71
62,Oct 28 2015 01: +0,0.061,58
63,Oct 29 2015 01: +0,0.059,63
64,Oct 30 2015 01: +0,0.047,75
65,Oct 31 2015 01: +0,0.045,79
66,Nov 01 2015 01: +0,0.04,73
67,Nov 02 2015 01: +0,0.04,60
68,Nov 03 2015 01: +0,0.045,57
69,Nov 04 2015 01: +0,0.053,60
70,Nov 05 2015 01: +0,0.063,65
71,Nov 06 2015 01: +0,0.066,73
72,Nov 07 2015 01: +0,0.067,64
73,Nov 08 2015 01: +0,0.068,91
74,Nov 09 2015 01: +0,0.074,60
75,Nov 10 2015 01: +0,0.072,49
76,Nov 11 2015 01: +0,0.065,47
77,Nov 12 2015 01: +0,0.066,47
78,Nov 13 2015 01: +0,0.064,48
79,Nov 14 2015 01: +0,0.063,65
80,Nov 15 2015 01: +0,0.073,56
81,Nov 16 2015 01: +0,0.063,54
82,Nov 17 2015 01: +0,0.073,51
83,Nov 18 2015 01: +0,0.064,24
84,Nov 19 2015 01: +0,0.06,42
85,Nov 20 2015 01: +0,0.067,48
86,Nov 21 2015 01: +0,0.075,59
87,Nov 22 2015 01: +0,0.075,53
88,Nov 23 2015 01: +0,0.064,42
89,Nov 24 2015 01: +0,0.07,45
90,Nov 25 2015 01: +0,0.067,45
91,Nov 26 2015 01: +0,0.051,52
92,Nov 27 2015 01: +0,0.053,69
93,Nov 28 2015 01: +0,0.051,78
94,Nov 29 2015 01: +0,0.06,68
95,Nov 30 2015 01: +0,0.049,52
96,Dec 01 2015 01: +0,0.053,58
97,Dec 02 2015 01: +0,0.049,44
98,Dec 03 2015 01: +0,0.05,46
99,Dec 04 2015 01: +0,0.067,50
