,time,price,volume
0,Apr 27 2017 01: +0,1.855,3
1,Apr 28 2017 01: +0,1.637,6
2,Apr 29 2017 01: +0,0.901,3
3,Apr 30 2017 01: +0,1.009,6
4,May 01 2017 01: +0,0.981,10
5,May 02 2017 01: +0,1.011,3
6,May 03 2017 01: +0,1.047,3
7,May 04 2017 01: +0,1.042,6
8,May 05 2017 01: +0,1.057,8
9,May 06 2017 01: +0,1.047,4
10,May 07 2017 01: +0,1.109,5
11,May 08 2017 01: +0,1.058,4
12,May 09 2017 01: +0,1.053,2
13,May 10 2017 01: +0,1.04,2
14,May 11 2017 01: +0,1.037,5
15,May 12 2017 01: +0,1.067,6
16,May 13 2017 01: +0,1.013,3
17,May 14 2017 01: +0,1.117,4
18,May 15 2017 01: +0,1.177,3
19,May 16 2017 01: +0,1.046,6
20,May 17 2017 01: +0,1.123,3
21,May 18 2017 01: +0,1.07,5
22,May 19 2017 01: +0,1.187,5
23,May 20 2017 01: +0,1.186,6
24,May 21 2017 01: +0,1.072,4
25,May 22 2017 01: +0,1.096,4
26,May 23 2017 01: +0,1.222,5
27,May 24 2017 01: +0,1.194,4
28,May 25 2017 01: +0,1.223,5
29,May 26 2017 01: +0,1.214,6
30,May 27 2017 01: +0,1.148,2
31,May 28 2017 01: +0,1.031,5
32,May 29 2017 01: +0,1.109,2
33,May 30 2017 01: +0,1.078,8
34,May 31 2017 01: +0,1.136,4
35,Jun 01 2017 01: +0,1.209,3
36,Jun 02 2017 01: +0,1.261,5
37,Jun 03 2017 01: +0,1.291,7
38,Jun 04 2017 01: +0,1.381,4
39,Jun 05 2017 01: +0,1.265,5
40,Jun 06 2017 01: +0,1.45,1
41,Jun 07 2017 01: +0,1.515,10
42,Jun 08 2017 01: +0,1.871,9
43,Jun 10 2017 01: +0,1.59,3
44,Jun 11 2017 01: +0,1.817,3
45,Jun 12 2017 01: +0,1.873,1
46,Jun 13 2017 01: +0,1.82,5
47,Jun 14 2017 01: +0,1.219,3
48,Jun 15 2017 01: +0,1.7,1
49,Jun 17 2017 01: +0,1.55,5
50,Jun 18 2017 01: +0,1.547,3
51,Jun 19 2017 01: +0,1.514,5
52,Jun 20 2017 01: +0,1.142,4
53,Jun 21 2017 01: +0,1.148,2
54,Jun 22 2017 01: +0,1.25,4
55,Jun 23 2017 01: +0,1.063,4
56,Jun 24 2017 01: +0,1.247,8
57,Jun 25 2017 01: +0,1.392,2
58,Jun 26 2017 01: +0,1.239,1
59,Jun 27 2017 01: +0,0.769,1
60,Jun 28 2017 01: +0,0.949,2
61,Jun 29 2017 01: +0,1.166,4
62,Jun 30 2017 01: +0,1.235,5
63,Jul 01 2017 01: +0,1.201,6
64,Jul 02 2017 01: +0,1.103,5
65,Jul 03 2017 01: +0,1.169,6
66,Jul 04 2017 01: +0,1.098,3
67,Jul 05 2017 01: +0,1.201,2
68,Jul 06 2017 01: +0,1.13,6
69,Jul 07 2017 01: +0,1.25,3
70,Jul 08 2017 01: +0,1.304,7
71,Jul 09 2017 01: +0,1.095,2
72,Jul 10 2017 01: +0,1.363,3
73,Jul 11 2017 01: +0,1.425,4
74,Jul 12 2017 01: +0,1.268,6
75,Jul 13 2017 01: +0,1.332,8
76,Jul 14 2017 01: +0,1.528,2
77,Jul 15 2017 01: +0,1.495,4
78,Jul 16 2017 01: +0,1.274,2
79,Jul 17 2017 01: +0,1.558,6
80,Jul 18 2017 01: +0,1.48,5
81,Jul 19 2017 01: +0,1.617,3
82,Jul 21 2017 01: +0,1.455,3
83,Jul 22 2017 01: +0,1.717,1
84,Jul 23 2017 01: +0,1.578,7
85,Jul 24 2017 01: +0,1.586,4
86,Jul 25 2017 01: +0,1.331,2
87,Jul 26 2017 01: +0,1.55,2
88,Jul 27 2017 01: +0,1.63,7
89,Jul 28 2017 01: +0,1.787,1
90,Jul 29 2017 01: +0,1.244,6
91,Jul 30 2017 01: +0,1.579,2
92,Jul 31 2017 01: +0,1.255,2
93,Aug 01 2017 01: +0,1.547,3
94,Aug 03 2017 01: +0,1.347,2
95,Aug 04 2017 01: +0,1.365,8
96,Aug 05 2017 01: +0,1.363,4
97,Aug 06 2017 01: +0,1.517,4
98,Aug 07 2017 01: +0,1.469,5
99,Aug 08 2017 01: +0,1.522,3
100,Aug 09 2017 01: +0,1.696,2
