,time,price,volume
0,Aug 27 2015 01: +0,8.422,9
1,Aug 28 2015 01: +0,4.866,40
2,Aug 29 2015 01: +0,1.463,107
3,Aug 30 2015 01: +0,1.26,82
4,Aug 31 2015 01: +0,0.947,80
5,Sep 01 2015 01: +0,0.974,78
6,Sep 02 2015 01: +0,0.654,73
7,Sep 03 2015 01: +0,0.496,96
8,Sep 04 2015 01: +0,0.729,119
9,Sep 05 2015 01: +0,0.655,143
10,Sep 06 2015 01: +0,0.642,145
11,Sep 07 2015 01: +0,0.633,110
12,Sep 08 2015 01: +0,0.554,135
13,Sep 09 2015 01: +0,0.491,95
14,Sep 10 2015 01: +0,0.437,131
15,Sep 11 2015 01: +0,0.437,132
16,Sep 12 2015 01: +0,0.38,161
17,Sep 13 2015 01: +0,0.335,176
18,Sep 14 2015 01: +0,0.339,135
19,Sep 15 2015 01: +0,0.288,121
20,Sep 16 2015 01: +0,0.274,135
21,Sep 17 2015 01: +0,0.29,139
22,Sep 18 2015 01: +0,0.305,206
23,Sep 19 2015 01: +0,0.266,196
24,Sep 20 2015 01: +0,0.293,219
25,Sep 21 2015 01: +0,0.261,127
26,Sep 22 2015 01: +0,0.255,143
27,Sep 23 2015 01: +0,0.243,144
28,Sep 24 2015 01: +0,0.218,152
29,Sep 25 2015 01: +0,0.187,158
30,Sep 26 2015 01: +0,0.208,216
31,Sep 27 2015 01: +0,0.203,195
32,Sep 28 2015 01: +0,0.154,118
33,Sep 29 2015 01: +0,0.149,141
34,Sep 30 2015 01: +0,0.14,140
35,Oct 01 2015 01: +0,0.136,147
36,Oct 02 2015 01: +0,0.157,180
37,Oct 03 2015 01: +0,0.197,222
38,Oct 04 2015 01: +0,0.249,182
39,Oct 05 2015 01: +0,0.252,130
40,Oct 06 2015 01: +0,0.243,129
41,Oct 07 2015 01: +0,0.273,107
42,Oct 08 2015 01: +0,0.22,134
43,Oct 09 2015 01: +0,0.238,115
44,Oct 10 2015 01: +0,0.231,149
45,Oct 11 2015 01: +0,0.237,149
46,Oct 12 2015 01: +0,0.297,110
47,Oct 13 2015 01: +0,0.281,96
48,Oct 14 2015 01: +0,0.269,83
49,Oct 15 2015 01: +0,0.245,99
50,Oct 16 2015 01: +0,0.22,125
51,Oct 17 2015 01: +0,0.226,141
52,Oct 18 2015 01: +0,0.242,157
53,Oct 19 2015 01: +0,0.269,71
54,Oct 20 2015 01: +0,0.259,110
55,Oct 21 2015 01: +0,0.239,118
56,Oct 22 2015 01: +0,0.241,81
57,Oct 23 2015 01: +0,0.259,115
58,Oct 24 2015 01: +0,0.256,133
59,Oct 25 2015 01: +0,0.257,148
60,Oct 26 2015 01: +0,0.254,115
61,Oct 27 2015 01: +0,0.284,114
62,Oct 28 2015 01: +0,0.293,101
63,Oct 29 2015 01: +0,0.259,96
64,Oct 30 2015 01: +0,0.237,109
65,Oct 31 2015 01: +0,0.244,152
66,Nov 01 2015 01: +0,0.21,148
67,Nov 02 2015 01: +0,0.216,113
68,Nov 03 2015 01: +0,0.25,103
69,Nov 04 2015 01: +0,0.255,88
70,Nov 05 2015 01: +0,0.26,116
71,Nov 06 2015 01: +0,0.299,117
72,Nov 07 2015 01: +0,0.28,114
73,Nov 08 2015 01: +0,0.326,148
74,Nov 09 2015 01: +0,0.337,88
75,Nov 10 2015 01: +0,0.33,71
76,Nov 11 2015 01: +0,0.309,63
77,Nov 12 2015 01: +0,0.316,56
78,Nov 13 2015 01: +0,0.296,73
79,Nov 14 2015 01: +0,0.3,97
80,Nov 15 2015 01: +0,0.286,83
81,Nov 16 2015 01: +0,0.245,73
82,Nov 17 2015 01: +0,0.285,63
83,Nov 18 2015 01: +0,0.233,43
84,Nov 19 2015 01: +0,0.29,62
85,Nov 20 2015 01: +0,0.33,64
86,Nov 21 2015 01: +0,0.298,93
87,Nov 22 2015 01: +0,0.331,75
88,Nov 23 2015 01: +0,0.289,51
89,Nov 24 2015 01: +0,0.319,55
90,Nov 25 2015 01: +0,0.291,69
91,Nov 26 2015 01: +0,0.235,93
92,Nov 27 2015 01: +0,0.257,94
93,Nov 28 2015 01: +0,0.245,109
94,Nov 29 2015 01: +0,0.259,111
95,Nov 30 2015 01: +0,0.267,82
96,Dec 01 2015 01: +0,0.282,73
97,Dec 02 2015 01: +0,0.28,69
98,Dec 03 2015 01: +0,0.296,58
99,Dec 04 2015 01: +0,0.33,87
100,Dec 05 2015 01: +0,0.346,101
101,Dec 06 2015 01: +0,0.354,117
102,Dec 07 2015 01: +0,0.37,88
103,Dec 08 2015 01: +0,0.396,88
104,Dec 09 2015 01: +0,0.345,78
105,Dec 10 2015 01: +0,0.348,100
106,Dec 11 2015 01: +0,0.387,73
107,Dec 12 2015 01: +0,0.359,116
108,Dec 13 2015 01: +0,0.401,115
109,Dec 14 2015 01: +0,0.441,67
110,Dec 15 2015 01: +0,0.33,77
111,Dec 16 2015 01: +0,0.426,66
112,Dec 17 2015 01: +0,0.404,58
113,Dec 18 2015 01: +0,0.395,69
114,Dec 19 2015 01: +0,0.39,104
115,Dec 20 2015 01: +0,0.379,91
116,Dec 21 2015 01: +0,0.335,84
117,Dec 22 2015 01: +0,0.383,86
118,Dec 23 2015 01: +0,0.352,129
119,Dec 24 2015 01: +0,0.308,111
120,Dec 25 2015 01: +0,0.279,91
121,Dec 26 2015 01: +0,0.322,116
122,Dec 27 2015 01: +0,0.387,138
123,Dec 28 2015 01: +0,0.43,121
124,Dec 29 2015 01: +0,0.421,131
125,Dec 30 2015 01: +0,0.409,141
126,Dec 31 2015 01: +0,0.423,106
127,Jan 01 2016 01: +0,0.42,114
128,Jan 02 2016 01: +0,0.421,145
129,Jan 03 2016 01: +0,0.441,151
130,Jan 04 2016 01: +0,0.45,128
131,Jan 05 2016 01: +0,0.527,115
132,Jan 06 2016 01: +0,0.49,94
133,Jan 07 2016 01: +0,0.456,101
134,Jan 08 2016 01: +0,0.571,125
135,Jan 09 2016 01: +0,0.642,134
