,time,price,volume
0,Jul 16 2015 01: +0,0.96,37
1,Jul 17 2015 01: +0,0.477,282
2,Jul 18 2015 01: +0,0.311,252
3,Jul 19 2015 01: +0,0.229,233
4,Jul 20 2015 01: +0,0.151,229
5,Jul 21 2015 01: +0,0.131,204
6,Jul 22 2015 01: +0,0.1,195
7,Jul 23 2015 01: +0,0.081,216
8,Jul 24 2015 01: +0,0.067,231
9,Jul 25 2015 01: +0,0.058,225
10,Jul 26 2015 01: +0,0.044,165
11,Jul 27 2015 01: +0,0.044,160
12,Jul 28 2015 01: +0,0.044,186
13,Jul 29 2015 01: +0,0.04,149
14,Jul 30 2015 01: +0,0.037,161
15,Jul 31 2015 01: +0,0.032,136
16,Aug 01 2015 01: +0,0.03,148
17,Aug 02 2015 01: +0,0.03,125
18,Aug 03 2015 01: +0,0.03,130
19,Aug 04 2015 01: +0,0.03,122
20,Aug 05 2015 01: +0,0.03,125
21,Aug 06 2015 01: +0,0.03,164
22,Aug 07 2015 01: +0,0.032,148
23,Aug 08 2015 01: +0,0.03,128
24,Aug 09 2015 01: +0,0.03,142
25,Aug 10 2015 01: +0,0.03,116
26,Aug 11 2015 01: +0,0.03,102
27,Aug 12 2015 01: +0,0.03,97
28,Aug 13 2015 01: +0,0.03,86
29,Aug 14 2015 01: +0,0.03,103
30,Aug 15 2015 01: +0,0.03,86
31,Aug 16 2015 01: +0,0.03,120
32,Aug 17 2015 01: +0,0.03,102
33,Aug 18 2015 01: +0,0.03,92
34,Aug 19 2015 01: +0,0.03,82
35,Aug 20 2015 01: +0,0.03,109
36,Aug 21 2015 01: +0,0.03,93
37,Aug 22 2015 01: +0,0.03,81
38,Aug 23 2015 01: +0,0.03,100
39,Aug 24 2015 01: +0,0.03,63
40,Aug 25 2015 01: +0,0.03,73
41,Aug 26 2015 01: +0,0.03,63
42,Aug 27 2015 01: +0,0.03,66
43,Aug 28 2015 01: +0,0.03,60
44,Aug 29 2015 01: +0,0.03,67
45,Aug 30 2015 01: +0,0.03,71
46,Aug 31 2015 01: +0,0.03,50
47,Sep 01 2015 01: +0,0.03,45
48,Sep 02 2015 01: +0,0.03,49
49,Sep 03 2015 01: +0,0.03,61
50,Sep 04 2015 01: +0,0.03,67
51,Sep 05 2015 01: +0,0.03,67
52,Sep 06 2015 01: +0,0.03,77
53,Sep 07 2015 01: +0,0.03,41
54,Sep 08 2015 01: +0,0.03,52
55,Sep 09 2015 01: +0,0.03,62
56,Sep 10 2015 01: +0,0.03,135
57,Sep 11 2015 01: +0,0.03,136
58,Sep 12 2015 01: +0,0.03,88
