,time,price,volume
0,Jul 16 2015 01: +0,0.823,31
1,Jul 17 2015 01: +0,0.39,311
2,Jul 18 2015 01: +0,0.258,247
3,Jul 19 2015 01: +0,0.188,188
4,Jul 20 2015 01: +0,0.13,197
5,Jul 21 2015 01: +0,0.108,185
6,Jul 22 2015 01: +0,0.091,179
7,Jul 23 2015 01: +0,0.072,184
8,Jul 24 2015 01: +0,0.053,180
9,Jul 25 2015 01: +0,0.045,154
10,Jul 26 2015 01: +0,0.04,146
11,Jul 27 2015 01: +0,0.032,154
12,Jul 28 2015 01: +0,0.032,193
13,Jul 29 2015 01: +0,0.03,130
14,Jul 30 2015 01: +0,0.03,160
15,Jul 31 2015 01: +0,0.03,128
16,Aug 01 2015 01: +0,0.03,118
17,Aug 02 2015 01: +0,0.03,124
18,Aug 03 2015 01: +0,0.03,98
19,Aug 04 2015 01: +0,0.03,111
20,Aug 05 2015 01: +0,0.03,110
21,Aug 06 2015 01: +0,0.03,151
22,Aug 07 2015 01: +0,0.03,142
23,Aug 08 2015 01: +0,0.03,109
24,Aug 09 2015 01: +0,0.03,118
25,Aug 10 2015 01: +0,0.03,104
26,Aug 11 2015 01: +0,0.03,99
27,Aug 12 2015 01: +0,0.03,75
28,Aug 13 2015 01: +0,0.03,84
29,Aug 14 2015 01: +0,0.03,84
30,Aug 15 2015 01: +0,0.03,103
31,Aug 16 2015 01: +0,0.03,106
32,Aug 17 2015 01: +0,0.03,76
33,Aug 18 2015 01: +0,0.03,83
34,Aug 19 2015 01: +0,0.03,64
35,Aug 20 2015 01: +0,0.03,115
36,Aug 21 2015 01: +0,0.03,129
37,Aug 22 2015 01: +0,0.03,106
38,Aug 23 2015 01: +0,0.03,117
39,Aug 24 2015 01: +0,0.03,103
40,Aug 25 2015 01: +0,0.03,71
41,Aug 26 2015 01: +0,0.03,91
42,Aug 27 2015 01: +0,0.03,90
43,Aug 28 2015 01: +0,0.03,94
44,Aug 29 2015 01: +0,0.03,88
45,Aug 30 2015 01: +0,0.03,99
46,Aug 31 2015 01: +0,0.03,75
47,Sep 01 2015 01: +0,0.03,55
48,Sep 02 2015 01: +0,0.03,53
49,Sep 03 2015 01: +0,0.03,72
50,Sep 04 2015 01: +0,0.03,73
51,Sep 05 2015 01: +0,0.03,76
52,Sep 06 2015 01: +0,0.03,89
53,Sep 07 2015 01: +0,0.03,65
54,Sep 08 2015 01: +0,0.03,72
55,Sep 09 2015 01: +0,0.03,56
56,Sep 10 2015 01: +0,0.03,58
57,Sep 11 2015 01: +0,0.03,107
58,Sep 12 2015 01: +0,0.03,88
59,Sep 13 2015 01: +0,0.03,173
60,Sep 14 2015 01: +0,0.03,61
61,Sep 15 2015 01: +0,0.03,44
62,Sep 16 2015 01: +0,0.03,65
63,Sep 17 2015 01: +0,0.03,64
64,Sep 18 2015 01: +0,0.03,107
65,Sep 19 2015 01: +0,0.03,95
66,Sep 20 2015 01: +0,0.03,93
67,Sep 21 2015 01: +0,0.03,64
68,Sep 22 2015 01: +0,0.03,67
69,Sep 23 2015 01: +0,0.03,58
70,Sep 24 2015 01: +0,0.03,64
71,Sep 25 2015 01: +0,0.03,60
72,Sep 26 2015 01: +0,0.03,100
73,Sep 27 2015 01: +0,0.03,130
74,Sep 28 2015 01: +0,0.03,67
75,Sep 29 2015 01: +0,0.03,44
76,Sep 30 2015 01: +0,0.03,65
77,Oct 01 2015 01: +0,0.03,71
78,Oct 02 2015 01: +0,0.03,67
79,Oct 03 2015 01: +0,0.03,87
80,Oct 04 2015 01: +0,0.03,79
81,Oct 05 2015 01: +0,0.03,72
82,Oct 06 2015 01: +0,0.03,85
83,Oct 07 2015 01: +0,0.03,69
84,Oct 08 2015 01: +0,0.03,55
85,Oct 09 2015 01: +0,0.03,90
86,Oct 10 2015 01: +0,0.03,105
87,Oct 11 2015 01: +0,0.03,90
88,Oct 12 2015 01: +0,0.03,80
89,Oct 13 2015 01: +0,0.03,38
90,Oct 14 2015 01: +0,0.03,54
91,Oct 15 2015 01: +0,0.03,57
92,Oct 16 2015 01: +0,0.03,58
93,Oct 17 2015 01: +0,0.03,80
94,Oct 18 2015 01: +0,0.03,87
95,Oct 19 2015 01: +0,0.03,47
96,Oct 20 2015 01: +0,0.03,55
97,Oct 21 2015 01: +0,0.03,55
98,Oct 22 2015 01: +0,0.03,106
99,Oct 23 2015 01: +0,0.03,76
100,Oct 24 2015 01: +0,0.03,122
101,Oct 25 2015 01: +0,0.03,74
102,Oct 26 2015 01: +0,0.03,60
103,Oct 27 2015 01: +0,0.03,78
104,Oct 28 2015 01: +0,0.03,56
105,Oct 29 2015 01: +0,0.03,59
106,Oct 30 2015 01: +0,0.03,71
107,Oct 31 2015 01: +0,0.03,84
108,Nov 01 2015 01: +0,0.03,73
109,Nov 02 2015 01: +0,0.03,74
110,Nov 03 2015 01: +0,0.03,50
111,Nov 04 2015 01: +0,0.03,73
112,Nov 05 2015 01: +0,0.03,67
113,Nov 06 2015 01: +0,0.03,82
114,Nov 07 2015 01: +0,0.03,101
115,Nov 08 2015 01: +0,0.03,103
116,Nov 09 2015 01: +0,0.03,66
117,Nov 10 2015 01: +0,0.03,53
118,Nov 11 2015 01: +0,0.03,38
119,Nov 12 2015 01: +0,0.03,51
120,Nov 13 2015 01: +0,0.03,54
121,Nov 14 2015 01: +0,0.03,69
122,Nov 15 2015 01: +0,0.03,62
123,Nov 16 2015 01: +0,0.03,59
124,Nov 17 2015 01: +0,0.03,41
125,Nov 18 2015 01: +0,0.03,52
126,Nov 19 2015 01: +0,0.03,48
127,Nov 20 2015 01: +0,0.03,60
128,Nov 21 2015 01: +0,0.03,50
129,Nov 22 2015 01: +0,0.03,45
130,Nov 23 2015 01: +0,0.03,61
131,Nov 24 2015 01: +0,0.03,91
132,Nov 25 2015 01: +0,0.03,66
133,Nov 26 2015 01: +0,0.03,71
134,Nov 27 2015 01: +0,0.03,102
135,Nov 28 2015 01: +0,0.03,105
136,Nov 29 2015 01: +0,0.03,126
137,Nov 30 2015 01: +0,0.03,75
138,Dec 01 2015 01: +0,0.03,87
139,Dec 02 2015 01: +0,0.03,55
140,Dec 03 2015 01: +0,0.03,68
141,Dec 04 2015 01: +0,0.03,64
142,Dec 05 2015 01: +0,0.03,95
143,Dec 06 2015 01: +0,0.03,82
144,Dec 07 2015 01: +0,0.03,80
145,Dec 08 2015 01: +0,0.03,57
146,Dec 09 2015 01: +0,0.03,50
147,Dec 10 2015 01: +0,0.03,80
148,Dec 11 2015 01: +0,0.03,64
149,Dec 12 2015 01: +0,0.03,93
150,Dec 13 2015 01: +0,0.03,75
151,Dec 14 2015 01: +0,0.03,63
152,Dec 15 2015 01: +0,0.03,61
153,Dec 16 2015 01: +0,0.03,45
154,Dec 17 2015 01: +0,0.03,55
155,Dec 18 2015 01: +0,0.03,75
156,Dec 19 2015 01: +0,0.03,73
157,Dec 20 2015 01: +0,0.03,80
158,Dec 21 2015 01: +0,0.03,72
159,Dec 22 2015 01: +0,0.03,79
160,Dec 23 2015 01: +0,0.03,122
161,Dec 24 2015 01: +0,0.03,126
162,Dec 25 2015 01: +0,0.03,114
163,Dec 26 2015 01: +0,0.03,116
164,Dec 27 2015 01: +0,0.03,132
165,Dec 28 2015 01: +0,0.03,141
166,Dec 29 2015 01: +0,0.03,129
167,Dec 30 2015 01: +0,0.03,147
168,Dec 31 2015 01: +0,0.03,105
169,Jan 01 2016 01: +0,0.03,105
170,Jan 02 2016 01: +0,0.03,168
171,Jan 03 2016 01: +0,0.03,169
172,Jan 04 2016 01: +0,0.03,125
173,Jan 05 2016 01: +0,0.03,121
174,Jan 06 2016 01: +0,0.03,94
175,Jan 07 2016 01: +0,0.03,109
176,Jan 08 2016 01: +0,0.03,121
177,Jan 09 2016 01: +0,0.033,162
178,Jan 10 2016 01: +0,0.03,132
179,Jan 11 2016 01: +0,0.03,115
180,Jan 12 2016 01: +0,0.03,110
181,Jan 13 2016 01: +0,0.03,112
182,Jan 14 2016 01: +0,0.03,117
183,Jan 15 2016 01: +0,0.03,124
184,Jan 16 2016 01: +0,0.03,121
185,Jan 17 2016 01: +0,0.03,128
186,Jan 18 2016 01: +0,0.03,99
187,Jan 19 2016 01: +0,0.03,89
188,Jan 20 2016 01: +0,0.03,86
189,Jan 21 2016 01: +0,0.03,89
190,Jan 22 2016 01: +0,0.03,116
191,Jan 23 2016 01: +0,0.03,122
192,Jan 24 2016 01: +0,0.03,116
193,Jan 25 2016 01: +0,0.03,85
194,Jan 26 2016 01: +0,0.03,86
195,Jan 27 2016 01: +0,0.03,78
196,Jan 28 2016 01: +0,0.03,81
197,Jan 29 2016 01: +0,0.03,95
198,Jan 30 2016 01: +0,0.03,101
199,Jan 31 2016 01: +0,0.03,123
200,Feb 01 2016 01: +0,0.03,81
201,Feb 02 2016 01: +0,0.03,87
202,Feb 03 2016 01: +0,0.03,79
203,Feb 04 2016 01: +0,0.03,89
204,Feb 05 2016 01: +0,0.03,123
205,Feb 06 2016 01: +0,0.03,164
206,Feb 07 2016 01: +0,0.03,150
207,Feb 08 2016 01: +0,0.03,139
208,Feb 09 2016 01: +0,0.03,123
209,Feb 10 2016 01: +0,0.03,153
210,Feb 11 2016 01: +0,0.03,163
211,Feb 12 2016 01: +0,0.03,176
212,Feb 13 2016 01: +0,0.03,157
213,Feb 14 2016 01: +0,0.03,143
214,Feb 15 2016 01: +0,0.03,113
215,Feb 16 2016 01: +0,0.03,113
216,Feb 17 2016 01: +0,0.03,108
217,Feb 18 2016 01: +0,0.03,96
218,Feb 19 2016 01: +0,0.03,147
219,Feb 20 2016 01: +0,0.03,114
220,Feb 21 2016 01: +0,0.03,129
221,Feb 22 2016 01: +0,0.03,86
222,Feb 23 2016 01: +0,0.03,98
223,Feb 24 2016 01: +0,0.03,16
224,Feb 25 2016 01: +0,0.03,108
225,Feb 26 2016 01: +0,0.03,82
226,Feb 27 2016 01: +0,0.03,110
227,Feb 28 2016 01: +0,0.03,119
228,Feb 29 2016 01: +0,0.03,98
229,Mar 01 2016 01: +0,0.03,83
230,Mar 02 2016 01: +0,0.03,82
231,Mar 03 2016 01: +0,0.03,74
232,Mar 04 2016 01: +0,0.03,74
233,Mar 05 2016 01: +0,0.03,109
234,Mar 06 2016 01: +0,0.03,85
235,Mar 07 2016 01: +0,0.03,97
236,Mar 08 2016 01: +0,0.03,76
237,Mar 09 2016 01: +0,0.03,61
238,Mar 10 2016 01: +0,0.03,57
239,Mar 11 2016 01: +0,0.03,75
240,Mar 12 2016 01: +0,0.03,77
241,Mar 13 2016 01: +0,0.03,78
242,Mar 14 2016 01: +0,0.03,70
243,Mar 15 2016 01: +0,0.03,67
244,Mar 16 2016 01: +0,0.03,34
245,Mar 17 2016 01: +0,0.03,39
246,Mar 18 2016 01: +0,0.03,35
247,Mar 19 2016 01: +0,0.03,60
248,Mar 20 2016 01: +0,0.03,76
249,Mar 21 2016 01: +0,0.03,54
250,Mar 22 2016 01: +0,0.03,56
251,Mar 23 2016 01: +0,0.03,40
252,Mar 24 2016 01: +0,0.03,54
253,Mar 25 2016 01: +0,0.03,73
254,Mar 26 2016 01: +0,0.03,82
255,Mar 27 2016 01: +0,0.03,57
256,Mar 28 2016 01: +0,0.03,63
257,Mar 29 2016 01: +0,0.03,59
258,Mar 30 2016 01: +0,0.03,58
259,Mar 31 2016 01: +0,0.03,57
260,Apr 01 2016 01: +0,0.03,56
261,Apr 02 2016 01: +0,0.03,58
262,Apr 03 2016 01: +0,0.03,62
263,Apr 04 2016 01: +0,0.03,51
264,Apr 05 2016 01: +0,0.03,40
265,Apr 06 2016 01: +0,0.03,53
266,Apr 07 2016 01: +0,0.03,67
267,Apr 08 2016 01: +0,0.03,59
268,Apr 09 2016 01: +0,0.03,75
269,Apr 10 2016 01: +0,0.03,83
270,Apr 11 2016 01: +0,0.03,55
271,Apr 12 2016 01: +0,0.03,60
272,Apr 13 2016 01: +0,0.03,41
273,Apr 14 2016 01: +0,0.03,44
274,Apr 15 2016 01: +0,0.03,59
275,Apr 16 2016 01: +0,0.03,77
