,time,price,volume
0,Jul 16 2015 01: +0,1.659,56
1,Jul 17 2015 01: +0,0.735,397
2,Jul 18 2015 01: +0,0.552,313
3,Jul 19 2015 01: +0,0.437,290
4,Jul 20 2015 01: +0,0.288,302
5,Jul 21 2015 01: +0,0.223,258
6,Jul 22 2015 01: +0,0.164,261
7,Jul 23 2015 01: +0,0.167,277
8,Jul 24 2015 01: +0,0.141,263
9,Jul 25 2015 01: +0,0.119,315
10,Jul 26 2015 01: +0,0.112,282
11,Jul 27 2015 01: +0,0.112,288
12,Jul 28 2015 01: +0,0.111,290
13,Jul 29 2015 01: +0,0.116,244
14,Jul 30 2015 01: +0,0.108,245
15,Jul 31 2015 01: +0,0.102,272
16,Aug 01 2015 01: +0,0.088,272
17,Aug 02 2015 01: +0,0.1,258
18,Aug 03 2015 01: +0,0.1,226
19,Aug 04 2015 01: +0,0.104,286
20,Aug 05 2015 01: +0,0.096,238
21,Aug 06 2015 01: +0,0.102,345
22,Aug 07 2015 01: +0,0.128,319
23,Aug 08 2015 01: +0,0.127,273
24,Aug 09 2015 01: +0,0.119,307
25,Aug 10 2015 01: +0,0.124,346
26,Aug 11 2015 01: +0,0.113,245
27,Aug 12 2015 01: +0,0.114,245
28,Aug 13 2015 01: +0,0.104,233
29,Aug 14 2015 01: +0,0.106,269
30,Aug 15 2015 01: +0,0.099,296
31,Aug 16 2015 01: +0,0.087,277
32,Aug 17 2015 01: +0,0.081,270
33,Aug 18 2015 01: +0,0.075,234
34,Aug 19 2015 01: +0,0.07,227
35,Aug 20 2015 01: +0,0.068,281
36,Aug 21 2015 01: +0,0.064,265
37,Aug 22 2015 01: +0,0.062,262
38,Aug 23 2015 01: +0,0.049,329
39,Aug 24 2015 01: +0,0.047,208
40,Aug 25 2015 01: +0,0.04,233
41,Aug 26 2015 01: +0,0.044,202
42,Aug 27 2015 01: +0,0.048,218
43,Aug 28 2015 01: +0,0.047,254
44,Aug 29 2015 01: +0,0.048,243
45,Aug 30 2015 01: +0,0.052,243
46,Aug 31 2015 01: +0,0.05,175
47,Sep 01 2015 01: +0,0.049,172
48,Sep 02 2015 01: +0,0.047,135
49,Sep 03 2015 01: +0,0.047,163
50,Sep 04 2015 01: +0,0.049,169
51,Sep 05 2015 01: +0,0.051,228
52,Sep 06 2015 01: +0,0.054,213
53,Sep 07 2015 01: +0,0.055,147
54,Sep 08 2015 01: +0,0.052,161
55,Sep 09 2015 01: +0,0.05,118
56,Sep 10 2015 01: +0,0.047,174
