,time,price,volume
0,Mar 23 2018 01: +0,1.502,5
1,Mar 24 2018 01: +0,1.281,7
2,Mar 25 2018 01: +0,1.145,10
3,Mar 26 2018 01: +0,1.275,7
4,Mar 27 2018 01: +0,1.199,5
5,Mar 28 2018 01: +0,1.277,7
6,Mar 29 2018 01: +0,1.272,6
7,Mar 30 2018 01: +0,1.24,6
8,Mar 31 2018 01: +0,1.237,8
9,Apr 01 2018 01: +0,1.261,4
10,Apr 02 2018 01: +0,0.994,2
11,Apr 03 2018 01: +0,1.127,6
12,Apr 04 2018 01: +0,1.057,3
13,Apr 05 2018 01: +0,1.18,10
14,Apr 06 2018 01: +0,1.148,6
15,Apr 07 2018 01: +0,1.299,7
16,Apr 08 2018 01: +0,1.359,12
17,Apr 09 2018 01: +0,2.476,9
18,Apr 10 2018 01: +0,3.356,4
19,Apr 11 2018 01: +0,2.795,6
20,Apr 12 2018 01: +0,1.818,7
21,Apr 13 2018 01: +0,2.007,8
22,Apr 14 2018 01: +0,2.255,6
23,Apr 15 2018 01: +0,2.243,7
24,Apr 16 2018 01: +0,2.507,4
25,Apr 17 2018 01: +0,2.237,2
26,Apr 18 2018 01: +0,2.724,3
27,Apr 19 2018 01: +0,2.611,3
28,Apr 20 2018 01: +0,2.643,3
29,Apr 21 2018 01: +0,2.449,8
30,Apr 22 2018 01: +0,2.389,5
31,Apr 23 2018 01: +0,2.69,1
32,Apr 24 2018 01: +0,2.65,4
33,Apr 25 2018 01: +0,2.658,3
34,Apr 26 2018 01: +0,2.119,6
35,Apr 27 2018 01: +0,2.558,5
36,Apr 28 2018 01: +0,2.713,2
37,Apr 29 2018 01: +0,2.238,3
38,Apr 30 2018 01: +0,1.764,2
39,May 01 2018 01: +0,2.43,1
40,May 02 2018 01: +0,2.267,5
41,May 03 2018 01: +0,2.439,5
42,May 04 2018 01: +0,2.236,7
43,May 05 2018 01: +0,2.803,3
44,May 06 2018 01: +0,2.902,3
45,May 07 2018 01: +0,3.104,4
46,May 08 2018 01: +0,2.415,3
47,May 09 2018 01: +0,2.948,5
48,May 10 2018 01: +0,2.675,7
49,May 11 2018 01: +0,2.937,5
50,May 12 2018 01: +0,2.993,6
51,May 13 2018 01: +0,2.691,4
52,May 14 2018 01: +0,3.123,4
53,May 15 2018 01: +0,3.339,2
54,May 17 2018 01: +0,2.88,1
55,May 18 2018 01: +0,2.3,1
56,May 19 2018 01: +0,2.402,2
57,May 20 2018 01: +0,3.199,2
58,May 21 2018 01: +0,3.193,1
59,May 22 2018 01: +0,2.851,2
60,May 23 2018 01: +0,2.776,6
61,May 24 2018 01: +0,2.87,1
62,May 25 2018 01: +0,2.793,7
63,May 26 2018 01: +0,2.578,3
64,May 27 2018 01: +0,2.676,2
65,May 28 2018 01: +0,2.877,2
66,May 30 2018 01: +0,2.019,4
67,May 31 2018 01: +0,2.7,5
68,Jun 01 2018 01: +0,3.015,2
69,Jun 03 2018 01: +0,2.352,3
70,Jun 04 2018 01: +0,2.792,2
71,Jun 08 2018 01: +0,2.353,5
72,Jun 09 2018 01: +0,2.751,3
73,Jun 10 2018 01: +0,2.917,4
74,Jun 11 2018 01: +0,2.863,4
75,Jun 12 2018 01: +0,2.97,4
76,Jun 13 2018 01: +0,2.96,1
77,Jun 14 2018 01: +0,2.993,3
78,Jun 16 2018 01: +0,3.068,6
79,Jun 17 2018 01: +0,3.369,4
80,Jun 18 2018 01: +0,2.41,2
81,Jun 19 2018 01: +0,2.578,4
82,Jun 20 2018 01: +0,2.487,2
83,Jun 21 2018 01: +0,3.037,3
84,Jun 22 2018 01: +0,3.073,3
85,Jun 23 2018 01: +0,2.453,5
86,Jun 24 2018 01: +0,3.095,3
87,Jun 25 2018 01: +0,3.24,3
88,Jun 26 2018 01: +0,3.498,4
89,Jun 27 2018 01: +0,2.683,1
90,Jun 28 2018 01: +0,3.09,3
91,Jun 29 2018 01: +0,3.63,3
92,Jun 30 2018 01: +0,4.867,2
93,Jul 01 2018 01: +0,4.287,3
94,Jul 02 2018 01: +0,4.65,4
95,Jul 03 2018 01: +0,3.415,2
96,Jul 04 2018 01: +0,2.801,3
97,Jul 05 2018 01: +0,3.204,3
