,time,price,volume
0,Aug 29 2019 01: +0,4.14,1
1,Aug 30 2019 01: +0,1.931,49
2,Aug 31 2019 01: +0,2.041,51
3,Sep 01 2019 01: +0,1.652,43
4,Sep 02 2019 01: +0,1.714,58
5,Sep 03 2019 01: +0,1.72,38
6,Sep 04 2019 01: +0,1.735,33
7,Sep 05 2019 01: +0,1.799,39
8,Sep 06 2019 01: +0,1.851,53
9,Sep 07 2019 01: +0,1.851,43
10,Sep 08 2019 01: +0,1.677,57
11,Sep 09 2019 01: +0,1.642,43
12,Sep 10 2019 01: +0,1.726,36
13,Sep 11 2019 01: +0,1.667,30
14,Sep 12 2019 01: +0,1.588,31
15,Sep 13 2019 01: +0,1.577,45
16,Sep 14 2019 01: +0,1.841,43
17,Sep 15 2019 01: +0,1.847,36
18,Sep 16 2019 01: +0,1.744,25
19,Sep 17 2019 01: +0,1.655,26
20,Sep 18 2019 01: +0,1.661,34
21,Sep 19 2019 01: +0,1.657,25
22,Sep 20 2019 01: +0,1.584,32
23,Sep 21 2019 01: +0,1.619,31
24,Sep 22 2019 01: +0,1.701,31
25,Sep 23 2019 01: +0,1.564,27
26,Sep 24 2019 01: +0,1.517,15
27,Sep 25 2019 01: +0,1.556,31
28,Sep 26 2019 01: +0,1.53,34
29,Sep 27 2019 01: +0,1.605,34
30,Sep 28 2019 01: +0,1.501,39
31,Sep 29 2019 01: +0,1.591,32
32,Sep 30 2019 01: +0,1.695,20
33,Oct 01 2019 01: +0,1.549,17
34,Oct 02 2019 01: +0,1.508,27
35,Oct 03 2019 01: +0,1.381,29
36,Oct 04 2019 01: +0,1.564,31
37,Oct 05 2019 01: +0,1.62,29
38,Oct 06 2019 01: +0,1.643,33
39,Oct 07 2019 01: +0,1.685,24
40,Oct 08 2019 01: +0,1.607,33
41,Oct 09 2019 01: +0,1.404,33
42,Oct 10 2019 01: +0,1.708,31
43,Oct 11 2019 01: +0,1.628,25
44,Oct 12 2019 01: +0,1.563,34
45,Oct 13 2019 01: +0,1.561,32
46,Oct 14 2019 01: +0,1.611,33
47,Oct 15 2019 01: +0,1.637,19
48,Oct 16 2019 01: +0,1.621,28
49,Oct 17 2019 01: +0,1.585,32
50,Oct 18 2019 01: +0,1.487,34
51,Oct 19 2019 01: +0,1.297,52
52,Oct 20 2019 01: +0,1.531,19
53,Oct 21 2019 01: +0,1.414,27
54,Oct 22 2019 01: +0,1.537,26
55,Oct 23 2019 01: +0,1.573,21
56,Oct 24 2019 01: +0,1.44,23
57,Oct 25 2019 01: +0,1.402,29
58,Oct 26 2019 01: +0,1.376,20
59,Oct 27 2019 01: +0,1.447,33
60,Oct 28 2019 01: +0,1.476,21
61,Oct 29 2019 01: +0,1.447,23
62,Oct 30 2019 01: +0,1.44,20
63,Oct 31 2019 01: +0,1.378,20
64,Nov 01 2019 01: +0,1.31,42
65,Nov 02 2019 01: +0,1.38,33
66,Nov 03 2019 01: +0,1.426,31
67,Nov 04 2019 01: +0,1.497,24
68,Nov 05 2019 01: +0,1.495,19
69,Nov 06 2019 01: +0,1.533,30
70,Nov 07 2019 01: +0,1.612,24
71,Nov 08 2019 01: +0,1.562,25
72,Nov 09 2019 01: +0,1.613,37
73,Nov 10 2019 01: +0,1.634,25
74,Nov 11 2019 01: +0,1.59,27
75,Nov 12 2019 01: +0,1.664,18
76,Nov 13 2019 01: +0,1.659,25
77,Nov 14 2019 01: +0,1.682,27
78,Nov 15 2019 01: +0,1.613,28
79,Nov 16 2019 01: +0,1.602,31
80,Nov 17 2019 01: +0,1.586,35
81,Nov 18 2019 01: +0,1.519,25
82,Nov 19 2019 01: +0,1.551,31
83,Nov 20 2019 01: +0,1.522,30
84,Nov 21 2019 01: +0,1.556,23
85,Nov 22 2019 01: +0,1.455,35
86,Nov 23 2019 01: +0,1.459,19
87,Nov 24 2019 01: +0,1.365,32
88,Nov 25 2019 01: +0,1.457,28
89,Nov 26 2019 01: +0,1.427,32
90,Nov 27 2019 01: +0,1.457,24
91,Nov 28 2019 01: +0,1.537,29
92,Nov 29 2019 01: +0,1.748,125
93,Nov 30 2019 01: +0,1.679,76
94,Dec 01 2019 01: +0,1.842,42
95,Dec 02 2019 01: +0,1.858,34
96,Dec 03 2019 01: +0,1.879,31
97,Dec 04 2019 01: +0,1.763,22
98,Dec 05 2019 01: +0,1.776,42
99,Dec 06 2019 01: +0,1.692,34
100,Dec 07 2019 01: +0,1.779,42
101,Dec 08 2019 01: +0,1.734,31
102,Dec 09 2019 01: +0,1.798,42
103,Dec 10 2019 01: +0,1.901,25
104,Dec 11 2019 01: +0,1.897,36
105,Dec 12 2019 01: +0,1.933,42
106,Dec 13 2019 01: +0,2.162,34
107,Dec 14 2019 01: +0,2.252,41
108,Dec 15 2019 01: +0,2.499,22
109,Dec 16 2019 01: +0,2.23,19
110,Dec 17 2019 01: +0,2.203,25
111,Dec 18 2019 01: +0,2.222,32
112,Dec 19 2019 01: +0,2.387,36
113,Dec 20 2019 01: +0,2.274,33
114,Dec 21 2019 01: +0,2.122,18
115,Dec 22 2019 01: +0,1.969,32
116,Dec 23 2019 01: +0,2.232,34
117,Dec 24 2019 01: +0,2.209,27
118,Dec 25 2019 01: +0,2.44,53
119,Dec 26 2019 01: +0,2.435,31
120,Dec 27 2019 01: +0,2.353,37
121,Dec 28 2019 01: +0,2.57,49
122,Dec 29 2019 01: +0,2.499,29
123,Dec 30 2019 01: +0,2.267,17
124,Dec 31 2019 01: +0,2.339,28
125,Jan 01 2020 01: +0,2.467,29
126,Jan 02 2020 01: +0,2.308,31
127,Jan 03 2020 01: +0,2.451,25
128,Jan 04 2020 01: +0,2.481,25
129,Jan 05 2020 01: +0,2.673,23
130,Jan 06 2020 01: +0,2.659,29
131,Jan 07 2020 01: +0,2.581,11
132,Jan 08 2020 01: +0,2.634,21
133,Jan 09 2020 01: +0,2.779,23
134,Jan 10 2020 01: +0,2.806,21
135,Jan 11 2020 01: +0,2.674,30
136,Jan 12 2020 01: +0,2.631,38
137,Jan 13 2020 01: +0,2.506,21
138,Jan 14 2020 01: +0,2.632,21
139,Jan 15 2020 01: +0,2.62,28
140,Jan 16 2020 01: +0,2.136,20
141,Jan 17 2020 01: +0,2.416,21
142,Jan 18 2020 01: +0,2.385,22
143,Jan 19 2020 01: +0,2.245,20
144,Jan 20 2020 01: +0,2.189,16
145,Jan 21 2020 01: +0,2.193,25
146,Jan 22 2020 01: +0,2.47,29
147,Jan 23 2020 01: +0,2.222,19
148,Jan 24 2020 01: +0,2.283,31
149,Jan 25 2020 01: +0,2.195,23
150,Jan 26 2020 01: +0,2.284,31
151,Jan 27 2020 01: +0,2.455,25
152,Jan 28 2020 01: +0,2.415,24
153,Jan 29 2020 01: +0,2.485,34
154,Jan 30 2020 01: +0,2.658,11
155,Jan 31 2020 01: +0,2.445,26
156,Feb 01 2020 01: +0,2.437,31
157,Feb 02 2020 01: +0,2.254,24
158,Feb 03 2020 01: +0,2.618,21
159,Feb 04 2020 01: +0,2.419,16
160,Feb 05 2020 01: +0,2.222,21
161,Feb 06 2020 01: +0,2.608,16
162,Feb 07 2020 01: +0,2.645,15
163,Feb 08 2020 01: +0,2.341,23
164,Feb 09 2020 01: +0,2.344,27
165,Feb 10 2020 01: +0,2.403,20
166,Feb 11 2020 01: +0,2.269,17
167,Feb 12 2020 01: +0,2.199,11
168,Feb 13 2020 01: +0,2.367,21
