,time,price,volume
0,Jun 29 2018 01: +0,2.918,11
1,Jun 30 2018 01: +0,1.912,10
2,Jul 01 2018 01: +0,1.674,9
3,Jul 02 2018 01: +0,1.614,17
4,Jul 03 2018 01: +0,1.482,11
5,Jul 04 2018 01: +0,1.555,21
6,Jul 05 2018 01: +0,1.884,9
7,Jul 06 2018 01: +0,1.84,7
8,Jul 07 2018 01: +0,1.782,10
9,Jul 08 2018 01: +0,1.909,9
10,Jul 09 2018 01: +0,1.786,7
11,Jul 10 2018 01: +0,1.893,11
12,Jul 11 2018 01: +0,1.937,14
13,Jul 12 2018 01: +0,1.883,7
14,Jul 13 2018 01: +0,1.763,9
15,Jul 14 2018 01: +0,1.872,15
16,Jul 15 2018 01: +0,1.7,12
17,Jul 16 2018 01: +0,1.813,8
18,Jul 17 2018 01: +0,1.787,10
19,Jul 18 2018 01: +0,1.825,5
20,Jul 19 2018 01: +0,1.616,9
21,Jul 20 2018 01: +0,1.733,15
22,Jul 21 2018 01: +0,1.808,8
23,Jul 22 2018 01: +0,1.873,13
24,Jul 23 2018 01: +0,1.927,6
25,Jul 24 2018 01: +0,1.84,7
26,Jul 25 2018 01: +0,1.703,7
27,Jul 26 2018 01: +0,1.64,9
28,Jul 27 2018 01: +0,1.556,11
29,Jul 28 2018 01: +0,1.699,4
30,Jul 29 2018 01: +0,1.653,13
31,Jul 30 2018 01: +0,1.793,3
32,Jul 31 2018 01: +0,1.74,9
33,Aug 01 2018 01: +0,1.77,8
34,Aug 02 2018 01: +0,1.696,7
35,Aug 03 2018 01: +0,1.68,6
36,Aug 04 2018 01: +0,1.73,12
37,Aug 05 2018 01: +0,1.716,13
38,Aug 06 2018 01: +0,1.583,10
39,Aug 07 2018 01: +0,1.756,12
40,Aug 08 2018 01: +0,1.933,6
41,Aug 09 2018 01: +0,1.922,8
42,Aug 10 2018 01: +0,1.35,2
43,Aug 11 2018 01: +0,1.466,14
44,Aug 12 2018 01: +0,1.583,11
45,Aug 13 2018 01: +0,1.612,4
46,Aug 14 2018 01: +0,1.518,8
47,Aug 15 2018 01: +0,1.504,2
48,Aug 16 2018 01: +0,1.534,9
49,Aug 17 2018 01: +0,1.68,12
50,Aug 18 2018 01: +0,1.499,7
51,Aug 19 2018 01: +0,1.511,8
52,Aug 20 2018 01: +0,1.547,9
53,Aug 21 2018 01: +0,1.572,7
54,Aug 22 2018 01: +0,1.565,15
55,Aug 23 2018 01: +0,1.65,7
56,Aug 24 2018 01: +0,1.717,5
57,Aug 25 2018 01: +0,1.684,2
58,Aug 26 2018 01: +0,1.555,11
59,Aug 27 2018 01: +0,1.609,6
60,Aug 28 2018 01: +0,1.708,5
61,Aug 29 2018 01: +0,1.589,5
62,Aug 30 2018 01: +0,1.522,9
63,Aug 31 2018 01: +0,1.507,11
64,Sep 01 2018 01: +0,1.594,5
65,Sep 02 2018 01: +0,1.78,4
66,Sep 03 2018 01: +0,1.841,9
67,Sep 04 2018 01: +0,2.019,4
68,Sep 05 2018 01: +0,1.729,3
69,Sep 06 2018 01: +0,1.954,8
70,Sep 07 2018 01: +0,1.804,4
71,Sep 08 2018 01: +0,1.717,4
72,Sep 09 2018 01: +0,1.432,7
73,Sep 10 2018 01: +0,1.534,2
74,Sep 11 2018 01: +0,1.526,5
75,Sep 12 2018 01: +0,1.541,6
76,Sep 13 2018 01: +0,1.509,10
77,Sep 14 2018 01: +0,1.549,8
78,Sep 15 2018 01: +0,1.628,8
