,time,price,volume
0,Jun 22 2018 01: +0,1.794,2
1,Jun 23 2018 01: +0,1.133,13
2,Jun 24 2018 01: +0,1.192,11
3,Jun 25 2018 01: +0,1.225,16
4,Jun 26 2018 01: +0,1.269,16
5,Jun 27 2018 01: +0,1.387,6
6,Jun 28 2018 01: +0,1.16,6
7,Jun 29 2018 01: +0,1.395,15
8,Jun 30 2018 01: +0,1.41,10
9,Jul 01 2018 01: +0,1.547,12
10,Jul 02 2018 01: +0,1.489,10
11,Jul 03 2018 01: +0,1.66,9
12,Jul 04 2018 01: +0,1.514,4
13,Jul 05 2018 01: +0,1.769,15
14,Jul 06 2018 01: +0,1.662,16
15,Jul 07 2018 01: +0,1.863,11
16,Jul 08 2018 01: +0,1.9,11
17,Jul 09 2018 01: +0,1.77,7
18,Jul 10 2018 01: +0,1.746,8
19,Jul 11 2018 01: +0,1.844,16
20,Jul 12 2018 01: +0,1.832,9
21,Jul 13 2018 01: +0,1.634,6
22,Jul 14 2018 01: +0,1.76,9
23,Jul 15 2018 01: +0,1.742,11
24,Jul 16 2018 01: +0,1.664,11
25,Jul 17 2018 01: +0,1.492,10
26,Jul 18 2018 01: +0,1.629,5
27,Jul 19 2018 01: +0,1.389,14
28,Jul 20 2018 01: +0,1.673,10
29,Jul 21 2018 01: +0,1.625,7
30,Jul 22 2018 01: +0,1.528,11
31,Jul 23 2018 01: +0,1.67,15
32,Jul 24 2018 01: +0,1.706,9
33,Jul 25 2018 01: +0,1.679,8
34,Jul 26 2018 01: +0,1.586,7
35,Jul 27 2018 01: +0,1.632,10
36,Jul 28 2018 01: +0,1.709,7
37,Jul 29 2018 01: +0,1.461,9
38,Jul 30 2018 01: +0,1.776,10
39,Jul 31 2018 01: +0,1.815,6
40,Aug 01 2018 01: +0,1.94,8
41,Aug 02 2018 01: +0,1.936,14
42,Aug 03 2018 01: +0,1.773,8
43,Aug 04 2018 01: +0,1.719,1
44,Aug 05 2018 01: +0,1.6,8
45,Aug 06 2018 01: +0,1.799,10
46,Aug 07 2018 01: +0,2.176,5
47,Aug 08 2018 01: +0,2.193,3
48,Aug 09 2018 01: +0,2.179,5
49,Aug 10 2018 01: +0,1.633,15
50,Aug 11 2018 01: +0,2.01,9
51,Aug 12 2018 01: +0,1.784,8
52,Aug 13 2018 01: +0,2.007,10
53,Aug 14 2018 01: +0,1.756,6
54,Aug 15 2018 01: +0,1.741,6
55,Aug 16 2018 01: +0,1.748,5
56,Aug 17 2018 01: +0,1.526,7
57,Aug 18 2018 01: +0,1.988,8
58,Aug 19 2018 01: +0,1.978,7
59,Aug 20 2018 01: +0,1.899,6
60,Aug 21 2018 01: +0,2.025,3
61,Aug 22 2018 01: +0,2.011,8
62,Aug 23 2018 01: +0,2.001,8
63,Aug 24 2018 01: +0,1.94,7
64,Aug 25 2018 01: +0,1.934,8
65,Aug 26 2018 01: +0,2.059,5
66,Aug 27 2018 01: +0,2.01,5
67,Aug 28 2018 01: +0,2.11,6
68,Aug 29 2018 01: +0,1.032,2
69,Aug 30 2018 01: +0,1.649,7
70,Aug 31 2018 01: +0,1.889,7
71,Sep 01 2018 01: +0,1.634,6
72,Sep 02 2018 01: +0,1.846,4
73,Sep 03 2018 01: +0,1.848,7
74,Sep 04 2018 01: +0,1.733,6
75,Sep 05 2018 01: +0,2.063,1
76,Sep 06 2018 01: +0,1.894,5
77,Sep 07 2018 01: +0,1.98,10
78,Sep 08 2018 01: +0,1.885,6
79,Sep 09 2018 01: +0,2.005,11
80,Sep 10 2018 01: +0,2.095,7
81,Sep 11 2018 01: +0,2.124,3
82,Sep 12 2018 01: +0,1.943,2
83,Sep 13 2018 01: +0,1.929,5
