,time,price,volume
0,May 03 2018 01: +0,2.594,18
1,May 04 2018 01: +0,2.347,32
2,May 05 2018 01: +0,2.533,28
3,May 06 2018 01: +0,2.758,17
4,May 07 2018 01: +0,2.938,18
5,May 08 2018 01: +0,2.706,16
6,May 09 2018 01: +0,2.508,17
7,May 10 2018 01: +0,2.6,16
8,May 11 2018 01: +0,2.316,14
9,May 12 2018 01: +0,2.634,17
10,May 13 2018 01: +0,2.691,11
11,May 14 2018 01: +0,2.761,15
12,May 15 2018 01: +0,2.588,19
13,May 16 2018 01: +0,2.728,16
14,May 17 2018 01: +0,2.572,16
15,May 18 2018 01: +0,2.334,14
16,May 19 2018 01: +0,2.487,26
17,May 20 2018 01: +0,2.601,22
18,May 21 2018 01: +0,2.612,9
19,May 22 2018 01: +0,2.566,14
20,May 23 2018 01: +0,2.601,11
21,May 24 2018 01: +0,2.33,8
22,May 25 2018 01: +0,2.187,16
23,May 26 2018 01: +0,2.262,17
24,May 27 2018 01: +0,2.512,12
25,May 28 2018 01: +0,2.492,17
26,May 29 2018 01: +0,2.545,11
27,May 30 2018 01: +0,2.174,8
28,May 31 2018 01: +0,2.426,9
29,Jun 01 2018 01: +0,2.237,14
30,Jun 02 2018 01: +0,2.465,8
31,Jun 03 2018 01: +0,2.273,9
32,Jun 04 2018 01: +0,2.386,9
33,Jun 05 2018 01: +0,2.421,7
34,Jun 06 2018 01: +0,2.263,17
35,Jun 07 2018 01: +0,2.212,8
36,Jun 08 2018 01: +0,2.445,16
37,Jun 09 2018 01: +0,2.435,15
38,Jun 10 2018 01: +0,2.308,13
39,Jun 11 2018 01: +0,2.448,15
40,Jun 12 2018 01: +0,2.495,15
41,Jun 13 2018 01: +0,2.647,16
42,Jun 14 2018 01: +0,2.679,8
43,Jun 15 2018 01: +0,2.569,16
44,Jun 16 2018 01: +0,2.581,15
45,Jun 17 2018 01: +0,2.571,12
46,Jun 18 2018 01: +0,2.518,14
47,Jun 19 2018 01: +0,2.491,13
48,Jun 20 2018 01: +0,2.538,11
49,Jun 21 2018 01: +0,2.444,7
50,Jun 22 2018 01: +0,2.391,13
51,Jun 23 2018 01: +0,2.385,15
52,Jun 24 2018 01: +0,2.24,13
53,Jun 25 2018 01: +0,2.452,12
54,Jun 26 2018 01: +0,2.362,7
55,Jun 27 2018 01: +0,2.072,11
56,Jun 28 2018 01: +0,2.379,9
57,Jun 29 2018 01: +0,2.443,15
58,Jun 30 2018 01: +0,2.517,17
59,Jul 01 2018 01: +0,2.384,14
60,Jul 02 2018 01: +0,2.464,16
61,Jul 03 2018 01: +0,2.386,11
62,Jul 04 2018 01: +0,2.539,17
63,Jul 05 2018 01: +0,2.593,10
64,Jul 06 2018 01: +0,2.665,12
65,Jul 07 2018 01: +0,2.752,16
66,Jul 08 2018 01: +0,2.678,17
67,Jul 09 2018 01: +0,2.683,15
68,Jul 10 2018 01: +0,2.818,12
69,Jul 11 2018 01: +0,2.646,7
70,Jul 12 2018 01: +0,2.672,16
71,Jul 13 2018 01: +0,2.694,16
