,time,price,volume
0,Nov 18 2016 01: +0,3.311,1
1,Nov 21 2016 01: +0,13.567,2
2,Nov 22 2016 01: +0,13.44,2
3,Nov 23 2016 01: +0,2.855,2
4,Nov 24 2016 01: +0,5.172,4
5,Nov 25 2016 01: +0,3.758,6
6,Nov 26 2016 01: +0,3.26,10
7,Nov 27 2016 01: +0,3.75,5
8,Nov 28 2016 01: +0,2.626,6
9,Nov 29 2016 01: +0,2.951,13
10,Nov 30 2016 01: +0,3.205,2
11,Dec 01 2016 01: +0,2.911,13
12,Dec 02 2016 01: +0,2.898,9
13,Dec 03 2016 01: +0,2.564,18
14,Dec 04 2016 01: +0,2.618,9
15,Dec 05 2016 01: +0,2.989,5
16,Dec 06 2016 01: +0,2.804,11
17,Dec 07 2016 01: +0,2.801,8
18,Dec 08 2016 01: +0,2.753,9
19,Dec 09 2016 01: +0,2.78,12
20,Dec 10 2016 01: +0,3.15,17
21,Dec 11 2016 01: +0,2.721,14
22,Dec 12 2016 01: +0,2.904,4
23,Dec 13 2016 01: +0,2.876,10
24,Dec 14 2016 01: +0,2.775,8
25,Dec 15 2016 01: +0,2.557,11
26,Dec 16 2016 01: +0,2.441,18
27,Dec 17 2016 01: +0,2.696,9
28,Dec 18 2016 01: +0,2.4,9
29,Dec 19 2016 01: +0,2.173,15
30,Dec 20 2016 01: +0,2.393,12
31,Dec 21 2016 01: +0,2.603,15
32,Dec 22 2016 01: +0,2.355,9
33,Dec 23 2016 01: +0,2.066,14
34,Dec 24 2016 01: +0,2.1,22
35,Dec 25 2016 01: +0,2.724,13
36,Dec 26 2016 01: +0,2.104,14
37,Dec 27 2016 01: +0,2.116,22
38,Dec 28 2016 01: +0,2.13,16
39,Dec 29 2016 01: +0,2.216,15
40,Dec 30 2016 01: +0,2.236,6
41,Dec 31 2016 01: +0,1.945,8
42,Jan 01 2017 01: +0,2.248,11
43,Jan 02 2017 01: +0,2.187,7
44,Jan 03 2017 01: +0,2.13,14
45,Jan 04 2017 01: +0,1.977,15
46,Jan 05 2017 01: +0,1.987,18
47,Jan 06 2017 01: +0,1.927,18
48,Jan 07 2017 01: +0,2.115,18
49,Jan 08 2017 01: +0,2.634,4
50,Jan 09 2017 01: +0,2.197,11
51,Jan 10 2017 01: +0,2.293,10
52,Jan 11 2017 01: +0,2.734,10
53,Jan 12 2017 01: +0,2.984,8
54,Jan 13 2017 01: +0,2.541,12
55,Jan 14 2017 01: +0,2.886,10
56,Jan 15 2017 01: +0,2.936,12
57,Jan 16 2017 01: +0,3.052,11
58,Jan 17 2017 01: +0,2.853,4
59,Jan 18 2017 01: +0,2.622,9
60,Jan 19 2017 01: +0,2.62,6
61,Jan 20 2017 01: +0,3.185,12
62,Jan 21 2017 01: +0,2.995,10
63,Jan 22 2017 01: +0,2.989,4
64,Jan 23 2017 01: +0,3.299,4
65,Jan 24 2017 01: +0,3.33,1
66,Jan 25 2017 01: +0,2.421,9
67,Jan 26 2017 01: +0,2.236,10
68,Jan 27 2017 01: +0,2.851,16
69,Jan 28 2017 01: +0,3.134,11
70,Jan 29 2017 01: +0,3.199,13
71,Jan 30 2017 01: +0,3.52,4
72,Jan 31 2017 01: +0,2.583,3
73,Feb 01 2017 01: +0,2.535,5
74,Feb 02 2017 01: +0,2.561,7
75,Feb 03 2017 01: +0,2.882,11
76,Feb 04 2017 01: +0,3.718,4
77,Feb 05 2017 01: +0,3.483,8
78,Feb 06 2017 01: +0,3.658,10
79,Feb 07 2017 01: +0,3.817,4
80,Feb 08 2017 01: +0,3.489,8
81,Feb 09 2017 01: +0,4.45,11
82,Feb 10 2017 01: +0,7.825,3
83,Feb 11 2017 01: +0,4.344,7
84,Feb 12 2017 01: +0,4.109,7
85,Feb 13 2017 01: +0,4.381,3
86,Feb 14 2017 01: +0,4.207,2
87,Feb 15 2017 01: +0,4.55,5
88,Feb 16 2017 01: +0,4.877,8
89,Feb 17 2017 01: +0,4.363,5
90,Feb 18 2017 01: +0,4.318,4
91,Feb 19 2017 01: +0,4.458,6
92,Feb 20 2017 01: +0,4.703,3
93,Feb 21 2017 01: +0,3.981,4
94,Feb 22 2017 01: +0,3.691,5
95,Feb 23 2017 01: +0,3.637,11
96,Feb 24 2017 01: +0,4.417,8
97,Feb 25 2017 01: +0,4.319,5
98,Feb 26 2017 01: +0,4.187,6
