,time,price,volume
0,Oct 09 2015 01: +0,3.863,6
1,Oct 10 2015 01: +0,3.587,12
2,Oct 11 2015 01: +0,3.773,8
3,Oct 12 2015 01: +0,3.461,4
4,Oct 13 2015 01: +0,3.413,9
5,Oct 14 2015 01: +0,3.485,2
6,Oct 15 2015 01: +0,2.884,2
7,Oct 16 2015 01: +0,2.924,10
8,Oct 17 2015 01: +0,2.888,8
9,Oct 18 2015 01: +0,3.16,9
10,Oct 19 2015 01: +0,2.759,6
11,Oct 20 2015 01: +0,2.961,8
12,Oct 21 2015 01: +0,3.171,6
13,Oct 22 2015 01: +0,2.319,5
14,Oct 23 2015 01: +0,2.794,4
15,Oct 24 2015 01: +0,2.968,3
16,Oct 25 2015 01: +0,2.997,4
17,Oct 26 2015 01: +0,2.976,8
18,Oct 27 2015 01: +0,3.093,1
19,Oct 28 2015 01: +0,1.968,1
20,Oct 29 2015 01: +0,2.772,3
21,Oct 30 2015 01: +0,2.543,2
22,Oct 31 2015 01: +0,2.58,5
23,Nov 01 2015 01: +0,2.39,10
24,Nov 02 2015 01: +0,2.789,2
25,Nov 03 2015 01: +0,2.702,7
26,Nov 04 2015 01: +0,3.25,3
27,Nov 05 2015 01: +0,5.091,2
28,Nov 06 2015 01: +0,3.942,4
29,Nov 07 2015 01: +0,3.16,2
30,Nov 08 2015 01: +0,4.384,1
31,Nov 09 2015 01: +0,4.084,3
32,Nov 10 2015 01: +0,3.699,3
33,Nov 11 2015 01: +0,5.2,1
34,Nov 13 2015 01: +0,6.145,2
35,Nov 14 2015 01: +0,7.406,1
36,Nov 15 2015 01: +0,3.323,3
37,Nov 16 2015 01: +0,3.276,3
38,Nov 17 2015 01: +0,4.023,5
39,Nov 18 2015 01: +0,3.1,1
40,Nov 19 2015 01: +0,3.662,4
41,Nov 20 2015 01: +0,3.244,4
42,Nov 21 2015 01: +0,4.498,5
43,Nov 22 2015 01: +0,5.893,1
44,Nov 23 2015 01: +0,3.442,1
45,Nov 24 2015 01: +0,2.145,1
46,Nov 25 2015 01: +0,3.264,3
47,Nov 26 2015 01: +0,2.903,3
48,Nov 27 2015 01: +0,2.788,6
49,Nov 28 2015 01: +0,2.853,8
50,Nov 29 2015 01: +0,3.123,3
51,Nov 30 2015 01: +0,2.677,5
52,Dec 01 2015 01: +0,3.221,3
53,Dec 02 2015 01: +0,3.103,2
54,Dec 03 2015 01: +0,2.969,4
55,Dec 04 2015 01: +0,2.663,5
56,Dec 05 2015 01: +0,2.967,7
57,Dec 06 2015 01: +0,3.01,10
58,Dec 07 2015 01: +0,3.113,7
59,Dec 08 2015 01: +0,3.899,7
60,Dec 09 2015 01: +0,4.376,5
61,Dec 10 2015 01: +0,4.157,7
62,Dec 11 2015 01: +0,4.631,4
63,Dec 12 2015 01: +0,4.385,4
64,Dec 13 2015 01: +0,5.083,3
65,Dec 14 2015 01: +0,3.61,2
66,Dec 15 2015 01: +0,3.915,7
67,Dec 16 2015 01: +0,3.575,3
68,Dec 17 2015 01: +0,3.235,8
69,Dec 18 2015 01: +0,3.876,7
70,Dec 19 2015 01: +0,3.281,14
71,Dec 20 2015 01: +0,2.835,2
72,Dec 21 2015 01: +0,2.628,4
73,Dec 22 2015 01: +0,2.943,11
74,Dec 23 2015 01: +0,2.897,6
75,Dec 24 2015 01: +0,2.573,9
76,Dec 25 2015 01: +0,3.022,11
77,Dec 26 2015 01: +0,2.589,8
78,Dec 27 2015 01: +0,2.834,11
79,Dec 28 2015 01: +0,3.508,9
80,Dec 29 2015 01: +0,2.995,4
81,Dec 30 2015 01: +0,2.92,10
82,Dec 31 2015 01: +0,3.346,3
83,Jan 01 2016 01: +0,2.646,6
84,Jan 02 2016 01: +0,2.86,11
85,Jan 03 2016 01: +0,2.27,7
86,Jan 04 2016 01: +0,2.39,1
87,Jan 05 2016 01: +0,2.691,8
88,Jan 06 2016 01: +0,2.573,4
89,Jan 07 2016 01: +0,2.887,6
90,Jan 08 2016 01: +0,3.115,9
91,Jan 09 2016 01: +0,3.132,4
92,Jan 10 2016 01: +0,3.138,8
93,Jan 11 2016 01: +0,3.223,7
94,Jan 12 2016 01: +0,3.013,6
95,Jan 13 2016 01: +0,2.79,2
96,Jan 14 2016 01: +0,3.01,1
97,Jan 15 2016 01: +0,2.667,6
98,Jan 16 2016 01: +0,2.952,10
99,Jan 17 2016 01: +0,2.851,7
100,Jan 18 2016 01: +0,3.266,6
101,Jan 19 2016 01: +0,2.917,6
102,Jan 20 2016 01: +0,2.642,2
103,Jan 21 2016 01: +0,2.9,2
104,Jan 22 2016 01: +0,2.972,4
105,Jan 23 2016 01: +0,2.936,9
106,Jan 24 2016 01: +0,2.742,7
107,Jan 25 2016 01: +0,2.597,8
108,Jan 26 2016 01: +0,2.891,5
109,Jan 27 2016 01: +0,2.792,8
110,Jan 28 2016 01: +0,2.976,3
111,Jan 29 2016 01: +0,2.879,5
112,Jan 30 2016 01: +0,2.451,3
113,Jan 31 2016 01: +0,2.613,5
114,Feb 01 2016 01: +0,2.898,6
115,Feb 02 2016 01: +0,2.394,3
116,Feb 03 2016 01: +0,2.701,4
117,Feb 04 2016 01: +0,2.89,7
118,Feb 05 2016 01: +0,3.061,5
119,Feb 06 2016 01: +0,3.007,9
120,Feb 07 2016 01: +0,3.51,12
121,Feb 08 2016 01: +0,2.98,6
122,Feb 09 2016 01: +0,3.443,7
123,Feb 10 2016 01: +0,3.345,7
124,Feb 11 2016 01: +0,5.033,4
125,Feb 12 2016 01: +0,2.807,10
126,Feb 13 2016 01: +0,2.686,7
127,Feb 14 2016 01: +0,2.285,6
128,Feb 15 2016 01: +0,2.678,5
129,Feb 16 2016 01: +0,2.989,4
130,Feb 17 2016 01: +0,2.768,5
131,Feb 18 2016 01: +0,2.359,9
132,Feb 19 2016 01: +0,2.329,14
133,Feb 20 2016 01: +0,2.343,8
134,Feb 21 2016 01: +0,2.495,5
135,Feb 22 2016 01: +0,2.447,11
136,Feb 23 2016 01: +0,2.509,6
137,Feb 24 2016 01: +0,1.81,1
138,Feb 25 2016 01: +0,2.565,4
139,Feb 26 2016 01: +0,2.469,10
140,Feb 27 2016 01: +0,2.457,9
141,Feb 28 2016 01: +0,2.543,4
142,Feb 29 2016 01: +0,2.75,4
143,Mar 01 2016 01: +0,2.316,4
144,Mar 02 2016 01: +0,2.73,3
145,Mar 03 2016 01: +0,2.138,3
146,Mar 04 2016 01: +0,2.576,6
147,Mar 05 2016 01: +0,2.702,6
148,Mar 06 2016 01: +0,2.34,8
149,Mar 07 2016 01: +0,2.234,9
150,Mar 08 2016 01: +0,2.408,7
151,Mar 09 2016 01: +0,2.364,5
152,Mar 10 2016 01: +0,2.737,4
153,Mar 11 2016 01: +0,2.7,4
154,Mar 12 2016 01: +0,2.714,11
