,time,price,volume
0,Oct 29 2015 01: +0,4.983,18
1,Oct 30 2015 01: +0,2.944,56
2,Oct 31 2015 01: +0,3.048,71
3,Nov 01 2015 01: +0,2.967,46
4,Nov 02 2015 01: +0,8.324,21
5,Nov 03 2015 01: +0,6.519,8
6,Nov 04 2015 01: +0,6.075,18
7,Nov 05 2015 01: +0,8.178,13
8,Nov 06 2015 01: +0,8.33,12
9,Nov 07 2015 01: +0,8.35,12
10,Nov 08 2015 01: +0,11.101,12
11,Nov 09 2015 01: +0,9.157,3
12,Nov 10 2015 01: +0,7.962,7
13,Nov 11 2015 01: +0,7.333,3
14,Nov 12 2015 01: +0,7.79,3
15,Nov 13 2015 01: +0,8.052,2
16,Nov 14 2015 01: +0,7.314,5
17,Nov 15 2015 01: +0,7.125,9
18,Nov 16 2015 01: +0,8.973,3
19,Nov 17 2015 01: +0,8.367,4
20,Nov 19 2015 01: +0,7.475,2
21,Nov 20 2015 01: +0,8.325,6
22,Nov 21 2015 01: +0,9.314,3
23,Nov 22 2015 01: +0,9.079,3
24,Nov 23 2015 01: +0,9.184,5
25,Nov 24 2015 01: +0,9.835,4
26,Nov 25 2015 01: +0,9.853,3
27,Nov 26 2015 01: +0,7.279,6
28,Nov 27 2015 01: +0,10.279,4
29,Nov 28 2015 01: +0,7.449,4
30,Nov 30 2015 01: +0,6.634,3
31,Dec 01 2015 01: +0,5.515,4
32,Dec 02 2015 01: +0,8.42,5
33,Dec 03 2015 01: +0,8.169,2
34,Dec 04 2015 01: +0,9.955,5
35,Dec 05 2015 01: +0,9.756,12
36,Dec 06 2015 01: +0,10.729,7
37,Dec 07 2015 01: +0,11.383,3
38,Dec 08 2015 01: +0,9.913,6
39,Dec 09 2015 01: +0,10.196,3
40,Dec 10 2015 01: +0,11.303,9
41,Dec 11 2015 01: +0,13.462,4
42,Dec 12 2015 01: +0,9.864,3
43,Dec 13 2015 01: +0,10.847,5
44,Dec 14 2015 01: +0,12.866,5
45,Dec 15 2015 01: +0,9.572,2
46,Dec 16 2015 01: +0,12.508,5
47,Dec 17 2015 01: +0,15.047,3
48,Dec 18 2015 01: +0,10.66,2
49,Dec 19 2015 01: +0,13.101,4
50,Dec 20 2015 01: +0,11.495,5
51,Dec 21 2015 01: +0,13.664,6
52,Dec 22 2015 01: +0,11.968,2
53,Dec 23 2015 01: +0,12.048,5
54,Dec 24 2015 01: +0,11.088,3
55,Dec 25 2015 01: +0,12.34,3
56,Dec 26 2015 01: +0,9.636,4
57,Dec 27 2015 01: +0,8.549,4
58,Dec 28 2015 01: +0,10.869,2
59,Dec 29 2015 01: +0,11.537,8
60,Dec 30 2015 01: +0,10.968,2
61,Dec 31 2015 01: +0,11.62,2
62,Jan 01 2016 01: +0,11.816,5
63,Jan 02 2016 01: +0,12.676,6
64,Jan 03 2016 01: +0,11.55,5
65,Jan 04 2016 01: +0,12.472,5
66,Jan 05 2016 01: +0,12.525,5
67,Jan 06 2016 01: +0,15.189,8
68,Jan 07 2016 01: +0,20.903,5
69,Jan 08 2016 01: +0,18.996,3
70,Jan 09 2016 01: +0,17.742,8
71,Jan 10 2016 01: +0,20.422,4
72,Jan 11 2016 01: +0,19.68,4
73,Jan 12 2016 01: +0,17.583,3
74,Jan 13 2016 01: +0,19.858,5
75,Jan 14 2016 01: +0,19.184,6
76,Jan 15 2016 01: +0,18.949,9
77,Jan 16 2016 01: +0,22.422,6
78,Jan 17 2016 01: +0,21.434,2
79,Jan 18 2016 01: +0,23.208,3
80,Jan 19 2016 01: +0,24.074,3
81,Jan 20 2016 01: +0,25.213,4
82,Jan 21 2016 01: +0,23.326,3
83,Jan 22 2016 01: +0,23.193,2
84,Jan 23 2016 01: +0,26.55,5
85,Jan 24 2016 01: +0,32.11,2
86,Jan 25 2016 01: +0,26.513,3
87,Jan 26 2016 01: +0,30.624,7
88,Jan 27 2016 01: +0,36.853,3
89,Jan 28 2016 01: +0,30.225,2
90,Jan 29 2016 01: +0,35.134,3
91,Jan 30 2016 01: +0,36.83,1
92,Jan 31 2016 01: +0,30.591,8
93,Feb 01 2016 01: +0,26.543,4
94,Feb 02 2016 01: +0,19.999,1
95,Feb 03 2016 01: +0,23.114,4
96,Feb 04 2016 01: +0,33.125,1
97,Feb 05 2016 01: +0,30.321,5
98,Feb 06 2016 01: +0,26.388,3
99,Feb 07 2016 01: +0,25.251,5
100,Feb 08 2016 01: +0,27.858,4
101,Feb 09 2016 01: +0,29.086,3
102,Feb 10 2016 01: +0,31.638,6
103,Feb 11 2016 01: +0,26.073,5
104,Feb 12 2016 01: +0,26.759,5
105,Feb 13 2016 01: +0,19.373,5
106,Feb 14 2016 01: +0,22.213,7
107,Feb 15 2016 01: +0,25.028,2
108,Feb 16 2016 01: +0,24.006,5
109,Feb 17 2016 01: +0,23.11,1
110,Feb 18 2016 01: +0,22.959,2
111,Feb 19 2016 01: +0,22.966,6
112,Feb 20 2016 01: +0,24.134,4
113,Feb 21 2016 01: +0,21.685,4
114,Feb 22 2016 01: +0,23.449,2
115,Feb 23 2016 01: +0,24.203,4
116,Feb 24 2016 01: +0,24.884,3
117,Feb 25 2016 01: +0,28.488,4
118,Feb 26 2016 01: +0,24.707,6
119,Feb 28 2016 01: +0,22.805,2
120,Feb 29 2016 01: +0,26.225,3
121,Mar 01 2016 01: +0,26.532,4
122,Mar 03 2016 01: +0,24.321,4
123,Mar 04 2016 01: +0,27.846,2
124,Mar 05 2016 01: +0,28.719,4
125,Mar 06 2016 01: +0,31.497,4
126,Mar 07 2016 01: +0,30.727,5
127,Mar 08 2016 01: +0,27.653,3
128,Mar 09 2016 01: +0,33.63,4
129,Mar 10 2016 01: +0,30.281,5
130,Mar 11 2016 01: +0,28.907,3
131,Mar 14 2016 01: +0,29.94,2
132,Mar 15 2016 01: +0,24.69,2
133,Mar 16 2016 01: +0,19.697,2
134,Mar 17 2016 01: +0,26.0,1
135,Mar 18 2016 01: +0,26.613,5
136,Mar 19 2016 01: +0,26.184,2
137,Mar 20 2016 01: +0,25.875,3
138,Mar 21 2016 01: +0,21.529,1
139,Mar 22 2016 01: +0,25.004,3
140,Mar 24 2016 01: +0,29.21,1
141,Mar 25 2016 01: +0,28.75,1
142,Mar 26 2016 01: +0,20.054,3
143,Mar 27 2016 01: +0,27.663,3
144,Mar 28 2016 01: +0,27.939,3
145,Mar 29 2016 01: +0,25.405,2
146,Mar 30 2016 01: +0,29.432,3
147,Apr 01 2016 01: +0,29.998,1
148,Apr 02 2016 01: +0,26.444,3
149,Apr 03 2016 01: +0,28.762,3
150,Apr 04 2016 01: +0,23.362,3
151,Apr 05 2016 01: +0,27.158,2
152,Apr 06 2016 01: +0,28.193,2
153,Apr 07 2016 01: +0,30.11,2
154,Apr 08 2016 01: +0,28.946,3
155,Apr 09 2016 01: +0,30.036,2
156,Apr 10 2016 01: +0,29.465,2
157,Apr 11 2016 01: +0,26.329,4
158,Apr 12 2016 01: +0,26.937,5
159,Apr 13 2016 01: +0,29.843,3
160,Apr 14 2016 01: +0,29.993,1
161,Apr 15 2016 01: +0,28.308,3
162,Apr 16 2016 01: +0,32.91,1
163,Apr 17 2016 01: +0,28.318,2
164,Apr 18 2016 01: +0,32.683,2
165,Apr 19 2016 01: +0,32.656,2
166,Apr 20 2016 01: +0,32.645,1
167,Apr 21 2016 01: +0,24.99,1
168,Apr 22 2016 01: +0,28.386,2
169,Apr 23 2016 01: +0,28.064,2
170,Apr 24 2016 01: +0,28.894,2
171,Apr 25 2016 01: +0,28.814,2
172,Apr 27 2016 01: +0,23.885,2
173,Apr 28 2016 01: +0,28.206,2
174,Apr 29 2016 01: +0,27.357,6
175,Apr 30 2016 01: +0,27.746,3
176,May 01 2016 01: +0,26.155,3
177,May 02 2016 01: +0,31.044,1
178,May 03 2016 01: +0,32.771,7
179,May 04 2016 01: +0,33.4,1
180,May 05 2016 01: +0,33.006,1
181,May 06 2016 01: +0,32.655,2
182,May 07 2016 01: +0,34.2,2
183,May 08 2016 01: +0,32.998,2
184,May 09 2016 01: +0,36.931,3
185,May 11 2016 01: +0,25.775,2
186,May 12 2016 01: +0,31.097,2
187,May 13 2016 01: +0,33.514,3
188,May 14 2016 01: +0,35.005,1
189,May 15 2016 01: +0,31.097,2
190,May 16 2016 01: +0,28.321,2
191,May 17 2016 01: +0,29.62,2
192,May 18 2016 01: +0,28.48,1
193,May 19 2016 01: +0,28.655,2
194,May 20 2016 01: +0,28.629,1
195,May 21 2016 01: +0,26.548,2
196,May 22 2016 01: +0,30.594,2
197,May 23 2016 01: +0,29.184,3
198,May 24 2016 01: +0,29.795,2
199,May 25 2016 01: +0,30.78,2
200,May 26 2016 01: +0,34.78,3
201,May 27 2016 01: +0,35.687,1
202,May 28 2016 01: +0,30.041,1
203,May 29 2016 01: +0,30.269,2
204,May 30 2016 01: +0,35.16,3
205,May 31 2016 01: +0,31.125,2
206,Jun 01 2016 01: +0,27.908,2
207,Jun 02 2016 01: +0,35.052,1
208,Jun 03 2016 01: +0,35.986,1
