,time,price,volume
0,Jul 16 2015 01: +0,0.466,26
1,Jul 17 2015 01: +0,0.114,14
2,Jul 18 2015 01: +0,0.161,105
3,Jul 19 2015 01: +0,0.136,215
4,Jul 20 2015 01: +0,0.095,183
5,Jul 21 2015 01: +0,0.09,148
6,Jul 22 2015 01: +0,0.099,267
7,Jul 23 2015 01: +0,0.092,226
8,Jul 24 2015 01: +0,0.062,180
9,Jul 25 2015 01: +0,0.055,153
10,Jul 26 2015 01: +0,0.049,143
11,Jul 27 2015 01: +0,0.044,153
12,Jul 28 2015 01: +0,0.039,166
13,Jul 29 2015 01: +0,0.036,129
14,Jul 30 2015 01: +0,0.033,120
15,Jul 31 2015 01: +0,0.03,121
16,Aug 01 2015 01: +0,0.03,122
17,Aug 02 2015 01: +0,0.03,117
18,Aug 03 2015 01: +0,0.03,119
19,Aug 04 2015 01: +0,0.03,113
20,Aug 05 2015 01: +0,0.03,101
21,Aug 06 2015 01: +0,0.03,123
22,Aug 07 2015 01: +0,0.03,101
23,Aug 08 2015 01: +0,0.03,118
24,Aug 09 2015 01: +0,0.03,112
25,Aug 10 2015 01: +0,0.03,103
26,Aug 11 2015 01: +0,0.03,67
27,Aug 12 2015 01: +0,0.03,67
28,Aug 13 2015 01: +0,0.03,73
29,Aug 14 2015 01: +0,0.03,73
30,Aug 15 2015 01: +0,0.03,72
31,Aug 16 2015 01: +0,0.03,127
32,Aug 17 2015 01: +0,0.03,77
33,Aug 18 2015 01: +0,0.03,69
34,Aug 19 2015 01: +0,0.03,87
35,Aug 20 2015 01: +0,0.03,94
36,Aug 21 2015 01: +0,0.03,93
37,Aug 22 2015 01: +0,0.03,83
38,Aug 23 2015 01: +0,0.03,91
39,Aug 24 2015 01: +0,0.03,73
40,Aug 25 2015 01: +0,0.03,72
41,Aug 26 2015 01: +0,0.03,60
42,Aug 27 2015 01: +0,0.03,108
43,Aug 28 2015 01: +0,0.03,81
44,Aug 29 2015 01: +0,0.03,85
45,Aug 30 2015 01: +0,0.03,78
46,Aug 31 2015 01: +0,0.03,53
47,Sep 01 2015 01: +0,0.03,40
48,Sep 02 2015 01: +0,0.03,40
49,Sep 03 2015 01: +0,0.03,47
50,Sep 04 2015 01: +0,0.03,50
51,Sep 05 2015 01: +0,0.03,68
52,Sep 06 2015 01: +0,0.03,72
53,Sep 07 2015 01: +0,0.03,65
54,Sep 08 2015 01: +0,0.03,97
55,Sep 09 2015 01: +0,0.03,92
56,Sep 10 2015 01: +0,0.031,106
57,Sep 11 2015 01: +0,0.03,83
58,Sep 12 2015 01: +0,0.03,88
59,Sep 13 2015 01: +0,0.03,78
60,Sep 14 2015 01: +0,0.03,61
61,Sep 15 2015 01: +0,0.03,40
62,Sep 16 2015 01: +0,0.03,57
63,Sep 17 2015 01: +0,0.03,56
64,Sep 18 2015 01: +0,0.03,74
65,Sep 19 2015 01: +0,0.03,67
66,Sep 20 2015 01: +0,0.03,97
67,Sep 21 2015 01: +0,0.03,62
68,Sep 22 2015 01: +0,0.03,51
69,Sep 23 2015 01: +0,0.03,105
70,Sep 24 2015 01: +0,0.03,41
71,Sep 25 2015 01: +0,0.03,38
72,Sep 26 2015 01: +0,0.03,72
73,Sep 27 2015 01: +0,0.03,77
74,Sep 28 2015 01: +0,0.03,49
75,Sep 29 2015 01: +0,0.03,45
76,Sep 30 2015 01: +0,0.03,42
77,Oct 01 2015 01: +0,0.03,51
78,Oct 02 2015 01: +0,0.03,40
79,Oct 03 2015 01: +0,0.03,54
80,Oct 04 2015 01: +0,0.03,70
81,Oct 05 2015 01: +0,0.03,53
82,Oct 06 2015 01: +0,0.03,54
83,Oct 07 2015 01: +0,0.03,52
84,Oct 08 2015 01: +0,0.03,48
85,Oct 09 2015 01: +0,0.03,48
86,Oct 10 2015 01: +0,0.03,79
87,Oct 11 2015 01: +0,0.031,81
88,Oct 12 2015 01: +0,0.031,72
89,Oct 13 2015 01: +0,0.03,51
90,Oct 14 2015 01: +0,0.031,47
91,Oct 15 2015 01: +0,0.03,44
92,Oct 16 2015 01: +0,0.03,44
93,Oct 17 2015 01: +0,0.03,77
94,Oct 18 2015 01: +0,0.03,54
95,Oct 19 2015 01: +0,0.032,69
96,Oct 20 2015 01: +0,0.03,64
97,Oct 21 2015 01: +0,0.03,51
98,Oct 22 2015 01: +0,0.03,41
99,Oct 23 2015 01: +0,0.03,70
100,Oct 24 2015 01: +0,0.03,70
101,Oct 25 2015 01: +0,0.03,60
102,Oct 26 2015 01: +0,0.03,40
103,Oct 27 2015 01: +0,0.03,56
104,Oct 28 2015 01: +0,0.03,41
105,Oct 29 2015 01: +0,0.03,51
106,Oct 30 2015 01: +0,0.03,60
107,Oct 31 2015 01: +0,0.03,60
108,Nov 01 2015 01: +0,0.03,72
109,Nov 02 2015 01: +0,0.03,35
110,Nov 03 2015 01: +0,0.03,44
111,Nov 04 2015 01: +0,0.03,51
112,Nov 05 2015 01: +0,0.03,51
113,Nov 06 2015 01: +0,0.03,45
114,Nov 07 2015 01: +0,0.03,62
115,Nov 08 2015 01: +0,0.03,78
116,Nov 09 2015 01: +0,0.03,76
117,Nov 10 2015 01: +0,0.03,42
118,Nov 11 2015 01: +0,0.03,36
119,Nov 12 2015 01: +0,0.03,40
120,Nov 13 2015 01: +0,0.03,37
121,Nov 14 2015 01: +0,0.03,45
122,Nov 15 2015 01: +0,0.03,47
123,Nov 16 2015 01: +0,0.03,51
124,Nov 17 2015 01: +0,0.03,31
125,Nov 18 2015 01: +0,0.03,33
126,Nov 19 2015 01: +0,0.03,32
127,Nov 20 2015 01: +0,0.03,40
128,Nov 21 2015 01: +0,0.03,56
129,Nov 22 2015 01: +0,0.03,58
130,Nov 23 2015 01: +0,0.031,52
131,Nov 24 2015 01: +0,0.032,48
132,Nov 25 2015 01: +0,0.03,44
133,Nov 26 2015 01: +0,0.03,39
134,Nov 27 2015 01: +0,0.03,48
135,Nov 28 2015 01: +0,0.03,72
136,Nov 29 2015 01: +0,0.03,58
137,Nov 30 2015 01: +0,0.03,49
138,Dec 01 2015 01: +0,0.03,39
139,Dec 02 2015 01: +0,0.03,49
140,Dec 03 2015 01: +0,0.03,41
141,Dec 04 2015 01: +0,0.03,28
142,Dec 05 2015 01: +0,0.03,47
143,Dec 06 2015 01: +0,0.03,54
144,Dec 07 2015 01: +0,0.03,40
145,Dec 08 2015 01: +0,0.03,41
146,Dec 09 2015 01: +0,0.03,28
147,Dec 10 2015 01: +0,0.03,33
148,Dec 11 2015 01: +0,0.03,46
149,Dec 12 2015 01: +0,0.03,48
150,Dec 13 2015 01: +0,0.03,66
151,Dec 14 2015 01: +0,0.03,39
152,Dec 15 2015 01: +0,0.03,36
153,Dec 16 2015 01: +0,0.03,37
154,Dec 17 2015 01: +0,0.03,28
155,Dec 18 2015 01: +0,0.03,23
156,Dec 19 2015 01: +0,0.03,46
157,Dec 20 2015 01: +0,0.03,46
158,Dec 21 2015 01: +0,0.03,41
159,Dec 22 2015 01: +0,0.03,56
160,Dec 23 2015 01: +0,0.03,64
161,Dec 24 2015 01: +0,0.03,57
162,Dec 25 2015 01: +0,0.03,58
163,Dec 26 2015 01: +0,0.03,65
164,Dec 27 2015 01: +0,0.03,55
165,Dec 28 2015 01: +0,0.03,67
166,Dec 29 2015 01: +0,0.03,65
167,Dec 30 2015 01: +0,0.03,84
168,Dec 31 2015 01: +0,0.03,72
169,Jan 01 2016 01: +0,0.03,84
170,Jan 02 2016 01: +0,0.03,94
171,Jan 03 2016 01: +0,0.03,83
172,Jan 04 2016 01: +0,0.03,85
173,Jan 05 2016 01: +0,0.03,49
174,Jan 06 2016 01: +0,0.03,58
175,Jan 07 2016 01: +0,0.03,77
176,Jan 08 2016 01: +0,0.032,68
177,Jan 09 2016 01: +0,0.03,92
178,Jan 10 2016 01: +0,0.037,108
179,Jan 11 2016 01: +0,0.034,92
180,Jan 12 2016 01: +0,0.033,72
181,Jan 13 2016 01: +0,0.032,52
182,Jan 14 2016 01: +0,0.034,74
183,Jan 15 2016 01: +0,0.03,75
184,Jan 16 2016 01: +0,0.036,96
185,Jan 17 2016 01: +0,0.03,80
186,Jan 18 2016 01: +0,0.031,64
187,Jan 19 2016 01: +0,0.035,72
188,Jan 20 2016 01: +0,0.03,48
189,Jan 21 2016 01: +0,0.032,55
190,Jan 22 2016 01: +0,0.036,82
191,Jan 23 2016 01: +0,0.031,92
192,Jan 24 2016 01: +0,0.031,80
193,Jan 25 2016 01: +0,0.037,76
194,Jan 26 2016 01: +0,0.03,53
195,Jan 27 2016 01: +0,0.031,72
196,Jan 28 2016 01: +0,0.033,76
197,Jan 29 2016 01: +0,0.03,68
198,Jan 30 2016 01: +0,0.03,66
199,Jan 31 2016 01: +0,0.034,87
200,Feb 01 2016 01: +0,0.035,74
201,Feb 02 2016 01: +0,0.033,69
202,Feb 03 2016 01: +0,0.03,59
203,Feb 04 2016 01: +0,0.034,90
204,Feb 05 2016 01: +0,0.035,73
205,Feb 06 2016 01: +0,0.03,117
206,Feb 07 2016 01: +0,0.035,103
207,Feb 08 2016 01: +0,0.037,103
208,Feb 09 2016 01: +0,0.037,109
209,Feb 10 2016 01: +0,0.037,96
210,Feb 11 2016 01: +0,0.035,97
211,Feb 12 2016 01: +0,0.034,117
212,Feb 13 2016 01: +0,0.036,121
213,Feb 14 2016 01: +0,0.036,115
214,Feb 15 2016 01: +0,0.037,87
215,Feb 16 2016 01: +0,0.041,85
216,Feb 17 2016 01: +0,0.039,75
217,Feb 18 2016 01: +0,0.03,113
218,Feb 19 2016 01: +0,0.032,91
219,Feb 20 2016 01: +0,0.031,100
220,Feb 21 2016 01: +0,0.036,85
221,Feb 22 2016 01: +0,0.03,81
222,Feb 23 2016 01: +0,0.032,79
223,Feb 24 2016 01: +0,0.04,14
224,Feb 25 2016 01: +0,0.03,82
225,Feb 26 2016 01: +0,0.037,90
226,Feb 27 2016 01: +0,0.034,101
227,Feb 28 2016 01: +0,0.03,79
228,Feb 29 2016 01: +0,0.03,55
229,Mar 01 2016 01: +0,0.03,57
230,Mar 02 2016 01: +0,0.03,45
231,Mar 03 2016 01: +0,0.03,53
232,Mar 04 2016 01: +0,0.037,56
233,Mar 05 2016 01: +0,0.034,83
234,Mar 06 2016 01: +0,0.038,98
235,Mar 07 2016 01: +0,0.042,62
236,Mar 08 2016 01: +0,0.031,50
237,Mar 09 2016 01: +0,0.037,44
238,Mar 10 2016 01: +0,0.043,40
239,Mar 11 2016 01: +0,0.045,51
240,Mar 12 2016 01: +0,0.045,50
241,Mar 13 2016 01: +0,0.046,54
242,Mar 14 2016 01: +0,0.046,43
243,Mar 15 2016 01: +0,0.046,27
244,Mar 16 2016 01: +0,0.046,39
245,Mar 17 2016 01: +0,0.039,38
