,time,price,volume
0,Jul 16 2015 01: +0,0.529,373
1,Jul 17 2015 01: +0,0.15,255
2,Jul 18 2015 01: +0,0.096,364
3,Jul 19 2015 01: +0,0.03,576
4,Jul 20 2015 01: +0,0.03,403
5,Jul 21 2015 01: +0,0.03,362
6,Jul 22 2015 01: +0,0.03,634
7,Jul 23 2015 01: +0,0.03,727
8,Jul 24 2015 01: +0,0.03,635
9,Jul 25 2015 01: +0,0.03,410
10,Jul 26 2015 01: +0,0.03,432
11,Jul 27 2015 01: +0,0.03,399
12,Jul 28 2015 01: +0,0.03,586
13,Jul 29 2015 01: +0,0.03,295
14,Jul 30 2015 01: +0,0.03,277
15,Jul 31 2015 01: +0,0.03,290
16,Aug 01 2015 01: +0,0.03,238
17,Aug 02 2015 01: +0,0.03,241
18,Aug 03 2015 01: +0,0.03,294
19,Aug 04 2015 01: +0,0.03,185
20,Aug 05 2015 01: +0,0.03,173
21,Aug 06 2015 01: +0,0.03,193
22,Aug 07 2015 01: +0,0.03,201
23,Aug 08 2015 01: +0,0.03,213
24,Aug 09 2015 01: +0,0.03,247
25,Aug 10 2015 01: +0,0.03,179
26,Aug 11 2015 01: +0,0.03,176
27,Aug 12 2015 01: +0,0.03,163
28,Aug 13 2015 01: +0,0.03,134
29,Aug 14 2015 01: +0,0.03,183
30,Aug 15 2015 01: +0,0.03,102
31,Aug 16 2015 01: +0,0.03,294
32,Aug 17 2015 01: +0,0.03,122
33,Aug 18 2015 01: +0,0.03,251
34,Aug 19 2015 01: +0,0.03,138
35,Aug 20 2015 01: +0,0.03,98
36,Aug 21 2015 01: +0,0.03,223
37,Aug 22 2015 01: +0,0.03,93
38,Aug 23 2015 01: +0,0.03,91
39,Aug 24 2015 01: +0,0.03,132
40,Aug 25 2015 01: +0,0.03,89
41,Aug 26 2015 01: +0,0.03,55
42,Aug 27 2015 01: +0,0.03,69
43,Aug 28 2015 01: +0,0.03,70
44,Aug 29 2015 01: +0,0.03,103
45,Aug 30 2015 01: +0,0.03,98
46,Aug 31 2015 01: +0,0.03,92
47,Sep 01 2015 01: +0,0.03,63
48,Sep 02 2015 01: +0,0.03,58
49,Sep 03 2015 01: +0,0.03,72
50,Sep 04 2015 01: +0,0.03,55
51,Sep 05 2015 01: +0,0.03,79
52,Sep 06 2015 01: +0,0.03,62
53,Sep 07 2015 01: +0,0.03,140
54,Sep 08 2015 01: +0,0.048,12075
55,Sep 09 2015 01: +0,0.074,865
56,Sep 10 2015 01: +0,0.054,594
57,Sep 11 2015 01: +0,0.054,629
58,Sep 12 2015 01: +0,0.03,117
59,Sep 13 2015 01: +0,0.03,219
60,Sep 14 2015 01: +0,0.03,60
61,Sep 15 2015 01: +0,0.03,85
62,Sep 16 2015 01: +0,0.03,134
63,Sep 17 2015 01: +0,0.03,86
64,Sep 18 2015 01: +0,0.03,113
65,Sep 19 2015 01: +0,0.03,87
66,Sep 20 2015 01: +0,0.03,180
67,Sep 21 2015 01: +0,0.03,47
68,Sep 22 2015 01: +0,0.03,58
69,Sep 23 2015 01: +0,0.03,52
70,Sep 24 2015 01: +0,0.03,65
71,Sep 25 2015 01: +0,0.03,37
72,Sep 26 2015 01: +0,0.03,92
73,Sep 27 2015 01: +0,0.03,76
74,Sep 28 2015 01: +0,0.03,112
75,Sep 29 2015 01: +0,0.03,23
76,Sep 30 2015 01: +0,0.03,34
77,Oct 01 2015 01: +0,0.03,73
78,Oct 02 2015 01: +0,0.03,59
79,Oct 03 2015 01: +0,0.03,49
80,Oct 04 2015 01: +0,0.03,34
81,Oct 05 2015 01: +0,0.03,46
82,Oct 06 2015 01: +0,0.03,49
83,Oct 07 2015 01: +0,0.03,52
84,Oct 08 2015 01: +0,0.03,35
85,Oct 09 2015 01: +0,0.03,55
86,Oct 10 2015 01: +0,0.03,45
87,Oct 11 2015 01: +0,0.03,81
88,Oct 12 2015 01: +0,0.03,127
89,Oct 13 2015 01: +0,0.03,56
90,Oct 14 2015 01: +0,0.03,42
91,Oct 15 2015 01: +0,0.03,47
92,Oct 16 2015 01: +0,0.03,47
93,Oct 17 2015 01: +0,0.03,60
94,Oct 18 2015 01: +0,0.03,55
95,Oct 19 2015 01: +0,0.03,33
96,Oct 20 2015 01: +0,0.03,63
97,Oct 21 2015 01: +0,0.03,47
98,Oct 22 2015 01: +0,0.03,114
99,Oct 23 2015 01: +0,0.03,88
100,Oct 24 2015 01: +0,0.03,65
101,Oct 25 2015 01: +0,0.03,102
102,Oct 26 2015 01: +0,0.03,58
103,Oct 27 2015 01: +0,0.03,54
104,Oct 28 2015 01: +0,0.03,72
105,Oct 29 2015 01: +0,0.03,44
106,Oct 30 2015 01: +0,0.03,61
107,Oct 31 2015 01: +0,0.03,83
108,Nov 01 2015 01: +0,0.03,80
109,Nov 02 2015 01: +0,0.03,65
110,Nov 03 2015 01: +0,0.03,1774
111,Nov 04 2015 01: +0,0.03,43
112,Nov 05 2015 01: +0,0.03,1027
113,Nov 06 2015 01: +0,0.03,65
114,Nov 07 2015 01: +0,0.03,58
115,Nov 08 2015 01: +0,0.03,73
116,Nov 09 2015 01: +0,0.03,53
117,Nov 10 2015 01: +0,0.03,28
118,Nov 11 2015 01: +0,0.03,60
119,Nov 12 2015 01: +0,0.03,37
120,Nov 13 2015 01: +0,0.03,50
121,Nov 14 2015 01: +0,0.03,58
122,Nov 15 2015 01: +0,0.03,45
123,Nov 16 2015 01: +0,0.03,49
124,Nov 17 2015 01: +0,0.03,66
125,Nov 18 2015 01: +0,0.03,55
126,Nov 19 2015 01: +0,0.03,35
127,Nov 20 2015 01: +0,0.03,47
128,Nov 21 2015 01: +0,0.03,55
129,Nov 22 2015 01: +0,0.03,45
130,Nov 23 2015 01: +0,0.03,57
131,Nov 24 2015 01: +0,0.03,41
132,Nov 25 2015 01: +0,0.03,45
133,Nov 26 2015 01: +0,0.03,36
134,Nov 27 2015 01: +0,0.03,72
135,Nov 28 2015 01: +0,0.03,83
136,Nov 29 2015 01: +0,0.03,79
137,Nov 30 2015 01: +0,0.03,61
138,Dec 01 2015 01: +0,0.03,52
139,Dec 02 2015 01: +0,0.03,40
140,Dec 03 2015 01: +0,0.03,31
141,Dec 04 2015 01: +0,0.03,46
142,Dec 05 2015 01: +0,0.03,73
143,Dec 06 2015 01: +0,0.03,193
144,Dec 07 2015 01: +0,0.03,45
145,Dec 08 2015 01: +0,0.03,55
146,Dec 09 2015 01: +0,0.03,40
147,Dec 10 2015 01: +0,0.03,61
148,Dec 11 2015 01: +0,0.03,41
149,Dec 12 2015 01: +0,0.03,51
150,Dec 13 2015 01: +0,0.03,67
151,Dec 14 2015 01: +0,0.03,99
152,Dec 15 2015 01: +0,0.03,49
153,Dec 16 2015 01: +0,0.03,39
154,Dec 17 2015 01: +0,0.03,46
155,Dec 18 2015 01: +0,0.03,51
156,Dec 19 2015 01: +0,0.03,62
157,Dec 20 2015 01: +0,0.03,61
158,Dec 21 2015 01: +0,0.03,106
159,Dec 22 2015 01: +0,0.03,64
160,Dec 23 2015 01: +0,0.03,70
