,time,price,volume
0,Jan 11 2019 01: +0,1.231,89
1,Jan 12 2019 01: +0,1.323,133
2,Jan 13 2019 01: +0,1.259,128
3,Jan 14 2019 01: +0,1.243,109
4,Jan 15 2019 01: +0,1.221,101
5,Jan 16 2019 01: +0,1.198,113
6,Jan 17 2019 01: +0,1.171,92
7,Jan 18 2019 01: +0,1.097,90
8,Jan 19 2019 01: +0,1.114,113
9,Jan 20 2019 01: +0,1.115,74
10,Jan 21 2019 01: +0,1.122,82
11,Jan 22 2019 01: +0,1.117,60
12,Jan 23 2019 01: +0,1.165,103
13,Jan 24 2019 01: +0,1.151,111
14,Jan 25 2019 01: +0,1.083,99
15,Jan 26 2019 01: +0,1.131,102
16,Jan 27 2019 01: +0,1.115,81
17,Jan 28 2019 01: +0,1.139,75
18,Jan 29 2019 01: +0,1.144,58
19,Jan 30 2019 01: +0,1.158,72
20,Jan 31 2019 01: +0,1.119,82
21,Feb 01 2019 01: +0,0.954,89
22,Feb 02 2019 01: +0,0.976,69
23,Feb 03 2019 01: +0,0.997,61
24,Feb 04 2019 01: +0,1.05,37
25,Feb 05 2019 01: +0,1.006,44
26,Feb 06 2019 01: +0,1.01,46
27,Feb 07 2019 01: +0,0.988,69
28,Feb 08 2019 01: +0,0.981,58
29,Feb 09 2019 01: +0,1.0,55
30,Feb 10 2019 01: +0,1.039,47
31,Feb 11 2019 01: +0,1.037,44
32,Feb 12 2019 01: +0,1.052,36
33,Feb 13 2019 01: +0,1.063,34
34,Feb 14 2019 01: +0,1.076,31
35,Feb 15 2019 01: +0,0.957,50
36,Feb 16 2019 01: +0,1.032,49
37,Feb 17 2019 01: +0,1.047,41
38,Feb 18 2019 01: +0,1.036,41
39,Feb 19 2019 01: +0,1.04,24
40,Feb 20 2019 01: +0,1.051,32
41,Feb 21 2019 01: +0,1.043,35
42,Feb 22 2019 01: +0,1.066,38
43,Feb 23 2019 01: +0,1.011,63
44,Feb 24 2019 01: +0,1.064,59
45,Feb 25 2019 01: +0,1.044,32
46,Feb 26 2019 01: +0,1.056,34
47,Feb 27 2019 01: +0,1.048,32
48,Feb 28 2019 01: +0,1.018,39
