,time,price,volume
0,Dec 17 2020 01: +0,1.61,76
1,Dec 18 2020 01: +0,1.147,337
2,Dec 19 2020 01: +0,1.08,296
3,Dec 20 2020 01: +0,1.1,309
4,Dec 21 2020 01: +0,1.088,301
5,Dec 22 2020 01: +0,1.155,225
6,Dec 23 2020 01: +0,1.095,201
7,Dec 24 2020 01: +0,1.138,256
8,Dec 25 2020 01: +0,1.298,312
9,Dec 26 2020 01: +0,1.347,223
10,Dec 27 2020 01: +0,1.538,208
11,Dec 28 2020 01: +0,1.811,208
12,Dec 29 2020 01: +0,2.013,190
13,Dec 30 2020 01: +0,1.767,176
14,Dec 31 2020 01: +0,1.809,150
15,Jan 01 2021 01: +0,1.81,164
16,Jan 02 2021 01: +0,1.849,208
17,Jan 03 2021 01: +0,1.796,205
18,Jan 04 2021 01: +0,1.849,205
19,Jan 05 2021 01: +0,2.655,209
20,Jan 06 2021 01: +0,2.838,152
21,Jan 07 2021 01: +0,3.178,308
22,Jan 08 2021 01: +0,4.664,264
23,Jan 09 2021 01: +0,4.854,213
24,Jan 10 2021 01: +0,4.652,206
25,Jan 11 2021 01: +0,4.792,173
26,Jan 12 2021 01: +0,4.522,175
27,Jan 13 2021 01: +0,4.554,167
28,Jan 14 2021 01: +0,4.661,148
29,Jan 15 2021 01: +0,4.03,198
30,Jan 16 2021 01: +0,5.103,175
31,Jan 17 2021 01: +0,5.357,159
32,Jan 18 2021 01: +0,5.382,151
33,Jan 19 2021 01: +0,5.388,124
34,Jan 20 2021 01: +0,5.439,130
35,Jan 21 2021 01: +0,5.473,135
36,Jan 22 2021 01: +0,4.521,172
37,Jan 23 2021 01: +0,5.014,143
38,Jan 24 2021 01: +0,5.001,141
39,Jan 25 2021 01: +0,5.03,141
40,Jan 26 2021 01: +0,4.66,217
41,Jan 27 2021 01: +0,4.483,131
42,Jan 28 2021 01: +0,4.19,145
43,Jan 29 2021 01: +0,4.325,218
44,Jan 30 2021 01: +0,4.392,148
45,Jan 31 2021 01: +0,4.513,142
46,Feb 01 2021 01: +0,4.525,168
47,Feb 02 2021 01: +0,4.53,121
48,Feb 03 2021 01: +0,4.424,122
49,Feb 04 2021 01: +0,4.502,142
50,Feb 05 2021 01: +0,4.213,149
51,Feb 06 2021 01: +0,3.992,118
52,Feb 07 2021 01: +0,4.506,113
53,Feb 08 2021 01: +0,4.532,100
54,Feb 09 2021 01: +0,4.364,89
55,Feb 10 2021 01: +0,4.755,92
56,Feb 11 2021 01: +0,4.563,119
57,Feb 12 2021 01: +0,4.271,138
58,Feb 13 2021 01: +0,4.394,112
59,Feb 14 2021 01: +0,4.577,99
60,Feb 15 2021 01: +0,4.624,134
61,Feb 16 2021 01: +0,4.751,95
62,Feb 17 2021 01: +0,4.378,99
63,Feb 18 2021 01: +0,4.369,112
64,Feb 19 2021 01: +0,4.587,185
65,Feb 20 2021 01: +0,4.639,134
66,Feb 21 2021 01: +0,4.885,104
67,Feb 22 2021 01: +0,4.483,97
68,Feb 23 2021 01: +0,4.762,98
69,Feb 24 2021 01: +0,4.743,97
70,Feb 25 2021 01: +0,4.522,80
71,Feb 26 2021 01: +0,4.546,116
72,Feb 27 2021 01: +0,4.527,95
73,Feb 28 2021 01: +0,4.466,93
74,Mar 01 2021 01: +0,4.174,103
75,Mar 02 2021 01: +0,4.257,64
76,Mar 03 2021 01: +0,4.23,61
77,Mar 04 2021 01: +0,4.104,102
78,Mar 05 2021 01: +0,3.949,74
79,Mar 06 2021 01: +0,4.008,103
80,Mar 07 2021 01: +0,4.336,87
81,Mar 08 2021 01: +0,4.257,79
82,Mar 09 2021 01: +0,4.362,86
83,Mar 10 2021 01: +0,4.236,94
84,Mar 11 2021 01: +0,4.063,68
85,Mar 12 2021 01: +0,4.261,82
86,Mar 13 2021 01: +0,4.197,70
87,Mar 14 2021 01: +0,4.383,90
88,Mar 15 2021 01: +0,4.327,70
89,Mar 16 2021 01: +0,4.107,79
90,Mar 17 2021 01: +0,3.961,81
91,Mar 18 2021 01: +0,3.936,113
92,Mar 19 2021 01: +0,4.154,143
93,Mar 20 2021 01: +0,4.086,118
94,Mar 21 2021 01: +0,4.202,107
95,Mar 22 2021 01: +0,4.2,66
96,Mar 23 2021 01: +0,4.288,71
97,Mar 24 2021 01: +0,4.18,88
98,Mar 25 2021 01: +0,4.154,92
99,Mar 26 2021 01: +0,4.45,124
100,Mar 27 2021 01: +0,4.696,93
101,Mar 28 2021 01: +0,4.456,109
102,Mar 29 2021 01: +0,4.751,68
103,Mar 30 2021 01: +0,4.982,67
104,Mar 31 2021 01: +0,4.959,62
105,Apr 01 2021 01: +0,4.961,74
106,Apr 02 2021 01: +0,5.123,65
107,Apr 03 2021 01: +0,4.977,66
108,Apr 04 2021 01: +0,5.207,109
109,Apr 05 2021 01: +0,5.571,70
110,Apr 06 2021 01: +0,5.347,52
111,Apr 07 2021 01: +0,5.127,53
112,Apr 08 2021 01: +0,5.05,69
113,Apr 09 2021 01: +0,4.785,76
114,Apr 10 2021 01: +0,4.031,86
115,Apr 11 2021 01: +0,4.007,74
116,Apr 12 2021 01: +0,4.048,66
117,Apr 13 2021 01: +0,3.917,49
118,Apr 14 2021 01: +0,4.055,6
119,Apr 14 2021 03: +0,4.167,1
120,Apr 14 2021 04: +0,4.16,1
121,Apr 14 2021 05: +0,4.02,3
122,Apr 14 2021 06: +0,4.09,1
123,Apr 14 2021 08: +0,3.76,2
124,Apr 14 2021 12: +0,3.702,1
125,Apr 14 2021 13: +0,3.726,2
126,Apr 14 2021 14: +0,3.618,4
127,Apr 14 2021 15: +0,3.913,6
128,Apr 14 2021 16: +0,3.469,4
129,Apr 14 2021 17: +0,4.1,4
130,Apr 14 2021 18: +0,4.145,2
131,Apr 14 2021 19: +0,3.972,1
132,Apr 14 2021 21: +0,3.97,3
133,Apr 14 2021 22: +0,3.3,5
134,Apr 14 2021 23: +0,3.41,3
135,Apr 15 2021 00: +0,3.64,4
136,Apr 15 2021 01: +0,4.1,5
137,Apr 15 2021 02: +0,4.19,5
138,Apr 15 2021 03: +0,3.811,2
139,Apr 15 2021 04: +0,4.55,3
140,Apr 15 2021 05: +0,4.593,1
141,Apr 15 2021 06: +0,4.103,1
142,Apr 15 2021 08: +0,4.386,1
143,Apr 15 2021 09: +0,3.646,2
144,Apr 15 2021 10: +0,4.358,2
145,Apr 15 2021 11: +0,4.586,2
146,Apr 15 2021 12: +0,4.452,2
147,Apr 15 2021 13: +0,4.326,2
148,Apr 15 2021 14: +0,4.413,4
149,Apr 15 2021 15: +0,4.144,2
150,Apr 15 2021 16: +0,4.096,2
151,Apr 15 2021 17: +0,4.569,6
152,Apr 15 2021 18: +0,4.6,3
153,Apr 15 2021 19: +0,4.598,3
154,Apr 15 2021 20: +0,4.495,1
155,Apr 15 2021 21: +0,4.55,2
156,Apr 15 2021 22: +0,4.045,2
157,Apr 15 2021 23: +0,4.03,3
158,Apr 16 2021 00: +0,3.47,5
159,Apr 16 2021 01: +0,3.67,4
160,Apr 16 2021 02: +0,3.735,4
161,Apr 16 2021 03: +0,3.461,3
162,Apr 16 2021 04: +0,3.65,3
163,Apr 16 2021 06: +0,3.455,4
164,Apr 16 2021 07: +0,3.451,3
165,Apr 16 2021 10: +0,2.228,2
166,Apr 16 2021 11: +0,3.33,1
167,Apr 16 2021 12: +0,3.246,1
168,Apr 16 2021 13: +0,3.303,2
169,Apr 16 2021 14: +0,3.267,3
170,Apr 16 2021 15: +0,3.339,3
171,Apr 16 2021 16: +0,3.34,2
172,Apr 16 2021 17: +0,3.34,9
173,Apr 16 2021 18: +0,3.434,5
174,Apr 16 2021 19: +0,3.345,2
175,Apr 16 2021 20: +0,3.62,3
176,Apr 16 2021 21: +0,3.64,3
177,Apr 16 2021 22: +0,3.65,5
178,Apr 16 2021 23: +0,3.945,6
179,Apr 17 2021 00: +0,4.17,6
180,Apr 17 2021 01: +0,4.53,2
181,Apr 17 2021 02: +0,4.41,1
182,Apr 17 2021 03: +0,4.423,2
183,Apr 17 2021 04: +0,4.205,2
184,Apr 17 2021 06: +0,3.694,2
185,Apr 17 2021 07: +0,4.397,2
186,Apr 17 2021 08: +0,4.445,2
187,Apr 17 2021 09: +0,4.446,4
188,Apr 17 2021 11: +0,4.406,1
189,Apr 17 2021 12: +0,4.407,2
190,Apr 17 2021 13: +0,4.06,1
191,Apr 17 2021 14: +0,4.144,2
192,Apr 17 2021 16: +0,3.77,1
193,Apr 17 2021 17: +0,3.958,4
194,Apr 17 2021 18: +0,3.839,2
195,Apr 17 2021 19: +0,3.82,1
196,Apr 17 2021 20: +0,4.26,10
197,Apr 17 2021 21: +0,4.408,3
198,Apr 17 2021 22: +0,4.39,1
199,Apr 17 2021 23: +0,4.4,1
200,Apr 18 2021 00: +0,4.489,3
201,Apr 18 2021 01: +0,4.492,4
202,Apr 18 2021 02: +0,4.485,4
203,Apr 18 2021 03: +0,4.535,2
204,Apr 18 2021 04: +0,4.52,2
205,Apr 18 2021 05: +0,4.45,1
206,Apr 18 2021 06: +0,4.48,1
207,Apr 18 2021 07: +0,3.33,2
208,Apr 18 2021 08: +0,3.967,4
209,Apr 18 2021 09: +0,3.952,1
210,Apr 18 2021 10: +0,4.518,5
211,Apr 18 2021 11: +0,4.281,1
212,Apr 18 2021 12: +0,4.345,3
213,Apr 18 2021 13: +0,4.484,2
214,Apr 18 2021 14: +0,3.94,3
215,Apr 18 2021 15: +0,4.51,3
216,Apr 18 2021 17: +0,3.506,1
217,Apr 18 2021 18: +0,4.051,3
218,Apr 18 2021 19: +0,4.137,3
219,Apr 18 2021 20: +0,3.844,3
220,Apr 18 2021 21: +0,4.016,6
221,Apr 18 2021 22: +0,4.02,1
222,Apr 18 2021 23: +0,4.047,2
223,Apr 19 2021 00: +0,3.99,1
224,Apr 19 2021 01: +0,4.137,3
225,Apr 19 2021 02: +0,4.195,4
226,Apr 19 2021 03: +0,4.39,2
227,Apr 19 2021 04: +0,4.454,1
228,Apr 19 2021 05: +0,4.293,2
229,Apr 19 2021 06: +0,4.44,1
230,Apr 19 2021 07: +0,4.45,3
231,Apr 19 2021 09: +0,3.823,1
232,Apr 19 2021 10: +0,4.336,3
233,Apr 19 2021 12: +0,4.08,1
234,Apr 19 2021 14: +0,4.073,4
235,Apr 19 2021 15: +0,4.324,4
236,Apr 19 2021 16: +0,4.186,2
237,Apr 19 2021 17: +0,3.498,1
238,Apr 19 2021 18: +0,3.649,2
239,Apr 19 2021 19: +0,3.131,1
240,Apr 19 2021 20: +0,3.94,1
