,time,price,volume
0,Oct 08 2020 01: +0,1.952,29
1,Oct 09 2020 01: +0,1.262,57
2,Oct 10 2020 01: +0,1.461,38
3,Oct 11 2020 01: +0,1.603,31
4,Oct 12 2020 01: +0,1.539,32
5,Oct 13 2020 01: +0,1.301,29
6,Oct 14 2020 01: +0,1.271,19
7,Oct 15 2020 01: +0,1.244,27
8,Oct 16 2020 01: +0,1.09,35
9,Oct 17 2020 01: +0,1.069,26
10,Oct 18 2020 01: +0,1.11,26
11,Oct 19 2020 01: +0,1.154,33
12,Oct 20 2020 01: +0,1.143,20
13,Oct 21 2020 01: +0,1.174,26
14,Oct 22 2020 01: +0,1.29,36
15,Oct 23 2020 01: +0,1.217,39
16,Oct 24 2020 01: +0,1.252,29
17,Oct 25 2020 01: +0,1.209,23
18,Oct 26 2020 01: +0,1.15,26
19,Oct 27 2020 01: +0,1.15,33
20,Oct 28 2020 01: +0,1.164,37
21,Oct 29 2020 01: +0,1.146,35
22,Oct 30 2020 01: +0,1.18,55
23,Oct 31 2020 01: +0,1.19,31
24,Nov 01 2020 01: +0,1.23,36
25,Nov 02 2020 01: +0,1.123,36
26,Nov 03 2020 01: +0,1.21,39
27,Nov 04 2020 01: +0,1.187,39
28,Nov 05 2020 01: +0,1.165,42
29,Nov 06 2020 01: +0,1.127,44
30,Nov 07 2020 01: +0,1.079,31
31,Nov 08 2020 01: +0,1.076,27
32,Nov 09 2020 01: +0,1.051,43
33,Nov 10 2020 01: +0,1.093,29
34,Nov 11 2020 01: +0,1.06,34
35,Nov 12 2020 01: +0,1.066,38
36,Nov 13 2020 01: +0,1.085,43
37,Nov 14 2020 01: +0,1.099,24
38,Nov 15 2020 01: +0,1.081,34
39,Nov 16 2020 01: +0,1.068,35
40,Nov 17 2020 01: +0,1.038,29
41,Nov 18 2020 01: +0,1.059,46
42,Nov 19 2020 01: +0,1.062,43
43,Nov 20 2020 01: +0,0.988,33
44,Nov 21 2020 01: +0,1.128,25
45,Nov 22 2020 01: +0,1.049,34
46,Nov 23 2020 01: +0,0.933,24
47,Nov 24 2020 01: +0,1.029,21
48,Nov 25 2020 01: +0,0.966,31
49,Nov 26 2020 01: +0,0.931,47
50,Nov 27 2020 01: +0,0.922,42
51,Nov 28 2020 01: +0,0.952,40
52,Nov 29 2020 01: +0,0.989,44
53,Nov 30 2020 01: +0,1.016,28
54,Dec 01 2020 01: +0,1.073,46
55,Dec 02 2020 01: +0,1.088,25
56,Dec 03 2020 01: +0,1.047,42
57,Dec 04 2020 01: +0,1.013,44
58,Dec 05 2020 01: +0,0.956,45
59,Dec 06 2020 01: +0,0.992,27
60,Dec 07 2020 01: +0,1.037,26
61,Dec 08 2020 01: +0,0.96,28
62,Dec 09 2020 01: +0,0.968,29
63,Dec 10 2020 01: +0,1.027,35
64,Dec 11 2020 01: +0,0.923,26
65,Dec 12 2020 01: +0,0.934,27
66,Dec 13 2020 01: +0,0.952,31
67,Dec 14 2020 01: +0,1.099,29
68,Dec 15 2020 01: +0,1.039,30
69,Dec 16 2020 01: +0,1.007,30
70,Dec 17 2020 01: +0,1.068,30
