,time,price,volume
0,Mar 16 2017 01: +0,1.663,31
1,Mar 17 2017 01: +0,1.655,34
2,Mar 18 2017 01: +0,1.62,37
3,Mar 19 2017 01: +0,1.554,28
4,Mar 20 2017 01: +0,1.545,37
5,Mar 21 2017 01: +0,1.536,33
6,Mar 22 2017 01: +0,1.524,17
7,Mar 23 2017 01: +0,1.559,36
8,Mar 24 2017 01: +0,1.713,15
9,Mar 25 2017 01: +0,1.864,21
10,Mar 26 2017 01: +0,2.005,13
11,Mar 27 2017 01: +0,2.082,14
12,Mar 28 2017 01: +0,2.369,8
13,Mar 29 2017 01: +0,2.578,7
14,Mar 30 2017 01: +0,3.168,6
15,Mar 31 2017 01: +0,5.357,1
16,Apr 06 2017 01: +0,1.9,9
17,Apr 07 2017 01: +0,1.286,37
18,Apr 08 2017 01: +0,1.189,43
19,Apr 09 2017 01: +0,1.108,31
20,Apr 10 2017 01: +0,1.174,42
21,Apr 11 2017 01: +0,1.245,30
22,Apr 12 2017 01: +0,1.202,22
23,Apr 13 2017 01: +0,1.315,59
24,Apr 14 2017 01: +0,1.292,32
25,Apr 15 2017 01: +0,1.361,23
26,Apr 16 2017 01: +0,1.373,27
27,Apr 17 2017 01: +0,1.308,23
28,Apr 18 2017 01: +0,1.315,24
29,Apr 19 2017 01: +0,1.318,23
30,Apr 20 2017 01: +0,1.24,26
31,Apr 21 2017 01: +0,1.445,37
32,Apr 22 2017 01: +0,1.408,38
33,Apr 23 2017 01: +0,1.363,26
34,Apr 24 2017 01: +0,1.388,35
35,Apr 25 2017 01: +0,1.603,24
36,Apr 26 2017 01: +0,1.579,17
37,Apr 27 2017 01: +0,1.565,25
38,Apr 28 2017 01: +0,1.476,22
39,Apr 29 2017 01: +0,1.569,30
40,Apr 30 2017 01: +0,1.639,30
41,May 01 2017 01: +0,1.655,27
42,May 02 2017 01: +0,1.666,21
43,May 03 2017 01: +0,1.612,14
44,May 04 2017 01: +0,1.531,16
45,May 05 2017 01: +0,1.542,23
46,May 06 2017 01: +0,1.684,31
47,May 07 2017 01: +0,1.645,27
48,May 08 2017 01: +0,1.55,26
49,May 09 2017 01: +0,1.702,20
50,May 10 2017 01: +0,1.629,21
51,May 11 2017 01: +0,1.69,13
52,May 12 2017 01: +0,1.654,32
53,May 13 2017 01: +0,1.729,34
54,May 14 2017 01: +0,1.689,18
55,May 15 2017 01: +0,1.633,28
56,May 16 2017 01: +0,1.655,22
57,May 17 2017 01: +0,1.68,19
58,May 18 2017 01: +0,1.759,23
59,May 19 2017 01: +0,1.667,19
60,May 20 2017 01: +0,1.759,30
61,May 21 2017 01: +0,1.837,15
62,May 22 2017 01: +0,1.805,14
63,May 23 2017 01: +0,1.81,17
64,May 24 2017 01: +0,1.453,16
65,May 25 2017 01: +0,1.385,20
66,May 26 2017 01: +0,1.425,18
67,May 27 2017 01: +0,1.381,26
68,May 28 2017 01: +0,1.514,27
69,May 29 2017 01: +0,1.559,20
70,May 30 2017 01: +0,1.401,19
71,May 31 2017 01: +0,1.528,18
72,Jun 01 2017 01: +0,1.518,24
73,Jun 02 2017 01: +0,1.355,10
74,Jun 03 2017 01: +0,1.514,21
75,Jun 04 2017 01: +0,1.521,14
76,Jun 05 2017 01: +0,1.488,19
77,Jun 06 2017 01: +0,1.576,15
78,Jun 07 2017 01: +0,1.56,18
79,Jun 08 2017 01: +0,1.45,13
80,Jun 09 2017 01: +0,1.318,17
81,Jun 10 2017 01: +0,1.586,30
82,Jun 11 2017 01: +0,1.688,14
83,Jun 12 2017 01: +0,1.719,14
84,Jun 13 2017 01: +0,1.537,13
85,Jun 14 2017 01: +0,1.681,13
86,Jun 15 2017 01: +0,1.59,17
87,Jun 16 2017 01: +0,1.563,17
88,Jun 17 2017 01: +0,1.494,12
89,Jun 18 2017 01: +0,1.435,9
90,Jun 19 2017 01: +0,1.404,11
91,Jun 20 2017 01: +0,1.346,13
92,Jun 21 2017 01: +0,1.288,14
93,Jun 22 2017 01: +0,1.1,17
94,Jun 23 2017 01: +0,1.079,23
95,Jun 24 2017 01: +0,1.308,21
96,Jun 25 2017 01: +0,1.189,12
97,Jun 26 2017 01: +0,1.275,13
98,Jun 27 2017 01: +0,1.051,12
99,Jun 28 2017 01: +0,1.253,19
100,Jun 29 2017 01: +0,1.226,16
101,Jun 30 2017 01: +0,1.396,12
102,Jul 01 2017 01: +0,1.289,14
103,Jul 02 2017 01: +0,1.263,12
104,Jul 03 2017 01: +0,1.267,12
105,Jul 04 2017 01: +0,1.284,12
106,Jul 05 2017 01: +0,1.254,17
107,Jul 06 2017 01: +0,1.412,24
108,Jul 07 2017 01: +0,1.481,21
109,Jul 08 2017 01: +0,1.574,23
110,Jul 09 2017 01: +0,1.625,16
111,Jul 10 2017 01: +0,1.617,20
112,Jul 11 2017 01: +0,1.727,15
113,Jul 12 2017 01: +0,1.751,17
114,Jul 13 2017 01: +0,1.697,16
115,Jul 14 2017 01: +0,1.803,17
116,Jul 15 2017 01: +0,1.857,9
117,Jul 16 2017 01: +0,1.728,13
118,Jul 17 2017 01: +0,1.682,17
119,Jul 18 2017 01: +0,1.763,16
120,Jul 19 2017 01: +0,1.904,15
121,Jul 20 2017 01: +0,1.563,8
122,Jul 21 2017 01: +0,1.45,16
123,Jul 22 2017 01: +0,1.662,16
124,Jul 23 2017 01: +0,1.484,11
125,Jul 24 2017 01: +0,1.641,14
126,Jul 25 2017 01: +0,1.534,10
127,Jul 26 2017 01: +0,1.622,19
128,Jul 27 2017 01: +0,2.053,11
129,Jul 28 2017 01: +0,1.697,9
130,Jul 29 2017 01: +0,1.522,13
131,Jul 30 2017 01: +0,1.661,14
132,Jul 31 2017 01: +0,1.691,15
133,Aug 01 2017 01: +0,1.618,7
134,Aug 02 2017 01: +0,1.578,9
135,Aug 03 2017 01: +0,1.52,12
136,Aug 04 2017 01: +0,1.599,14
137,Aug 05 2017 01: +0,1.674,9
138,Aug 06 2017 01: +0,1.579,11
139,Aug 07 2017 01: +0,1.756,12
140,Aug 08 2017 01: +0,1.495,9
141,Aug 09 2017 01: +0,1.623,8
142,Aug 10 2017 01: +0,1.743,13
143,Aug 11 2017 01: +0,1.598,13
144,Aug 12 2017 01: +0,1.599,5
145,Aug 13 2017 01: +0,1.437,9
146,Aug 14 2017 01: +0,1.215,9
147,Aug 15 2017 01: +0,1.329,15
148,Aug 16 2017 01: +0,1.398,9
149,Aug 17 2017 01: +0,1.391,13
150,Aug 18 2017 01: +0,1.492,12
151,Aug 19 2017 01: +0,1.526,15
152,Aug 20 2017 01: +0,1.413,20
153,Aug 21 2017 01: +0,1.631,9
154,Aug 22 2017 01: +0,1.526,14
155,Aug 23 2017 01: +0,1.549,9
156,Aug 24 2017 01: +0,1.419,12
157,Aug 25 2017 01: +0,1.583,9
158,Aug 26 2017 01: +0,1.36,12
159,Aug 27 2017 01: +0,1.308,12
160,Aug 28 2017 01: +0,1.267,12
161,Aug 29 2017 01: +0,1.418,7
162,Aug 30 2017 01: +0,1.315,10
163,Aug 31 2017 01: +0,1.34,10
164,Sep 01 2017 01: +0,1.286,5
165,Sep 02 2017 01: +0,1.302,12
166,Sep 03 2017 01: +0,1.351,15
167,Sep 04 2017 01: +0,1.205,9
168,Sep 05 2017 01: +0,1.209,11
169,Sep 06 2017 01: +0,1.27,7
170,Sep 07 2017 01: +0,1.159,10
171,Sep 08 2017 01: +0,1.258,9
172,Sep 09 2017 01: +0,1.323,15
173,Sep 10 2017 01: +0,1.408,9
174,Sep 11 2017 01: +0,1.287,11
175,Sep 12 2017 01: +0,1.305,10
176,Sep 13 2017 01: +0,1.396,7
177,Sep 14 2017 01: +0,1.29,7
178,Sep 15 2017 01: +0,1.229,15
179,Sep 16 2017 01: +0,1.32,21
180,Sep 17 2017 01: +0,1.373,10
181,Sep 18 2017 01: +0,1.281,9
182,Sep 19 2017 01: +0,1.363,5
183,Sep 20 2017 01: +0,1.354,7
184,Sep 21 2017 01: +0,1.365,18
185,Sep 22 2017 01: +0,1.415,12
186,Sep 23 2017 01: +0,1.473,15
187,Sep 24 2017 01: +0,1.543,11
