,time,price,volume
0,Aug 08 2020 01: +0,2.08,9
1,Aug 09 2020 01: +0,1.416,7
2,Aug 10 2020 01: +0,1.245,7
3,Aug 11 2020 01: +0,1.072,7
4,Aug 12 2020 01: +0,1.269,16
5,Aug 13 2020 01: +0,1.126,5
6,Aug 14 2020 01: +0,0.837,11
7,Aug 15 2020 01: +0,0.854,4
8,Aug 16 2020 01: +0,0.773,13
9,Aug 17 2020 01: +0,0.762,9
10,Aug 18 2020 01: +0,0.763,8
11,Aug 19 2020 01: +0,0.786,7
12,Aug 20 2020 01: +0,0.879,2
13,Aug 21 2020 01: +0,0.664,8
14,Aug 22 2020 01: +0,0.737,3
15,Aug 23 2020 01: +0,0.692,10
16,Aug 24 2020 01: +0,0.707,10
17,Aug 25 2020 01: +0,0.718,5
18,Aug 26 2020 01: +0,0.58,7
19,Aug 27 2020 01: +0,0.623,9
20,Aug 28 2020 01: +0,0.666,7
21,Aug 29 2020 01: +0,0.62,6
22,Aug 30 2020 01: +0,0.585,10
23,Aug 31 2020 01: +0,0.495,21
24,Sep 01 2020 01: +0,0.666,7
25,Sep 02 2020 01: +0,0.678,7
26,Sep 03 2020 01: +0,0.632,8
27,Sep 04 2020 01: +0,0.556,7
28,Sep 05 2020 01: +0,0.601,7
29,Sep 06 2020 01: +0,0.649,5
30,Sep 07 2020 01: +0,0.635,5
31,Sep 08 2020 01: +0,0.623,6
32,Sep 09 2020 01: +0,0.578,5
33,Sep 10 2020 01: +0,0.553,8
34,Sep 11 2020 01: +0,0.636,2
35,Sep 12 2020 01: +0,0.525,8
36,Sep 13 2020 01: +0,0.506,10
37,Sep 14 2020 01: +0,0.572,4
38,Sep 15 2020 01: +0,0.505,11
39,Sep 16 2020 01: +0,0.489,13
40,Sep 17 2020 01: +0,0.503,9
41,Sep 18 2020 01: +0,0.475,10
42,Sep 19 2020 01: +0,0.468,12
43,Sep 20 2020 01: +0,0.454,10
44,Sep 21 2020 01: +0,0.477,6
45,Sep 22 2020 01: +0,0.493,8
46,Sep 23 2020 01: +0,0.494,12
47,Sep 24 2020 01: +0,0.423,20
48,Sep 25 2020 01: +0,0.42,20
49,Sep 26 2020 01: +0,0.462,11
50,Sep 27 2020 01: +0,0.448,15
51,Sep 28 2020 01: +0,0.477,6
52,Sep 29 2020 01: +0,0.445,2
53,Sep 30 2020 01: +0,0.426,12
54,Oct 01 2020 01: +0,0.456,13
55,Oct 02 2020 01: +0,0.482,14
56,Oct 03 2020 01: +0,0.512,10
57,Oct 04 2020 01: +0,0.427,7
58,Oct 05 2020 01: +0,0.496,5
59,Oct 06 2020 01: +0,0.481,6
60,Oct 07 2020 01: +0,0.475,6
61,Oct 08 2020 01: +0,0.394,8
62,Oct 09 2020 01: +0,0.446,12
63,Oct 10 2020 01: +0,0.49,9
64,Oct 11 2020 01: +0,0.543,9
65,Oct 12 2020 01: +0,0.551,3
66,Oct 13 2020 01: +0,0.527,6
67,Oct 14 2020 01: +0,0.513,5
68,Oct 15 2020 01: +0,0.526,5
69,Oct 16 2020 01: +0,0.529,4
70,Oct 17 2020 01: +0,0.423,13
71,Oct 18 2020 01: +0,0.451,9
72,Oct 19 2020 01: +0,0.456,8
73,Oct 20 2020 01: +0,0.461,9
74,Oct 21 2020 01: +0,0.527,16
75,Oct 22 2020 01: +0,0.521,5
76,Oct 23 2020 01: +0,0.489,4
77,Oct 24 2020 01: +0,0.49,5
78,Oct 25 2020 01: +0,0.537,5
79,Oct 26 2020 01: +0,0.411,4
80,Oct 27 2020 01: +0,0.502,7
81,Oct 28 2020 01: +0,0.541,9
82,Oct 29 2020 01: +0,0.475,6
83,Oct 30 2020 01: +0,0.519,6
84,Oct 31 2020 01: +0,0.483,5
85,Nov 01 2020 01: +0,0.547,7
86,Nov 02 2020 01: +0,0.498,6
87,Nov 03 2020 01: +0,0.514,6
88,Nov 04 2020 01: +0,0.499,6
89,Nov 05 2020 01: +0,0.539,10
90,Nov 06 2020 01: +0,0.466,11
91,Nov 07 2020 01: +0,0.579,9
92,Nov 08 2020 01: +0,0.62,5
93,Nov 09 2020 01: +0,0.507,11
94,Nov 10 2020 01: +0,0.512,8
95,Nov 11 2020 01: +0,0.51,3
96,Nov 12 2020 01: +0,0.537,7
97,Nov 13 2020 01: +0,0.521,11
98,Nov 14 2020 01: +0,0.541,12
99,Nov 15 2020 01: +0,0.553,9
100,Nov 16 2020 01: +0,0.509,5
101,Nov 17 2020 01: +0,0.555,2
102,Nov 18 2020 01: +0,0.476,12
103,Nov 19 2020 01: +0,0.499,10
104,Nov 20 2020 01: +0,0.544,3
105,Nov 21 2020 01: +0,0.502,12
106,Nov 22 2020 01: +0,0.562,9
107,Nov 23 2020 01: +0,0.573,2
108,Nov 24 2020 01: +0,0.543,7
109,Nov 25 2020 01: +0,0.545,5
110,Nov 26 2020 01: +0,0.518,13
111,Nov 27 2020 01: +0,0.492,11
112,Nov 28 2020 01: +0,0.467,8
113,Nov 29 2020 01: +0,0.529,5
114,Nov 30 2020 01: +0,0.577,8
115,Dec 01 2020 01: +0,0.559,3
116,Dec 02 2020 01: +0,0.536,6
117,Dec 03 2020 01: +0,0.524,11
118,Dec 04 2020 01: +0,0.457,16
119,Dec 05 2020 01: +0,0.475,15
120,Dec 06 2020 01: +0,0.443,4
121,Dec 07 2020 01: +0,0.507,11
122,Dec 08 2020 01: +0,0.544,7
123,Dec 09 2020 01: +0,0.545,8
124,Dec 10 2020 01: +0,0.522,7
125,Dec 11 2020 01: +0,0.512,8
126,Dec 12 2020 01: +0,0.447,14
127,Dec 13 2020 01: +0,0.519,12
128,Dec 14 2020 01: +0,0.511,10
129,Dec 15 2020 01: +0,0.581,4
130,Dec 16 2020 01: +0,0.521,6
131,Dec 17 2020 01: +0,0.537,9
132,Dec 18 2020 01: +0,0.53,5
133,Dec 19 2020 01: +0,0.444,13
134,Dec 20 2020 01: +0,0.56,12
135,Dec 21 2020 01: +0,0.588,17
136,Dec 22 2020 01: +0,0.668,5
137,Dec 23 2020 01: +0,0.591,7
138,Dec 24 2020 01: +0,0.621,11
139,Dec 25 2020 01: +0,0.66,6
140,Dec 26 2020 01: +0,0.556,14
141,Dec 27 2020 01: +0,0.558,20
142,Dec 28 2020 01: +0,0.528,16
143,Dec 29 2020 01: +0,0.626,18
144,Dec 30 2020 01: +0,0.573,11
145,Dec 31 2020 01: +0,0.621,15
146,Jan 01 2021 01: +0,0.644,14
147,Jan 02 2021 01: +0,0.682,17
148,Jan 03 2021 01: +0,1.097,5
149,Jan 04 2021 01: +0,0.829,8
150,Jan 05 2021 01: +0,0.76,10
151,Jan 06 2021 01: +0,0.731,19
152,Jan 07 2021 01: +0,0.751,19
153,Jan 08 2021 01: +0,0.742,28
154,Jan 09 2021 01: +0,0.857,17
155,Jan 10 2021 01: +0,1.036,23
156,Jan 11 2021 01: +0,1.007,15
157,Jan 12 2021 01: +0,1.059,13
158,Jan 13 2021 01: +0,1.038,10
159,Jan 14 2021 01: +0,1.025,21
160,Jan 15 2021 01: +0,1.013,33
161,Jan 16 2021 01: +0,1.218,18
162,Jan 17 2021 01: +0,1.253,13
163,Jan 18 2021 01: +0,1.264,15
164,Jan 19 2021 01: +0,1.557,7
165,Jan 20 2021 01: +0,1.309,21
