,time,price,volume
0,Oct 01 2020 01: +0,1.772,20
1,Oct 02 2020 01: +0,1.277,62
2,Oct 03 2020 01: +0,1.953,50
3,Oct 04 2020 01: +0,1.789,39
4,Oct 05 2020 01: +0,1.534,51
5,Oct 06 2020 01: +0,1.545,44
6,Oct 07 2020 01: +0,1.503,37
7,Oct 08 2020 01: +0,1.619,29
8,Oct 09 2020 01: +0,0.968,65
9,Oct 10 2020 01: +0,1.269,44
10,Oct 11 2020 01: +0,1.351,33
11,Oct 12 2020 01: +0,1.709,30
12,Oct 13 2020 01: +0,1.871,43
13,Oct 14 2020 01: +0,1.925,32
14,Oct 15 2020 01: +0,1.762,33
15,Oct 16 2020 01: +0,1.779,39
16,Oct 17 2020 01: +0,1.69,40
17,Oct 18 2020 01: +0,1.953,34
18,Oct 19 2020 01: +0,1.738,22
19,Oct 20 2020 01: +0,1.619,25
20,Oct 21 2020 01: +0,1.65,45
21,Oct 22 2020 01: +0,1.691,33
22,Oct 23 2020 01: +0,1.779,38
23,Oct 24 2020 01: +0,1.742,34
24,Oct 25 2020 01: +0,1.796,30
25,Oct 26 2020 01: +0,1.899,44
26,Oct 27 2020 01: +0,1.823,30
27,Oct 28 2020 01: +0,1.844,39
28,Oct 29 2020 01: +0,1.858,25
29,Oct 30 2020 01: +0,1.778,39
30,Oct 31 2020 01: +0,1.89,37
31,Nov 01 2020 01: +0,1.817,24
32,Nov 02 2020 01: +0,1.948,20
33,Nov 03 2020 01: +0,1.897,27
34,Nov 04 2020 01: +0,1.993,25
35,Nov 05 2020 01: +0,2.303,44
36,Nov 06 2020 01: +0,2.474,36
37,Nov 07 2020 01: +0,1.921,26
38,Nov 08 2020 01: +0,2.269,31
39,Nov 09 2020 01: +0,2.356,32
40,Nov 10 2020 01: +0,2.397,30
41,Nov 11 2020 01: +0,2.387,26
42,Nov 12 2020 01: +0,2.359,34
43,Nov 13 2020 01: +0,2.404,39
44,Nov 14 2020 01: +0,2.312,23
45,Nov 15 2020 01: +0,2.615,23
46,Nov 16 2020 01: +0,2.622,17
47,Nov 17 2020 01: +0,2.574,24
48,Nov 18 2020 01: +0,2.445,24
49,Nov 19 2020 01: +0,2.351,27
50,Nov 20 2020 01: +0,2.295,33
51,Nov 21 2020 01: +0,2.39,26
52,Nov 22 2020 01: +0,2.189,25
53,Nov 23 2020 01: +0,2.354,28
54,Nov 24 2020 01: +0,2.213,28
55,Nov 25 2020 01: +0,2.179,23
56,Nov 26 2020 01: +0,2.199,26
57,Nov 27 2020 01: +0,1.948,32
58,Nov 28 2020 01: +0,2.166,36
59,Nov 29 2020 01: +0,2.085,28
60,Nov 30 2020 01: +0,2.192,27
61,Dec 01 2020 01: +0,2.105,22
62,Dec 02 2020 01: +0,2.124,28
63,Dec 03 2020 01: +0,2.096,29
64,Dec 04 2020 01: +0,1.771,27
65,Dec 05 2020 01: +0,1.892,26
66,Dec 06 2020 01: +0,1.975,25
67,Dec 07 2020 01: +0,1.986,26
68,Dec 08 2020 01: +0,1.9,27
69,Dec 09 2020 01: +0,1.885,30
70,Dec 10 2020 01: +0,1.918,33
71,Dec 11 2020 01: +0,1.887,30
72,Dec 12 2020 01: +0,1.958,35
73,Dec 13 2020 01: +0,2.019,23
74,Dec 14 2020 01: +0,2.05,27
75,Dec 15 2020 01: +0,1.948,20
76,Dec 16 2020 01: +0,1.898,30
77,Dec 17 2020 01: +0,1.801,26
78,Dec 18 2020 01: +0,1.816,27
79,Dec 19 2020 01: +0,1.837,28
80,Dec 20 2020 01: +0,1.654,60
81,Dec 21 2020 01: +0,1.392,65
82,Dec 22 2020 01: +0,1.471,25
83,Dec 23 2020 01: +0,1.425,37
84,Dec 24 2020 01: +0,1.826,47
85,Dec 25 2020 01: +0,1.898,51
86,Dec 26 2020 01: +0,2.071,36
87,Dec 27 2020 01: +0,2.269,48
88,Dec 28 2020 01: +0,2.386,57
89,Dec 29 2020 01: +0,2.456,34
90,Dec 30 2020 01: +0,2.551,46
