,time,price,volume
0,Feb 10 2017 01: +0,29.34,1
1,Feb 12 2017 01: +0,23.645,2
2,Feb 14 2017 01: +0,13.66,2
3,Feb 16 2017 01: +0,1.979,96
4,Feb 17 2017 01: +0,1.912,109
5,Feb 18 2017 01: +0,2.032,102
6,Feb 19 2017 01: +0,2.003,132
7,Feb 20 2017 01: +0,1.98,96
8,Feb 21 2017 01: +0,1.955,75
9,Feb 22 2017 01: +0,1.899,98
10,Feb 23 2017 01: +0,1.933,109
11,Feb 24 2017 01: +0,1.927,115
12,Feb 25 2017 01: +0,1.933,76
13,Feb 26 2017 01: +0,2.033,96
14,Feb 27 2017 01: +0,1.991,56
15,Feb 28 2017 01: +0,1.995,59
16,Mar 01 2017 01: +0,1.892,48
17,Mar 02 2017 01: +0,1.747,88
18,Mar 03 2017 01: +0,1.913,79
19,Mar 04 2017 01: +0,2.014,70
20,Mar 05 2017 01: +0,2.061,82
21,Mar 06 2017 01: +0,2.161,68
22,Mar 07 2017 01: +0,2.169,36
23,Mar 08 2017 01: +0,2.096,56
24,Mar 09 2017 01: +0,2.014,63
25,Mar 10 2017 01: +0,2.08,86
26,Mar 11 2017 01: +0,2.254,78
27,Mar 12 2017 01: +0,2.176,73
28,Mar 13 2017 01: +0,1.937,43
29,Mar 14 2017 01: +0,2.205,48
30,Mar 15 2017 01: +0,2.176,43
31,Mar 16 2017 01: +0,2.09,66
32,Mar 17 2017 01: +0,2.129,61
33,Mar 18 2017 01: +0,2.125,76
34,Mar 19 2017 01: +0,2.271,60
35,Mar 20 2017 01: +0,2.245,52
36,Mar 21 2017 01: +0,2.166,43
37,Mar 22 2017 01: +0,2.195,41
38,Mar 23 2017 01: +0,2.357,37
39,Mar 24 2017 01: +0,2.946,34
40,Mar 25 2017 01: +0,4.134,11
41,Mar 26 2017 01: +0,5.793,5
42,Mar 27 2017 01: +0,4.282,2
43,Mar 28 2017 01: +0,5.067,3
44,Mar 29 2017 01: +0,3.366,3
45,Mar 30 2017 01: +0,10.082,2
46,Mar 31 2017 01: +0,8.603,3
47,Apr 01 2017 01: +0,1.935,1
48,Apr 02 2017 01: +0,2.33,1
49,Apr 03 2017 01: +0,2.325,1
50,Apr 04 2017 01: +0,2.082,1
51,Apr 06 2017 01: +0,2.148,22
52,Apr 07 2017 01: +0,1.859,83
53,Apr 08 2017 01: +0,1.911,80
54,Apr 09 2017 01: +0,2.075,41
55,Apr 10 2017 01: +0,2.009,34
56,Apr 11 2017 01: +0,2.016,40
57,Apr 12 2017 01: +0,2.159,37
58,Apr 13 2017 01: +0,1.923,71
59,Apr 14 2017 01: +0,1.737,80
60,Apr 15 2017 01: +0,1.859,50
61,Apr 16 2017 01: +0,2.03,45
62,Apr 17 2017 01: +0,1.831,49
63,Apr 18 2017 01: +0,2.049,50
64,Apr 19 2017 01: +0,2.094,31
65,Apr 20 2017 01: +0,2.034,38
66,Apr 21 2017 01: +0,2.017,53
67,Apr 22 2017 01: +0,2.107,56
68,Apr 23 2017 01: +0,2.009,45
69,Apr 24 2017 01: +0,2.009,33
70,Apr 25 2017 01: +0,2.049,33
71,Apr 26 2017 01: +0,1.939,27
72,Apr 27 2017 01: +0,1.868,38
73,Apr 28 2017 01: +0,1.765,39
74,Apr 29 2017 01: +0,1.901,44
75,Apr 30 2017 01: +0,1.821,34
76,May 01 2017 01: +0,1.879,39
77,May 02 2017 01: +0,1.819,28
78,May 03 2017 01: +0,1.599,26
79,May 04 2017 01: +0,1.497,37
80,May 05 2017 01: +0,1.57,35
81,May 06 2017 01: +0,1.649,37
82,May 07 2017 01: +0,1.59,34
83,May 08 2017 01: +0,1.575,35
84,May 09 2017 01: +0,1.595,30
85,May 10 2017 01: +0,1.619,37
86,May 11 2017 01: +0,1.587,29
87,May 12 2017 01: +0,1.573,31
88,May 13 2017 01: +0,1.719,36
89,May 14 2017 01: +0,1.844,30
90,May 15 2017 01: +0,1.683,32
91,May 16 2017 01: +0,1.493,24
92,May 17 2017 01: +0,1.648,30
93,May 18 2017 01: +0,1.686,32
94,May 19 2017 01: +0,1.624,35
95,May 20 2017 01: +0,1.891,40
96,May 21 2017 01: +0,1.768,24
97,May 22 2017 01: +0,1.818,38
98,May 23 2017 01: +0,1.732,34
99,May 24 2017 01: +0,1.771,33
100,May 25 2017 01: +0,1.52,32
101,May 26 2017 01: +0,1.681,27
102,May 27 2017 01: +0,1.528,42
103,May 28 2017 01: +0,1.709,49
104,May 29 2017 01: +0,1.73,37
105,May 30 2017 01: +0,1.715,34
106,May 31 2017 01: +0,1.685,36
107,Jun 01 2017 01: +0,1.807,29
108,Jun 02 2017 01: +0,1.769,37
109,Jun 03 2017 01: +0,1.813,38
110,Jun 04 2017 01: +0,1.912,34
111,Jun 05 2017 01: +0,2.05,37
112,Jun 06 2017 01: +0,1.956,28
113,Jun 07 2017 01: +0,2.297,28
114,Jun 08 2017 01: +0,2.151,37
115,Jun 09 2017 01: +0,2.179,36
116,Jun 10 2017 01: +0,2.348,53
117,Jun 11 2017 01: +0,2.574,25
118,Jun 12 2017 01: +0,2.662,22
119,Jun 13 2017 01: +0,2.147,16
120,Jun 14 2017 01: +0,2.243,32
121,Jun 15 2017 01: +0,2.163,35
122,Jun 16 2017 01: +0,1.779,32
123,Jun 17 2017 01: +0,1.733,35
124,Jun 18 2017 01: +0,1.816,37
125,Jun 19 2017 01: +0,2.054,30
126,Jun 20 2017 01: +0,1.8,23
127,Jun 21 2017 01: +0,1.913,33
128,Jun 22 2017 01: +0,1.928,22
129,Jun 23 2017 01: +0,1.406,38
130,Jun 24 2017 01: +0,1.669,40
131,Jun 25 2017 01: +0,1.973,25
132,Jun 26 2017 01: +0,1.803,40
133,Jun 27 2017 01: +0,1.695,25
134,Jun 28 2017 01: +0,1.877,29
135,Jun 29 2017 01: +0,1.814,36
136,Jun 30 2017 01: +0,1.875,41
137,Jul 01 2017 01: +0,2.043,24
138,Jul 02 2017 01: +0,1.805,28
139,Jul 03 2017 01: +0,1.498,36
140,Jul 04 2017 01: +0,1.71,29
141,Jul 05 2017 01: +0,1.76,26
142,Jul 06 2017 01: +0,1.77,36
143,Jul 07 2017 01: +0,1.644,21
144,Jul 08 2017 01: +0,1.711,25
145,Jul 09 2017 01: +0,1.854,29
146,Jul 10 2017 01: +0,1.913,35
147,Jul 11 2017 01: +0,1.912,30
148,Jul 12 2017 01: +0,1.935,22
