,time,price,volume
0,May 21 2020 01: +0,1.697,10
1,May 22 2020 01: +0,1.069,199
2,May 23 2020 01: +0,1.076,177
3,May 24 2020 01: +0,0.988,156
4,May 25 2020 01: +0,0.89,196
5,May 26 2020 01: +0,0.879,252
6,May 27 2020 01: +0,0.849,156
7,May 28 2020 01: +0,0.817,274
8,May 29 2020 01: +0,0.657,423
9,May 30 2020 01: +0,0.764,177
10,May 31 2020 01: +0,0.803,177
11,Jun 01 2020 01: +0,0.76,371
12,Jun 02 2020 01: +0,0.734,116
13,Jun 03 2020 01: +0,0.75,184
14,Jun 04 2020 01: +0,0.733,186
15,Jun 05 2020 01: +0,0.698,153
16,Jun 06 2020 01: +0,0.694,168
17,Jun 07 2020 01: +0,0.711,112
18,Jun 08 2020 01: +0,0.717,144
19,Jun 09 2020 01: +0,0.746,218
20,Jun 10 2020 01: +0,0.756,94
21,Jun 11 2020 01: +0,0.723,121
22,Jun 12 2020 01: +0,0.635,141
23,Jun 13 2020 01: +0,0.695,91
24,Jun 14 2020 01: +0,0.721,105
25,Jun 15 2020 01: +0,0.722,97
26,Jun 16 2020 01: +0,0.691,79
27,Jun 17 2020 01: +0,0.667,93
28,Jun 18 2020 01: +0,0.683,82
29,Jun 19 2020 01: +0,0.648,102
30,Jun 20 2020 01: +0,0.67,115
31,Jun 21 2020 01: +0,0.665,82
32,Jun 22 2020 01: +0,0.684,108
33,Jun 23 2020 01: +0,0.649,84
34,Jun 24 2020 01: +0,0.65,90
35,Jun 25 2020 01: +0,0.637,101
36,Jun 26 2020 01: +0,0.601,90
37,Jun 27 2020 01: +0,0.601,118
38,Jun 28 2020 01: +0,0.582,123
39,Jun 29 2020 01: +0,0.599,109
40,Jun 30 2020 01: +0,0.635,87
41,Jul 01 2020 01: +0,0.645,90
42,Jul 02 2020 01: +0,0.651,108
43,Jul 03 2020 01: +0,0.637,107
44,Jul 04 2020 01: +0,0.657,77
45,Jul 05 2020 01: +0,0.646,96
46,Jul 06 2020 01: +0,0.646,93
47,Jul 07 2020 01: +0,0.624,91
48,Jul 08 2020 01: +0,0.673,92
49,Jul 09 2020 01: +0,0.618,118
50,Jul 10 2020 01: +0,0.717,118
51,Jul 11 2020 01: +0,0.711,99
52,Jul 12 2020 01: +0,0.719,115
53,Jul 13 2020 01: +0,0.763,110
54,Jul 14 2020 01: +0,0.776,108
55,Jul 15 2020 01: +0,0.761,76
56,Jul 16 2020 01: +0,0.769,90
57,Jul 17 2020 01: +0,0.751,87
58,Jul 18 2020 01: +0,0.735,73
59,Jul 19 2020 01: +0,0.762,104
60,Jul 20 2020 01: +0,0.766,109
61,Jul 21 2020 01: +0,0.717,94
62,Jul 22 2020 01: +0,0.764,99
63,Jul 23 2020 01: +0,0.749,102
64,Jul 24 2020 01: +0,0.683,99
65,Jul 25 2020 01: +0,0.731,103
66,Jul 26 2020 01: +0,0.76,99
67,Jul 27 2020 01: +0,0.741,101
68,Jul 28 2020 01: +0,0.713,79
69,Jul 29 2020 01: +0,0.736,89
70,Jul 30 2020 01: +0,0.751,84
71,Jul 31 2020 01: +0,0.721,72
72,Aug 01 2020 01: +0,0.686,94
73,Aug 02 2020 01: +0,0.743,94
74,Aug 03 2020 01: +0,0.715,89
75,Aug 04 2020 01: +0,0.717,73
76,Aug 05 2020 01: +0,0.718,54
77,Aug 06 2020 01: +0,0.717,83
78,Aug 07 2020 01: +0,0.679,79
79,Aug 08 2020 01: +0,0.67,91
80,Aug 09 2020 01: +0,0.689,81
81,Aug 10 2020 01: +0,0.682,95
82,Aug 11 2020 01: +0,0.713,82
83,Aug 12 2020 01: +0,0.72,81
84,Aug 13 2020 01: +0,0.696,81
85,Aug 14 2020 01: +0,0.665,84
86,Aug 15 2020 01: +0,0.71,76
87,Aug 16 2020 01: +0,0.746,87
88,Aug 17 2020 01: +0,0.686,70
89,Aug 18 2020 01: +0,0.678,61
90,Aug 19 2020 01: +0,0.659,77
91,Aug 20 2020 01: +0,0.668,63
