,time,price,volume
0,Nov 20 2016 01: +0,24.89,1
1,Nov 23 2016 01: +0,54.862,1
2,Nov 24 2016 01: +0,10.59,21
3,Nov 25 2016 01: +0,7.924,12
4,Nov 26 2016 01: +0,9.655,12
5,Nov 27 2016 01: +0,10.218,7
6,Nov 28 2016 01: +0,9.502,9
7,Nov 29 2016 01: +0,8.818,8
8,Nov 30 2016 01: +0,8.183,11
9,Dec 01 2016 01: +0,7.659,16
10,Dec 02 2016 01: +0,7.968,14
11,Dec 03 2016 01: +0,8.802,18
12,Dec 04 2016 01: +0,9.684,10
13,Dec 05 2016 01: +0,9.254,8
14,Dec 06 2016 01: +0,10.33,1
15,Dec 07 2016 01: +0,9.435,3
16,Dec 08 2016 01: +0,8.03,11
17,Dec 09 2016 01: +0,7.677,8
18,Dec 10 2016 01: +0,7.277,14
19,Dec 11 2016 01: +0,7.773,11
20,Dec 12 2016 01: +0,8.279,16
21,Dec 13 2016 01: +0,7.366,4
22,Dec 14 2016 01: +0,8.529,9
23,Dec 15 2016 01: +0,7.296,8
24,Dec 16 2016 01: +0,7.86,4
25,Dec 17 2016 01: +0,8.401,11
26,Dec 18 2016 01: +0,9.037,11
27,Dec 19 2016 01: +0,9.327,7
28,Dec 20 2016 01: +0,9.04,4
29,Dec 21 2016 01: +0,7.211,5
30,Dec 22 2016 01: +0,7.457,6
31,Dec 23 2016 01: +0,8.011,8
32,Dec 24 2016 01: +0,9.08,9
33,Dec 25 2016 01: +0,10.24,6
34,Dec 26 2016 01: +0,9.252,5
35,Dec 27 2016 01: +0,8.46,8
36,Dec 28 2016 01: +0,8.059,4
37,Dec 29 2016 01: +0,8.639,5
38,Dec 30 2016 01: +0,6.778,8
39,Dec 31 2016 01: +0,6.767,7
40,Jan 01 2017 01: +0,6.871,11
41,Jan 02 2017 01: +0,6.106,1
42,Jan 03 2017 01: +0,8.371,3
43,Jan 04 2017 01: +0,6.002,8
44,Jan 05 2017 01: +0,6.619,9
45,Jan 06 2017 01: +0,5.642,4
