,time,price,volume
0,Jun 29 2017 01: +0,1.011,89
1,Jun 30 2017 01: +0,0.889,241
2,Jul 01 2017 01: +0,0.942,184
3,Jul 02 2017 01: +0,1.029,122
4,Jul 03 2017 01: +0,1.005,138
5,Jul 04 2017 01: +0,1.011,147
6,Jul 05 2017 01: +0,1.023,120
7,Jul 06 2017 01: +0,1.006,189
8,Jul 07 2017 01: +0,0.912,172
9,Jul 08 2017 01: +0,0.985,128
10,Jul 09 2017 01: +0,0.979,118
11,Jul 10 2017 01: +0,0.967,132
12,Jul 11 2017 01: +0,0.949,98
13,Jul 12 2017 01: +0,0.98,131
14,Jul 13 2017 01: +0,0.948,159
15,Jul 14 2017 01: +0,0.947,155
16,Jul 15 2017 01: +0,0.981,133
17,Jul 16 2017 01: +0,1.022,137
18,Jul 17 2017 01: +0,1.041,97
19,Jul 18 2017 01: +0,1.052,90
20,Jul 19 2017 01: +0,1.077,94
21,Jul 20 2017 01: +0,1.011,119
22,Jul 21 2017 01: +0,1.01,120
23,Jul 22 2017 01: +0,1.016,81
24,Jul 23 2017 01: +0,1.019,104
25,Jul 24 2017 01: +0,1.022,100
26,Jul 25 2017 01: +0,1.02,69
27,Jul 26 2017 01: +0,0.974,113
28,Jul 27 2017 01: +0,0.987,81
29,Jul 28 2017 01: +0,1.024,104
30,Jul 29 2017 01: +0,0.98,85
31,Jul 30 2017 01: +0,0.996,55
32,Jul 31 2017 01: +0,0.974,74
33,Aug 01 2017 01: +0,1.0,76
34,Aug 02 2017 01: +0,0.955,69
35,Aug 03 2017 01: +0,0.947,125
36,Aug 04 2017 01: +0,0.962,111
37,Aug 05 2017 01: +0,0.927,79
38,Aug 06 2017 01: +0,0.941,76
39,Aug 07 2017 01: +0,0.9,112
40,Aug 08 2017 01: +0,0.916,93
41,Aug 09 2017 01: +0,0.947,91
42,Aug 10 2017 01: +0,0.939,96
43,Aug 11 2017 01: +0,0.904,93
44,Aug 12 2017 01: +0,0.904,68
45,Aug 13 2017 01: +0,0.922,70
46,Aug 14 2017 01: +0,0.923,81
47,Aug 15 2017 01: +0,0.902,68
48,Aug 16 2017 01: +0,0.938,59
49,Aug 17 2017 01: +0,0.887,99
50,Aug 18 2017 01: +0,0.886,59
51,Aug 19 2017 01: +0,0.895,79
52,Aug 20 2017 01: +0,0.895,49
53,Aug 21 2017 01: +0,0.912,79
54,Aug 22 2017 01: +0,0.914,52
55,Aug 23 2017 01: +0,0.879,56
56,Aug 24 2017 01: +0,0.857,60
57,Aug 25 2017 01: +0,0.841,66
58,Aug 26 2017 01: +0,0.864,61
59,Aug 27 2017 01: +0,0.885,61
60,Aug 28 2017 01: +0,0.839,65
61,Aug 29 2017 01: +0,0.857,43
62,Aug 30 2017 01: +0,0.861,50
63,Aug 31 2017 01: +0,0.812,50
64,Sep 01 2017 01: +0,0.736,51
65,Sep 02 2017 01: +0,0.787,62
66,Sep 03 2017 01: +0,0.772,64
67,Sep 04 2017 01: +0,0.814,43
68,Sep 05 2017 01: +0,0.841,40
69,Sep 06 2017 01: +0,0.771,36
70,Sep 07 2017 01: +0,0.748,55
71,Sep 08 2017 01: +0,0.81,56
72,Sep 09 2017 01: +0,0.86,74
73,Sep 10 2017 01: +0,0.848,44
74,Sep 11 2017 01: +0,0.867,56
75,Sep 12 2017 01: +0,0.859,47
76,Sep 13 2017 01: +0,0.855,46
77,Sep 14 2017 01: +0,0.856,40
78,Sep 15 2017 01: +0,0.884,50
79,Sep 16 2017 01: +0,0.91,62
80,Sep 17 2017 01: +0,0.853,50
81,Sep 18 2017 01: +0,0.889,41
82,Sep 19 2017 01: +0,0.88,28
83,Sep 20 2017 01: +0,0.857,28
84,Sep 21 2017 01: +0,0.863,50
85,Sep 22 2017 01: +0,0.876,42
86,Sep 23 2017 01: +0,0.911,57
87,Sep 24 2017 01: +0,0.869,58
88,Sep 25 2017 01: +0,0.874,35
89,Sep 26 2017 01: +0,0.84,50
90,Sep 27 2017 01: +0,0.81,45
91,Sep 28 2017 01: +0,0.877,51
92,Sep 29 2017 01: +0,0.906,62
93,Sep 30 2017 01: +0,0.841,50
94,Oct 01 2017 01: +0,0.881,54
95,Oct 02 2017 01: +0,0.872,63
96,Oct 03 2017 01: +0,0.876,59
97,Oct 04 2017 01: +0,0.832,30
98,Oct 05 2017 01: +0,0.842,69
99,Oct 06 2017 01: +0,0.805,34
100,Oct 07 2017 01: +0,0.85,53
101,Oct 08 2017 01: +0,0.791,44
102,Oct 09 2017 01: +0,0.766,43
103,Oct 10 2017 01: +0,0.763,29
104,Oct 11 2017 01: +0,0.733,45
105,Oct 12 2017 01: +0,0.763,31
106,Oct 13 2017 01: +0,0.735,63
107,Oct 14 2017 01: +0,0.774,52
108,Oct 15 2017 01: +0,0.779,51
109,Oct 16 2017 01: +0,0.787,62
110,Oct 17 2017 01: +0,0.785,48
111,Oct 18 2017 01: +0,0.8,36
112,Oct 19 2017 01: +0,0.785,58
113,Oct 20 2017 01: +0,0.757,51
114,Oct 21 2017 01: +0,0.783,56
115,Oct 22 2017 01: +0,0.707,49
116,Oct 23 2017 01: +0,0.8,42
117,Oct 24 2017 01: +0,0.783,42
118,Oct 25 2017 01: +0,0.749,30
119,Oct 26 2017 01: +0,0.721,53
120,Oct 27 2017 01: +0,0.671,72
121,Oct 28 2017 01: +0,0.673,73
122,Oct 29 2017 01: +0,0.67,42
123,Oct 30 2017 01: +0,0.689,50
124,Oct 31 2017 01: +0,0.69,43
125,Nov 01 2017 01: +0,0.707,50
126,Nov 02 2017 01: +0,0.737,58
127,Nov 03 2017 01: +0,0.722,40
128,Nov 04 2017 01: +0,0.765,52
129,Nov 05 2017 01: +0,0.821,45
130,Nov 06 2017 01: +0,0.765,40
131,Nov 07 2017 01: +0,0.808,35
132,Nov 08 2017 01: +0,0.796,26
133,Nov 09 2017 01: +0,0.815,43
134,Nov 10 2017 01: +0,0.821,43
135,Nov 11 2017 01: +0,0.777,62
136,Nov 12 2017 01: +0,0.832,65
137,Nov 13 2017 01: +0,0.836,49
138,Nov 14 2017 01: +0,0.803,44
139,Nov 15 2017 01: +0,0.851,33
140,Nov 16 2017 01: +0,0.784,39
141,Nov 17 2017 01: +0,0.798,23
142,Nov 18 2017 01: +0,0.741,60
143,Nov 19 2017 01: +0,0.79,52
144,Nov 20 2017 01: +0,0.75,44
145,Nov 21 2017 01: +0,0.706,54
146,Nov 22 2017 01: +0,0.706,35
147,Nov 23 2017 01: +0,0.656,41
148,Nov 24 2017 01: +0,0.654,53
149,Nov 25 2017 01: +0,0.664,55
150,Nov 26 2017 01: +0,0.69,69
151,Nov 27 2017 01: +0,0.718,49
152,Nov 28 2017 01: +0,0.779,27
153,Nov 29 2017 01: +0,0.755,37
154,Nov 30 2017 01: +0,0.733,31
155,Dec 01 2017 01: +0,0.722,74
156,Dec 02 2017 01: +0,0.84,42
157,Dec 03 2017 01: +0,0.774,59
158,Dec 04 2017 01: +0,0.836,52
159,Dec 05 2017 01: +0,0.759,55
160,Dec 06 2017 01: +0,0.853,34
161,Dec 07 2017 01: +0,0.823,48
162,Dec 08 2017 01: +0,0.843,46
163,Dec 09 2017 01: +0,0.804,41
164,Dec 10 2017 01: +0,0.85,39
165,Dec 11 2017 01: +0,0.861,54
166,Dec 12 2017 01: +0,0.889,28
167,Dec 13 2017 01: +0,0.885,41
168,Dec 14 2017 01: +0,0.848,47
169,Dec 15 2017 01: +0,0.897,52
170,Dec 16 2017 01: +0,0.885,65
171,Dec 17 2017 01: +0,0.878,34
172,Dec 18 2017 01: +0,0.89,43
173,Dec 19 2017 01: +0,0.942,44
174,Dec 20 2017 01: +0,0.961,47
175,Dec 21 2017 01: +0,0.904,46
176,Dec 22 2017 01: +0,0.909,45
177,Dec 23 2017 01: +0,0.963,52
178,Dec 24 2017 01: +0,1.014,65
179,Dec 25 2017 01: +0,1.012,61
180,Dec 26 2017 01: +0,1.031,54
181,Dec 27 2017 01: +0,1.074,59
182,Dec 28 2017 01: +0,1.014,54
183,Dec 29 2017 01: +0,1.09,49
184,Dec 30 2017 01: +0,1.113,76
185,Dec 31 2017 01: +0,1.093,66
186,Jan 01 2018 01: +0,1.145,56
187,Jan 02 2018 01: +0,1.05,62
188,Jan 03 2018 01: +0,1.116,61
189,Jan 04 2018 01: +0,1.056,52
190,Jan 05 2018 01: +0,1.084,46
191,Jan 06 2018 01: +0,1.135,58
192,Jan 07 2018 01: +0,1.175,56
193,Jan 08 2018 01: +0,1.172,43
194,Jan 09 2018 01: +0,1.172,43
195,Jan 10 2018 01: +0,1.171,31
196,Jan 11 2018 01: +0,1.196,59
197,Jan 12 2018 01: +0,1.181,57
198,Jan 13 2018 01: +0,1.273,89
199,Jan 14 2018 01: +0,1.332,65
200,Jan 15 2018 01: +0,1.225,47
201,Jan 16 2018 01: +0,1.233,42
202,Jan 17 2018 01: +0,1.115,46
203,Jan 18 2018 01: +0,1.187,43
204,Jan 19 2018 01: +0,1.087,42
205,Jan 20 2018 01: +0,1.154,61
206,Jan 21 2018 01: +0,1.146,47
207,Jan 22 2018 01: +0,1.119,59
208,Jan 23 2018 01: +0,1.141,50
209,Jan 24 2018 01: +0,1.175,60
210,Jan 25 2018 01: +0,1.144,39
211,Jan 26 2018 01: +0,1.121,50
212,Jan 27 2018 01: +0,1.112,55
213,Jan 28 2018 01: +0,1.121,52
214,Jan 29 2018 01: +0,1.125,30
215,Jan 30 2018 01: +0,1.139,32
216,Jan 31 2018 01: +0,1.088,31
217,Feb 01 2018 01: +0,1.053,36
218,Feb 02 2018 01: +0,1.071,34
219,Feb 03 2018 01: +0,1.141,34
220,Feb 04 2018 01: +0,0.997,28
221,Feb 05 2018 01: +0,1.112,50
222,Feb 06 2018 01: +0,1.139,33
223,Feb 07 2018 01: +0,1.112,23
224,Feb 08 2018 01: +0,1.085,28
225,Feb 09 2018 01: +0,1.092,51
226,Feb 10 2018 01: +0,1.043,42
227,Feb 11 2018 01: +0,1.156,64
228,Feb 12 2018 01: +0,1.239,34
229,Feb 13 2018 01: +0,1.263,39
230,Feb 14 2018 01: +0,1.265,44
231,Feb 15 2018 01: +0,1.246,42
232,Feb 16 2018 01: +0,1.156,30
233,Feb 17 2018 01: +0,1.183,51
234,Feb 18 2018 01: +0,1.191,45
235,Feb 19 2018 01: +0,1.203,50
236,Feb 20 2018 01: +0,1.22,32
237,Feb 21 2018 01: +0,1.211,132
238,Feb 22 2018 01: +0,1.034,39
239,Feb 23 2018 01: +0,1.032,40
240,Feb 24 2018 01: +0,1.033,38
241,Feb 25 2018 01: +0,1.155,38
242,Feb 26 2018 01: +0,1.2,41
243,Feb 27 2018 01: +0,1.118,26
244,Feb 28 2018 01: +0,1.059,26
245,Mar 01 2018 01: +0,1.052,35
246,Mar 02 2018 01: +0,0.981,29
247,Mar 03 2018 01: +0,0.97,37
248,Mar 04 2018 01: +0,0.942,26
249,Mar 05 2018 01: +0,0.968,41
250,Mar 06 2018 01: +0,0.97,33
251,Mar 07 2018 01: +0,0.958,55
252,Mar 08 2018 01: +0,0.964,29
253,Mar 09 2018 01: +0,0.941,41
254,Mar 10 2018 01: +0,1.02,47
255,Mar 11 2018 01: +0,1.043,38
256,Mar 12 2018 01: +0,1.036,33
257,Mar 13 2018 01: +0,1.121,48
258,Mar 14 2018 01: +0,1.07,32
259,Mar 15 2018 01: +0,1.015,32
260,Mar 16 2018 01: +0,1.031,33
261,Mar 17 2018 01: +0,1.076,41
262,Mar 18 2018 01: +0,1.095,27
263,Mar 19 2018 01: +0,1.023,32
264,Mar 20 2018 01: +0,1.096,24
265,Mar 21 2018 01: +0,0.98,20
266,Mar 22 2018 01: +0,1.07,24
267,Mar 23 2018 01: +0,0.978,19
268,Mar 24 2018 01: +0,1.083,23
269,Mar 25 2018 01: +0,1.024,30
270,Mar 26 2018 01: +0,1.036,19
271,Mar 27 2018 01: +0,0.938,31
272,Mar 28 2018 01: +0,0.922,34
273,Mar 29 2018 01: +0,1.037,27
274,Mar 30 2018 01: +0,1.001,24
275,Mar 31 2018 01: +0,1.016,25
276,Apr 01 2018 01: +0,1.055,29
277,Apr 02 2018 01: +0,0.948,23
278,Apr 03 2018 01: +0,0.981,22
279,Apr 04 2018 01: +0,0.996,25
280,Apr 05 2018 01: +0,0.901,33
281,Apr 06 2018 01: +0,0.912,24
282,Apr 07 2018 01: +0,0.89,23
283,Apr 08 2018 01: +0,0.964,29
284,Apr 09 2018 01: +0,0.896,26
285,Apr 10 2018 01: +0,0.887,22
286,Apr 11 2018 01: +0,0.956,23
287,Apr 12 2018 01: +0,0.893,29
288,Apr 13 2018 01: +0,0.95,31
289,Apr 14 2018 01: +0,0.944,33
290,Apr 15 2018 01: +0,0.958,38
291,Apr 16 2018 01: +0,0.953,27
292,Apr 17 2018 01: +0,0.985,19
293,Apr 18 2018 01: +0,0.929,28
294,Apr 19 2018 01: +0,0.934,25
295,Apr 20 2018 01: +0,0.958,14
296,Apr 21 2018 01: +0,0.929,18
297,Apr 22 2018 01: +0,0.939,29
298,Apr 23 2018 01: +0,0.986,25
299,Apr 24 2018 01: +0,0.973,28
300,Apr 25 2018 01: +0,0.942,22
301,Apr 26 2018 01: +0,0.931,28
302,Apr 27 2018 01: +0,0.812,8
303,Apr 28 2018 01: +0,0.896,23
304,Apr 29 2018 01: +0,0.901,36
305,Apr 30 2018 01: +0,0.978,25
306,May 01 2018 01: +0,0.922,13
307,May 02 2018 01: +0,0.912,17
308,May 03 2018 01: +0,0.879,32
309,May 04 2018 01: +0,0.953,20
310,May 05 2018 01: +0,0.97,23
311,May 06 2018 01: +0,0.958,30
312,May 07 2018 01: +0,0.936,24
313,May 08 2018 01: +0,0.843,27
314,May 09 2018 01: +0,0.894,34
315,May 10 2018 01: +0,0.94,23
316,May 11 2018 01: +0,0.95,21
317,May 12 2018 01: +0,0.917,26
318,May 13 2018 01: +0,0.939,22
319,May 14 2018 01: +0,0.964,35
320,May 15 2018 01: +0,0.959,25
321,May 16 2018 01: +0,1.068,30
322,May 17 2018 01: +0,1.031,25
323,May 18 2018 01: +0,0.949,13
324,May 19 2018 01: +0,0.982,22
325,May 20 2018 01: +0,1.017,18
326,May 21 2018 01: +0,1.015,19
327,May 22 2018 01: +0,0.913,16
328,May 23 2018 01: +0,0.978,16
329,May 24 2018 01: +0,0.922,25
330,May 25 2018 01: +0,0.899,23
331,May 26 2018 01: +0,0.954,20
332,May 27 2018 01: +0,0.931,23
333,May 28 2018 01: +0,0.92,14
334,May 29 2018 01: +0,0.907,16
335,May 30 2018 01: +0,0.948,20
336,May 31 2018 01: +0,0.882,14
337,Jun 01 2018 01: +0,0.919,25
338,Jun 02 2018 01: +0,1.018,21
339,Jun 03 2018 01: +0,0.874,18
340,Jun 04 2018 01: +0,0.86,24
341,Jun 05 2018 01: +0,0.919,18
342,Jun 06 2018 01: +0,0.894,14
343,Jun 07 2018 01: +0,0.92,24
344,Jun 08 2018 01: +0,0.993,21
345,Jun 09 2018 01: +0,0.934,16
346,Jun 10 2018 01: +0,0.886,19
347,Jun 11 2018 01: +0,0.932,13
348,Jun 12 2018 01: +0,0.968,22
349,Jun 13 2018 01: +0,0.976,22
350,Jun 14 2018 01: +0,0.934,16
351,Jun 15 2018 01: +0,0.919,19
352,Jun 16 2018 01: +0,0.928,24
353,Jun 17 2018 01: +0,0.981,22
